line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=夜色名为温柔,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.0,default,
7,|任务描述=流萤看起来似乎很愧疚。她希望带你再去一个地方——不是什么旅游景点，而是只属于她的「秘密据点」——她将在那里道出所有秘密。<br>跟上她吧，她看起来没有恶意。,default,
8,|奖励={{图标|里程|900}}{{图标|星琼|110}}{{图标|漫游指南|12}}{{图标|遗失晶块|10}}{{图标|金表钞|450}}{{图标|《使一颗心免于哀伤》|1}}{{图标|信用点|100000}},default,
9,|任务条件=完成任务[[好兆头，我的朋友]],default,
10,|开放等级=34,default,
11,|相关成就=通往群星的轨道#夜色名为温柔、众秘探奇#集异璧,default,
12,|相关道具=「欢欣」齿轮,default,
13,|相关书籍=,default,
14,|出场人物=流萤、钟表小子、黄泉、米沙、花火、砂金、三月七、瓦尔特、姬子,default,
15,|系列任务=喧哗与骚动,default,
16,|任务编号=08,default,
17,|前置任务=*[[好兆头，我的朋友]],default,
18,|后续任务=*[[犹在镜中]],default,
19,|任务流程=*跟随流萤，前往「秘密据点」,default,
20,*跟随钟表小子,default,
21,*对帮派老大使用钟表把戏,default,
22,*继续跟随流萤，前往「秘密据点」,default,
23,*与流萤会合,default,
24,*跟随流萤，抵达筑梦边缘深处,default,
25,*对猎犬家系成员使用钟表把戏,default,
26,*继续跟随流萤，抵达筑梦边缘深处,default,
27,*利用梦境的特性继续前进,default,
28,*利用梦境的特性构筑通路,default,
29,*继续跟随流萤，抵达筑梦边缘深处,default,
30,*乘坐弹珠机,default,
31,*继续跟随流萤，抵达筑梦边缘深处,default,
32,**（可选）休息一下，眺望匹诺康尼大剧院,default,
33,*继续跟随流萤，抵达筑梦边缘深处,default,
34,*找到第一块拼图碎片,default,
35,**从路人处获得筑梦师缺失的情绪齿轮,default,
36,**补全筑梦师的心绪表盘,default,
37,*找到第二块拼图碎片,default,
38,*利用梦境的特性构筑通路,default,
39,*继续跟随流萤，抵达筑梦边缘深处,default,
40,}},default,
41,==剧情内容==,default,
42,=== 跟随流萤，前往「秘密据点」 ===,default,
43,{{任务描述|流萤看起来似乎很愧疚。她希望带你再去一个地方——不是什么旅游景点，而是只属于她的「秘密据点」——她将在那里道出所有秘密。<br>跟上她吧，她看起来没有恶意。|匹诺康尼-黄金的时刻}},default,
44,*流萤：走这边吧……,content,流萤
45,----,default,
46,*开拓者：（…咦？那里是不是有个什么…东西在呼救？）,content,开拓者
47,----,default,
48,*？？？：滴答！救命！救命啊！,content,
49,*？？？：要出人命啦！来人啊！,content,
50,{{剧情选项,default,
51,|选项1=发生什么事了？,option,开拓者
52,|剧情1=*？？？：我说得很清楚了——要出人命啦！救命！,branch_content,剧情
53,|选项2=你在求救吗？,option,开拓者
54,|剧情2=*？？？：是啊，是啊！请你帮帮我，不然要出人命啦！,branch_content,剧情
55,|选项3=你是个什么…东西？,option,开拓者
56,|剧情3=*？？？：嘿！我可是块钟表，不是什么「东西」！,branch_content,剧情
57,}},default,
58,*？？？：嘿，等等——你…能看得到我？,content,
59,*流萤：…怎么了？,content,流萤
60,{{剧情选项,default,
61,|选项1=我看到一个…有手有脚的钟表。,option,开拓者
62,|选项2=我好像看到奇怪的东西了…,option,开拓者
63,|选项3=没什么，不重要。,option,开拓者
64,}},default,
65,*？？？：难道…你真能看得到我？,content,
66,*？？？：滴答！太好了！太好了！米沙他有救了！,content,
67,*？？？：哦，抱歉，还没有进行自我介绍呢！,content,
68,*钟表小子：我叫钟表小子，是美梦小镇匹诺康尼的大明星！我和我的朋友们一起守护着这座小镇的和平——他们分别是哈努兄弟、汽水先生、折纸小鸟、仓鼠球骑士……,content,钟表小子
69,*钟表小子：…还有米沙！米沙他遇到危险啦——滴答！救命！救命！,content,钟表小子
70,{{剧情选项,default,
71,|选项1=钟表小子，我能帮上你的忙吗？,option,开拓者
72,|选项2=钟表小子？你是个动画人物？,option,开拓者
73,|选项3=会说话的钟表。我一定是疯了。,option,开拓者
74,|剧情3=*流萤：会说话的钟表？,branch_content,流萤
75,}},default,
76,*流萤：…钟表小子？,content,流萤
77,*流萤：你是说…你看到了一个现实中不存在的动画人物？,content,流萤
78,{{剧情选项,default,
79,|选项1=是的，我看到了他。,option,开拓者
80,|选项2=不会是幻觉吧…,option,开拓者
81,|剧情2=*钟表小子：滴答，我当然存在啦！我可是美梦小镇匹诺康尼的大明星，从来不吹牛！,branch_content,钟表小子
82,|选项3=你看不到吗？,option,开拓者
83,}},default,
84,*流萤：呃…在哪儿？我看不到啊……,content,流萤
85,*钟表小子：滴答！我猜，只有直率、纯真、有童心的孩子才能看见我——比如这位灰色的朋友！,content,钟表小子
86,{{剧情选项,default,
87,|选项1=他说只有孩子能看到他。,option,开拓者
88,|剧情1=*流萤：呃，可是你看上去比我大吧，只看外表的话……,branch_content,流萤
89,|选项2=他说你不够直率、纯真、有童心。,option,开拓者
90,|剧情2=*流萤：…我哪里不够直率、纯真、有童心了…！,branch_content,流萤
91,}},default,
92,*钟表小子：滴答，滴答！灰色的朋友！既然你能看到我，那你一定能帮我个忙！,content,钟表小子
93,*钟表小子：我的好朋友米沙，他遇到麻烦了！求求你，救救他吧！不然就要出人命啦！,content,钟表小子
94,{{剧情选项,default,
95,|选项1=他说求我帮帮他…,option,开拓者
96,|剧情1=*流萤：欸……,branch_content,流萤
97,|选项2=他说要出人命了…,option,开拓者
98,|剧情2=*流萤：欸…这么严重吗……,branch_content,流萤
99,}},default,
100,*流萤：那你要先去帮帮这位…呃，只有你能看到的钟表小子吗？,content,流萤
101,*流萤：我没有怀疑你，毕竟在梦里什么都有可能发生…我说的地方，晚点再去也没问题的……,content,流萤
102,*钟表小子：滴答，滴答！快跟上，快跟上，灰色的朋友！,content,钟表小子
103,*钟表小子：米沙遇到危险啦！他就在那里，我来带你去！,content,钟表小子
104,*开拓者：（米沙这个名字好令人在意…总之先看看发生了什么吧。）,content,开拓者
105,,default,
106,=== 跟随钟表小子 ===,default,
