line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=太阳照常升起,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.2,default,
7,|任务描述=尘埃落定，阿斯德纳和整个宇宙最终免于成为「秩序」傀儡的命运。公司决定与家族携手共建匹诺康尼，全宇宙的学者们也将不遗余力地提供帮助。至此，「梦想之地」匹诺康尼之旅暂告一段落。,default,
8,|奖励={{图标|里程|600}}{{图标|星琼|80}}{{图标|漫游指南|6}}{{图标|遗失晶块|6}}{{图标|金表钞|300}}{{图标|信用点|80000}},default,
9,|任务条件=完成任务[[上升的一切必将汇合]],default,
10,|开放等级=34,default,
11,|相关成就=通往群星的轨道#我们若在光明中行,default,
12,|相关道具=命运之谕示,default,
13,|相关书籍=,default,
14,|出场人物=三月七、黑天鹅、丹恒、波提欧、姬子、瓦尔特、景元、真理医生、托帕&账账、砂金,default,
15,|领取地点=,default,
16,|系列任务=在我们的时代里,default,
17,|任务编号=11,default,
18,|前置任务=*[[上升的一切必将汇合]],default,
19,|后续任务=*[[然后，在第八天…]],default,
20,|任务流程=*与黑天鹅交谈,default,
21,*前往贵宾休息区寻找丹恒,default,
22,*与姬子和瓦尔特会合,default,
23,*前往大堂，会见公司代表,default,
24,*与公司和博识学会代表交谈,default,
25,*返回星穹列车,default,
26,*（可选）与三月七交谈,default,
27,*（可选）与丹恒交谈,default,
28,*（可选）与波提欧交谈,default,
29,*（可选）与瓦尔特交谈,default,
30,*（可选）与姬子交谈,default,
31,*与黑天鹅交谈，等待跃迁开始,default,
32,}},default,
33,,default,
34,==剧情内容==,default,
35,*三月七：醒醒…醒醒……,content,三月七
36,*三月七：…喂，开拓者！别睡啦，太阳晒屁股啦——,content,三月七
37,*三月七：你没事吧，听得清我说话吗？记不记得自己叫什么名字？,content,三月七
38,{{剧情选项,default,
39,|选项1=我…什么都不记得了。,option,开拓者
40,|剧情1=*三月七：那可麻烦了，能努力回忆一下吗？你的名字是……,branch_content,三月七
41,*三月七：好啦好啦，不开玩笑了。神君威力大是大，但也不至于把你弄失忆啦。看你状态不错，我放心咯。,content,三月七
42,|选项2=这段台词怎么有点熟悉…,option,开拓者
43,|剧情2=*三月七：嗯？有吗？我都不记得了。,branch_content,三月七
44,*三月七：看来你状态不错，还能记住这种细枝末节的事…那我放心咯。,content,三月七
45,|选项3=太阳不是已经被我打下来了吗…,option,开拓者
46,|剧情3=*三月七：呃…在某种意义上，是景元将军帮咱们打下来的。,branch_content,三月七
47,*三月七：不管怎么说，既然你还记得刚才发生的事…那我放心咯。,content,三月七
48,}},default,
49,{{剧情选项,default,
50,|选项1=我昏迷期间发生了什么？,option,开拓者
51,|选项2=这里是梦境还是现实？,option,开拓者
52,}},default,
53,*三月七：嗯…说来话长。简单来说就是，丹恒在咱们陷入苦战的时候使用了结盟玉兆，带着将军及时解了围。,content,三月七
54,*三月七：然后咱们就回到现实里来了。你看，这里是你的房间。,content,三月七
55,*三月七：大家也都从梦境里回来了，姬子他们正在大堂和将军谈事呢。既然你醒了，咱们就跟列车组的大伙报个平安吧，跟我来～,content,三月七
56,,default,
57,=== 与黑天鹅交谈 ===,default,
58,{{任务描述|尘埃落定，阿斯德纳和整个宇宙最终免于成为「秩序」傀儡的命运。距离击败「齐响诗班」似乎已经过去了一段时间…这期间都发生了些什么？<br>你听到熟悉的声音从身后传来。一股莫之能御的力量令你鞋头调转，（自愿）向那声音源头走去——毕竟，谁能拒绝一位慵懒优雅又强大的忆者呢？|匹诺康尼-「白日梦」酒店-现实}},default,
59,*黑天鹅：都不来和我聊聊么…{{注音|开拓者|小瞌睡虫}}？,content,黑天鹅
60,*开拓者：（这声音…是黑天鹅？）,content,开拓者
61,----,default,
62,*三月七：哎，你去哪儿呀？,content,三月七
63,----,default,
64,*黑天鹅：嗨，我们又见面了，小瞌睡虫。,content,黑天鹅
65,*三月七：黑、黑天鹅小姐怎么在这儿？,content,三月七
66,*黑天鹅：没什么，三月七小姐。我就是见开拓者醒了，想看看他/她恢复得如何。,content,黑天鹅
67,*黑天鹅：将军那一击虽然援助及时，破坏力却也极强。令使的力量对撞在一起，普通人难免受到波及。,content,黑天鹅
68,*黑天鹅：不过，好在{{注音|梦境|忆域}}也算是我的主场…所幸在「齐响诗班」崩溃前把各位全送出来了。,content,黑天鹅
69,*三月七：哦，原来是这样！谢谢你，黑天鹅小姐。,content,三月七
70,*黑天鹅：不客气，毕竟我也不想看到宝贵的「记忆」就此消失。你们是要去见同伴吧，介意我陪各位小走一程么？,content,黑天鹅
71,*三月七：可以是可以…但你不会又像上次那样打什么歪主意吧？,content,三月七
72,*黑天鹅：怎么会呢，我可从来没动过歪脑筋…至少在你们面前没有。,content,黑天鹅
73,,default,
74,=== 前往贵宾休息区寻找丹恒 ===,default,
75,{{任务描述|尘埃落定，阿斯德纳和整个宇宙最终免于成为「秩序」傀儡的命运。距离击败「齐响诗班」似乎已经过去了一段时间…这期间都发生了些什么？<br>在「白日梦」酒店里走走看看，与同伴会合，整理一下现状吧。|匹诺康尼-「白日梦」酒店-现实}},default,
76,*三月七：姬子和杨叔应该还在忙…我们先去找丹恒吧。,content,三月七
77,----,default,
78,*三月七：看，他果然还在和那个牛仔聊天！,content,三月七
79,*丹恒：你醒了，开拓者。感觉如何？,content,丹恒
80,*波提欧：哈，他小宝贝的！你一定就是他们说的那颗「星核」，对吧？,content,波提欧
81,{{剧情选项,default,
82,|选项1=我没事，放心。,option,开拓者
83,|剧情1=*三月七：别担心，开拓者老早就活蹦乱跳啦。倒是你，丹恒，要不先给他/她介绍一下这位牛仔是谁？,branch_content,三月七
84,|选项2=你怎么什么都说啊丹恒…,option,开拓者
85,|剧情2=*丹恒：这…不是我说的。,branch_content,丹恒
86,*波提欧：确实，兄弟/姐妹你误会了，我是从忆者那儿听来的。,content,波提欧
87,|选项3=你谁？怎么乱喊人宝贝？,option,开拓者
88,|剧情3=,branch_content,
89,}},default,
90,*黑天鹅：让我来做个介绍吧。这位是波提欧，一位「巡海游侠」。,content,黑天鹅
