line_number,content,category,character
1,{{消耗品,default,
2,|名称=太阳薄饼,default,
3,|稀有度=3星<!-- 例：5星 -->,content,例
4,|所属地区=雅利洛-Ⅵ<!-- 选填：星穹列车、空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」、其他-->,content,选填
5,|类型=回能<!-- 回复、攻击、防御、回能、特殊 -->,default,
6,|效果=使用后立即为我方指定单体恢复等同于自身能量上限50%能量。<!-- 图标下方白色字体的部分 -->,default,
7,|介绍=煦日节的招牌小吃，曾经贝洛伯格的家家户户都知道它的做法。甜腻的程度连三月七都难以接受。<br>,default,
8,<br>,default,
9,<i>「人越是缺什么，就越会惦记什么；用『太阳』为这种食品取名大概也是这个理由。」</i><!-- 灰色字体的部分，括号括起来的部分需要用斜体 -->,default,
10,|TAG=能量恢复<!-- 参考消耗品筛选页面填写 -->,default,
11,|获取方式=任务<!-- 筛选用简略描述：万能合成机、NPC商店、售货机等 -->,content,筛选用简略描述
12,|获取途径=开拓续闻中与歌蒂对话获得<!-- 游戏内显示的获得途径 -->,default,
13,|实装版本=1.4,default,
14,|价格=,default,
15,|存在配方=否<!-- 是/否 -->,default,
16,|配方获取方式=<!-- 筛选用简略描述：NPC商店、售货机、NPC对话、交互事件、任务、活动等 -->,content,筛选用简略描述
17,|配方获取途径=,default,
18,|配方价格=,default,
19,|配方介绍=<!-- 有介绍的填，没有则留空 -->,default,
20,|配方图片=<!-- 有特殊图标的填“是”，没有则留空 -->,default,
21,|所需材料=<!-- 格式：名称*数量 顿号分隔 -->,content,格式
22,|相关成就=,default,
23,|相关活动=,default,
24,|相关角色=<!-- 填写相关自机角色或NPC -->,default,
25,}},default,
26,{{WIKI底部导航|角色图鉴=展开}},default,
