line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=她等待刀尖已经太久,default,
3,|任务地区=雅利洛-Ⅵ,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=你不得不佩服桑博的油嘴滑舌。要不是丹恒不吃这一套，你们三人恐怕又要吃哑巴亏了。<br>,default,
7,在丹恒的威逼下，桑博终于提出要将你们引荐给「地火」。<br>,default,
8,你不清楚「地火」具体是怎样的组织，但听多了这地下的街谈巷议后，你凭本能觉得他们极有可能了解指向星核的线索…,default,
9,|奖励={{图标|里程|300}}{{图标|凝缩以太|1}}{{图标|信用点|4000}},default,
10,|出场人物=三月七、丹恒、桑博、希儿、布洛妮娅,default,
11,|任务条件=完成[[第八条、也是最后一条规则]],default,
12,|任务编号=07,default,
13,|开放等级=0,default,
14,|系列任务=于枯索的冬夜里,default,
15,|前置任务=*[[第八条、也是最后一条规则]],default,
16,|后续任务=*[[他们有多少人已掉进深渊]],default,
17,|任务流程=*寻找「地火」的踪迹,default,
18,}},default,
19,==剧情内容==,default,
20,=== 寻找「地火」的踪迹 ===,default,
21,{{任务描述|你不得不佩服桑博的油嘴滑舌。要不是丹恒不吃这一套，你们三人恐怕又要吃哑巴亏了。<br>,default,
22,在丹恒的威逼下，桑博终于提出要将你们引荐给「地火」。<br>,default,
23,你不清楚「地火」具体是怎样的组织，但听多了这地下的街谈巷议后，你凭本能觉得他们极有可能了解指向星核的线索…}},default,
24,*三月七：所以，这个「地火」平时都干什么呢？,content,三月七
25,*桑博：什么都干。维持秩序，主持正义，争取资源，分配物资……,content,桑博
26,*桑博：说到物资，我那点微不足道的面子就是从这儿来的……,content,桑博
27,----,default,
28,:{{颜色|描述|跟桑博来到一处接头点…}},default,
29,*桑博：咦，约书亚居然没在这儿……,content,桑博
30,*三月七：这种发亮的矿石是？,content,三月七
31,*桑博：噢，这是「地髓」，一种能供暖的矿石。地上地下不是全面封锁了嘛？现在就只有地髓的运输线还在运行了，地底往上送矿石，地上往下送物资。,content,桑博
32,*桑博：这下层区一大半都是矿民，每天就靠挖这种矿石过活。要是没有「地髓」可烧，这个世界的人早就被冻死了。,content,桑博
33,*桑博：呃，咱们接着走吧，要找的人不在……,content,桑博
34,----,default,
35,:{{颜色|描述|来到另一处接头点…}},default,
36,*桑博：唔…奥列格那老头也不在，人都哪去了？,content,桑博
37,*三月七：你不是又带我们瞎绕圈吧？,content,三月七
38,*桑博：绝对不敢，怎么可能！放一万个心吧，马上就能找到！,content,桑博
39,*三月七：哼…远处那个大建筑是啥……,content,三月七
40,*桑博：那是「炉心」，也是连结上下层区的支撑柱。以前人们会通过那根柱子上下往来，不过后来……,content,桑博
41,*三月七：后来怎么了？,content,三月七
42,*桑博：说来话长咯。反正，现在上下层之间的联系几乎断绝了。,content,桑博
43,*丹恒：除了你以外。,content,丹恒
44,*桑博：唉哟我的好哥哥，说好别提的呢？！算我求求您，千万不要跟别人乱说！,content,桑博
45,----,default,
46,:{{颜色|描述|继续跟随桑博…}},default,
47,*桑博：这个时间段，希儿一般都在这片区域巡逻啊……,content,桑博
48,*桑博：「地火」这群人都干嘛呢？不会是在躲着我吧？,content,桑博
49,:{{颜色|描述|你们看到了一个熟悉的身影…}},default,
50,*三月七：喂，你们快看，那是谁！,content,三月七
51,{{剧情选项,default,
52,|选项1=那是…布洛妮娅？,option,开拓者
53,|选项2=她也被带下来了？}},option,开拓者
54,*三月七：看这样子，像是遇到什么麻烦了呀…,content,三月七
55,*桑博：几位姐们儿，哥们儿，别袖手旁观啊！这事可万万不能闹大呀……,content,桑博
56,*三月七：你这么一说，我还挺想看你遭殃的诶。,content,三月七
57,*丹恒：我们最好不要引来过多关注，但也不能放着那孩子不管。,content,丹恒
58,{{剧情选项,default,
59,|选项1=桑博说得对，不能袖手旁观。,option,开拓者
60,|剧情1=*桑博：对，对！就是这个理儿。,branch_content,桑博
61,|选项2=丹恒说得对，不能放着不管。,option,开拓者
62,|剧情2=*桑博：是！是！丹恒…兄弟深明大义。,branch_content,桑博
63,|选项3=阿七说得对，回去休息吧。,option,开拓者
64,|剧情3=*三月七：呃，咱就说句玩笑话，你别什么都听我的啊。,branch_content,三月七
65,*三月七：其实我赞同丹恒的意见，咱们总不能看着可爱的女孩子受欺负吧。,content,三月七
66,*桑博：说得好！姑娘深明大义啊！,content,桑博
67,}},default,
68,*三月七：我们去帮她吧。,content,三月七
69,{{折叠|标题=过场动画|内容=,default,
70,*流浪者：这么嚣张，那就别怪我不客气了！,content,流浪者
71,:{{颜色|描述|流浪者对布洛妮娅开了一枪…}},default,
72,:{{颜色|描述|一道紫色的身影出现，砍断了子弹…}},default,
73,*？？？：敢在我们的地盘上出手……,content,
74,*？？？：要接着过几招吗？}},content,
75,:{{颜色|描述|流浪者落荒而逃…}},default,
76,*流浪者：糟了，快走！,content,流浪者
77,*希儿：…欺软怕硬的渣滓！,content,希儿
78,*桑博：希儿小姐！呼，幸好你出手及时，感激不尽啊~,content,桑博
79,*桑博：这帮流浪者还真够嚣张的，竟然敢在「地火」的地盘上动武——,content,桑博
80,*希儿：闭嘴吧桑博，这件事你也逃不了干系。「地火」现在有一堆麻烦事要处理，你非得在这时候添乱吗？,content,希儿
81,*希儿：我听说有个银鬃铁卫跑到下层区来了…是你么？,content,希儿
82,*布洛妮娅：你们把我绑架到地底，到底有什么企图？,content,布洛妮娅
83,*希儿：哼，「到底有什么企图」…她以为自己还是上面的大小姐呢。,content,希儿
84,*希儿：待在地上很舒服吧？你们知道地下变成什么样了吗？你们有考虑过下层人的死活吗？,content,希儿
85,*布洛妮娅：银鬃铁卫不是「舒服」地待在地上。铁卫一直在与敌人战斗，从怪物手中保卫贝洛伯格…保护地上和地下的每个人。,content,布洛妮娅
86,*希儿：嘿，说的比唱的还好听，你们保护了地下什么？把铁卫全调上去，封锁上下通路，说好听点还不是为了保护所谓的「筑城者」么？,content,希儿
87,*布洛妮娅：守护者大人有她的考量……,content,布洛妮娅
88,*希儿：哼。,content,希儿
89,*希儿：总之，你跟我走一趟。奥列格头儿要见你，他好像有很多问题要问。,content,希儿
90,*桑博：好巧啊，希儿小姐！我们也有事情想要拜会首领大人！搭个伙一起走呗？,content,桑博
91,*希儿：谁要跟你搭伙。,content,希儿
92,*希儿：…这几个人是谁？,content,希儿
93,{{剧情选项,default,
94,|选项1=我是开拓者。,option,开拓者
95,|剧情1=*希儿：…光知道名字有什么用！,branch_content,希儿
96,|选项2=我是桑博的朋友。,option,开拓者
97,|剧情2=*希儿：他的朋友？那地下一大半是你的敌人了。,branch_content,希儿
98,|选项3=我是奥列格头儿的贵客。,option,开拓者
99,|剧情3=*希儿：你认识头儿？我怎么不认识你……}},branch_content,希儿
100,*桑博：是这样的，这几位是头儿迫切需要的人才，我正要带他们去拜见奥列格……,content,桑博
101,*三月七：我们来这儿寻找一种叫「星核」的东西，它是所有灾难的罪魁祸首，只要找到它，我们就能——,content,三月七
102,*桑博：小姐姐，这事你也别见谁跟谁说啊，奥列格才是头儿，希儿小姐不懂这些的。,content,桑博
103,*希儿：我是不懂，而且也没打算帮你们传话。「地火」在大矿区遇到了点麻烦，头儿正在忙着处理。你们要是真想见他，就到矿区入口来找我吧。,content,希儿
104,*希儿：走了。,content,希儿
105,{{折叠|标题=额外对话（布洛妮娅）|内容=,default,
106,*布洛妮娅：…我奉大守护者的谕令，要将你们捉拿逮捕，这点还没有变。,content,布洛妮娅
107,*布洛妮娅：我不是你们的朋友……,content,布洛妮娅
108,{{剧情选项,default,
109,|选项1=朋友都是培养出来的。,option,开拓者
110,|剧情1=*布洛妮娅：……,branch_content,布洛妮娅
111,|选项2=我就喜欢接近敌人。,option,开拓者
112,|剧情2=*布洛妮娅：……,branch_content,布洛妮娅
113,|选项3=请逮捕我吧！,option,开拓者
114,|剧情3=*布洛妮娅：你这个人，多少有点问题……}},branch_content,布洛妮娅
115,*布洛妮娅：…歌德宾馆的前一天，我见过你们。杰帕德带你们去拜见母…大守护者，他告诉我，你们是从天外到来的客人。,content,布洛妮娅
116,*布洛妮娅：就像古老传说中，那些身携星神的意志，各色各样的星际旅行者。,content,布洛妮娅
117,*布洛妮娅：杰帕德说，你们想要帮助我们，停止寒潮和裂界对这颗星球的伤害…但是当天晚上，母亲就召见我，命令我带兵捉拿你们。,content,布洛妮娅
118,*布洛妮娅：到底发生了什么？大守护者没有告诉我详情，杰帕德也赶赴前线，我不明白……,content,布洛妮娅
119,{{剧情选项,default,
120,|选项1=我也不知道。,option,开拓者
121,|剧情1=,branch_content,
122,|选项2=我们真的想帮助你们。,option,开拓者
123,|剧情2=,branch_content,
124,|选项3=大守护者背叛了我们。,option,开拓者
125,|剧情3=}},branch_content,
126,*布洛妮娅：……,content,布洛妮娅
127,*布洛妮娅：银鬃铁卫已经奉命全部撤回地上了，在这里，我不能以铁卫的身份行动。,content,布洛妮娅
128,*布洛妮娅：在返回地上以前，我们暂时休战，联手合作吧。我也想知道你们的真正用意……,content,布洛妮娅
129,*布洛妮娅：为了让你相信我，我会尽量回答你的问题。,content,布洛妮娅
130,{{剧情选项,default,
131,|选项1=我们犯的是什么罪过？,option,开拓者
132,|剧情1=*布洛妮娅：再说一次，我收到的只有大守护者的指示，审判罪行是裁判团的职责。,branch_content,布洛妮娅
133,*布洛妮娅：…大守护者只告诉我你们伪造了身份，目的是破坏筑城者对贝洛伯格的掌控。,content,布洛妮娅
134,|选项2=你知道星核在哪里吗？,option,开拓者
135,|剧情2=*布洛妮娅：我没有听说过什么「星核」，真的。,branch_content,布洛妮娅
136,*布洛妮娅：但如果一切灾厄只要封印了星核就能结束，我希望它是真实存在的……,content,布洛妮娅
137,|选项3=银鬃铁卫为什么撤离了地下？,option,开拓者
138,|剧情3=*布洛妮娅：地上裂界的怪物活动加剧，前线战事吃紧，筑城者们不得不将所有的铁卫抽调到前线，用来抵御怪物入侵。,branch_content,布洛妮娅
139,*布洛妮娅：…如果不能保住地上的防线，地下就会因为失去物资支援而崩溃——大守护者是这么向我解释的。,content,布洛妮娅
140,|选项4=为什么愿意和我们合作？,option,开拓者
141,|剧情4=*布洛妮娅：其实…一直以来，我总觉得有什么重要的事情被隐藏了起来。不管是筑城者，母亲还是银鬃铁卫的行动，总有些不自然的地方……,branch_content,布洛妮娅
142,*布洛妮娅：自从和你们相遇，意外就接连发生，甚至来到了被封锁的地下……,content,布洛妮娅
143,*布洛妮娅：我有一种预感，和你们在一起，我能找到失落的线索——将我的疑惑解开。,content,布洛妮娅
144,|图标1=对话,default,
145,|图标2=对话,default,
146,|图标3=对话,default,
147,|图标4=对话,default,
148,|选项5=我问得差不多了。,option,开拓者
149,|剧情5=*布洛妮娅：嗯，该去会会「地火」了，走吧。,branch_content,布洛妮娅
150,}},default,
151,|折叠=是}},default,
152,{{折叠|标题=额外对话（桑博）|内容=,default,
153,*桑博：无聊了？来，桑博哥哥陪你聊天。,content,桑博
154,{{剧情选项,default,
155,|选项1=你到底是什么人？,option,开拓者
156,|剧情1=*桑博：这是什么问题，咱们一起出生入死，我是你的好兄弟桑博•科斯基啊！,branch_content,桑博
157,{{剧情选项,default,
158,|选项1=你没回答我的问题。,option,开拓者
159,|剧情1=*桑博：那说明问题不对。提问就像做买卖，需求够清楚，才能买到正确的东西嘛。,branch_content,桑博
160,|选项2=谁跟你出生入死。,option,开拓者
161,|剧情2=*桑博：我们一起风中来雪里去！并肩迎战杰帕德•朗道！我不顾生命危险闯入裂界，从布洛妮娅•兰德的魔爪下救了你们！,branch_content,桑博
162,*桑博：这还不算出生入死吗？,content,桑博
163,|选项3=兄弟！,option,开拓者
164,|剧情3=*桑博：兄弟！哈哈，感觉怪怪的。,branch_content,桑博
165,}},default,
166,|选项2=「地火」和希儿是谁？,option,开拓者
167,|剧情2=*桑博：「地火」是我的大客户，虽然尽是些麻烦的差事…不过合作还是很愉快的！哈哈，钱到位就是好甲方，别的不能奢求。,branch_content,桑博
168,*桑博：希儿是「地火」的干部，是奥列格头儿信任的骨干。大概在她看来，我就是「地火」差使的一条狗吧。,content,桑博
169,*桑博：当狗也挺好的。,content,桑博
170,|选项3=「地火」想做什么？,option,开拓者
171,|剧情3=*桑博：不知道啊，我又不是「地火」成员，他们也不会把目的都告诉我。再说了，我这个人嘴很严的……,branch_content,桑博
172,|图标1=对话,default,
173,|图标2=对话,default,
174,|图标3=对话,default,
175,|选项4=就先聊到这儿吧。,option,开拓者
176,|剧情4=*桑博：好啊，有空再聊。,branch_content,桑博
177,}},default,
178,|折叠=是}},default,
179,{{折叠|标题=额外对话（三月七）|内容=,default,
180,*三月七：哦，开拓者，想听听咱的地下见闻吗？,content,三月七
181,{{剧情选项,default,
182,|选项1=想听。,option,开拓者
183,|剧情1=*三月七：从哪里开始说起呢？,branch_content,三月七
184,{{剧情选项,default,
185,|选项1=想听听你对下层区的观察…,option,开拓者
186,|剧情1=*三月七：哈，你大可相信我的观察力。,branch_content,三月七
187,{{剧情选项,default,
188,|选项1=下层区的地理？,option,开拓者
189,|剧情1=*三月七：下层区四处都是岩壁，没有明显的区域规划，只有分散的矿区和小镇，就像是贝洛伯格的郊区。,branch_content,三月七
190,*三月七：哪里都能望见的那根巨大柱子被称为「炉心」，也许那里是什么能源中心吧？,content,三月七
191,|选项2=下层区的生活？,option,开拓者
192,|剧情2=*三月七：根据咱的观察，小镇上的住民基本都是从事体力劳动的矿民，不像上层区那么富裕。,branch_content,三月七
193,*三月七：不过，矿民们休息的时候还会来看拳赛，这可比上层区的歌剧院要接地气不少吧。,content,三月七
194,|选项3=下层区的人？,option,开拓者
195,|剧情3=*三月七：下层区的人好像都很匆忙，这里生活节奏太快啦。跟这里比起来，熙熙攘攘的上层区都显得舒适了不少。,branch_content,三月七
196,|图标1=对话,default,
197,|图标2=对话,default,
198,|图标3=对话,default,
199,|选项4=我想问的差不多了。,option,开拓者
200,|剧情4=,branch_content,
201,}},default,
202,|选项2=想听听你对其他人的看法…,option,开拓者
203,|剧情2=*三月七：人情世故嘛，我不是很擅长，不过你问。,branch_content,三月七
204,{{剧情选项,default,
205,|选项1=桑博？,option,开拓者
206,|剧情1=*三月七：这个人奸懒谗猾，我不喜欢！看见他就讨厌。,branch_content,三月七
207,*三月七：你是不是觉得这个人还挺有意思的？当心别被他骗啦。,content,三月七
208,|选项2=虎克？,option,开拓者
209,|剧情2=*三月七：啊，你是说一起捉迷藏的那个孩子王吗？,branch_content,三月七
210,*三月七：娜塔莎医生说，虎克虽然吵吵闹闹的，但一直在照顾那些无家可归的小孩子，说不定是个心思细腻的小大人呢。,content,三月七
211,*三月七：…不过这熊孩子的态度还是太嚣张了，说几句话就让我莫名地火大。,content,三月七
212,|选项3=布洛妮娅？,option,开拓者
213,|剧情3=*三月七：军官大小姐吗？看着人不错的样子，长得也好看。,branch_content,三月七
214,*三月七：刚见面时觉得挺嚣张，现在一副心事重重的样子，咱也不好问。,content,三月七
215,*三月七：不过，她现在不打算逮捕我们了，这就挺好的呀。,content,三月七
216,|选项4=希儿？,option,开拓者
217,|剧情4=*三月七：这姑娘性子直，能处。你听见她痛骂银鬃铁卫了吗？哈哈，真解气，我觉得跟她能聊得来。,branch_content,三月七
218,*三月七：要是能得到她的帮助，寻找星核也会方便不少吧。,content,三月七
219,|图标1=对话,default,
220,|图标2=对话,default,
221,|图标3=对话,default,
