line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=如果在冬夜，一群旅人,default,
3,|任务地区=雅利洛-Ⅵ,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=你们平安着陆雅利洛-Ⅵ，却发现此处只有冷冽的霜风和无垠的雪原向各位表示欢迎。<br>,default,
7,毫无头绪的你回想起姬子的话：成功的开拓需要「探索」、「了解」、「建立」和「连结」…现在大概是正处于「探索」的阶段吧——<br>,content,毫无头绪的你回想起姬子的话
8,无论如何，现在恐怕只剩下在风雪中前进，或者等星核自己找上门这两种选择了。,default,
9,|奖励={{图标|里程|600}}{{图标|星琼|80}}{{图标|冒险记录|3}}{{图标|凝缩以太|1}},default,
10,|任务条件=完成[[激「冻」人心的大冒险]],default,
11,|开放等级=0,default,
12,|出场人物=丹恒、三月七、桑博、杰帕德,default,
13,|相关成就=通往群星的轨道#永冬城之夜,default,
14,|系列任务=于枯索的冬夜里,default,
15,|任务编号=02,default,
16,|前置任务=*[[激「冻」人心的大冒险]],default,
17,|后续任务=*[[永冬城之夜]],default,
18,|任务流程=*在雪原中寻找文明的迹象,default,
19,*跟随桑博的指引，向贝洛伯格前进,default,
20,}},default,
21,==剧情内容==,default,
22,=== 在雪原中寻找文明的迹象 ===,default,
23,{{任务描述|你们平安着陆雅利洛-Ⅵ，却发现此处只有冷冽的霜风和无垠的雪原向各位表示欢迎。<br>,default,
24,毫无头绪的你回想起姬子的话：成功的开拓需要「探索」、「了解」、「建立」和「连结」…现在大概是正处于「探索」的阶段吧——<br>,content,毫无头绪的你回想起姬子的话
25,无论如何，现在恐怕只剩下在风雪中前进，或者等星核自己找上门这两种选择了。}},default,
26,*丹恒：这里还没有被侵蚀，但裂界滋生的怪物已经跑出来了。,content,丹恒
27,*丹恒：这世界里「星核」的影响恐怕非同寻常。,content,丹恒
28,{{折叠|折叠=是|标题=调查建筑|内容=,default,
29,*丹恒：建筑已经被积雪掩埋了。,content,丹恒
30,*三月七：呜哇，这、这是房顶？这得要下多久的雪，才能积到这个厚度啊？,content,三月七
31,*丹恒：…很久很久。}},content,丹恒
32,:{{颜色|描述|三月七似乎看见了什么…}},default,
33,*三月七：哎，你们看见了吗？好像有什么东西在动……,content,三月七
34,*丹恒：…只是个寻常的雪堆，确定不是你的幻觉吗？,content,丹恒
35,*三月七：绝对不是，咱视力可好了！走，咱们靠近点儿看看。,content,三月七
36,:{{颜色|描述|调查雪堆}},default,
37,*三月七：…喂，别躲啦，你冻得都打颤了。,content,三月七
38,*三月七：你忍着不出声也没用啊……,content,三月七
39,*丹恒：让一下，三月。,content,丹恒
40,*丹恒：对付掩耳盗铃的人，最好的办法——,content,丹恒
41,*丹恒：——就是把铃铛砸在他头上。,content,丹恒
42,*躲在雪里的男人：哎哟！,content,躲在雪里的男人
43,*躲在雪里的男人：我说哥们儿，不至于吧？钻雪里没啥大过错，不用拿枪尖子捅我吧？,content,躲在雪里的男人
44,*躲在雪里的男人：呃，但是，这怪不得各位英雄！哈哈，是我出现得太突兀了，挨这一戳值得，应当，必须！要不怎么能认识各位好朋友呢？哈哈……,content,躲在雪里的男人
45,*躲在雪里的男人：…请问杰帕德长官来了嘛？我跟他挺熟的……,content,躲在雪里的男人
46,*三月七：谁？,content,三月七
47,*躲在雪里的男人：噢，你们不是银鬃铁卫？早说呀，自家人打自家人，这不是多此一举嘛！,content,躲在雪里的男人
48,*躲在雪里的男人：桑博•科斯基，幸会。,content,躲在雪里的男人
49,*开拓者：我是开拓者。,content,开拓者
50,*桑博：行，行，我记住了。说实话，没想到在这冰天雪地里能遇见同行。最近买卖不好干，不过你们放心，我桑博从不吃独食，外边这宝藏大得很，有财大家一起赚嘛，哈哈哈。,content,桑博
51,*桑博：要不一起搭个伙呗？我有可靠消息：银鬃铁卫的主力都被调去前线了，这可是千载难逢的好机会……,content,桑博
52,{{剧情选项,default,
53,|选项1=什么买卖？,option,开拓者
54,|选项2=银鬃铁卫？,option,开拓者
55,|选项3=调去前线了？}},option,开拓者
56,*桑博：…这就有点过了各位，不信任我没关系，但也不用装傻到这个地步嘛。,content,桑博
57,*桑博：得，规矩我懂，大家都是干这行的，有点戒心，能理解！怪我桑博天性热情，太真诚……,content,桑博
58,*桑博：相逢一场总归是缘分，各位有什么想了解的尽管问我，知无不言言无不尽！不过长话短说，银鬃铁卫随时可能出现……,content,桑博
59,{{剧情选项,default,
60,|选项1=聚居地在哪里？,option,开拓者
