line_number,content,category,character
1,{{#css:.char-painting {top:25%!important;} }}{{角色图鉴,default,
2,|名称=姬子,default,
3,|外文名=Himeko,default,
4,|称号=群星的探险家,default,
5,|全名=,default,
6,|性别=女,default,
7,|稀有度=5星,default,
8,|限定=否,default,
9,|阵营=星穹列车,default,
10,|命途=智识,default,
11,|命途材料=智识1,default,
12,|元素属性=火,default,
13,|介绍=星穹列车的修复者。<br>为了见证广阔的星空，选择与星穹列车同行。<br>爱好是制作手调咖啡。,default,
14,|TAG=能量、追加攻击、火易伤、自身伤害提升、暴击率、持续伤害、特殊领域、群攻,default,
15,|星魂TAG=,default,
16,|角色定位=姬子是一名智识命途的火属性角色，其战技和终结技可以对多个敌方目标造成伤害。当有敌方目标的弱点被击破时，姬子将获得充能。当充能达到上限后，将发动天赋「乘胜追击」，额外进行一次攻击对敌方全体目标造成伤害。,default,
17,|实装日期=2023年04月26日,default,
18,|实装版本=1.0,default,
19,|昵称/外号={{黑幕|狗粮大队长}}、{{黑幕|姬子老师}}、{{黑幕|姬子阿姐}}、{{黑幕|养母}},default,
20,|派系=无名客、星穹列车,default,
21,|体型=成女,default,
22,|种族=人类,default,
23,|职业=星穹列车的领航员,default,
24,|所在位置=星穹列车-观景车厢<!-- 地图名称 -->,default,
25,|中文CV=林簌,default,
26,|日文CV=田中理恵,default,
27,|韩文CV=김보나,default,
28,|英文CV=Cia Court,default,
29,|卷首语=「好啦，打起精神来，这就是我们要开拓的新世界！」,default,
30,|短信签名=可以不喝水，但不能没咖啡,default,
31,|角色详细=充满冒险精神的科学家，少女时代在故乡遭遇了搁浅的星穹列车。<br>彼时，列车内的某种存在向她展示了身处的星球之外，名为「宇宙」的世界。<br>若干年后，当姬子终于修复列车驶入群星时，她意识到这只是个开始。在「开拓」新世界的道路上，需要更多的同伴——<br>即使同行的人们面朝不同的方向，他们仍处于同一片星空下。,default,
32,|角色故事1=少女迷路了。<br><br>,default,
33,她不知自己是自何时起迷失了方向。她只是走，在黑夜中不停地走，追赶着太阳和月亮，一遍又一遍，直到倒下。<br><br>,default,
34,她想起初入大学时的模样，想起自己选择的专业——星际航行动力学，而现在，她正躺在泥泞的道路上。<br><br>,default,
35,她抬头看向星空，此时她望见流星，一条，两条，三..然后是许多细小的，绚烂的，明明灭灭的光芒，最后，壮丽的烈光撕裂了黑夜。<br><br>,default,
36,她的四肢拖着身体前进，领她来到陆地的尽头，海洋的起点，-道海岸线，潮水推搡着她，就像潮水对待搁浅的列车那样，孤零零的，像是迷路了。<br><br>,default,
37,她走进它，见舷窗外的风景开始变换。列车向她展示了无数瑰丽陆离的世界。它们很远，在故乡之外，他们很近，乘着列车便能到达。<br><br>,default,
38,她尝试着修复列车，它短暂地启动，但足以带她掠过故乡的上空。她一眼就看到了回家的路，从高空看来，回程近在咫尺，连故乡的海都如此微不足道。<br><br>,default,
39,它问她是否愿意同行。她好奇那是一段怎样的旅程。<br><br>,default,
40,''「那是行至起点的旅程。」''<br>,default,
41,''「走吧。」''少女不假思索地说，''「就像你带我回家那样，我会带你回家。」'',default,
42,|角色故事2=姬子有一个手提箱。<br><br>,default,
43,手提箱是她的宝库。以前，其中装满了维修列车的各种工具，她靠着它们将列车修葺一新；现在，其中多了一把单分子锯、一颗逃逸的卫星，还有数不胜数的其他机巧——它们是她奇想的具现，是她步履不歇的证明。<br><br>,default,
44,没有哪位旅伴比她的旅行箱更忠实。列车上的旅客来来去去，就连那位「列车长」或许也不能从始至终陪伴她与列车。<br><br>,default,
45,但她不在意。就像她不在意那个装腔作势的金发男人不告而别，就像她不在意那过于遥远的故乡和故人。<br><br>,default,
46,她明白这趟旅程是孤独的。就算她能在旅行中结识志同道合的旅伴，就算她受尽旅伴慷慨恩惠，就算她能与旅伴一同见证某段旅途的终点——那也不过是她足够侥幸罢了。<br><br>,default,
47,她明白这趟旅程是孤独的。任何人都无法踏足与他人完全相同的行迹。任何人都无法代他人体验沿途所见的风景。她能够依靠的只有自己的双眼与双脚。<br><br>,default,
48,然后，她会将那双眼见证的一切光景，还有那双脚履行的一切足迹，全部装进自己的手提箱中。,default,
49,|角色故事3=姬子的记性非常好。<br><br>,default,
50,旅途越来越长，同伴越来越多，她仍能记住许多。<br><br>,default,
51,她记得自己与帕姆有一搭没一搭地聊天，记得列车最初的两位客人是瓦尔特和他的金发同伴。她记得寡言的丹恒如何一枪击退吞食星辰的巨兽。她记得开朗的三月七如何从陨冰中苏醒，记得自己为三月七设计的每一套装扮，记得女孩的最爱。她记得列车组如何抵达空间站「黑塔」，如何与开拓者相会，如何再次踏上全新的旅程。<br><br>,default,
52,她记得列车每一个零部件的规格参数，记得它们是如何插接匹配。她记得何时为列车的轴承上油，记得何时为列车上的每一株绿植浇水。她记得帕姆有决不能触及的底线，记得瓦尔特也有十分年轻的爱好。她记得丹恒总是通宵整理智库，记得三月七爱睡懒觉。她记得列车组每个人的性格，习惯，爱好，生日以及其他纪念日，还有更多。<br><br>,default,
53,如果大家能在列车上找到自己的终点，对于姬子来说则是最欣慰不过。<br><br>,default,
54,''「旅程总有结束的时候，到时候，我一定会微笑着和大家告别吧。」''<br><br>,default,
55,她总是这么说，但她一定会记得。<br><br>,default,
56,正是记忆汇成她来时的路，终又必复归于起点的海。,default,
57,|角色故事4=''「真是漫长的旅途。」''她说。<br><br>,default,
58,''「我一直在等待，太久太久了。」''████ 看向她：''「领你走上这条路的不是厄运，而是探索欲和好奇心。」''<br><br>,content,看向她
59,''「当然，」''她笑，''「可我所经历远不及你。」''<br><br>,default,
60,''「不，我从未经历过你所经历的一切。」''████ 摇头：''「有多少双脚就有多少条旅路。」''<br><br>,content,摇头
61,''「此刻，纵使我们已站在同一处，所见所思也不尽相同。」''<br><br>,default,
62,他们不说话，抬头看向星空，此时他们望见流星，一条，两条，三条…然后是许多细小的，绚烂的，明明灭灭的光芒，最后，壮丽的烈光撕裂了黑夜。<br><br>,default,
63,沉静的声音使空气再度流动：''「你看见了什么？」''<br><br>,content,沉静的声音使空气再度流动
64,''「星星结束了它们的旅途。」''她答。<br><br>,default,
65,████ 笑：''「可我看到它们的旅途正刚刚开始。」''<br><br>,content,笑
66,他们不再说话。<br><br>,default,
67,''「我们该回去了。他们还再等着我。」''<br><br>,default,
68,████ 沉默。然后问道：''「迄今为止的旅行，令你感到幸福吗？」''<br><br>,content,然后问道
69,她提起手提箱，向着列车的方向走去，没有回头。<br><br>,default,
70,''「一如既往。」'',default,
71,|晋阶属性材料=恒温晶壳,default,
72,|晋阶系列材料=原核,default,
73,|速度=96,default,
74,|能量上限=120,default,
75,|生命值=142,default,
76,|20生命值=277,default,
77,|20+生命值=335,default,
78,|30生命值=406,default,
79,|30+生命值=463,default,
80,|40生命值=534,default,
81,|40+生命值=591,default,
82,|50生命值=662,default,
83,|50+生命值=719,default,
84,|60生命值=791,default,
85,|60+生命值=848,default,
86,|70生命值=919,default,
87,|70+生命值=976,default,
88,|80生命值=1047,default,
89,|攻击力=102,default,
90,|20攻击力=200,default,
91,|20+攻击力=241,default,
92,|30攻击力=293,default,
93,|30+攻击力=334,default,
94,|40攻击力=386,default,
95,|40+攻击力=427,default,
96,|50攻击力=478,default,
97,|50+攻击力=519,default,
98,|60攻击力=571,default,
99,|60+攻击力=612,default,
100,|70攻击力=664,default,
101,|70+攻击力=705,default,
102,|80攻击力=756,default,
103,|防御力=59,default,
104,|20防御力=115,default,
105,|20+防御力=139,default,
106,|30防御力=169,default,
107,|30+防御力=193,default,
108,|40防御力=222,default,
109,|40+防御力=246,default,
110,|50防御力=276,default,
111,|50+防御力=299,default,
112,|60防御力=329,default,
113,|60+防御力=353,default,
114,|70防御力=383,default,
115,|70+防御力=406,default,
116,|80防御力=436,default,
117,|星魂1=童年,default,
118,|星魂1描述=【乘胜追击】触发后，姬子的速度提高20%，持续2回合。,default,
119,|星魂2=邂逅,default,
120,|星魂2描述=对当前生命值百分比小于等于50%的敌方目标造成的伤害提高15%。,default,
121,|星魂3=自我,default,
122,|星魂3描述=战技等级+2，最多不超过15级；普攻等级+1，最多不超过10级。,default,
123,|星魂4=投入,default,
124,|星魂4描述=释放战技对敌方目标造成弱点击破时，姬子额外获得1点充能。,default,
125,|星魂5=梦想,default,
126,|星魂5描述=终结技等级+2，最多不超过15级；天赋等级+2，最多不超过15级。,default,
127,|星魂6=开拓！,default,
128,|星魂6描述=终结技额外造成2次伤害，对随机敌方单体各造成等同于原伤害40%的火属性伤害。,default,
129,|周本材料=毁灭者的末路,default,
130,}},default,
131,==行迹==,default,
132,{{角色/行迹,default,
133,|命途=智识,default,
134,|命途材料=智识1,default,
135,|普攻=武装调律,default,
136,|战技=熔核爆裂,default,
137,|终结技=天坠之火,default,
138,|天赋=乘胜追击,default,
139,|秘技=不完全燃烧,default,
140,|普攻TAG=单攻,default,
141,|普攻描述=对指定敌方单体造成少量{{颜色|火|火属性伤害}}。,default,
142,|战技TAG=扩散,default,
143,|战技描述=对指定敌方单体造成{{颜色|火|火属性伤害}}，同时对其相邻目标造成少量{{颜色|火|火属性伤害}}。,default,
144,|战技效果加成=额外能力2、星魂4,default,
145,|战技属性数=2,default,
146,|战技属性1=单体伤害,default,
147,|战技属性1LV1=100%攻击力,default,
148,|战技属性1LV2=110%攻击力,default,
149,|战技属性1LV3=120%攻击力,default,
150,|战技属性1LV4=130%攻击力,default,
151,|战技属性1LV5=140%攻击力,default,
152,|战技属性1LV6=150%攻击力,default,
153,|战技属性1LV7=162%攻击力,default,
154,|战技属性1LV8=175%攻击力,default,
155,|战技属性1LV9=187%攻击力,default,
156,|战技属性1LV10=200%攻击力,default,
157,|战技属性1LV11=210%攻击力,default,
158,|战技属性1LV12=220%攻击力,default,
159,|战技属性1LV13=230%攻击力,default,
160,|战技属性1LV14=240%攻击力,default,
161,|战技属性1LV15=250%攻击力,default,
162,|战技属性2=扩散伤害,default,
163,|战技属性2LV1=40%攻击力,default,
164,|战技属性2LV2=44%攻击力,default,
165,|战技属性2LV3=48%攻击力,default,
166,|战技属性2LV4=52%攻击力,default,
167,|战技属性2LV5=56%攻击力,default,
168,|战技属性2LV6=60%攻击力,default,
169,|战技属性2LV7=65%攻击力,default,
170,|战技属性2LV8=70%攻击力,default,
171,|战技属性2LV9=75%攻击力,default,
172,|战技属性2LV10=80%攻击力,default,
173,|战技属性2LV11=84%攻击力,default,
174,|战技属性2LV12=88%攻击力,default,
175,|战技属性2LV13=92%攻击力,default,
