line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方贺图==,default,
3,===节日贺图===,default,
4,{{切换板|开始}},default,
5,{{切换板|默认显示|2023元旦}},default,
6,{{切换板|默认折叠|2023春节}},default,
7,{{切换板|默认折叠|2023教师节}},default,
8,{{切换板|默认折叠|2023圣诞节}},default,
9,{{切换板|显示内容}}{{#section-h:角色贺图/节日贺图|2023元旦}},default,
10,{{切换板|内容结束}},default,
11,{{切换板|折叠内容}},default,
12,【今日「除夕」宜干饭】<br>,default,
13,帕姆刚把火锅食材准备好，就发现几个「新面孔」……啊喂，你们热情好客的同时也体谅一下本列车长帕！<br>,default,
14,哎算啦算啦，来都来了，先配合三月七拍个大合照吧，开拓者你也一起哇！<br>,default,
15,三——二——一——茄子！<br>,default,
16,[[文件:2023春节1.png|500px]]<br>,default,
17,{{切换板|内容结束}},default,
18,{{切换板|折叠内容}}{{#section-h:角色贺图/节日贺图|2023教师节}},default,
19,{{切换板|内容结束}},default,
20,{{切换板|折叠内容}}{{#section-h:角色贺图/节日贺图|2023圣诞节}},default,
21,{{切换板|内容结束}},default,
22,{{切换板|结束}},default,
23,=== 星旅小记 ===,default,
24,{{切换板|开始}},default,
25,{{切换板|默认显示|冬日特调}},default,
26,{{切换板|显示内容}},default,
27,●姬子的场合「开拓者~要来尝尝我新调制的新品吗？热的冰美式~」<br>,default,
28,[[File:冬日特调•姬子.png|500px]],default,
29,{{切换板|内容结束}},default,
30,{{切换板|结束}},default,
31,=== 其他贺图 ===,default,
32,{{切换板|开始}},default,
33,{{切换板|默认显示|开服倒计时}},default,
34,{{切换板|默认折叠|开服登顶贺图}},default,
35,{{切换板|显示内容}}{{#section-h:角色贺图/其他贺图|「倒计时3天」}},default,
36,{{切换板|内容结束}},default,
37,{{切换板|折叠内容}}[[文件:启程庆典.jpg|500px]],default,
38,{{切换板|内容结束}},default,
39,{{切换板|结束}},default,
40,,default,
41,==角色相关视频==,default,
42,{{角色/视频|姬子}},default,
