line_number,content,category,character
1,{{角色语音表头|姬子|未完善=是}},default,
2,{{切换板|开始}},default,
3,{{切换板|默认显示|互动语音}},default,
4,{{切换板|默认折叠|战斗语音}},default,
5,{{切换板|显示内容}}{{角色语音,default,
6,|语音类型=初次见面,default,
7,|语音文件=姬子-初次见面,default,
8,|语音内容=欢迎上车，开拓者，我是星穹列车的领航员，姬子。相信我们将会共度一段有趣的旅程。,default,
9,|语音内容日语=ようこそ列車へ、開拓者。私は星穹列車のナビゲーター、姫子よ。これから一緒に旅を楽しみましょう。,default,
10,"|语音内容英语=Welcome aboard, Trailblazer. I'm Himeko, navigator of the Astral Express. I'm sure we're about to embark on a fascinating journey together.",default,
11,"|语音内容韩语=열차 탑승을 환영해, 개척자. 난 은하열차의 항법사 히메코야. 우린 흥미로운 여정을 함께할 수 있을 것 같아",default,
12,}},default,
13,{{角色语音,default,
14,|语音类型=问候,default,
15,|语音文件=姬子-问候,default,
16,|语音内容=怎么啦，要来一杯咖啡提神么？,default,
17,|语音内容日语=どうしたの、眠気覚ましにコーヒーでも飲む？,default,
18,|语音内容英语=Hey there. Tired? How about a coffee?,default,
19,|语音内容韩语=왜? 정신이 번쩍 드는 커피 한 잔 할래?,default,
20,}},default,
21,{{角色语音,default,
22,|语音类型=道别,default,
23,|语音文件=姬子-道别,default,
24,|语音内容=放心休息吧，有我和帕姆在，不必担心列车。,default,
25,|语音内容日语=安心して休みなさい。私とパムがいるから、列車の心配はしなくても大丈夫よ。,default,
26,"|语音内容英语=Relax, Pom-Pom and I are here to take care of the train.",default,
27,|语音内容韩语=걱정 말고 쉬어~ 나랑 폼폼이 있으니까 열차는 걱정하지 말고,default,
28,}},default,
29,{{角色语音,default,
30,|语音类型=关于自己•和列车的关系,default,
31,|语音文件=姬子-关于自己·和列车的关系,default,
32,|语音内容=我和列车，就像是互相帮助的老朋友，我修好了它，让它得以重回过去的航路，而这一切对我来说，都是崭新的未知。,default,
33,|语音内容日语=私と列車は、お互いを支え合う親友のような関係なの。私が修理したことで、列車は再び元の航路を進めるようになった。そして、これら全ては私にとって、新鮮で知らないことばかりだったわ。,default,
34,"|语音内容英语=The Express and I are like old friends — we've helped each other a lot. I fixed it so that it could get back to its original route, and in return it takes me to unknown frontiers.",default,
35,"|语音内容韩语=나와 열차는 서로 돕는 오랜 친구와도 같아. 난 과거의 항로로 돌아갈 수 있도록 열차를 수리했고, 이 모든 건 나한테 새로운 미지의 영역이지",default,
36,}},default,
37,{{角色语音,default,
38,|语音类型=关于自己•维修列车,default,
39,|语音文件=姬子-关于自己·维修列车,default,
40,|语音内容=一般来说，在你们发现列车的故障之前，我就已经把故障排除了。,default,
41,|语音内容日语=あんたたちが列車の故障箇所を見つける前に、私が既に修理していることのほうが多いのよ。,default,
42,"|语音内容英语=As far as malfunctions on the train are concerned, I've usually dealt with them before you guys even realize anything's amiss.",default,
43,|语音内容韩语=일반적으론 너희가 열차의 고장을 발견하기 전에 해결하는 편이야,default,
44,}},default,
45,{{角色语音,default,
46,|语音类型=闲谈•旅途的终点,default,
47,|语音文件=姬子-闲谈·旅途的终点,default,
48,|语音内容=只是我的推测，列车本应从阿基维利的故乡出发，最终也回到那儿，开始下一段旅程。所以列车并没有终点，旅程所谓的「终点」，只有你能决定。,default,
