line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[file:姬子官方介绍图.jpg|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,{{角色介绍,default,
7,|职业背景=b69369,default,
8,|职业颜色=fff,default,
9,|职业=星穹列车的领航员,default,
10,|介绍=欢迎登上星穹列车。我是列车的领航员，姬子。<br>相信我们将会共度一段有趣的旅程——有什么想问的吗？<br>我来替你泡杯咖啡吧，接下来，有的是时间。,default,
11,|表格背景=fbece5,default,
12,|表格边框=e1b188,default,
13,|标题颜色=7e3232,default,
14,|标题1=关于你的过去…,default,
15,|内容颜色=9e7455,default,
16,|内容1=遇到星穹列车之前，我还只是个普通的大学生罢了。<br>虽然就读于星际航行动力学系，但书本里的知识仍旧太过古板，无法付诸实践。<br>我一直都想见证更大、更广阔的世界，但彼时的我毫无头绪——直到偶然遇见了列车，我的人生从此发生了天翻地覆的变化。,default,
17,|备注1=瓦尔特的备注<br><small>一切的故事都从她遇见星穹列车开始…从那以后，他们便没有分开过。</small>,default,
18,|标题2=关于姬子小姐的手提箱…,default,
19,|内容2=啊，这里面装着的，主要是用于维修列车的各种工具——一般来说，在你们发现列车的故障之前，我就已经靠着它们把故障排除了。<br>至于其他的嘛，就是我的一些个人用品，还有旅行途中获得的纪念品……,default,
20,|备注2=三月七的备注<br><small>姬子姐姐，永远都是这么贴心、优雅又神秘~</small>,default,
21,|标题3=你登上列车后过去了多久…,default,
22,|内容3=这个问题可把我难倒了…七年、八年？不，都不对。<br>抱歉了，我不像丹恒，从来没有记录行车日志的习惯。但我倒是清楚记得，与列车相遇的那天正巧是我生日……<br>事到如今，我倒是很感激这桩小小的意外和巧合——毕竟，我们的旅路正是由无数个这样离散的变量构成的。,default,
23,|备注3=黑塔的备注<br><small>有点意思——螺丝咕姆一定会很喜欢这个理论。</small>,default,
24,|标题4=旅途中有何见闻可以分享…,default,
25,|内容4=这个嘛…瓦尔特先生是最初踏上列车的客人之一，还有他的金发同伴{{黑幕|虚空万藏}}——那时也是如此，我们一点点地开拓新世界，接触星核，打通道路——后来，那位金发男人不告而别；更晚些的时候，我们又遇到了正在逃亡的丹恒；再后来嘛，就是可爱的小三月了。<br>至于旅途中的困难，不外乎这几种——沟通引发的误会、文化差异造成的敌意、心怀不轨的敌人……<br>未来又会发生些什么？我无法保证，但我想至少一定不能留下遗憾。,default,
26,|备注4=帕姆的备注<br><small>帕姆可以证明，姬子小姐说的都是真的帕！</small>}},default,
27,"<center><gallery mode=""nolines"">",default,
28,姬子官方故事图.jpg|角色故事,default,
29,姬子角色介绍图1.jpg|角色介绍1,default,
30,姬子角色介绍图2.jpg|角色介绍2,default,
31,姬子手机壳.jpg|手机壳,default,
32,姬子壁纸2.png|手机壁纸,default,
33,</gallery></center>,default,
34,</div></div>,default,
35,,default,
36,{{相关光锥|姬子}},default,
37,,default,
