line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==角色介绍==,default,
3,<gallery mode=nolines>,default,
4,娜塔莎手机壳.jpg|手机壳,default,
5,</gallery>,default,
6,,default,
7,{{相关光锥|娜塔莎}},default,
8,,default,
9,{{人物出场|娜塔莎|分栏=是}},default,
10,==相关物品==,default,
11,{{相关物品|娜塔莎}},default,
12,==角色对话==,default,
13,===大世界对话===,default,
14,{{折叠|折叠=是|标题=大世界对话-首次|内容=,default,
15,}},default,
16,,default,
17,{{折叠|折叠=是|标题=大世界对话-日常|内容=,default,
18,'''完成雅利洛-Ⅵ主线''',default,
19,*娜塔莎：又见面了，开拓者。别来无恙？,content,娜塔莎
20,*娜塔莎：托你们的福，这里的人们重新找回了希望。和上层的贸易渠道重新打通以后，很多此前浑浑度日的人也重拾了生活的动力。,content,娜塔莎
21,*娜塔莎：尽管还有很多问题有待解决…但这无疑是个美妙的开端。这些都要归功于你，开拓者。,content,娜塔莎
22,{{剧情选项,default,
23,|选项1=来聊聊吧，娜塔莎。,option,开拓者
24,|图标1=对话,default,
25,|剧情1=*娜塔莎：想和我聊聊？随时欢迎。,branch_content,娜塔莎
26,{{剧情选项,default,
27,|选项1=下层区的大家过得如何？,option,开拓者
28,|图标1=对话,default,
29,|剧情1=*娜塔莎：忙碌，充实。并不是每个人都能一下适应生活中发生的剧变，或许也有人的生意会因为封锁解除受到影响……,branch_content,娜塔莎
30,*娜塔莎：但我没有听到什么抱怨的声音。我想，下层的每个人都知道自由来之不易，值得好好珍惜。,content,娜塔莎
31,*娜塔莎：你为他们…为我们重新点燃了信念。相信「只要付出汗水和努力，生活就一定能会我们报偿」的信念。,content,娜塔莎
32,|选项2=最近病人多吗？,option,开拓者
33,|图标2=对话,default,
34,|剧情2=*娜塔莎：…诊所还是人满为患呢。虽然上层区的医疗设施更完备，人手也更充足……,branch_content,娜塔莎
35,*娜塔莎：但是大部分下层区人都付不起高昂的医疗费用。而且，据我所知…他们也不太信得过上层区的那些医生。,content,娜塔莎
36,*娜塔莎：我和妈妈又聊过几次，她会想办法为下层区居民提供就医支持。不过，对于那些已经习惯了我的治疗方式的患者来说…要做出改变大概很困难吧？,content,娜塔莎
37,*娜塔莎：有人的地方就摆脱不了病痛损伤的陪伴。只要我的手脚还能活动自如，我就会继续履行医生应尽的责任。,content,娜塔莎
38,|选项3=关于你哥哥的事…,option,开拓者
39,|图标3=对话,default,
40,|剧情3=*娜塔莎：啊…关于瓦赫的事，我也想再次向你道谢。,branch_content,娜塔莎
41,*娜塔莎：偶尔会有一种想法在我脑海中浮现——如果给我一个机会回到从前，我是不是有办法阻止哥哥误入歧途……,content,娜塔莎
