line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=宇宙幻觉之夜,default,
4,|任务地区=星穹列车,default,
5,|任务类型=同行任务,default,
6,|角色=银枝,default,
7,|所属版本=1.5,default,
8,|任务描述=星穹列车即将迎来阔别已久的大清洁之日！但是在去往宇宙洗车星的路上，却遭遇了追尾事件…还有奇怪的宇宙来客上车了。,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|里程|600}}{{图标|星琼|100}}{{图标|漫游指南|8}}{{图标|启迪之钥|6}}{{图标|《宇宙殉情时》|1}}{{图标|《奇情异想的绅士》|1}}{{图标|信用点|70000}},default,
11,|任务条件=完成开拓任务「[[静静的星河]]」,default,
12,|开放等级=34,default,
13,|相关活动=,default,
14,|相关成就=与你同行的回忆#百战天虫,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=瓦尔特、姬子、三月七、丹恒、帕姆、银枝,default,
18,|领取地点=,default,
19,|系列任务=宇宙烟花，受勋礼赞,default,
20,|任务编号=01,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=<!-- *[[后续任务]] -->,default,
23,|任务流程=*出发前往「洗车星」,default,
24,*试探神秘来客,default,
25,*安抚纯美骑士的「跟班」,default,
26,*与帕姆交谈,default,
27,*支援三月七,default,
28,*返回观景车厢，查探四处,default,
29,*与姬子讨论线索,default,
30,*使用相机拍摄，寻找可疑线索,default,
31,*寻找更迅速的搜索方式,default,
32,*前往支援陷入幻觉的银枝,default,
33,*返回观景车厢,default,
34,*安抚众人的消极情绪,default,
35,*与姬子、丹恒交谈,default,
36,*与瓦尔特商量对策,default,
37,*与银枝单独交谈,default,
38,*告知瓦尔特,default,
39,*陪维利特阻拦银枝,default,
40,}},default,
41,==剧情内容==,default,
42,===任务接取短信===,default,
43,{{角色对话|模板开始|帕姆|开拓奖励找我！以后会优化}},default,
44,{{角色对话|左|帕姆|文本|啊啊啊啊啊啊|是}},default,
45,{{角色对话|左|帕姆|文本|开拓者，在吗！！！！|是}},default,
46,{{短信选项,option,开拓者
47,|选项1=怎么这么着急？,option,开拓者
48,|剧情1={{角色对话|右|开拓者|文本|发生什么大事了？}},branch_content,
49,|选项2=莫慌,option,开拓者
50,|剧情2={{角色对话|右|开拓者|文本|悠着点，慢慢说？}},branch_content,
51,}},default,
52,{{角色对话|左|帕姆|文本|超级无敌紧急的事|是}},default,
53,{{角色对话|左|帕姆|文本|帕姆都不敢想|是}},default,
54,{{角色对话|左|帕姆|文本|列车时隔很久才会来一次的大扫除之日居然就要到了啊啊啊啊啊啊|是}},default,
55,{{角色对话|右|开拓者|文本|……啊？}},default,
56,{{角色对话|右|开拓者|文本|我懂了}},default,
57,{{角色对话|右|开拓者|文本|你想喊我回去一起做清洁}},default,
58,{{角色对话|右|开拓者|表情|07-04}},default,
59,{{角色对话|左|帕姆|文本|没有|是}},default,
60,{{角色对话|左|帕姆|文本|不过如果开拓者乘客愿意帮忙帕姆也很欢迎！|是}},default,
61,{{角色对话|左|帕姆|文本|我们马上准备前往最近的洗车星|是}},default,
62,{{角色对话|左|帕姆|文本|你什么时候有空回来看看帕|是}},default,
63,{{角色对话|模板结束}},default,
64,,default,
65,=== 出发前往「洗车星」 ===,default,
66,{{任务描述|你收到了帕姆的短信，原来宇宙中存在着这么多洗车星！等准备好了就出发吧！|星穹列车-观景车厢}},default,
67,{{折叠|标题=额外对话（丹恒）|内容=,default,
68,*丹恒：开拓者，你回来了？,content,丹恒
69,{{剧情选项|选项1=听说列车的大扫除要开始了。}},default,
70,*丹恒：是，我也准备加入。,content,丹恒
71,|折叠=是}},default,
72,{{折叠|标题=额外对话（瓦尔特）|内容=,default,
73,*瓦尔特：好久不见，开拓者，最近可好？,content,瓦尔特
74,{{剧情选项|选项1=听说列车的大扫除要开始了。}},default,
75,*瓦尔特：的确。按照以往的时间来看，已经到了不得不开工的日子，因此帕姆才会如此着急。,content,瓦尔特
76,|折叠=是}},default,
77,{{折叠|标题=额外对话（姬子）|内容=,default,
78,*姬子：噢？好久不见，是帕姆喊你回来的？,content,姬子
79,{{剧情选项|选项1=听说列车的大扫除要开始了。}},default,
80,*姬子：星穹列车的确需要定期清理、维护，毕竟这里可是列车组共同的「家」…用心呵护它吧，开拓者。,content,姬子
81,|折叠=是}},default,
82,{{折叠|标题=额外对话（三月七）|内容=,default,
83,*三月七：列车的年度大清洁？我最喜欢整理房间了，一定要趁这次机会好好把各种地方都擦得干干净净的！,content,三月七
84,|折叠=是}},default,
85,*帕姆：呜哇！开拓者乘客！你终于回来了！没想到列车大扫除之日这么快就来了帕……,content,帕姆
86,*帕姆：开拓者乘客不知道吧？哼哼，在这宇宙里啊，存在着不少洗车星，它们就像宇宙中为交通工具提供的休息站，而且彼此距离很近，不用启动跃迁装置就能到达！,content,帕姆
87,{{剧情选项,default,
88,|选项1=需要我帮什么忙吗？,option,开拓者
89,|剧情1=,branch_content,
90,|选项2=有洗车星应该不用我们动手了吧…,option,开拓者
91,|剧情2=*帕姆：帕姆也这么想过…但很可惜不行！,branch_content,帕姆
92,}},default,
93,*帕姆：洗车星只会帮忙清洁列车车厢的外壳帕，星球上的站点工作人员会把外壳擦得锃亮…不过列车里的座垫、房间、窗户，和那些边边角角的地方…还得我们自己来！,content,帕姆
94,*帕姆：开拓者乘客刚在列车落脚，要不要先休息一下，跟大家聊聊天？如果准备得差不多了就可以来找我帕，我们就准备出发咯。,content,帕姆
95,{{剧情选项,default,
96,|选项1=准备好了，我们走吧。,option,开拓者
97,|剧情1=,branch_content,
98,:{{颜色|描述|挑战拓境探游[[启程前往「洗车星」]]}},default,
99,{{提示|蓝色|宽度=100%|一场漫游宇宙的探索之旅！谁知道途中会发生些什么呢……|介绍}},default,
100,|选项2=我想先休息下。,option,开拓者
101,|图标2=退出,default,
102,|剧情2=*帕姆：嗯！等你噢！,branch_content,帕姆
103,:再次对话,default,
104,*帕姆：怎么样啦？开拓者乘客，你准备好我们就开始前往洗车星咯！,content,帕姆
105,{{剧情选项,default,
106,|选项1=准备好了，走吧。,option,开拓者
107,|图标1=任务,default,
