line_number,content,category,character
1,==OP==,default,
2,{{视频|标题=《崩坏：星穹铁道》OP：「星间旅行」|BV号=BV1rh4y1n77f|简介=把星球当作沿途站台，去开拓一个时代。<br>这旅途危机多过意外，但星辰唾手可摘。}},content,崩坏
3,{{B站视频|BV1rh4y1n77f}},default,
4,{{视频|标题=《崩坏：星穹铁道》OP：「不眠之夜」|BV号=BV1me411n7eu|简介=梦境里那个声音笑着说：「带我离开。」<br>但我却亲手杀死了睡眠、忘记了时间。}},content,崩坏
5,{{B站视频|BV1me411n7eu}},default,
6,==剧情PV==,branch_content,
7,{{视频|标题=《崩坏：星穹铁道》开场动画：「一幕短剧」|BV号=BV1dv4y1A7gL|简介=至于「剧本」上没写的，就看临场发挥了。|角色=卡芙卡、艾丝妲、阿兰、丹恒、三月七、银狼}},content,崩坏
8,{{视频|标题=《崩坏：星穹铁道》剧情PV：「梦魇」|BV号=BV1od4y1R7Tf|简介=当过去重新站在了你的面前，你会逃避，还是远离？|角色=丹恒、刃、景元}},branch_content,崩坏
9,{{视频|标题=《崩坏：星穹铁道》剧情PV：「见证者」|BV号=BV1eg411U7yz|简介=银河里有数不清的下一站。我等只是过客，是一段故事的见证者。|角色=卡芙卡、符玄、姬子、瓦尔特、三月七、丹恒、布洛妮娅、杰帕德、希儿、克拉拉、阿兰、娜塔莎、虎克}},branch_content,崩坏
10,{{视频|标题=《崩坏：星穹铁道》美梦预告PV：「了不起的塔塔洛夫」|BV号=BV1VC4y1k7dy|简介=「幸会，异乡的来访者。我名为莎塔娜，想和您谈一个条件……」<br>「您问为什么能听懂我说的话？呃，您不是有那什么『联觉信标』吗？」<br><br>*视频中莎塔娜的声音由特殊联觉信标翻译而成。<br>*更多剧情敬请期待1月26号的2.0版本前瞻特别节目。|角色=桑博、开拓者、姬子、流萤、黄泉、黑天鹅、萨姆、娜塔莎}},branch_content,崩坏
11,==版本PV==,default,
12,{{视频|标题=《崩坏：星穹铁道》始发PV：下一站，银河！|BV号=BV1L341117xS|简介=此行驶向的每颗星辰，均是文明的辉光。|角色=三月七、姬子、丹恒、瓦尔特、佩拉、虎克、艾丝妲、桑博、布洛妮娅、杰帕德、克拉拉、希儿}},content,崩坏
