line_number,content,category,character
1,== 浮光映影 ==,default,
2,{{视频|标题=《崩坏：星穹铁道》浮光映影：「等价交换」|BV号=BV1gv4y1t7pK|简介=在享受完龙女使出一身雷劲的按摩后，<br>狐人少女伸出手，捏了捏她的脸蛋。<br>看着小人儿气鼓鼓地嘟起嘴，她媚然一笑。<br>「等价交换嘛。」|角色=白露、停云|光锥=等价交换}},content,崩坏
3,{{视频|标题=《崩坏：星穹铁道》浮光映影：「春水初生」|BV号=BV11A411U76U|简介=练剑的少年稍事歇息。<br>阳光烘着他微热的脖颈，缓缓入水，<br>没过脚边时，虽是凉的，<br>但铃铛叮铃，飞鸟啁啾，<br>远方的人们知是春天到了。|角色=彦卿|光锥=春水初生}},content,崩坏
4,{{视频|标题=《崩坏：星穹铁道》浮光映影：「于夜色中」|BV号=BV1za4y1P7om|简介=少女露出一丝不易察觉的微笑。<br>「为什么呢？」<br>「此时此刻此地，明明只有我一个人……」<br>「却感觉…很热闹呢。」|角色=希儿|光锥=于夜色中}},content,崩坏
5,{{视频|标题=《崩坏：星穹铁道》浮光映影：「拂晓之前」|BV号=BV1qz4y187rB|简介=「将军，此事请务必慎重…往后历史会怎么评论将军您……」<br>云骑将军双目半阖，听取手下来报。<br>「历史自然会有判断，但我对历史的结论无甚兴趣。」<br>「事成，我此时便是胸有成竹，神闲气定。」<br>「事败，我此时便是逸乐无度，爱雀失众。」<br>一只雀儿跳下他的肩膀，他顺势抬手接住。<br>「我只是做了我的判断罢了。」|角色=景元|光锥=拂晓之前}},content,崩坏
6,{{视频|标题=《崩坏：星穹铁道》浮光映影：「雨一直下」|BV号=BV1vh4y1d733|简介=她走出屋檐下，打着伞哼着歌钻进小巷的角落。<br>不多一会儿，雨声停了。<br>她挠挠头，滑动屏幕，头上的一小片空间内，雨丝再次滑落。<br>听着淅淅沥沥的雨声打落在伞面上，配合游戏的音效，她心情格外的好。<br>「还是下雨天打游戏最痛快。」|角色=银狼|光锥=雨一直下}},content,崩坏
7,{{视频|标题=《崩坏：星穹铁道》浮光映影：「新手任务开始前」|BV号=BV1Ph4y1R7Ln|简介=「还有多久开始行动？」<br>「你居然会问我这个…是新人出什么事了？」<br>「没有。」<br>「虽然艾利欧招揽她是因为别的原因，但她至少得活得过新手任务。」<br>「她很轻松。」<br>「那我放心了。看来阿刃也已经是非常靠谱的前辈了。」<br>「……」|角色=银狼、刃、卡芙卡|光锥=新手任务开始前}},content,崩坏
8,{{视频|标题=《崩坏：星穹铁道》浮光映影：「棺的回响」|BV号=BV1t14y1U76D|简介=白色鸢尾旁，他叩打着棺材。<br>「有时我觉得，和你做这个交易，是我看轻你了。」<br>无人回应，只有棘刺毫不犹豫地穿透他的掌心。<br>但他也笑着，抓住了棘刺。<br>「就是这样，我们都想利用彼此，然而我们都看轻了对方。」|角色=罗刹|光锥=棺的回响}},content,崩坏
9,{{视频|标题=《崩坏：星穹铁道》浮光映影：「此时恰好」|BV号=BV1GF411o78n|简介=街道熙攘，他走着，阳光跟着。<br>他停了脚步，挑了纸伞，乘了阴凉<br>——也遮了那一道目光。|角色=罗刹、景元|光锥=此时恰好}},content,崩坏
10,{{视频|标题=《崩坏：星穹铁道》浮光映影：「过往未来」|BV号=BV1Bz4y1n74v|简介=手中的纸鸢双翼折断，就如那最珍贵之人的陨落。<br>她跪坐在战火里，眼里满是悲伤。<br>「如果只能被你所救，那我们的牺牲…」<br>炮火染红天际，苍穹依然宏伟。<br>她抬头望向天空，眼里满是愤怒。|角色=驭空|光锥=过往未来}},content,崩坏
11,{{视频|标题=《崩坏：星穹铁道》浮光映影：「到不了的彼岸」|BV号=BV1G14y197dm|简介=他每年都会来这里，带来几把新的剑。<br>所有剑的主人，他都见过他们的最后一面。<br>每当他离开，都会不无遗憾地想……<br>自己的剑，何时才会被人带来此处。|角色=刃|光锥=到不了的彼岸}},content,崩坏
12,{{视频|标题=《崩坏：星穹铁道》浮光映影：「只需等待」|BV号=BV1fV411G7Wm|简介=「莫非你还有事没告诉我？」<br>她看到对方僵着脖子，喉咙响起口水的吞咽声。<br>这个人怕她，所以她根本不需要使用能力。<br>事实上，她说什么都无所谓。<br>只要任由话语出口，带来的惧意自由发酵……<br>对方马上就会慌不择路，说出她想听的一切。<br>而她只需等待，就像早已布下网的蜘蛛。|角色=卡芙卡|光锥=只需等待}},content,崩坏
13,{{视频|标题=《崩坏：星穹铁道》浮光映影：「延长记号」|BV号=BV1LN41187XW|简介=唱片转呀转呀，嘶哑的叫喊被热气浸润。<br>她看似毫无防备，沉醉在迷人的旋律中：<br>先由恳求与期待引入，<br>再是激烈真挚的倾诉，<br>跃过一个又一个高潮…<br>直到唱片停转，嘶哑的叫喊也失了声息。<br>「任务结束。」|角色=卡芙卡|光锥=延长记号}},content,崩坏
14,{{视频|标题=《崩坏：星穹铁道》浮光映影：「决心如汗珠般闪耀」|BV号=BV1EV4y1v7zK|简介=拳台灯光闪耀，<br>却闪耀不过从背脊间滑落的汗珠。<br>他早已决心用自己的双拳守护重要的人们。<br>而给予他决心的，也正是他们<br>——不管是台上台下，都站在他的背后。|角色=卢卡|光锥=决心如汗珠般闪耀}},content,崩坏
