line_number,content,category,character
1,==音乐==,default,
2,{{视频|标题=《崩坏：星穹铁道》启程庆典|BV号=BV1Cg4y1L7fC|简介=《崩坏：星穹铁道》启程庆典由米哈游miHoYo & HOYO-MiX出品。<br><br>银河广袤寂静，也孕育了无数美好。此刻，如果您仰望星空，看见那深邃黑暗中若隐若现的点点微芒，便会知晓，那高远无穷的璀璨正是我们共同的期冀。<br>愿此行，终抵群星。<br><br>观看提醒：本视频可能会引发光敏性癫痫患者的不适反应，建议观众谨慎观看。}},content,崩坏
3,{{视频|标题=《崩坏：星穹铁道》遥远星球之歌VOL.1：雅利洛-Ⅵ|BV号=BV1sz4y1h7iM|简介=雅利洛-Ⅵ，被冰霜包围近千年的白色星球。在「存护」星神的护佑下，人类建立了抵御严寒的最后堡垒贝洛伯格。此处虽受风雪侵凌，却依旧温暖。<br><br>《崩坏：星穹铁道》「雅利洛-Ⅵ」音乐由HOYO-MiX团队制作。让我们与HOYO-MiX一起走近这座「存护之城」以及她幕后的音乐创作故事。}},content,崩坏
4,{{视频|标题=《崩坏：星穹铁道》遥远星球之歌VOL.2：仙舟的音乐戏法|BV号=BV1Rp4y1V7Jq|简介=仙舟「罗浮」是仙舟联盟的六大座舰之一，它漂航于无尽的星海中，如无回的神矢射向「巡猎」之主的宿敌。<br>《崩坏：星穹铁道》仙舟「罗浮」音乐由HOYO-MiX团队制作。让我们与HOYO-MiX一起走近幕后的音乐创作故事。}},content,崩坏
5,{{视频|标题=《崩坏：星穹铁道》「不眠之夜」舞蹈MV|BV号=BV1Se411Y7ZE|简介=新的旅程即将开启，「盛会之星」匹诺康尼——在金色的美梦中享受假日吧！}},content,崩坏
6,{{视频|标题=知更鸟全新专辑《空气蛹》预告|BV号=BV1zt421A73a|简介=银河大明星——知更鸟小姐的新专辑《空气蛹》将于5月9日发布，一起来期待她的新作品吧！|角色=知更鸟、希露瓦、星期日、桂乃芬、钟表小子、哈努兄弟}},default,
7,{{视频|标题=《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版|BV号=BV1ZH4y1V7AE|简介=浩瀚宇宙以群星谱写璀璨之歌，让我们静心聆听这回荡于银河的动人之声吧～}},content,崩坏
8,{{视频|标题=《崩坏：星穹铁道》遥远星球之歌VOL.3：我在匹诺康尼听音乐|BV号=BV1Yw4m197jA|简介=梦想之地「匹诺康尼」，一座悬于银河的星际酒店。住客们游走于梦境与现实，享受纸醉金迷的奢华生活。<br>《崩坏：星穹铁道》「匹诺康尼」音乐由HOYO-MiX团队制作。让我们与HOYO-MiX一起走近这个梦想之地以及她幕后的音乐创作故事。}},content,崩坏
9,==虚一直构==,default,
10,{{视频|标题=虚一直构  花导故事会|BV号=BV12i421Z7oq|简介=「哟！你就是这账号的运营？天哪！你不会每天都在烦恼发什么吧？不会吧不会吧~」<br>「去求求神奇的花火导演呗~据说她的故事会能讲上整整一千零二夜，喜欢什么样的？只要有乐子，全都可以编~」|角色=花火、杰帕德、布洛妮娅、开拓者、希儿、克拉拉、丹恒•饮月、玲可、桑博、托帕&账账、卡芙卡、希露瓦、桂乃芬、银枝、景元、白露、驭空、素裳、镜流、符玄}},default,
11,{{视频|标题=虚一直构  《与砂金总监的一日约会》|BV号=BV1sJ4m1p7P3|简介=「IPC战略投资部发布物料监修确认-视频-V12.2」视频审核内容汇总的S201区域 <br>【素材名称】《与砂金总监的一日约会》拍摄脚本（初稿）<br>【外发时间】4月15日<br>【素材定级】A+<br>@砂金(Aventurine) 辛苦总监确认~|角色=砂金}},default,
12,{{视频|标题=虚一直构  开拓绩效回顾|BV号=BV11w4m127C7|简介=主持：帕姆（CV：蒋丽）、丹恒（CV：李春胤）<br>本节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关。<br>本节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关。<br>本节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关。|角色=帕姆、丹恒、佩佩、卡芙卡、三月七、桑博、瓦尔特、布洛妮娅、希儿、虎克、娜塔莎、青雀、彦卿、符玄、白露、幻胧、可可利亚、艾丝妲、托帕&账账、桂乃芬、藿藿、素裳、黑塔、阮•梅、姬子}},content,主持
13,{{视频|标题=虚一直构 《仲夏萤火之约》|BV号=BV1WT421a7kb|简介=《仲夏萤火之约 V1.2》（曾用名：印象匹诺康尼）是一款私人订制的、基于爱德华医生梦境技术开发的沉浸式梦泡。在梦泡中，您将与您的同伴共同探索，重温美好记忆，一同找寻终点。|角色=流萤}},content,曾用名
14,{{视频|标题=虚一直构 《难不倒的椒师傅》|BV号=BV124421f7pg|简介=身边事，大小事，有事就找椒师傅。欢迎收听本期《难不倒的椒师傅》。|角色=椒丘}},default,
15,,default,
16,==列车环游记==,default,
17,{{视频|标题=《崩坏：星穹铁道》列车环游记 • 黟县站|BV号=BV1Qh411L7ES|简介=粉墙黛瓦，烟霞百里。<br>《崩坏：星穹铁道》携手世界文化遗产安徽西递、宏村景区，邀请开拓者共同感受徽派建筑文化之美。}},content,崩坏
18,{{视频|标题=列车环游记  列车限时停靠——萤火虫动漫嘉年华|BV号=BV1Mm4y1y7m3|简介=帕姆收到了一份来自三月七乘客回传的影像，一起来看看展会的精彩时刻帕。}},default,
19,{{视频|标题=「来，上车！」星穹列车环球巡礼庆典|BV号=BV1LM4y1q7qU|简介=跟随着开拓者的足迹，列车行遍了全球，在世界各地知名地标间不断跃迁，共度了一段精彩的地球冒险之旅。旅途上的各个精彩瞬间已记录在列车智库中，通往群星的轨道已然开启，一起上车吧！<br>愿此行，终抵群星。}},default,
20,{{视频|标题=帕姆的西递加班游记，来和帕姆贴贴帕~|BV号=BV1zM4y1i7Bw|简介=勤劳帕姆，在线加班}},default,
21,{{视频|标题=列车环游记  列车限时停靠——BilibiliWorld 2023|BV号=BV1mh4y1V72x|简介=感谢开拓者的到来，一起来看看展会中的美妙时刻帕！}},default,
22,{{视频|标题=列车环游记  列车限时停靠——ChinaJoy 2023|BV号=BV14V411578m|简介=《崩坏：星穹铁道》ChinaJoy 2023展会顺利结束，期待与开拓者再次相见！}},content,崩坏
23,{{视频|标题=丹恒•饮月八城大屏，跨越次元现世相遇|BV号=BV1JF41167bk|简介=感谢开拓者的打卡，期待下一次现世相遇。|角色=丹恒•饮月}},default,
24,{{视频|标题=列车环游记  青雀「打工」实录|BV号=BV1p8411C7YH|简介=「今日宜：出游！」<br><br>听说青雀卜者今天又不在工位，开拓者和列车长一起去找找她帕！}},content,今日宜
25,{{视频|标题=列车环游记  成都春熙路三月七裸眼3D大屏回顾|BV号=BV1rH4y1Z728|简介=三月七闪现成都春熙路盈嘉大屏，不知道大屏的小彩蛋有没有让开拓者小惊喜呢~一起来看看活动现场的视频帕！<br><br>虽然彩蛋时间已经结束，但三月七乘客依旧会在这里等待开拓者的到来，10月6日前，欢迎开拓者前往春熙路与她合影留念。开拓者打卡时请注意安全，有序参观帕~|角色=三月七}},default,
26,{{视频|标题=列车环游记  成都站光影记录|BV号=BV1YC4y1L7w3|简介=列车长成都直拍大放送，快来和列车长贴贴帕！}},default,
27,{{视频|标题=列车环游记  「向一朵玫瑰起誓」活动现场回顾|BV号=BV15j411p72P|简介=「纯美」玫瑰限定花艺装置闪现上海、广州、杭州、厦门四地，开拓者是否邂逅了属于自己的那份「纯美」？}},default,
28,{{视频|标题=列车环游记  苏州博物馆站|BV号=BV1rj411J7mP|简介=什么？列车长前些天也偷偷去苏州博物馆打卡了？<br>快来看看帕姆都体验了什么吧~}},default,
29,{{视频|标题=列车环游记  萤火虫漫展31st站|BV号=BV1ha4y1q7QL|简介=《崩坏：星穹铁道》萤火虫漫展31st顺利结束，期待与开拓者再次相见！}},content,崩坏
30,{{视频|标题=《崩坏：星穹铁道》匹诺康尼降临拉斯维加斯Sphere|BV号=BV12y42187Be|简介=感谢开拓者，让我们共同见证匹诺康尼降临拉斯维加斯的SPHERE，共赴「盛会之星」带来的金色奇遇！}},content,崩坏
31,,default,
32,==星穹研习会==,default,
33,{{视频|标题=《崩坏：星穹铁道》星穹研习会01期——「走出家园」|BV号=BV1as4y127qn|简介=被星空的引力点燃，人类浩荡前行。<br><br>,content,崩坏
34,本期嘉宾：<br>科技影视博主TIM<br>中国科学院理学博士、河南大学物理电子学院教授戴树玺<br>,content,本期嘉宾
35,文字版点这里[[星穹研习会01期——「走出家园」]]}},default,
36,{{视频|标题=《崩坏：星穹铁道》星穹研习会02期——「畅想银河」|BV号=BV1Xo4y1x7t9|简介=宇宙中有无数的星球，无尽的故事，无限的可能。即便仍被重力束缚，人类对未知的畅想永远不会停歇。<br><br>,content,崩坏
37,本期嘉宾：<br>剑桥大学、苏黎世联邦理工学院教授 迪迪尔·奎罗兹<br>,content,本期嘉宾
38,文字版点这里[[星穹研习会02期——「畅想银河」]]}},default,
39,{{视频|标题=《崩坏：星穹铁道》星穹研习会03期——「预测未来」|BV号=BV1sk4y1c7U3|简介=视兆问玄，极数知来。<br>仙舟「罗浮」之上的「太卜司」，以符玄为首的卜者们用近乎玄学的演算方式预测事物未来的可能性。<br>而在现实生活中，人类是否真正能够做到预测未来呢？}},content,崩坏
