line_number,content,category,character
1,==动画短片==,default,
2,{{视频|标题=《崩坏：星穹铁道》动画短片：「飞光」|BV号=BV16g4y157Zc|简介=星历7380年，前代罗浮剑首「镜流」身堕魔阴，云骑聚星槎海战之，不知其所踪。——《仙舟通鉴•云骑战事纪要》<br>星历8096年，神策府演武考校，士卒彦卿得魁，擢拔骁卫。——《神策府通录》<br><br>「飞光飞光，劝尔一杯酒。」<br>飞光，是师徒间交错的剑锋，是天地间汹涌的时间。<br>究竟过去多久了呢？<br>与师父的交锋，已是七百多年前的往事了，却像在昨天。<br>遇到眼前的孩子，收他做弟子，大概不过几年，却恍如隔世。<br>时间如野马、如掣电、如剔骨钢刀穿肠而过，却又一切如故。|角色=景元、彦卿、镜流}},content,崩坏
3,{{视频|标题=《崩坏：星穹铁道》动画短片：「玄黄」|BV号=BV1Th4y1S7KF|简介=星历4800年，会持明五脉盟于玉阙，载书誓曰：金石可铄，此誓不破。——《仙舟通鉴•五龙远徙》<br>星历7379年，饮月君丹枫衅乱，危及若木。云骑会持明龙师共击之。——《仙舟通鉴•云骑战事纪要》<br><br>「荡荡龙君，受天至灵。云行雨施，品物流形。」<br>……<br>他梦见自己膺承职责，舞雩如仪，封印建木。<br>他梦见自己踏足锋镝流坠的战场，自天降罚。<br>他梦见自己被玉柱牵锁，长针贯身，镇入黑暗。<br>他梦见自己在黑暗中徘徊无措，被逡巡的影子追逐。<br>……<br>在所有梦中，他是龙，是英雄，是罪囚，唯独不是和他们一样有着爱恨悲欢的人。|角色=丹恒、丹恒•饮月、景元、刃、镜流、白珩、姬子、瓦尔特、三月七}},content,崩坏
4,{{视频|标题=《崩坏：星穹铁道》动画短片：「太平临新岁」|BV号=BV1oy42187PK|简介=新岁始临，万象兴荣。长乐天的街道一角，公输师傅与他的两名助手正为仙舟太平乐的表演忙到不可开交。|角色=桂乃芬、素裳、景元、丹恒、青雀}},content,崩坏
5,{{视频|标题=《崩坏：星穹铁道》动画短片：「永劫轮舞」|BV号=BV1aC411h7e6|简介=两颗行星交织着彼此悲惨的宿命，围绕一轮漆黑的大日跳着永恒的轮舞。<br><br>最初，其中一颗行星孕育出了人类，他们俯首，将脚下的土地唤作「出云」；又抬头，指天上的世界为「高天原」。<br>于史无载的某日，「八百万神」自高天原垂迹。以神为名的恶兽使天穹倾覆、海川燃烧、大地崩毁——人们惊觉，那并非是为了统治、支配或掠夺的入侵，凶神仅为猎杀而来。<br><br>存亡之际，出云踏上「神刈」的道路，穷举国之力斩落大祸「都牟刈神」，将其兽体锻造成最初的「诏刀」。<br>以彼之道还施彼身，通过吟诵蕴含于刀身中的真言，持刀者便可将高天原的神业握在手中，以之对抗恶神，救天下苍生。<br>由此，出云国开始了漫长的征伐，以不可胜数的牺牲换来一位又一位神明的陨落，尽折人间万千剑，终铸成「护世诏刀」十二柄。<br><br>在残酷的生存战争中，仅用不足十个琥珀纪，出云国便借诏刀伟力，将未开化的黑暗世界点亮。<br>建立起虹霓缭乱的城邦，那过去遥不可及的高天神国，也已近在咫尺、唾手可得——<br>但历史在这一刻戛然而止，两颗行星的存在于旦夕间灰飞烟灭，消失得无影无踪。<br><br>如今，边星「出云」的过去只能在宇宙的只言片语中寻得。针对它的消亡，学者们众说纷纭，任谁也无法解开谜团。<br>出云的历史本应是条流淌的长河，可它却被一刀斩断，种种过往与将来皆消失在空无的彼岸。<br>难道它不曾存在，只是一段被虚构的故事？难道它未曾发生，被搁浅在倒果为因的海滩？这是「原始博士」又一场惨绝人寰的实验，还是「贪饕」从银河尽头归来的预兆？<br><br>只有那轮漆黑的大日知道答案。然而祂沉默，从不言说。<br>因为所发生的一切必将归于终结，而已终结的一切必将再度发生。宇宙在祂的阴影下永劫回归，出云不过是一个省略号的注脚。|角色=黑天鹅、黄泉}},content,崩坏
6,{{视频|标题=《崩坏：星穹铁道》动画短片：「格拉默的余烬」|BV号=BV1us421u7sp|简介=「格拉默军规第22条，骑士应将一切献给女皇陛下——包括死亡。」|角色=流萤}},content,崩坏
7,==千星纪游PV==,default,
8,{{视频|标题=《崩坏：星穹铁道》千星纪游PV：「有关星空的寓言集•其一」|BV号=BV1EM4y1h7Vm|简介=「无数流星划过今夜的天空…如果选中了正确的那一颗，它将把你的愿望带向千百个世界。」|角色=黑天鹅}},content,崩坏
9,{{视频|标题=《崩坏：星穹铁道》千星纪游PV：「仙舟通鉴•帝弓七天将」|BV号=BV19o4y1x7tX|简介=星汉做关河，张弓奏棹歌。<br>军锋和金柝，破阵仗神戈。<br>前途迢递孱颜险，旌旆蔽天讨寿魔。|角色=景元}},content,崩坏
10,{{视频|标题=《崩坏：星穹铁道》千星纪游PV：「耶佩拉叛乱：第47场」|BV号=BV1Nu411H7C6|简介=第47场。<br>内景。耶佩拉宫——黄昏。毁灭。<br>女人微笑着看向审判席，迎接他们的判词……|角色=卡芙卡、萨姆、刃、银狼}},content,崩坏
11,{{视频|标题=《崩坏：星穹铁道》千星纪游PV：「仙舟通鉴•五龙远徙」|BV号=BV1nu4y1D7Ex|简介=「祂绘出一个完美的圆，如命运般周而复始，从来处来，到去处去。」|角色=丹恒•饮月、奥本海默}},content,崩坏
12,{{视频|标题=《崩坏：星穹铁道》千星纪游PV：「云骑武经•说剑」|BV号=BV12N4y1o7ET|简介=「『直之无前，举之无上，案之无下，运之无旁。上决浮云，下绝地纪。』…这便是我汲汲所求的剑。」<br>「可这样的剑，世间真的存在吗？」<br><br>剑，长三尺七寸，轻如无物。<br>它并非凡铁熔铸，而是一截坚冰凝成，幽幽含光，如握一线月光在手。|角色=镜流、彦卿}},content,崩坏
13,{{视频|标题=《崩坏：星穹铁道》千星纪游PV：「星际和平导览：甄选、规划和机遇」|BV号=BV1ny4y1P7SN|简介=嘿，你！没错，我们正在找你。<br>琥珀王的巨锤已经落下，无人能够置身事外……|角色=}},content,崩坏
14,{{视频|标题=《崩坏：星穹铁道》千星纪游PV：「绥园伏鬼记」|BV号=BV1Xw411K7Mg|简介=世间如有恶鬼出现，十王判官便会下山擒伏。<br>执旗呼号，书符降召，以驱赶鬼怪邪恶，保生灵平安。<br>且说那日，小小判官接了法旨，要受命伏魔……|角色=藿藿、雪衣、寒鸦}},content,崩坏
15,{{视频|标题=《崩坏：星穹铁道》千星纪游PV：「阮声落华裳，梅出似点妆」|BV号=BV1pb4y1V7Qw|简介=煮水沁眉，绣枕华发，轻拢微火烤，<br>烤那信中淡意多多，浓情少少。<br>落笔点枝，湖水蘸绿，<br>她抹去一指琼绸碎玉，冰雪玎玲，<br>旧章皆烬。|角色=阮•梅}},content,崩坏
16,{{视频|标题=《崩坏：星穹铁道》千星纪游PV：「永火一夜：第33场」|BV号=BV1UK411e7tY|简介=第33场。<br>内景。永火官邸——夜。毁灭。<br>炽热的火焰说道：「美梦燃烧了我的花朵，我的死亡。」|角色=冥火大公、阿卡什、杜布拉、卡翠娜、康士坦丝}},content,崩坏
17,{{视频|标题=《崩坏：星穹铁道》千星纪游PV：「旧梦重温」|BV号=BV1FZ421z7PE|简介=一件失物，一声巨响，一缕冥火……<br>记忆的洪流奔涌而过，盈满整座星球<br>——在盛会开始前，有些秘密已被沉入海底。|角色=黑天鹅、知更鸟}},content,崩坏
