line_number,content,category,character
1,<noinclude>{{面包屑|互动文本}}</noinclude>,default,
2,:「奇物编号752：定分枪。该枪会给视线范围内的生物评分，打分逻辑不明。」,content,奇物编号
3,:这把奇怪的枪闭着的眼陡然睁开，滴溜溜乱转了片刻，不怀好意地盯着你。,default,
4,":{| class=""wikitable"" style=""width:100%""",default,
5,!{{图标|开拓者}},default,
6,|定分枪的眼睛看着开拓者：「84分！」它宣布。,content,定分枪的眼睛看着开拓者
7,|-,default,
8,!{{图标|三月七}},default,
9,|「无法测定！」眼珠在转动了三圈后突然瞪大，在僵持了片刻后，它疲惫地合上了眼皮。,default,
10,|-,default,
11,!{{图标|丹恒}},default,
12,|定分枪的眼睛看着丹恒：「88分？」它宣布。,content,定分枪的眼睛看着丹恒
13,|-,default,
14,!{{图标|瓦尔特}},default,
15,|定分枪的眼睛看着瓦尔特：「5分！」它宣布。,content,定分枪的眼睛看着瓦尔特
16,|-,default,
17,!{{图标|姬子}},default,
18,|定分枪的眼睛看着姬子：「9分！」它宣布。,content,定分枪的眼睛看着姬子
19,|-,default,
20,!{{图标|黑塔}},default,
21,|定分枪的眼睛看着黑塔：「4分！」它宣布。,content,定分枪的眼睛看着黑塔
22,|-,default,
23,!{{图标|艾丝妲}},default,
24,|定分枪的眼睛看着艾丝妲：「29分！」它宣布。,content,定分枪的眼睛看着艾丝妲
25,|-,default,
26,!{{图标|阿兰}},default,
27,|定分枪的眼睛看着阿兰：「55分！」它宣布。,content,定分枪的眼睛看着阿兰
28,|-,default,
29,!{{图标|布洛妮娅}},default,
30,|定分枪的眼睛看着布洛妮娅：「37分！」它宣布。,content,定分枪的眼睛看着布洛妮娅
31,|-,default,
32,!{{图标|杰帕德}},default,
33,|定分枪的眼睛看着杰帕德：「62分！」它宣布。,content,定分枪的眼睛看着杰帕德
34,|-,default,
35,!{{图标|希儿}},default,
36,|定分枪的眼睛看着希儿：「33分！」它宣布。,content,定分枪的眼睛看着希儿
37,|-,default,
38,!{{图标|希露瓦}},default,
39,|定分枪的眼睛看着希露瓦：「67分！」它宣布。,content,定分枪的眼睛看着希露瓦
40,|-,default,
41,!{{图标|佩拉}},default,
42,|定分枪的眼睛看着佩拉：「93分！」它宣布。,content,定分枪的眼睛看着佩拉
43,|-,default,
44,!{{图标|虎克}},default,
45,|定分枪的眼睛看着虎克：「6分！」它宣布。,content,定分枪的眼睛看着虎克
46,|-,default,
47,!{{图标|娜塔莎}},default,
48,|定分枪的眼睛看着娜塔莎：「32分！」它宣布。,content,定分枪的眼睛看着娜塔莎
49,|-,default,
50,!{{图标|克拉拉}},default,
51,|定分枪的眼睛看着克拉拉：「70分！」它宣布。<br>随后它又补充道：「26分！」它宣布。,content,定分枪的眼睛看着克拉拉
52,|-,default,
53,!{{图标|桑博}},default,
54,|「无法测定！」眼珠在转动了三圈后突然瞪大，在僵持了片刻后，它疲惫地合上了眼皮。,default,
55,|-,default,
56,!{{图标|景元}},default,
57,|「无法测定！」眼珠在转动了三圈后突然瞪大，在僵持了片刻后，它疲惫地合上了眼皮。,default,
58,|-,default,
59,!{{图标|白露}},default,
60,|定分枪的眼睛看着白露：「71分！」它宣布。,content,定分枪的眼睛看着白露
61,|-,default,
62,!{{图标|彦卿}},default,
63,|定分枪的眼睛看着彦卿：「99分！」它宣布。,content,定分枪的眼睛看着彦卿
64,|-,default,
65,!{{图标|素裳}},default,
66,|定分枪的眼睛看着素裳：「18分！」它宣布。,content,定分枪的眼睛看着素裳
67,|-,default,
68,!{{图标|停云}},default,
69,|定分枪的眼睛看着停云：「13分！」它宣布。,content,定分枪的眼睛看着停云
70,|-,default,
71,!{{图标|青雀}},default,
72,|定分枪的眼睛看着青雀：「65分！」它宣布。,content,定分枪的眼睛看着青雀
73,|-,default,
74,!{{图标|银狼}},default,
75,|「110分！」定分枪对银狼宣布，声音里夹杂着奇怪的电子音。,default,
76,|-,default,
77,!{{图标|罗刹}},default,
78,|「无法测定！」眼珠在转动了三圈后突然瞪大，在僵持了片刻后，它疲惫地合上了眼皮。,default,
79,|-,default,
80,!{{图标|驭空}},default,
81,|定分枪的眼睛看着驭空：「20分！」它宣布。,content,定分枪的眼睛看着驭空
82,|-,default,
83,!{{图标|刃}},default,
84,|定分枪的眼睛看着刃：「42分！」它宣布。,content,定分枪的眼睛看着刃
85,|-,default,
86,!{{图标|卡芙卡}},default,
87,|定分枪的眼睛看着卡芙卡：「90分！」它宣布。,content,定分枪的眼睛看着卡芙卡
88,|-,default,
89,!{{图标|卢卡}},default,
90,|定分枪的眼睛看着卢卡：「75分！」它宣布。,content,定分枪的眼睛看着卢卡
91,|-,default,
92,!{{图标|丹恒•饮月}},default,
93,|定分枪的眼睛看着丹恒：「88分？」它宣布。<br>它颇为疑惑，眼球滴溜溜转了一圈，又突然闭上，仿佛为自己被愚弄而生着闷气。,content,定分枪的眼睛看着丹恒
94,|-,default,
95,!{{图标|符玄}},default,
96,|定分枪的眼睛看着符玄：「77分！」它宣布。,content,定分枪的眼睛看着符玄
97,|-,default,
98,!{{图标|玲可}},default,
99,|定分枪的眼睛看着玲可：「7分！」它宣布。,content,定分枪的眼睛看着玲可
100,|-,default,
101,!{{图标|镜流}},default,
102,|定分枪的眼睛看着镜流：「0分！」它宣布。,content,定分枪的眼睛看着镜流
103,|-,default,
104,!{{图标|托帕&账账}},default,
105,|定分枪的眼睛看着托帕：「2分！」它宣布。,content,定分枪的眼睛看着托帕
106,|-,default,
107,!{{图标|桂乃芬}},default,
108,|定分枪的眼睛看着桂乃芬：「13分！」它宣布。,content,定分枪的眼睛看着桂乃芬
109,|-,default,
110,!{{图标|藿藿}},default,
