line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=小城畸人,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.2,default,
7,|任务描述=流萤向你解释了此前她种种不寻常举动背后的深层原因，并指引你下潜至原初忆域中的聚落「流梦礁」。你与列车组重新会合，四下探索，更在这里遇到了失踪已久的银河巨星知更鸟。,default,
8,|奖励={{图标|里程|700}}{{图标|星琼|90}}{{图标|漫游指南|6}}{{图标|提纯以太|6}}{{图标|金表钞|350}}{{图标|《飞毛腿哈姆兹》|1}}{{图标|信用点|100000}},default,
9,|任务条件=完成任务[[愚者总按两遍铃]],default,
10,|开放等级=34,default,
11,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=流萤、瓦尔特、米沙、三月七、知更鸟、姬子,default,
15,|领取地点=,default,
16,|系列任务=在我们的时代里,default,
17,|任务编号=03,default,
18,|前置任务=*[[愚者总按两遍铃]],default,
19,|后续任务=*[[国民公敌]],default,
20,|任务流程=*与流萤对话,default,
21,*（可选）与流萤交谈,default,
22,*（可选）与瓦尔特交谈,default,
23,*在窄巷中前进,default,
24,*等待电梯抵达,default,
25,*向米沙确认状况,default,
26,*跟随米沙，探索流梦礁,default,
27,*跟随米沙，前往贸易区寻找同伴,default,
28,*找到翠丝阿姨,default,
29,*寻找姬子,default,
30,*与重要的客人会合,default,
31,}},default,
32,,default,
33,==剧情内容==,default,
34,=== 与流萤对话 ===,default,
35,{{任务描述|流萤向你解释了此前她种种不寻常举动背后的深层原因，并指引你下潜至家族宣扬的「噩梦」——美梦之外的原初忆域——「流梦礁」。而这一举动也揭露了「死亡」的部分真相：不过是协助有心之人往返美梦的驯化迷因，而「闭上眼睛」则是唤来它的奇妙咒语。<br>短暂的不适后，你发现自己已经抵达了一座荒废的旧镇。与众人交流过、准备停当后，就开始此次废弃车站下车之旅吧。|匹诺康尼-流梦礁}},content,的部分真相
36,:{{颜色|描述|与此同时……}},default,
37,*流萤：一切回到了原点，你曾经从这里踏入「黄金的时刻」，也将从这里踏入真正的{{注音|「匹诺康尼」|流放之地}}。,content,流萤
38,*流萤：很高兴能再次与你同行。事到如今，我也终于能向你袒露全部的事实。如你所见…我的另一个名字是「星核猎手」萨姆。,content,流萤
39,{{剧情选项,default,
40,|选项1=你…没事吗？,option,开拓者
41,|剧情1=*流萤：我没事…抱歉，希望先前没有吓到你。,branch_content,流萤
42,|选项2=你欺骗了我…,option,开拓者
43,|剧情2=*流萤：抱歉，我不得不这么做……,branch_content,流萤
44,|选项3=你是…流萤的灵魂？,option,开拓者
45,|剧情3=,branch_content,
46,}},default,
47,*流萤：我知道你有很多疑问…还记得我们在陌生的梦境里遭遇了「死亡」吗？那时我被迷因攥在手中……,content,流萤
48,*流萤：在它即将行凶的瞬间，我从那只骇人的瞳孔里看见了「另一片梦境」的倒影。,content,流萤
49,*流萤：根据「剧本」的提示，我对那只迷因有了些猜想。于是我让银狼寄出邀请，将各位引导至梦中的酒店……,content,流萤
50,*流萤：我本打算在你们面前唤来「死亡」，用更直接的手段揭示谜底，邀请你们入局。但事与愿违，我无法违背「剧本」，甚至来不及开口向你说明。,content,流萤
51,*流萤：就像你看到的，我被「死亡」的翼刃贯穿。浓稠忆质的重压…它们在脑海中炸开，恍若现实。,content,流萤
52,*流萤：但一瞬的麻痹散去后，我发现自己的身体完好无损。,content,流萤
53,*流萤：我果然还活着，且如我所想——抵达了与「美梦」截然不同的地方。匹诺康尼的梦境下埋藏着另一片更原始，也更混沌的忆域，它的名字是…「流放之地」。,content,流萤
54,*流萤：于是我返回梦境中的酒店，想告诉你它的存在。但我还不能公开自己的身份，只能想办法转移与你同行之人的注意，将你带离战场。,content,流萤
55,*流萤：而后，我的种种尝试皆以失败告终。直到不久前，一道血红的刀光劈碎了梦中的高墙，令你们跌落到这深层的梦境中，我才得以将你和同伴们一个个唤醒……,content,流萤
56,*流萤：这就是此前发生的一切。,content,流萤
57,{{剧情选项,default,
58,|选项1=我完全理解了！,option,开拓者
59,|选项2=我完全糊涂了！,option,开拓者
60,}},default,
61,*流萤：我知道，要无条件地相信这些很难。我只是想说，你离最后的答案很近了。只需做一件事，我就能为你证明……,content,流萤
62,*流萤：接下来，让我们离开这里吧…请闭上眼。,content,流萤
63,*流萤：然后深呼吸，在心里描绘梦境的轮廓，记得…绝对不要睁眼。,content,流萤
64,*流萤：三……,content,流萤
65,*流萤：二……,content,流萤
66,*流萤：一……,content,流萤
67,*流萤：不用害怕，迎接我们的人…来了。,content,流萤
68,:尖锐的啸叫过后，浓稠而汹猛的忆质冲入你的胸膛，翻腾肆虐。你的意识如同旋涡中的絮纸，破溃、消溶，漫散于滚滚浊流。,default,
69,:无数声音透过忆质交响如滚雷，其中有道回响格外清晰。你知道它来自身边的那位少女，你们的心脏合着同样的节拍，沉静，再沉静……,default,
70,:直到那沉寂的黑暗中，回忆泛起点点涟漪……,default,
71,----,default,
72,:……,default,
73,*流萤：我从来不知道，你还会做这种事。,content,流萤
74,*刃：……,content,刃
75,*流萤：…你有驾驶证吗？,content,流萤
76,*刃：有。,content,刃
77,*流萤：这可真是…令人意外。,content,流萤
78,*刃：为什么，因为这里是罪恶都市耶佩拉？,content,刃
79,*流萤：嗯，不…没什么。,content,流萤
80,*流萤：我只是觉得，你已经二十个系统时没睡了…没问题吗？,content,流萤
81,*刃：没问题。死不了，我和你都一样。,content,刃
82,*流萤：……,content,流萤
83,*流萤：我可未必，还是开慢点吧。,content,流萤
84,*刃：潜入已经结束了，你随时可以启动「萨姆」。,content,刃
85,*流萤：离「剧本」下一幕还有些时间，让我再多待会儿吧，用这副身体。,content,流萤
86,:而后便是良久的沉默。两人不再提起任何话题，似乎对这种沉默习以为常。,default,
87,:直到很久以后，车里再度响起一声轻叹。,default,
88,*流萤：好长的隧道啊。出发的时候，没觉得它有这么长。,content,流萤
89,*刃：半个系统时后，它会带我们找到卡芙卡，接着就是耶佩拉兄弟会的覆灭。,content,刃
90,*流萤：这些也都是「剧本」？,content,流萤
