line_number,content,category,character
1,{{考据,default,
2,|类别=游戏内容梳理<!-- 角色考据、背景考据等 -->,default,
3,|时间=20240224<!-- 例：20230501 -->,content,例
4,|更新时间=20240721<!-- 填写最新更新日期，格式同上 -->,default,
5,|作者=Stomach地球硬磕者（小杜）<!-- 填写自己的昵称 -->,default,
6,|是否原创=是,default,
7,|来源=<!-- 非原创请填写来源平台，如：B站、米游社 -->,content,如
8,|原文地址=<!-- 非原创填写 -->,default,
9,|考据封面图=新建 PPTX 演示文稿_01.png<!-- 填写封面图名称 -->,default,
10,|版本=2.0<!-- 填写当前游戏版本 -->,default,
11,|TAG=活动、梳理、版本更新,default,
12,}},default,
13,== 崩铁正式开服前 ==,default,
14,"{| class=""wikitable""",default,
15,|-,default,
16,! 日期,default,
17,! 事件,default,
18,|-,default,
19,| 2019年,default,
20,| 《崩坏·星穹铁道》立项,default,
21,|-,default,
22,| 2021年10月8日,default,
23,"| [[https://www.bilibili.com/video/BV1L341117xS/?spm_id_from=333.999.0.0|<span style=""color: #66CCFF;"">始发PV：下一站，银河</span>]]&nbsp;发布，同日开启公测<font color=orange>（首次公测）</font>",content,始发
24,|-,default,
25,| 2021年10月8日~2021年11月1日,default,
26,| <font color=orange>首次公测（一测）</font>,default,
27,|-,default,
28,| 2022年4月21日,default,
29,"| [[https://www.bilibili.com/video/BV1VY4y1a78f/?spm_id_from=333.999.0.0|<span style=""color: #66CCFF;"">三月七角色PV——「来，拍照啦！」</span>]]&nbsp;发布&nbsp;&nbsp;&nbsp;三月七{{图标|小|三月七}}（存护·冰{{图标|小|冰}}）",default,
30,|-,default,
31,| 2022年4月28日,default,
32,"| [[https://www.bilibili.com/video/BV1ur4y1n71Y/?spm_id_from=333.999.0.0|<span style=""color: #66CCFF;"">漫游PV：「你」的选择</span>]]&nbsp;发布，同日开启<font color=orange>第二轮公测</font>",content,漫游
33,|-,default,
34,| 2022年4月28日~2022年5月15日,default,
35,| <font color=orange>第二轮公测</font>,default,
36,|-,default,
37,| 2022年5月25日,default,
38,"| [[https://www.bilibili.com/video/BV1dv4y1A7gL/?spm_id_from=333.999.0.0|<span style=""color: #66CCFF;"">开场动画：「一幕短剧」</span>]]&nbsp;发布（卡芙卡出场拉小提琴、黑塔空间站遭反物质军团袭击）",content,开场动画
39,|-,default,
40,| 2022年5月27日,default,
41,"| [[https://www.bilibili.com/video/BV1BY411u7wQ/?spm_id_from=333.999.0.0|<span style=""color: #66CCFF;"">希露瓦角色PV——「引爆在即！」</span>]]&nbsp;发布&nbsp;&nbsp;&nbsp;希露瓦{{图标|小|希露瓦}}（智识·雷{{图标|小|雷}}）",default,
42,|-,default,
43,| 2022年6月10日,default,
