line_number,content,category,character
1,{{NPC,default,
2,|名称=帕姆,default,
3,|称号=<!-- 名字下方黄色字体，若无可留空 -->,default,
4,|性别=未知,default,
5,|职业=星穹列车列车长,default,
6,|派系=开拓-无名客,default,
7,|所属=0<!-- 星球名 -->,default,
8,|位置=观景车厢<!-- 地图名 -->,default,
9,|所属组织=星穹列车,default,
10,|TAG=等级奖励、事件<!-- 赠礼、商店、活动等 -->,default,
11,|对话赠礼=,default,
12,|实装版本=1.0,default,
13,|汉语CV=蒋丽,default,
14,|日语CV=長沢美樹,default,
15,|英语CV=Christine Sposato,default,
16,|韩语CV=윤아영,default,
17,|存在商店=<!-- 是/否 -->,default,
18,"|商店内容=<!-- 例：{{图标|物品名}},价格,限购数,等级限制 每条记录间顿号分隔 -->",content,例
19,|存在对话=是<!-- 是/否 -->,default,
20,|对话内容=随机对话{{#info:无帕姆任务时选项内容根据当前帕姆动作有所不同，存在帕姆任务时此处为“开拓者……”，详见[[帕姆任务]]}},option,开拓者
21,{{折叠|标题=帕姆随机对话-特殊动作|内容=,default,
22,'''哼歌时''',default,
23,*帕姆：嘘——这里边，每首都有故事。有空的话你也多听听呗？,content,帕姆
24,-----,default,
25,'''扫地时''',default,
26,*帕姆：诶诶诶诶诶，别、别踩！我刚扫的！,content,帕姆
27,*帕姆：这又脏了，都是你干的好事！,content,帕姆
28,-----,default,
29,'''仰望窗外时''',default,
30,*帕姆：虽然我没法出去，但就像这样看看外面的星空，好像也挺不错的。,content,帕姆
31,*帕姆：你说…外面的世界，是什么样的呢？,content,帕姆
32,-----,default,
33,'''浇水时''',default,
34,*帕姆：喝完水就要快点长高高帕！,content,帕姆
35,*帕姆：你也需要浇水吗？看你长这么高，不至于吧？,content,帕姆
36,-----,default,
37,'''打瞌睡时''',default,
38,*帕姆：…ZZZZZ…怎么回事，有什么紧急状况吗？,content,帕姆
39,*帕姆：列车长也是需要休息的，帕姆可不是机器人。,content,帕姆
40,-----,default,
41,'''低头时''',default,
42,*帕姆：呣呣呣…扣子怎么会扣不上呢……,content,帕姆
43,-----,default,
44,'''四处张望时''',default,
45,*帕姆：好像也没什么特别的事情发生。,content,帕姆
46,*帕姆：不过…车厢里这么安静，反而让人有点不习惯呢？,content,帕姆
47,-----,default,
48,'''伸懒腰时''',default,
49,*帕姆：唔…站久了果然就会想打瞌睡。,content,帕姆
50,*帕姆：不是我自夸，这里的灯光、温度都是我精心设计过的，会犯困倒也正常。,content,帕姆
51,}},default,
52,{{折叠|标题=帕姆随机对话-站立|内容=,default,
53,*帕姆：啦啦啦啦～嗯？你回来啦！见到乘客安全归来，列车长自然会感到很欣慰的帕！,content,帕姆
54,-----,default,
55,*帕姆：难得的闲暇时光，开拓者乘客要是玩累了的话可以直接休息哦。,content,帕姆
56,-----,default,
57,*帕姆：真好啊，要是我能跟你们一起出去看看的话……,content,帕姆
58,-----,default,
59,*帕姆：请不要干扰列车长的日常工作！,content,帕姆
60,-----,default,
61,*帕姆：呜哇！是帕姆最喜欢的开拓者！,content,帕姆
62,-----,default,
63,*帕姆：平安无事又一天～啦啦啦啦～,content,帕姆
64,}},default,
65,{{剧情选项,default,
66,|选项1=随机问题{{#info:无帕姆任务时选项内容随机刷新，存在帕姆任务时此处为任务选项}},option,开拓者
67,|图标1=对话,default,
68,|剧情1=,branch_content,
69,关于丹恒：睡觉,content,关于丹恒
70,*帕姆：丹恒乘客睡在资料室里，我以前查房的时候，还有些担心他就这么睡觉会不会睡不着和着凉什么的……,content,帕姆
71,*帕姆：不过后来帕姆发现，服务器机组散发的热量还是挺暖和的。而且丹恒乘客对此完全不在意，让帕姆不要担心他。,content,帕姆
72,*帕姆：他还说什么自己在绳子上也能睡得着。唔，你说这是什么原理，真是奇怪……,content,帕姆
73,-----,default,
74,关于丹恒：姬子的咖啡,content,关于丹恒
75,*帕姆：帕姆最佩服丹恒乘客的一点是，他居然喝得下姬子的咖啡，甚至还称赞过几次。,content,帕姆
76,*帕姆：我一度怀疑丹恒乘客的舌头是不是有什么问题…不过他偶然跟我透露过，原来他认为姬子的咖啡是用来锤炼心性的绝佳工具。,content,帕姆
77,*帕姆：…总之这件事你可不要告诉姬子帕，姬子身为列车的领航员，没有功劳也有苦劳，总要给她留几分薄面的……,content,帕姆
78,-----,default,
79,关于姬子：姬子的咖啡手艺,content,关于姬子
80,*帕姆：帕姆不明白姬子明明有精湛的维修技艺，为什么却成天捣鼓些不着调的「手调咖啡」。,content,帕姆
81,*帕姆：你说她的咖啡是「黑泥」对吧？哎，其实这已经是她改良过的版本了，现在好歹是用单分子锯手动打磨的咖啡豆。,content,帕姆
82,*帕姆：要还是以前啊，她用的还是速溶咖啡粉，那个剂量…那才是真正的「黑泥」，完全是一团糊糊嘛！,content,帕姆
83,-----,default,
84,关于瓦尔特杨：尴尬的过去,content,关于瓦尔特杨
85,*帕姆：瓦尔特…瓦尔特是个稳重的人，似乎经历了很多，不过帕姆曾见过他少有的失态的样子。,content,帕姆
86,*帕姆：唔？你想问什么会失态？哦，其实也没什么，瓦尔特乘客以前是位动画师帕，列车经过某个星球的时候，他用「拟态」能力复现了其中几集给别人看。,content,帕姆
87,*帕姆：结果那几个观众追着问他要续集，瓦尔特乘客就躲在列车里一连几天没下车，说是帮姬子修理列车上的什么东西了。,content,帕姆
88,*帕姆：不过，帕姆怎么不记得当时列车上有什么设备要修呢？,content,帕姆
89,-----,default,
90,关于瓦尔特杨：瞌睡趣事,content,关于瓦尔特杨
91,*帕姆：瓦尔特乘客以前是位动画师，他好像对自己的作品十分自豪帕。闲着的时候，也会主动使用「拟态」能力复现出来播给大家看。,content,帕姆
92,*帕姆：不过有好几次，帕姆都看到他明明是睡着了，但「拟态」还在不断循环播放动画。,content,帕姆
93,*帕姆：我问他要不要关掉舱灯和「拟态」，让他回房间好好睡一觉。但他却坚持说他没有睡着，「拟态」和灯都别关，说什么他还要看的。,content,帕姆
