line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=帕姆得分,default,
4,|任务地区=星穹列车,default,
5,|任务类型=冒险任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.0,default,
8,|任务描述=无,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|稀薄以太|2}}{{图标|虚粒子|1}}{{图标|信用点|8000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=,default,
12,|开放等级=17,default,
13,|相关活动=,default,
14,|相关成就=,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=帕姆,default,
18,|领取地点=与帕姆对话随机出现,default,
19,|系列任务=帕姆任务,default,
20,|任务编号=02<!-- 有系列任务时填写 -->,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=<!-- *[[后续任务]] -->,default,
23,|任务流程=*与帕姆对话<!-- *任务流程 -->,default,
24,}},default,
25,==剧情内容==,default,
26,===与帕姆对话===,default,
27,*帕姆：开拓者……,content,帕姆
28,{{剧情选项,default,
29,|选项1=你怎么突然哭了？,option,开拓者
30,|图标1=任务,default,
31,}},default,
32,*帕姆：呜…呜呜……,content,帕姆
33,{{剧情选项,default,
34,|选项1=列车长…你是在哭吗？,option,开拓者
35,|剧情1=*帕姆：…一定是你看错了帕，列车长才不会哭鼻子呢。,branch_content,帕姆
36,|选项2=谁欺负你了，乖，不哭啊。,option,开拓者
37,|剧情2=*帕姆：呜…没有，只是…等等，别把列车长当成小孩子帕！,branch_content,帕姆
38,}},default,
39,*帕姆：开拓者乘客，你来得正好，帕姆有事想问你——如果让你给帕姆打分，平心而论…你会给帕姆几分？,content,帕姆
40,*帕姆：不用紧张，你就当、就当是列车服务之类的满意度调查好了。,content,帕姆
41,*帕姆：怎么样？你觉得帕姆能拿几分？,content,帕姆
42,{{剧情选项,default,
43,|选项1=当然是满分！,option,开拓者
44,|剧情1=*帕姆：呜哇！我就知道开拓者乘客心里有我！,branch_content,帕姆
45,|选项2=能打负分吗？,option,开拓者
46,|剧情2=*帕姆：…开拓者乘客，欺负列车长你觉得有趣是吗？,branch_content,帕姆
47,*帕姆：请你摸着良心打分！,content,帕姆
48,|选项3=感觉还行，六分起步吧…,option,开拓者
49,|剧情3=*帕姆：「还行」的话，为什么只有六分？,branch_content,帕姆
50,*帕姆：态度不要这么敷衍帕！,content,帕姆
51,}},default,
52,*帕姆：呜…为什么要欺负帕姆…为什么要给帕姆一分，这毫无道理帕！不行不行！,content,帕姆
53,*帕姆：帕姆怎么可能只有一分呢，一定是哪里搞错了！,content,帕姆
54,{{剧情选项,default,
55,|选项1=我也没给你打一分啊…,option,开拓者
56,|剧情1=*帕姆：不是说你！,branch_content,帕姆
57,|选项2=谁给你打一分我去揍谁！,option,开拓者
58,|剧情2=*帕姆：冷静一点，别冲动！,branch_content,帕姆
59,|选项3=乖，告诉姐姐/哥哥到底发生什么了。,option,开拓者
60,|剧情3=*帕姆：再说一遍，请不要把列车长当作小孩子！,branch_content,帕姆
61,}},default,
62,*帕姆：其实是这样的…唔，这是你上车之前的事了，有一次列车停靠在空间站里——,content,帕姆
63,*帕姆：当时三月七乘客借了一个「奇物」过来玩，好像叫什么…「打分枪」？哦不对，帕姆想起来了，是叫「定分枪」！,content,帕姆
64,*帕姆：这东西能给一切物体打分，就连帕姆也不例外！三月七乘客对着帕姆用了定分枪，但帕姆一直不知道自己是多少分。,content,帕姆
65,*帕姆：前几天我想起这件事，就去问了一下…结果…结果说…只给帕姆打了一分！,content,帕姆
66,*帕姆：呜哇！呜呜…帕姆…帕姆不能接受…怎么回事嘛！为什么帕姆只有一分！,content,帕姆
67,{{剧情选项,default,
68,|选项1=（说点好听的，安慰帕姆）,option,开拓者
69,|剧情1=*帕姆：谢谢你，开拓者乘客…没想到开拓者乘客这么温柔。,branch_content,帕姆
70,|选项2=（拍拍帕姆的头，安抚帕姆）,option,开拓者
71,|剧情2=*帕姆：停停停，列车长的头可不能乱摸！,branch_content,帕姆
72,|选项3=（冷静分析，劝帕姆不要在意）,option,开拓者
73,|剧情3=*帕姆：嗯，你说得在理！,branch_content,帕姆
74,}},default,
75,:{{颜色|描述|你成功地令帕姆停止了哭泣。}},default,
76,*帕姆：谢谢你，开拓者乘客。,content,帕姆
77,*帕姆：帕姆…帕姆只是一时没想明白，现在帕姆感觉好多了。,content,帕姆
78,*帕姆：对了…那个，开拓者乘客以后可不可以多回来列车…才不是想你了。,content,帕姆
79,*帕姆：只是有点担心你的危险，所以、所以记得定期回来跟列车长报平安哦！,content,帕姆
