line_number,content,category,character
1,{{面包屑|角色图鉴}}{{角色导航}},default,
2,==官方贺图==,default,
3,===节日贺图===,default,
4,{{切换板|开始}},default,
5,{{切换板|默认显示|2023春节}},default,
6,{{切换板|默认折叠|2024元旦}},default,
7,{{切换板|显示内容}}【今日「除夕」宜干饭】<br>,default,
8,帕姆刚把火锅食材准备好，就发现几个「新面孔」……啊喂，你们热情好客的同时也体谅一下本列车长帕！<br>,default,
9,哎算啦算啦，来都来了，先配合三月七拍个大合照吧，开拓者你也一起哇！<br>,default,
10,三——二——一——茄子！<br>,default,
11,[[文件:2023春节1.png|500px]],default,
12,{{切换板|内容结束}},default,
13,{{切换板|折叠内容}}{{#section-h:角色贺图/节日贺图|2024元旦}},default,
14,{{切换板|内容结束}},default,
15,{{切换板|结束}},default,
16,===其他贺图===,default,
17,{{切换板|开始}},default,
18,{{切换板|默认显示|帕姆的收藏夹：1.2•「地城探宝」}},content,帕姆的收藏夹
19,{{切换板|默认折叠|1.5•「星旅寻影」}},default,
20,{{切换板|默认折叠|B站300万粉丝贺图}},default,
21,{{切换板|默认折叠|微博100万粉丝贺图}},default,
22,{{切换板|默认折叠|B站帕姆100万粉丝贺图}},default,
23,{{切换板|默认折叠|始发测试}},default,
24,{{切换板|默认折叠|跃迁测试}},default,
25,{{切换板|默认折叠|全平台预约1000万贺图}},default,
26,{{切换板|默认折叠|2000W下载贺图}},default,
27,{{切换板|默认折叠|启程庆典}},default,
28,{{切换板|默认折叠|开服百日贺图}},default,
29,{{切换板|显示内容}}{{#section-h:角色贺图/帕姆的收藏夹|1.2•「地城探宝」}},default,
30,{{切换板|内容结束}},default,
31,{{切换板|折叠内容}}{{#section-h:角色贺图/星旅小记|1.5•「星旅寻影」}},default,
32,{{切换板|内容结束}},default,
33,{{切换板|折叠内容}}{{#section-h:角色贺图/社媒贺图|B站300W粉丝}},default,
34,{{切换板|内容结束}},default,
35,{{切换板|折叠内容}}{{#section-h:角色贺图/社媒贺图|微博100W粉丝}},default,
36,{{切换板|内容结束}},default,
37,{{切换板|折叠内容}}{{#section-h:角色贺图/社媒贺图|B站帕姆100W粉丝}},default,
38,{{切换板|内容结束}},default,
39,{{切换板|折叠内容}}{{#section-h:角色贺图/其他贺图|始发测试}},default,
40,{{切换板|内容结束}},default,
41,{{切换板|折叠内容}}{{#section-h:角色贺图/其他贺图|跃迁测试}},default,
42,{{切换板|内容结束}},default,
43,{{切换板|折叠内容}}{{#section-h:角色贺图/其他贺图|全平台预约1000万}},default,
44,{{切换板|内容结束}},default,
45,{{切换板|折叠内容}}[[文件:2000W下载贺图.jpg|500px]],default,
46,{{切换板|内容结束}},default,
47,{{切换板|折叠内容}}[[文件:启程庆典.jpg|500px]],default,
48,{{切换板|内容结束}},default,
49,{{切换板|折叠内容}}{{#section-h:角色贺图/其他贺图|开服百日贺图}},default,
50,{{切换板|内容结束}},default,
51,{{切换板|结束}},default,
52,,default,
53,==相关视频==,default,
54,{{角色/视频|开拓者|折叠=否}},default,
