line_number,content,category,character
1,{{角色语音表头|开拓者|未完善=是}},default,
2,{{#tag:tabber|,default,
3,开拓者星=,default,
4,{{切换板|开始}},default,
5,{{切换板|默认显示|互动语音}},default,
6,{{切换板|默认折叠|战斗语音}},default,
7,{{切换板|显示内容}}{{角色语音,default,
8,|语音类型=回忆•关于自己,default,
9,|语音文件=开拓者星-回忆•关于自己,default,
10,|语音内容=当有机会做出选择的时候，不要让自己后悔……,default,
11,|语音内容日语=選択の機会があるのなら、自分が後悔するような道は選ばない……,default,
12,"|语音内容英语=When there is the chance to make a choice, make one that you know you won't regret...",default,
13,|语音内容韩语=선택의 기회가 주어지면 후회할 짓은 하지 말렴……,default,
14,}},default,
15,{{角色语音,default,
16,|语音类型=回忆•列车,default,
17,|语音文件=开拓者星-回忆•列车,default,
18,|语音内容=如果没有选择登上列车，我会度过怎样的一生…不，不会有如果。,default,
19,|语音内容日语=もし列車に乗ることを選ばなかったら、私はどんな人生を送っていたんだろう…いや、そんな未来は存在しないか。,default,
20,"|语音内容英语=What kind of a life would I have lived if I didn't choose to board the Express... No, there is no such possibility.",default,
21,"|语音内容韩语=열차에 오르지 않았으면, 난 어떤 삶을 살았을까…. 아니, 만약은 없어",default,
22,}},default,
23,{{角色语音,default,
24,|语音类型=回忆•帕姆,default,
25,|语音文件=开拓者星-回忆•帕姆,default,
26,|语音内容=虽然嘴上说着不高兴，身体的反应还是很真实的。还是多去找找帕姆吧！,default,
27,|语音内容日语=口では嫌がっても、体の反応は正直なんだよね…よし、もっとパムに会いに行く回数を増やそう！,default,
28,"|语音内容英语=They may sound annoyed, but their body language is more honest. I should visit Pom-Pom more often.",default,
29,|语音内容韩语=말로는 안 기쁘다고 하지만 몸에서 드러나는걸. 폼폼에게 자주 찾아가자!,default,
30,}},default,
31,{{角色语音,default,
32,|语音类型=回忆•空间站「黑塔」,default,
33,|语音文件=开拓者星-回忆•空间站「黑塔」,default,
34,|语音内容=我的武器也是空间站的奇物之一，虽然不知道它的来历——但被黑塔女士看中，一定有其重要之处。,default,
35,|语音内容日语=たしか、私の武器も宇宙ステーションの奇物だったんだよね。どこから持ってきたものか分からないけど――ミス・ヘルタが気に入って収集したものなら、きっと特別な何かがあるはず……,default,
36,"|语音内容英语=My weapon is also one of the Curios of the space station. I don't know where it came from, but it must be important if it appeals to Madam Herta.",default,
37,|语音内容韩语=내 무기도 우주정거장의 기물 중 하나야. 유래는 모르지만——헤르타 씨의 눈에 든 물건이니 중요한 구석이 있겠지,default,
38,|角色=黑塔,default,
39,}},default,
40,{{角色语音,default,
41,|语音类型=回忆•「毁灭」,default,
42,|语音文件=开拓者星-回忆•「毁灭」,default,
43,|语音内容=「毁灭」的意志究竟从何而来，真的是因为体内的星核么……,default,
44,|语音内容日语=「壊滅」の意志は一体どこから来たんだろう。本当に体の中にある星核が原因なのかな……？,default,
45,|语音内容英语=Just where did the will of Destruction come from? Was it really because of the Stellaron within me...?,default,
46,|语音内容韩语=「파멸」의 의지는 대체 어디서 왔을까. 정말로 체내의 스텔라론 때문인 걸까……,default,
47,}},default,
48,{{角色语音,default,
49,|语音类型=回忆•贝洛伯格,default,
50,|语音文件=开拓者星-回忆•贝洛伯格,default,
51,|语音内容=贝洛伯格的人们和我一样，也是第一次看到这颗星球上原生的那片天空。,default,
52,|语音内容日语=ベロブルグの人たちも私と同じように、あの星の本当の空を初めて目にしたんだよね……,default,
53,"|语音内容英语=Just like me, the people of Belobog are also seeing the native sky of this planet for the first time.",default,
54,|语音内容韩语=벨로보그 사람도 나처럼 이 행성의 원래 하늘을 처음 본 거야,default,
55,}},default,
56,{{角色语音,default,
57,|语音类型=回忆•「存护」,default,
58,|语音文件=开拓者星-回忆•「存护」,default,
59,|语音内容=「存护」的种子一直都在贝洛伯格，我只是重新唤起了这座城市生存的意志…即使微弱，它也未到熄灭的时刻。,default,
60,|语音内容日语=「存護」の種は、ずっとベロブルグにあった。私は都市の生き残りたいという意志を呼び覚ましたに過ぎない…たとえ弱い意志だとしても、まだ消える時じゃなかったんだ。,default,
61,"|语音内容英语=The seed of Preservation has always been within Belobog, and I simply re-ignited this city's will to live... That will may be weak, but this was not the time for it to go out.",default,
62,|语音内容韩语=「보존」의 씨앗은 처음부터 벨로보그에 있었어. 난 이 도시의 생존 의지를 다시 불러일으켰을 뿐이지…. 아무리 미약해도 아직 꺼질 때는 아니야,default,
63,}},default,
64,{{角色语音,default,
65,|语音类型=回忆•匹诺康尼,default,
66,|语音文件=开拓者星-回忆•匹诺康尼,default,
67,|语音内容=在匹诺康尼，米哈伊尔早就以自己的一生诠释了来自「钟表匠」最宝贵的遗产……只有当人们醒来后，才能将夜晚的梦带入白日。,default,
68,|语音内容日语=ミハイルは「時計屋」の一番貴重な遺産の意味を知るために、自分の一生を費やした…みんなが目を覚ましてこそ、夜の夢を白日に持ち込むことができる。,default,
69,"|语音内容英语=In Penacony, Mikhail has long spent his life embodying the precious legacy of the Watchmaker... Only when one wakes up can one bring the dreams of the night into the daylight.",default,
70,|语音内容韩语=페나코니에서 미하일 씨는 일찍이 「시계공」의 가장 귀한 유산을 해석하는 데 자신의 일생을 바치셨어…. 사람들은 깨어난 후에야 밤에 꾼 꿈을 현실의 아침으로 가져올 수 있지,default,
71,}},default,
72,{{角色语音,default,
73,|语音类型=回忆•「同谐」,default,
74,|语音文件=开拓者星-回忆•「同谐」,default,
