line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=异邦骑士,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=同行任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=罗刹<!-- 同行任务填写 -->,default,
7,|所属版本=1.1,default,
8,|任务描述=神秘的域外行商罗刹竟与那人如此相似…看我神探三月七找出真相！,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|里程|450}}{{图标|星琼|100}}{{图标|漫游指南|5}}{{图标|提纯以太|5}}{{图标|《鹤唳》|1}}{{图标|信用点|110000}},default,
11,|任务条件=完成开拓任务[[茸客鸣呦，玉角盘虬]],default,
12,|开放等级=34,default,
13,|相关活动=,default,
14,|相关成就=与你同行的回忆#完美无缺的名侦探、与你同行的回忆#棺材舞者,default,
15,|相关道具=搜查记录「执事精神」、搜查记录「打感情牌」、搜查记录「武力威胁」、搜查记录「破财消灾」、搜查记录「书籍扉页」、搜查记录「诚恳请求」、罗刹的纸花,default,
16,|相关书籍=,default,
17,|出场人物=三月七、瓦尔特、罗刹、大毫、净砚、隐书、芸慎、阿往、阿来,default,
18,|领取地点=,default,
19,|系列任务=化外过客,default,
20,|任务编号=01<!-- 有系列任务时填写 -->,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[隐秘的角落]]<!-- *[[后续任务]] -->,default,
23,|任务流程=*前往地衡司，与大毫对话,default,
24,*与净砚对话，查看机巧鸟拍摄的影像,default,
25,*与净砚对话，确认她的新发现,default,
26,*在长乐天寻找三余书肆的小店长隐书,default,
27,*在三余书肆附近寻找关于隐书的线索,default,
28,*在长乐天找到隐书，并和她谈谈,default,
29,*回到地衡司，向净砚了解案情的新线索,default,
30,*配合三月七，开始她精彩的推理秀,default,
31,*完成隐秘的角落,default,
32,*离开地衡司，去「案发现场」看看,default,
33,*听听净砚正在和阿往、阿来谈什么事<!-- *任务流程 -->,default,
34,}},default,
35,==剧情内容==,default,
36,===任务接取短信===,default,
37,{{角色对话|模板开始|大毫|慢些走，别丢下灵魂。}},default,
38,{{角色对话|左|大毫|文本|开拓者，这是你的号码没错吧？我是地衡司公廨的执事官大毫。<br>如您所知，最近罗浮上发生了一些…小变故。总而言之，有些事情希望您能帮忙}},default,
39,{{短信选项,option,开拓者
40,|选项1=但我不是仙舟人,option,开拓者
41,|剧情1={{角色对话|右|开拓者|文本|但我不是仙舟人，不方便插手公务}},branch_content,
42,{{角色对话|左|大毫|文本|这更好啊！}},default,
43,|选项2=我帮得到你们吗？,option,开拓者
44,|剧情2={{角色对话|右|开拓者|文本|我只是个化外民，可能帮不上忙……}},branch_content,
45,{{角色对话|左|大毫|文本|这更好啊！}},default,
46,|选项3=忙,option,开拓者
47,|剧情3={{角色对话|右|开拓者|文本|忙}},branch_content,
48,{{角色对话|左|大毫|文本|真的吗？}},default,
49,{{角色对话|左|大毫|文本|不好意思，是我失言了。我的意思是说，如果您能百忙之中抽出时间来帮帮忙，地衡司公廨会非常感激，也会提供相应的报酬}},default,
50,}},default,
51,{{角色对话|左|大毫|文本|以下说的话，您可不要外传啊。<br>出事以后，将军和太卜列了个单子，要求我们和天舶司根据单子上的时间地点排查出入的人，他们怀疑有人将某种「危险品」带上了罗浮……}},default,
52,{{角色对话|左|大毫|文本|我们两司清查了一圈，对照仙舟内部的纪录，没找到什么可疑人士，所以就来找您了……}},default,
53,{{短信选项,option,开拓者
54,|选项1=我是可疑人士？,option,开拓者
55,|剧情1={{角色对话|右|开拓者|文本|我是可疑人士？}},branch_content,
56,{{角色对话|左|大毫|文本|不是，我不是这个意思}},default,
57,|选项2=和我的关系是？,option,开拓者
58,|剧情2={{角色对话|右|开拓者|文本|呃…懂了，所以要我做什么？}},branch_content,
59,}},default,
60,{{角色对话|左|大毫|文本|仙舟联盟没有加入星际和平公司的经济体，许多信息不与公司共享，比如通缉系统…如果混进了公司的通缉犯，我们是没办法第一时间发现的}},default,
61,{{角色对话|左|大毫|文本|向公司发函求证的程序费时费力，因此将军建议我们向星穹列车的各位寻求协助，筛查一下名单当中是否有可疑分子}},default,
62,{{角色对话|左|大毫|文本|方便的话，建议您多带几位同伴一起来，帮我们辨认一下}},default,
63,{{角色对话|模板结束}},default,
64,,default,
65,===前往地衡司，与大毫对话===,default,
66,{{任务描述|星核危机爆发后，六司忙得四脚朝天，却始终也没能找到始作俑者。地衡司的执事长大毫专门找到星穹列车，希望你们帮助罗浮辨认一下可疑的嫌犯。听起来又是一桩麻烦事…不过身为无名客，就是应该助人为乐，快点去找他详谈吧。|仙舟「罗浮」-长乐天-地衡司公廨}},default,
67,{{剧情选项|选项1=我来帮忙调查嫌疑人了。}},default,
68,*大毫：哦哦，您来了啊。这几位是…三月七小姐和瓦尔特先生？,content,大毫
69,*三月七：没错！我是三月七，他是瓦尔特！我们是来帮忙哒！,content,三月七
70,*瓦尔特：小三月，不要那么激动…我们来办正事，不是来玩的。,content,瓦尔特
71,*三月七：杨叔你不也跃跃欲试的嘛…旅行这么久，还没查过案呢！我的聪明才智终于有用武之地啦！,content,三月七
72,*大毫：原来是三月姑娘和瓦尔特先生，久仰久仰。辛苦各位先歇会儿啊，稍微等我一下。净砚！把那几张相片给我拿来！,content,大毫
73,*净砚：来了来了，别喊。,content,净砚
74,:{{颜色|描述|半晌，净砚拿着一个卷轴匆匆走来。}},default,
75,*净砚：各位久等了，这就是在建木生发前日，在将军和太卜指定的位置出现过的几位化外…异邦人。,content,净砚
76,*大毫：麻烦各位看看，这里是否有我们仙舟没认出来的危险人物呢？,content,大毫
77,*三月七：我看看我看看，这些就是本案的嫌疑人吗…唔唔…嗯嗯…原来如此……,content,三月七
78,:{{颜色|描述|瓦尔特看到一名长相十分熟悉的金发男子，使他回忆起登上星穹列车前的情景…{{黑幕|闪回后崩坏书瓦尔特与虚空万藏的CG片段}}}},default,
79,*三月七：…杨叔，咋啦，这人不对劲吗？,content,三月七
80,*瓦尔特：这位先生是谁？…我想看看他的资料。,content,瓦尔特
81,*大毫：您说的是哪位？我瞅一眼……,content,大毫
82,{{剧情选项,default,
