line_number,content,category,character
1,{{多义词|彦卿、云骑骁卫•彦卿、云骑骁卫•彦卿（完整）}},default,
2,{{角色图鉴,default,
3,|名称=彦卿,default,
4,|外文名=Yanqing,default,
5,|称号=「罗浮」云骑骁卫,default,
6,|全名=,default,
7,|性别=男,default,
8,|稀有度=5星,default,
9,|限定=否,default,
10,|阵营=仙舟「罗浮」,default,
11,|命途=巡猎,default,
12,|命途材料=巡猎1,default,
13,|元素属性=冰,default,
14,|介绍=将军景元的侍卫，不过总角之年的御剑天才。<br>手中握剑，即立于不败之地。,default,
15,|TAG=暴击率、暴击伤害、自身受击概率降低、追加攻击、附加伤害、效果抵抗、速度、冻结,default,
16,|星魂TAG=,default,
17,|角色定位=彦卿是一名巡猎命途的冰属性角色。彦卿施放战技后将获得「智剑连心」效果，该效果将降低彦卿受击概率，增加暴击率、暴击伤害并使战技有概率造成附带冻结效果的追加攻击。,default,
18,|实装日期=2023年04月26日,default,
19,|实装版本=1.0,default,
20,|昵称/外号={{黑幕|老马}}、{{黑幕|小马}}、无敌剑士123（杂俎网名）,default,
21,|派系=仙舟联盟,default,
22,|体型=少年,default,
23,|种族=仙舟人,default,
24,|职业=「剑胎武骨」,default,
25,|短信签名=今天工造司上新了么？没有,default,
26,|中文CV=喵酱,default,
27,|日文CV=井上麻里奈,default,
28,|韩文CV=이새아,default,
29,|英文CV=Amber May,default,
30,|卷首语=「叫声老师，是敬你有一技之长。接下来，我可不会手下留情了。」,default,
31,|角色详细=意气飞扬的云骑骁卫，仙舟「罗浮」最强剑士。<br>为剑生亦为剑痴，当彦卿手中握剑时，无人敢小看这位尚在总角之年的天才。<br>或许能让手中宝剑微微收敛锋芒的，只有时间。,default,
32,|角色故事1=云骑军历史上最年轻的骁卫，景元将军的侍卫，工造司宝剑的大收藏家…如此多的头衔，如此多的街谈巷议汇于一身，让听者几乎无法联猜到，这个天才少年不过是个孩子。<br><br>,default,
33,自记事起，彦卿便如影随形地追随景元左右，为神策府分忧克难。而景元则传授他剑艺兵法。经年淬炼，彦卿的心智一如掌中三尺秋水，不染纤尘。<br><br>,default,
34,按云骑武经的评判，能在一息间分神御使六柄飞剑，收放自如，云骑军的教习首席再练百年也未必能办到。彦卿所拥有的战斗天赋实在令人生畏，可追仙舟先民「剑胎武骨」的评誉。,default,
35,|角色故事2=在云骑军的军籍文卷中记录了景元如何寻得少年，又力排众议，将他编入军中的始末。然而独独在家系一栏中，彦卿血脉传承相的关信息却付之阙如。<br><br>,default,
36,举凡将才，多半自幼显露天资。千年以来，自巡猎中脱颖而出的麒麟儿不可谓不多。然而尚未成年便被授予了军职，时人耳闻，评说一句「将军荒唐」也不为过。<br><br>,default,
37,然而天才的少年初上战阵的那一幕更是大放异彩，让所有反对的声音就此沉默。<br><br>,default,
38,巡猎远星时，丰饶之民所造的器兽「防风」身形巨硕，碾碎军阵如践蝼蚁。但少年仅在照面间轻易斩去其头颅，令敌势溃散，不战而捷。<br><br>,default,
39,至于其后那些战绩：随景元一同破去步离人的贪狼铁阵，斩了三位巢父；又与造翼者激战，最终击沉了遮天蔽日的拏云舰…这些，不过是其胆识与剑艺的小小注脚罢了。,content,至于其后那些战绩
40,|角色故事3=若要问彦卿除剑术之外还寄情何物，只能换得一句干脆的回答——<br><br>,default,
41,''「兴趣只会影响我拔剑的速度！」''<br><br>,default,
42,犹如孩童热爱玩具买个不停，他不惜倾尽所有零花，购入工造司所出的大部分宝剑——真气操作的飞剑、近身接战的短刃、自在伸缩的软剑…每一种规格功能都如数家珍，并且时常购入双份，一柄拆封使用，一柄入室珍藏。到了月底往往落得个「吃将军，用将军，可怜巴巴求将军」的地步。<br><br>,default,
43,少年爱剑，天经地义。在他所藏的仙舟剑器上倒映闪烁着的是一个梦：<br><br>,content,在他所藏的仙舟剑器上倒映闪烁着的是一个梦
44,成为罗浮第一，不，是仙舟第一；摘取罗浮「剑首」，乃至联盟「剑魁」的冠称。<br><br>,default,
45,自「饮月之乱」后，罗浮云骑军中武艺之尊「剑首」 的名衔已空悬数百年——并非无人想要争取，而是某些更隐秘难言的原因：<br><br>,content,而是某些更隐秘难言的原因
46,前任剑首，那位留下十三奇功的传奇剑士，触犯天律，被抹去了名字。连她所得到的荣誉，也成了旁人难以触碰的痛处。<br><br>,default,
47,但对意气洋洋的少年而言，是时候将历史翻篇，写入新章了。,default,
48,|角色故事4=''「第一百二十三回对阵：彦卿、景元。」<br>「将军，咱不比了吧！彦卿好累……」<br>「不是手中握剑，便有立足不败的信心吗？怎么虚了？」<br>「哪有侍卫对着要保护的对象动刀动剑的？万一伤着了……」<br>「你的身手若有你嘴皮子一半利索，眼下我已输了。让你一只手，赶快。」<br>「不行，得两只手！将军要不让个神君也行！」<br>「你当是天舶司的买卖，还能讨价还价么？唔，让我想想……」<br>「有破绽！看招！」<br>「一早料到了。破！」<br>「痛痛痛！可恶，彦卿可是等这机会好久了……」<br>「兵不厌诈，偷袭是个好法子。可惜，你出剑太重气势，藏不住形。这就是所谓的少年意气吧？」<br>「将军，再来再来！这回我尽量悄没声地动手…」''<br><br>,content,第一百二十三回对阵
49,景元花费了许多精力栽培彦卿，有人揣测他是想栽培后继，也有人说不过把这孩子当成秘密武器使唤。景元从未予以回应。<br><br>,default,
50,随着彦卿的技艺日渐精深，成为罗浮仙舟上罕有匹敌的战士，景元逐渐开始考虑如何收敛彦卿的锋芒，给予他失败的考验却又不至于摧折他。<br><br>,default,
51,过刚易折，过利则损。宝剑不仅需要锋刃，更需要约束锋刃的剑鞘。在景元看来，彦卿成长得很快，快的出乎预料。此时彦卿需要的已不再是力量，而是收敛和运使力量的经验——而这些，只有时间能给他。,default,
52,|速度=109,default,
53,|能量上限=140,default,
54,|晋阶属性材料=苦寒晶壳,default,
55,|晋阶系列材料=虚卒,default,
56,|生命值=121,default,
57,|20生命值=236,default,
58,|20+生命值=285,default,
59,|30生命值=346,default,
60,|30+生命值=394,default,
