line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=我们不擅长告别,default,
3,|任务地区=雅利洛-Ⅵ-磐岩镇,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=行星的真相已近乎明朗：席卷行星的巨大浩劫肇始于星核。<br>历任守护者对此皆心知肚明却全无办法，只好选择罗织谎言，使城市和她的子民能够在这虚假的片刻安宁中继续苟延残喘。<br>——但这并不能彻底解决问题。你非常清楚：只有摧毁星核，这颗星球和贝洛伯格才能重回正轨，而你们的列车也可再度踏上旅途。<br>将你的想法与同伴分享，并讨论决定接下来的行动吧。,content,行星的真相已近乎明朗
7,|奖励={{图标|里程|300}}{{图标|凝缩以太|3}}{{图标|信用点|8000}},default,
8,|任务条件=完成[[腐烂或燃烧]],default,
9,|开放等级=18,default,
10,|出场人物=三月七、丹恒、希儿、布洛妮娅、奥列格、桑博,default,
11,|相关道具=,default,
12,|系列任务=于枯索的冬夜里,default,
13,|任务编号=13,default,
14,|前置任务=*[[腐烂或燃烧]],default,
15,|后续任务=*[[在屋外的黑暗中洗涤]],default,
16,|任务流程=*与同伴一起梳理现状,default,
17,*回到歌德大饭店休息,default,
18,*上床睡觉,default,
19,*与同伴会合,default,
20,*与「地火」成员商讨后续计划,default,
21,}},default,
22,==剧情内容==,default,
23,=== 与同伴一起梳理现状 ===,default,
24,{{任务描述|行星的真相已近乎明朗：席卷行星的巨大浩劫肇始于星核。<br>历任守护者对此皆心知肚明却全无办法，只好选择罗织谎言，使城市和她的子民能够在这虚假的片刻安宁中继续苟延残喘。<br>——但这并不能彻底解决问题。你非常清楚：只有摧毁星核，这颗星球和贝洛伯格才能重回正轨，而你们的列车也可再度踏上旅途。<br>将你的想法与同伴分享，并讨论决定接下来的行动吧。}},content,行星的真相已近乎明朗
25,:{{颜色|描述|你回到歌德大饭店门前…}},default,
26,*三月七：哈…下层的事总算是告一段落了，可以去找「星核」啦。,content,三月七
27,*三月七：不过回想一下，感觉有点对不起克拉拉…我们本来答应她跟史瓦罗和平交谈来着……,content,三月七
28,{{剧情选项,default,
29,|选项1=是史瓦罗先动的手。,option,开拓者
30,|剧情1=*丹恒：开拓者已经尽力说服他了。没能事先准备得再周全些，是我的责任。,branch_content,丹恒
31,|选项2=抱歉，没能说服他…,option,开拓者
32,|剧情2=*丹恒：你尽力了，不用有负担，事先考虑不周是我的疏漏。况且，那时是史瓦罗先动手的，没别的办法。,branch_content,丹恒
33,|选项3=忘了加点「口才」。,option,开拓者
34,|剧情3=*丹恒：我们根本没有这套系统。,branch_content,丹恒
35,}},default,
36,*三月七：我不是让你们抢着分锅啦！,content,三月七
37,*三月七：往好了想，现在的结果也很不错啊？所有人都知道「星核」是罪魁祸首了，大家都愿意助我们一臂之力。,content,三月七
38,*三月七：任务进展顺利极了！,content,三月七
39,*丹恒：但还有很多事情没有弄清楚。比如……,content,丹恒
40,{{剧情选项,default,
41,|选项1=…「星核」到底在哪。,option,开拓者
42,|剧情1=*丹恒：正是，我们缺少「星核」的具体坐标和方位……,branch_content,丹恒
43,*丹恒：可可利亚态度的突然转变也非常奇怪。,content,丹恒
44,|选项2=…可可利亚为什么要迫害我们。,option,开拓者
45,|剧情2=*丹恒：正是，她突然改变了态度，背后一定有更深层的原因。,branch_content,丹恒
46,*丹恒：而且，我们仍然没有掌握「星核」的具体方位和坐标。,content,丹恒
47,|选项3=…桑博究竟是什么人？！,option,开拓者
48,|剧情3=*丹恒：…这就无关紧要了吧。,branch_content,丹恒
49,*丹恒：重要的是，我们仍然没有掌握「星核」的具体方位和坐标，也没有弄清楚可可利亚态度变化的原因。,content,丹恒
50,}},default,
51,*丹恒：现有的线索还没法完整地拼凑起来……,content,丹恒
52,*开拓者：其实我做了好几次梦…,content,开拓者
53,*丹恒：梦？,content,丹恒
54,*三月七：啊，记得你之前也提过做了怪梦什么的……,content,三月七
55,:{{颜色|描述|将前几次在睡梦中听到的低语告诉丹恒和三月七……}},default,
56,*丹恒：…三次梦境都是相同的场景，都包括可可利亚和另一个「声音」……,content,丹恒
57,*三月七：要说是巧合也太怪了。,content,三月七
58,*丹恒：我在想，或许这些片段并非无序的空想，其中会不会有某种规律？…只有你一直反复做这样的梦，原因是……,content,丹恒
59,*三月七：是…他/她体内的星核？,content,三月七
60,*丹恒：我是这么猜想的，但无法证明。,content,丹恒
61,*三月七：唉，那等于没说…所以咱们回地面以后该怎么行动呢？咱们说了半天，特别激动人心，可好像啥结论也没得出来……,content,三月七
62,*丹恒：聚沙成塔。先好好休息一晚，明天找「地火」的人一起研究吧。,content,丹恒
63,*丹恒：何况，还有一个核心人物没有交流过——她和可可利亚的联系，没准会是破局的关键。,content,丹恒
64,,default,
65,=== 回到歌德大饭店休息 ===,default,
66,{{任务描述|在和同伴充分交换意见之后，你们很快得出结论：当下最要紧之事务应是回到旅店房间好好睡一觉，回头再去请教「地火」的想法。<br>这听起来确实是有点扯，但你如何能拒绝长途跋涉和艰苦战斗之后的柔软床垫呢？<br>休息是为了走更长远的路——每个旅人都应该明白这一浅显的道理，包括你在内。}},content,你们很快得出结论
67,*开拓者：我们想休息一下。,content,开拓者
68,*歌蒂：你们回来啦？听「地火」说，你们帮忙解决了史瓦罗那边的麻烦，可真了不起！,content,歌蒂
69,*歌蒂：经历了这么多事，是不是累坏了？快吃点东西，然后好好休息一晚吧。,content,歌蒂
70,{{剧情选项,default,
71,|选项1=是该好好睡一觉了…,option,开拓者
72,|选项2=其实我还挺有精神的。,option,开拓者
73,|图标2=退出}},default,
74,,default,
75,=== 上床睡觉 ===,default,
76,{{任务描述|在和同伴充分交换意见之后，你们很快得出结论：当下最要紧之事务应是回到旅店房间好好睡一觉，回头再去请教「地火」的想法。<br>这听起来确实是有点扯，但你如何能拒绝长途跋涉和艰苦战斗之后的柔软床垫呢？<br>之前的你还对眼前的铺位有所嫌弃，可它现在简直是全世界最舒适的地方，没有之一。<br>晚安，也愿你不再从噩梦中惊醒。}},content,你们很快得出结论
77,:一股倦意涌上心头…提醒你已经很久没有休息过了。你坚信，这一次无论多么糟糕的梦境都不可能把你唤醒。,default,
78,----,default,
79,:{{颜色|描述|你进入了睡梦，而希儿和布洛妮娅在铆钉镇的孤儿院前回忆着过去…}},default,
80,*希儿：你看那边，看见了吗？那儿以前是整个铆钉镇最乱的街区，也是我长大的地方。,content,希儿
81,*希儿：我在那儿跟着大哥大姐们混，成天想的都是该去哪儿整下一顿。直到奥列格首领把我拎了出来，送到孤儿院。,content,希儿
82,*希儿：然后我就跟着娜塔莎学读书、写字，十岁开始跟着奥列格到各个矿区去巡查，有时还会跟当地的混混对峙……,content,希儿
83,*布洛妮娅：真好啊。,content,布洛妮娅
84,*希儿：真好？你在挖苦我吗？,content,希儿
85,*布洛妮娅：抱歉，下层区的生活很艰辛，我不该说得这么轻描淡写。,content,布洛妮娅
86,*希儿：干嘛这么郑重其事…你这点最让人受不了了。,content,希儿
87,*布洛妮娅：我的意思是，希儿——我有些羡慕你。,content,布洛妮娅
88,*布洛妮娅：从记事起，我每天的生活都在读书、礼教、训练中循环。,content,布洛妮娅
89,*布洛妮娅：每天都有人在耳边提醒我：「牢记你的身份，布洛妮娅」，「这有违筑城者的训诫，布洛妮娅」，「淑女不该说出如此粗鄙之语，布洛妮娅」……,content,布洛妮娅
90,*布洛妮娅：有些人会羡慕这样的生活，但是我却有些…不自在。一辈子都重复着同样的几件事，所有的目标都由别人为你设立…这种感觉，你大概没法想象吧？,content,布洛妮娅
91,*希儿：…确实想象不出来。不过我更关心，你到底说了啥「粗鄙之语」？,content,希儿
92,*布洛妮娅：……,content,布洛妮娅
93,*布洛妮娅：「我这就代表筑城者的意志，把枪戳进你的鼻孔」！,content,布洛妮娅
94,*希儿：哈哈哈，就这？这跟隔着靴子搔痒似的，不带劲。看来在你回去之前，我得好好教你几句黑话。,content,希儿
95,*布洛妮娅：不了不了。,content,布洛妮娅
96,*希儿：起码比戳鼻孔带劲儿……,content,希儿
97,*希儿：真没想到，我竟然会在这里跟未来的「守护者」谈心。我从小就没见过几个上层区的人。只听大人们讲的故事，我还以为你们都是群傲慢又冷漠的家伙。,content,希儿
98,*布洛妮娅：我听几个铁卫老兵说过，在隔绝令下达以前，上层和下层并没有什么分别。大家吃的是相同的食物，聊的是相同的话题，庆祝的也是相同的节日。,content,布洛妮娅
99,*布洛妮娅：到了我们这一代，虽然成长的环境有些不同…但说到生活中的喜怒哀乐、还有人与人之间的牵绊，这些珍贵的情感一定还是相通的。,content,布洛妮娅
100,*布洛妮娅：如果能有一座桥梁把上下层再次连结起来…我们一定还能回到那个不分你我的年代，并肩抵御寒潮和裂界。,content,布洛妮娅
101,*希儿：……,content,希儿
102,*希儿：我不像你，总结不出这么多大道理。不过…如果这就是你想看到的未来，我愿意跟你一起造这座桥。,content,希儿
103,*布洛妮娅：谢谢你，希儿。你的信任对我来说很重要。,content,布洛妮娅
104,*希儿：{{黑幕|希儿脸红了}}话、话说回来，下一步你打算怎么办？从史瓦罗那儿听到的事，对你肯定影响不小吧？,content,希儿
105,*布洛妮娅：…嗯。我原本以为自己已经做好心理准备了，但还是……,content,布洛妮娅
106,*布洛妮娅：只要我还是守护者继承人，就迟早会接触到那些真相。但母亲为什么要对我隐瞒这些，又为什么要我追捕知晓「星核」本质的外来者…我怎么也想不通。,content,布洛妮娅
107,*布洛妮娅：思前想后，我现在能做的事就只有一件——当面向她问个明白。,content,布洛妮娅
108,*希儿：你…等等，你不会真要去吧？你一个人去？不行，这主意也太……,content,希儿
109,*布洛妮娅：我已经想清楚了，希儿。我是可可利亚大人的女儿，这一点无论如何都不会改变。,content,布洛妮娅
110,*布洛妮娅：不管作为女儿还是作为银鬃铁卫，我都必须尽到当面谏言的责任。哪怕……,content,布洛妮娅
111,*希儿：布洛妮娅……,content,希儿
112,*布洛妮娅：这个给你，希儿。请帮我把它转交给那几位外来者。如果我没能和你们会合…他们会知道该怎么做。,content,布洛妮娅
113,*希儿：…好，我明白了。你清楚自己想干什么，我再怎么反对也是白费力气。你就给我记住一件事——要是你碰上了什么危险，我拼了命也会去救你的。,content,希儿
