line_number,content,category,character
1,{{光锥图鉴<!-- 本段为备注信息，以下请在=后填写对应数据-->,default,
2,|名称=我们是地火,default,
3,|稀有度=4星,default,
4,|命途=存护,default,
5,|命途材料=存护1,default,
6,|技能名称=泪中人,default,
7,|技能效果=战斗开始时，使我方全体受到的伤害降低{{颜色|描述2|8%/10%/12%/14%/16%}}，持续5回合。同时立即为我方全体回复等同于各自已损失生命值{{颜色|描述2|30%/35%/40%/45%/50%}}的生命值,default,
8,|获取方式=行动摘要、世界商店、奇珍琳琅、历战余响,default,
9,|获取途径=行动摘要（四）完成奖励、在[[世界商店#雅利洛-Ⅵ|地底商店]]累计消费500冬城盾获取、「信使」兑换、历战余响概率获得,default,
10,|实装版本=1.0,default,
11,|光锥TAG=全体减伤、全体生命值回复、战斗开始,default,
12,|相关角色=希儿,default,
13,|生命值=33,default,
14,|20生命值=129,default,
15,|20+生命值=169,default,
16,|30生命值=220,default,
17,|30+生命值=273,default,
18,|40生命值=324,default,
19,|40+生命值=378,default,
20,|50生命值=428,default,
21,|50+生命值=482,default,
22,|60生命值=532,default,
23,|60+生命值=586,default,
24,|70生命值=636,default,
25,|70+生命值=690,default,
26,|80生命值=740,default,
27,|攻击力=21,default,
28,|20攻击力=83,default,
29,|20+攻击力=109,default,
30,|30攻击力=141,default,
31,|30+攻击力=176,default,
32,|40攻击力=208,default,
33,|40+攻击力=243,default,
34,|50攻击力=275,default,
35,|50+攻击力=309,default,
36,|60攻击力=342,default,
37,|60+攻击力=376,default,
38,|70攻击力=409,default,
39,|70+攻击力=443,default,
40,|80攻击力=476,default,
41,|防御力=21,default,
42,|20防御力=80,default,
43,|20+防御力=106,default,
44,|30防御力=137,default,
45,|30+防御力=171,default,
46,|40防御力=202,default,
47,|40+防御力=236,default,
48,|50防御力=267,default,
49,|50+防御力=301,default,
50,|60防御力=332,default,
51,|60+防御力=366,default,
52,|70防御力=397,default,
53,|70+防御力=431,default,
54,|80防御力=463,default,
55,|晋阶材料=古代,default,
56,|光锥故事=她习惯了人们失去家园，<br>也习惯了人们失去生命，<br>但一个人时，哭泣也无用。<br><br>''「系上这条红丝巾，分担彼此痛苦。」<br>「我们是一家人…我们是地火。」''<br><br>当宽阔的手掌抚上她的脑袋，她终于忍不住掉下眼泪。,default,
57,}},default,
58,<br>,default,
59,{{主观提示|攻略相关}},default,
60,==推荐角色==,default,
61,"{| class=""wikitable"" style=""text-align:center""",default,
62,! 角色,default,
63,! 推荐说明,default,
64,|-,default,
65,|{{角色头像|杰帕德}}<br>{{角色头像|三月七}}<br>{{角色头像|开拓者•存护}},default,
66,"| style=""text-align:left"" | 存护角色的通用过度光锥。战斗开始降低全体受到的伤害，持续5回合，提高队伍的生存能力。战斗开始时的回血，在模拟宇宙中较为实用，会根据己方损失的生命值来回复，这个回血的效果只在战斗开始的时候触发一次。",default,
67,|},default,
68,{{WIKI底部导航|光锥=展开}},default,
