line_number,content,category,character
1,{{成就合集|战意奔涌|编号=03}},default,
2,<!--  新成就添加方式：）,content,新成就添加方式
3,{{成就|成就名,default,
4,|说明=成就说明,default,
5,|补充说明=补充说明（灰色字体部分）,default,
6,|奖励=数量,default,
7,|攻略=成就完成提示,default,
8,|版本=1.0版本不需要填写,default,
9,|隐藏=隐藏任务填写是，非隐藏无需填写,default,
10,|注释=成就名称neta说明等,default,
11,}},default,
12,空白复制模板如下：,content,空白复制模板如下
13,{{成就||说明=|补充说明=|奖励=|攻略=|版本=|隐藏=}},default,
14,-->,default,
15,{{左侧目录|开始}},default,
16,<div class=poke-bg>,default,
17,{{成就|势不可挡|说明=连续施放4次终结技|攻略=上阵四个角色，四个角色全部满充能之后，在同一个回合中同时释放终结技（建议关闭自动战斗或在设置中关闭自动战斗时自动使用终结技）|奖励=5}},default,
18,{{成就|破防致4|说明=单场战斗中对同一敌人造成4次弱点击破|奖励=5}},default,
19,"{{成就|认真殴打|注释=《一拳超人》中主角[https://mzh.moegirl.org.cn/%E5%9F%BC%E7%8E%89 琦玉]的招式“认真一拳”的中文翻译，属于琦玉“认真系列”招式之一|说明=造成大于等于1,000点单次伤害|攻略=核爆成就一律去打历战余响的末日兽，倒地后有10倍左右易伤，且无体力无奖励次数也可进入，允许反复凹，可以借好友角色，效率很高|奖励=5}}",default,
20,"{{成就|寸劲•开天|注释=寸劲•开天是游戏《崩坏3rd》中[https://mzh.moegirl.org.cn/%E7%AC%A6%E5%8D%8E(%E5%B4%A9%E5%9D%8F3)# 符华]开创的寸劲拳法中的一式|说明=造成大于等于20,000点单次伤害|奖励=10}}",default,
21,"{{成就|全数抹煞|说明=造成大于等于150,000点单次伤害|奖励=10}}",default,
22,"{{成就|连续普通拳|说明=单次攻击造成2,000点伤害|奖励=5|注释=《一拳超人》主角琦玉的普通招式「连续普通拳」。}}",default,
23,"{{成就|太虚剑神|注释=太虚剑神是游戏《崩坏3rd》中[https://mzh.moegirl.org.cn/%E7%AC%A6%E5%8D%8E(%E5%B4%A9%E5%9D%8F3)# 赤鸢仙人]开创的太虚剑气中的第五韵，传说可役使“神”，有“挡无可挡，避无可避”之名<br>赤鸢第五徒弟[https://mzh.moegirl.org.cn/%E7%A8%8B%E5%87%8C%E9%9C%9C 程凌霜]与赤鸢徒孙[https://mzh.moegirl.org.cn/%E6%9D%8E%E7%B4%A0%E8%A3%B3 李素裳]习得。后在柯洛斯滕战斗中，被符华破解|说明=单次攻击造成40,000点伤害|奖励=10}}",default,
24,"{{成就|毁世震荡|说明=单次攻击造成300,000点伤害|奖励=10}}",default,
25,"{{成就|创伤小组白金套餐|说明=我方角色单次提供的治疗量超过8,000点|攻略=需要单个治疗数字超过8000，目前主要由罗刹在模拟宇宙中完成|注释=创伤小组（Trauma Team）是CD Projekt RED开发的动作角色类游戏《赛博朋克2077》中的虚拟公司。白金会员是一个特殊身份，代表着在游戏世界中享有极高社会地位和财富的角色。持有这一身份的NPC（如桑德拉·多塞特）在游戏中通常能够获得创伤小组的优先服务和救治。|奖励=5}}",default,
26,"{{成就|壁垒|说明=单个角色同时持有的护盾量超过5,000点|奖励=5}}",default,
27,{{成就|冰与火之歌|注释=来自美国作家乔治.马丁的幻想小说《冰与火之歌》|说明=使1名敌人同时处于冻结和灼烧状态|奖励=5}},default,
28,{{成就|回忆、悲伤与荆棘|说明=使1名敌人同时处于4个持续伤害状态|奖励=5}},default,
29,{{成就|电子梦|说明=单场战斗中使用雷属性击破伤害消灭3名敌人|奖励=5}},default,
30,{{成就|华氏451°|说明=单场战斗中使用火属性击破伤害消灭3名敌人|奖励=5}},default,
31,{{成就|太阳风|说明=单场战斗中使用风属性击破伤害消灭3名敌人|奖励=5}},default,
32,{{成就|被毁灭的人|说明=单场战斗中使用物理属性击破伤害消灭3名敌人|奖励=5}},default,
33,{{成就|雷破阵（一）|说明=累计使用雷属性击破伤害消灭20名敌人|奖励=5}},default,
34,{{成就|雷破阵（二）|说明=累计使用雷属性击破伤害消灭60名敌人|攻略=在模拟宇宙低层刷|奖励=5}},default,
35,{{成就|火破阵（一）|说明=累计使用火属性击破伤害消灭20名敌人|奖励=5}},default,
36,{{成就|火破阵（二）|说明=累计使用火属性击破伤害消灭60名敌人|奖励=5}},default,
37,{{成就|风破阵（一）|说明=累计使用风属性击破伤害消灭20名敌人|奖励=5}},default,
38,{{成就|风破阵（二）|说明=累计使用风属性击破伤害消灭60名敌人|奖励=5}},default,
39,{{成就|物理破阵（一）|说明=累计使用物理属性击破伤害消灭20名敌人|奖励=5}},default,
40,{{成就|物理破阵（二）|说明=累计使用物理属性击破伤害消灭60名敌人|奖励=5}},default,
41,{{成就|遇事不决，量子力学|说明=单场战斗中造成5次量子属性的弱点击破|奖励=5}},default,
42,{{成就|冷酷的方程式|说明=单场战斗中造成5次冰属性的弱点击破|奖励=5}},default,
43,{{成就|虚数不能解释一切|说明=单场战斗中造成5次虚数属性的弱点击破|奖励=5}},default,
44,{{成就|量子破阵（一）|说明=累计触发100次量子属性击破效果|奖励=5}},default,
45,{{成就|量子破阵（二）|说明=累计触发300次量子属性击破效果|奖励=5}},default,
46,{{成就|冰破阵（一）|说明=累计触发100次冰属性击破效果|奖励=5}},default,
47,{{成就|冰破阵（二）|说明=累计触发300次冰属性击破效果|奖励=5}},default,
48,{{成就|虚数破阵（一）|说明=累计触发100次虚数属性击破效果|奖励=5}},default,
49,{{成就|虚数破阵（二）|说明=累计触发300次虚数属性击破效果|奖励=5}},default,
50,{{成就|先发制人|说明=使用秘技伤害消灭1名敌人|奖励=5}},default,
51,{{成就|秘技破阵（一）|说明=累计使用秘技伤害消灭10名敌人|奖励=5}},default,
52,{{成就|莫桑比克射击法|说明=单场战斗中通过追加攻击消灭3个敌人|奖励=5}},default,
