line_number,content,category,character
1,{{面包屑}},default,
2,== 简介 ==,default,
3,游戏中，每一个角色具有{{颜色|描述|战斗属性}}并在战斗中造成对应属性的伤害（目前仅有开拓者「初始为物理」以及三月七「初始为冰」可以转变属性），而敌人具有弱点属性，当使用某一属性角色攻击具有对应弱点的敌人时，会削减被攻击敌人的韧性值，当敌人韧性值被完全削减至0时，将触发弱点击破。玩家角色没有韧性，无法被削韧，但仍然可以被敌方施加属性异常状态。,default,
4,,default,
5,与《原神》不同，《崩坏：星穹铁道》中没有元素反应。,content,崩坏
6,,default,
7,目前游戏中具有7种属性，分别为：[[file:物理.png|24px|link=]]物理、[[file:火.png|24px|link=]]火、[[file:冰.png|24px|link=]]冰、[[file:雷.png|24px|link=]]雷、[[file:风.png|24px|link=]]风、[[file:量子.png|24px|link=]]量子、[[file:虚数.png|24px|link=]]虚数。,content,分别为
8,== 弱点击破效果 ==,default,
9,弱点击破效果'''即不同的属性攻击将敌人弱点击破时，所产生的对应效果'''。其中包括：击破触发伤害、击破异常状态（持续伤害、附加伤害、控制效果）、行动延后。<br>,content,其中包括
10,"{| class=""wikitable""",default,
11,|+ 弱点击破效果一览,default,
12,|-,default,
13,! width=8% | 属性 !! 特点 !!效果,default,
14,|-,default,
15,| [[file:物理.png|24px|link=]]物理 || 百分比伤害 || 造成物理属性伤害：伤害系数2，并施加{{颜色|描述2|裂伤}}状态（物理属性，伤害=韧性系数*2*击破基数；击破持续伤害对强大敌人有百分比伤害，精英敌人为16%生命值，首领敌人为7%生命值）。,content,造成物理属性伤害
16,|-,default,
17,| [[file:火.png|24px|link=]]火 || 破盾伤害高；持续伤害弱 || 造成火属性伤害：伤害系数2，并施加{{颜色|描述2|灼烧}}状态（火属性持续伤害，伤害系数1）。,content,造成火属性伤害
18,|-,default,
19,| [[file:冰.png|24px|link=]]冰 || 控制能力强；伤害弱 || 造成冰属性伤害：伤害系数1，并施加{{颜色|描述2|冻结}}状态（使敌人无法行动，造成冰属性附加伤害）。敌方从冻结恢复后，新一轮的行动值为敌方新行动值的50%。,content,造成冰属性伤害
20,|-,default,
21,| [[file:雷.png|24px|link=]]雷 || 破盾伤害低；持续伤害高 || 造成雷属性伤害：伤害系数1，并施加{{颜色|描述2|触电}}状态（雷属性持续伤害，伤害系数2）。,content,造成雷属性伤害
22,|-,default,
23,| [[file:风.png|24px|link=]]风 || 破盾伤害中；对精英效果好，唯一可叠加层数且初始持续2回合的持续伤害 || 造成风属性伤害：伤害系数1.5，并施加{{颜色|描述2|风化}}状态（风属性持续伤害，伤害系数1。当击破目标的是精英敌人时，则叠加3层风化）。,content,造成风属性伤害
24,|-,default,
25,| [[file:量子.png|24px|link=]]量子 || 控制能力弱；伤害下限低，上限高 || 造成量子属性伤害：伤害系数0.5，并施加{{颜色|描述2|纠缠}}状态（使敌人行动额外延后（0.2*击破特攻）），并在下个回合开始时对其造成额外的量子属性附加伤害（伤害系数0.6）。敌人在纠缠状态下每被攻击一次，附加伤害就会提高1倍，最高5倍。,content,造成量子属性伤害
26,|-,default,
27,| [[file:虚数.png|24px|link=]]虚数 || 控制能力强；伤害弱|| 造成虚数属性伤害：伤害系数0.5，并施加{{颜色|描述2|禁锢}}状态（使敌人行动额外延后（0.3*击破特攻）），同时使其速度降低10%（能与其他减速效果叠加）。,content,造成虚数属性伤害
28,|},default,
29,'''击破触发伤害计算公式'''：击破触发伤害=基础伤害（基于角色等级）*属性伤害系数*韧性系数（(敌方韧度数+2)/4）*（1+击破特攻%）<br>,content,击破触发伤害计算公式
30,'''击破持续伤害计算公式'''：击破持续伤害=基础伤害（基于角色等级）*属性持续伤害系数*（1+击破特攻%）<br>,content,击破持续伤害计算公式
31,''物理持续伤害是个例，并无持续伤害系数（百分比伤害）。''<br>,default,
