line_number,content,category,character
1,{{角色图鉴,default,
2,|名称=托帕&账账,default,
3,|外文名=Topaz and Numby,default,
4,|称号=,default,
5,|全名=叶琳娜,default,
6,|性别=女,default,
7,|稀有度=5星,default,
8,|限定=是,default,
9,|阵营=星际和平公司,default,
10,|命途=巡猎,default,
11,|命途材料=巡猎1,default,
12,|元素属性=火,default,
13,|介绍=星际和平公司旗下「战略投资部」高级干部托帕，领导特殊债务纠察小组。<br>年纪轻轻便已成为「石心十人」之一，基石为「催讨黄玉」。<br>搭档次元扑满「账账」则能敏锐感知「财富」所在，即便是安保、催债、精算等工作也不在话下。<br>如今他们正一同巡行银河，追究各类影响公司业务开展的债务纠纷。,default,
14,|TAG=召唤、追加攻击、暴击伤害、追加攻击易伤、自身伤害提升、能量、探索便利、自身召唤物行动提前,default,
15,|星魂TAG=,default,
16,|角色定位=托帕与工作搭档「账账」一同行动。战斗中，账账将自动攻击敌人，托帕则可以强化账账的输出能力。探索时，账账将和托帕一起行动，账账可发现未获取的战利品。,default,
17,|实装日期=2023年10月27日,default,
18,|实装版本=1.4,default,
19,|昵称/外号={{黑幕|识之律者}}、{{黑幕|火之债务处理人}}、{{黑幕|买榜姐}},default,
20,|派系=星际和平公司、石心十人,default,
21,|体型=女青年,default,
22,|职业=星际和平公司旗下「战略投资部」高级干部之一，领导特殊债务纠察小组,default,
23,|种族=人类&扑满,default,
24,|短信签名=出差中~小事留言，大事语音,default,
25,|所在位置=<!-- 地图名称 -->,default,
26,|中文CV=陆敏悦,default,
27,|日文CV=南條愛乃,default,
28,|韩文CV=방시우,default,
29,|英文CV=Sam Slade,default,
30,|卷首语=「钱是手段，不是目的，工作才使人快乐…这可是最基本的道理。」,default,
31,|角色详细=星际和平公司旗下「战略投资部」高级干部托帕，领导特殊债务纠察小组。<br>年纪轻轻便已成为「石心十人」之一，基石为「催讨黄玉」。<br>搭档次元扑满「账账」则能敏锐感知「财富」所在，即便是安保、催债、精算等工作也不在话下。<br>如今他们正一同巡行银河，追究各类影响公司业务开展的债务纠纷。,default,
32,|角色故事1=<i>「戴斯特，这份简历你看过了吗？」<br><br>「您说的是哪…噢，是她啊——这位刚刚在市场调研小组结束了实习，还引起了不小的轰动——呃，褒义的那种。」<br><br>「居然已经过了实习期了？唔……」<br><br>「哪里不对吗，德比斯基先生？」<br><br>「没什么，只是好奇，毕竟她的入职年龄也算是突破部门下限了…何况这姑娘的履历还这么惊人。我看看…嚯，签的居然还是『终身合同』？真没想到，那么落魄的星球上还能捡到这种人才……」<br><br>「我已经和业务同事核实过了，简历上的信息全部属实。而且，她甚至没把当时的入职测试结果写进去——听说她在精算、微经宏经、星际金融、管理学等学科测试上全都拿到了高分，甚至连体测也接近满分。她唯一没有及格的项目是……」<br><br>「嗯？是什么？」<br><br>「…是商务礼仪，她直接翘掉了那门测试。『我最讨厌的就是形式主义』——据说她当时是那么说的。」</i>,default,
33,|角色故事2=<i>「我说啊，你……」<br><br>「嗯？怎么了，德比斯基大叔？」<br><br>「…你应该知道办公室禁止携带宠物吧？」<br><br>「当然了！员工手册第八十六小节第一百四十四条——严禁携带任何形式的有机体宠物出入星际和平公司属下的办公场所。」<br><br>「…记得还真清楚啊？那你要不要解释解释——」<br><br>「——但我认为这条准则根本就是无稽之谈，完全没必要遵守。实话告诉您吧，大叔——有了这些可爱的小家伙在场，我的工作效率直接提高了百分之二十七！」<br><br>「…我倒是不会质疑从你嘴里说出来的数字，但是……」<br><br>「你看！这个小家伙——嘿呦——叫账账！可别把它当成普通的次元扑满哦，这小家伙对『金钱的味道』特别敏感！我现在不管去哪出差都得带着它，简直成了我的幸运星啦~」<br><br>「居然会在办公室里看到这种生物，还真是…咳，算了，我先假装没看到吧。只是下次总监视察的时——哎、哎哟！！怎么回事？！别、别咬我！快、快把这家伙拿走——」</i>,default,
34,|角色故事3=汇报人：弗朗西斯科•德比斯基<br>汇报对象：「翡翠」<br>汇报内容：组长述职<br><br>「翡翠」女士：<br><br>这应该是我最后一次通过系统向您递交述职报告了。时光荏苒，转眼间我已在战略投资部工作了半个琥珀纪，也经过一路摸爬滚打才爬升到如今的位置；虽算不得功成名就，但至少也为我的家庭积攒了足够几代人过上安逸生活的财富，我已别无他求。在此，也要特地感谢「翡翠」女士您一直以来给予第一六六市场组的大力支持。<br><br>言归正传，我在这次述职报告中将不再对第一六六市场组的近期工作内容和业绩多做赘述，以上内容在本组的工作月报中均有体现。这篇报告的唯一目的是向您引荐我组内的一名员工：███•████。<br><br>关于███•████的事迹和业务表现，想必您多少有所听闻。我在系统附件中附上了她的述职文件、以及组内多名员工对她的综合考评文档，供您参阅。尽管年纪尚轻，但███已经表现出了非凡的业务能力、管理思维和意志品质。我毫不怀疑，如果由她来接任第一六六市场组组长的职责，本组的营收和项目成功率将会更上一个台阶。我也有理由相信，以███展现出来的潜力，她的职场生涯绝不会就此止步，她未来必将在更大的舞台上大展宏图。以上，在我退居二线之后，希望您能多多关照███•████——诚如战略投资部一贯的主张：人才是最重要的投资，我相信她早已步入您的视线之中。<br><br>战略投资部第一六六市场组<br>弗朗西斯科•德比斯基<br>,content,汇报人
35,|角色故事4=<i>「戴斯特……」<br><br>「怎么了，德比斯基先生？」<br><br>「要不，你就先吃吧？我看不会有人来了。」<br><br>「没关系，我还不饿。怎么说这也是您的欢送会，还是再等等吧。」<br><br>「呵呵…我最知道这帮小崽子的德性了。一个个的，每天脑子里就只有工作，搞钱…怕是早就把我这个老领导给忘得一干二净了。」<br><br>「…我很遗憾，德比斯基先生。我本来以为，至少叶琳娜会……」<br><br>「——欸，别叫那个名字了，现在要叫『托帕』。真想不到啊，那姑娘竟然真成了他们的一员……」<br><br>「不服不行啊戴斯特，像我这种老顽固，再干几辈子都不可能沾到那个位置的边。人家已经是另一个世界的人咯，怎么可能有空来参加这样的小聚会？」<br><br>「您谦虚了，我觉得…啊，有人敲门——您别动，我去开。」<br><br>「…是谁啊，戴斯特？我这老花眼，有人站在我跟前都看不清……」<br><br>「抱歉，先生，没人来…是有人捎来了一封信。」<br><br>「噢…这样啊。谁寄来的，这么隆重？明明发条信息就可以了嘛……」<br><br>「信封上没有署名。您稍等，我念给您听吧——」<br><br>「亲爱的德比斯基先生：感谢您一路以来的厚爱和栽培！没有您的关照，就绝对不会有我的今天。实在抱歉，我现在远在泰科铵出差，不便参与您的退休欢送会。等到这桩项目结了，我一定会抽出一天时间来探望您。对了，我记得您的爱好之一就是机动球——我会从泰科铵给您带纪念品回来的。您永远忠诚的，小叶琳娜。」<br><br>「……」<br><br>「德比斯基…先生？您…哭了？」</i>,content,亲爱的德比斯基先生
36,|晋阶属性材料=过热钢刃,default,
37,|晋阶系列材料=铁卫<!-- 选填：原核、虚卒、铁卫、古代、永寿、工造 -->,content,选填
38,|周本材料=无穷假身的遗恨,default,
39,|速度=110,default,
40,|能量上限=130,default,
41,|生命值=126,default,
42,|20生命值=247,default,
43,|20+生命值=297,default,
44,|30生命值=361,default,
45,|30+生命值=411,default,
46,|40生命值=475,default,
47,|40+生命值=525,default,
48,|50生命值=589,default,
49,|50+生命值=639,default,
50,|60生命值=703,default,
51,|60+生命值=753,default,
52,|70生命值=817,default,
53,|70+生命值=868,default,
54,|80生命值=931,default,
55,|攻击力=84,default,
56,|20攻击力=165,default,
57,|20+攻击力=199,default,
58,|30攻击力=241,default,
59,|30+攻击力=275,default,
60,|40攻击力=317,default,
61,|40+攻击力=351,default,
62,|50攻击力=393,default,
63,|50+攻击力=427,default,
64,|60攻击力=470,default,
65,|60+攻击力=504,default,
66,|70攻击力=546,default,
67,|70+攻击力=580,default,
68,|80攻击力=622,default,
69,|防御力=56,default,
70,|20防御力=109,default,
71,|20+防御力=131,default,
72,|30防御力=159,default,
73,|30+防御力=182,default,
74,|40防御力=210,default,
75,|40+防御力=232,default,
76,|50防御力=260,default,
77,|50+防御力=283,default,
78,|60防御力=311,default,
79,|60+防御力=333,default,
80,|70防御力=361,default,
81,|70+防御力=384,default,
82,|80防御力=412,default,
83,|星魂1=未来市场,default,
84,|星魂1描述=陷入【负债证明】状态下的敌方目标受到追加攻击时，将会陷入【被执行】状态，单次攻击内最多生效1次。<br>【被执行】使敌方目标受到的追加攻击的暴击伤害提高25%，最多叠加2层。【负债证明】被移除时，【被执行】也会被移除。,default,
85,|星魂2=善意收购,default,
86,|星魂2描述=账账自身行动并发动攻击后，托帕恢复5点能量。,default,
87,|星魂3=抓大放小,default,
