line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=扶灵游贾，仗剑新卒,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=冒险任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.0,default,
8,|任务描述=突然之间，你和丹恒又取得了联系。简单寒暄几句后，你迫不及待地询问他的冒险经历…,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|星琼|30}}{{图标|漫游指南|2}}{{图标|怪盗的千人假面|1}}{{图标|凝缩以太|3}}{{图标|信用点|14000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=完成开拓任务[[迴星周旋，未卜知先]]，且未领取开拓任务[[金鼎灵树，穷途梼杌]],default,
12,|开放等级=29,default,
13,|相关活动=,default,
14,|相关成就=,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=丹恒、素裳、罗刹,default,
18,|领取地点=完成开拓任务[[迴星周旋，未卜知先]]后收到丹恒短信接取,default,
19,|系列任务=丹恒的故事,default,
20,|任务编号=01<!-- 有系列任务时填写 -->,default,
21,|前置任务=*[[迴星周旋，未卜知先]],default,
22,*[[旧影婆娑，追思错落]]<!-- *[[前置任务]] -->,default,
23,|后续任务=*[[十王敕命，劫余同行]],default,
24,*[[诸天无安，迷途难返]]<!-- *[[后续任务]] -->,default,
25,|任务流程=*和素裳交谈,default,
26,*穿过流云渡，和列车组汇合,default,
27,*绕路穿过流云渡，和列车组汇合,default,
28,*乘星槎离开流云渡<!-- *任务流程 -->,default,
29,}},default,
30,==剧情内容==,default,
31,===任务接取短信===,default,
32,{{角色对话|模板开始|丹恒|智库相关找我}},default,
33,{{角色对话|左|丹恒|文本|…方才有些情况，我到仙舟了。你们还好吗？|是}},default,
34,{{剧情选项,default,
35,|选项1=情况？什么情况？,option,开拓者
36,|剧情1={{角色对话|右|开拓者|文本|什么情况？列车没事吧？你怎么来仙舟了？|是}},branch_content,
37,|选项2=你怎么到仙舟了？,option,开拓者
38,|剧情2={{角色对话|右|开拓者|文本|你怎么来仙舟了？列车没事吧？什么情况？|是}}}},branch_content,
39,{{角色对话|左|丹恒|文本|…我就当你回复了「好」吧|是}},default,
40,{{角色对话|左|丹恒|文本|说来话长，我在流云渡，跟一个云骑在一起，出来就和你们汇合|是}},default,
41,{{角色对话|左|丹恒|文本|对了，列车没事。我是自己过来的，有空详说|是}},default,
42,{{角色对话|右|开拓者|文本|好，我很感兴趣，详细说说}},default,
43,:{{颜色|描述|开启丹恒的故事•其一}},default,
44,{{角色对话|模板结束}},default,
45,----,default,
46,:{{颜色|描述|挑战拓境探游[[流云渡]]}},default,
47,{{提示|蓝色|宽度=100%|突然之间，你和丹恒又取得了联系。简单寒暄几句后，你迫不及待地询问他的冒险经历…|介绍}},default,
48,*丹恒：这「流云渡」的运货通道若是稍有变化，整个路线就截然不同了。,content,丹恒
49,*丹恒：两位认得路吗？,content,丹恒
50,*罗刹：我不认得。,content,罗刹
51,*素裳：哈哈，本姑娘就是从这儿来的，熟得很，跟我走就没错啦。,content,素裳
52,,default,
53,===和素裳交谈===,default,
54,{{任务描述|突然之间，你和丹恒又取得了联系。简单寒暄几句后，你迫不及待地询问他的冒险经历…|仙舟「罗浮」-流云渡}},default,
55,*素裳：那个…闷葫芦，你准备好了就跟我说一声，咱们好出发。,content,素裳
56,{{折叠|折叠=是|标题=额外对话（试图离开任务范围）|内容=,default,
57,*素裳：闷葫芦先生，你这是要跑哪儿去啊？}},content,素裳
58,{{折叠|折叠=是|标题=额外对话（罗刹）|内容=,default,
59,*罗刹：丹恒兄弟是罗浮人么？,content,罗刹
60,{{剧情选项,default,
61,|选项1=是。,option,开拓者
62,|剧情1=*罗刹：这样啊…你不愿多说，也没关系。,branch_content,罗刹
63,|选项2=不是。,option,开拓者
64,|剧情2=*罗刹：哦，不知怎的，我看你与罗浮有种极为契合的感觉…大概是我看错了吧。,branch_content,罗刹
65,|选项3=（沉默）,option,开拓者
66,|剧情3=*罗刹：…抱歉，多此一问。}},branch_content,罗刹
67,*罗刹：我有时掌握不好与人交流的分寸，希望没有冒犯到你。,content,罗刹
68,{{剧情选项,default,
69,|选项1=有事请教…,option,开拓者
70,|图标1=对话,default,
71,|剧情1=*罗刹：请说。,branch_content,罗刹
72,{{剧情选项,default,
73,|选项1=罗浮封锁之事，你知道多少？,option,开拓者
74,|图标1=对话,default,
75,|剧情1=*罗刹：几乎一无所知。我本要依照行程登船离开罗浮，突然听说爆发了骚乱。,branch_content,罗刹
76,*罗刹：隔壁这位素裳姑娘是云骑军人，去问她吧。,content,罗刹
77,|选项2=这位云骑姑娘是什么人？,option,开拓者
78,|图标2=对话,default,
79,|剧情2=*罗刹：她叫素裳，好像刚从仙舟「曜青」调动过来。,branch_content,罗刹
80,*罗刹：据我所知，每艘仙舟虽然独立行事，但云骑军却是由元帅统一指挥的，故而各支云骑之间常有兵将调遣，也不奇怪。,content,罗刹
81,|选项3=还有别的问题…,option,开拓者
82,|图标3=返回}},default,
83,|选项2=谈谈你吧。,option,开拓者
84,|图标2=对话,default,
85,|剧情2=*罗刹：我？,branch_content,罗刹
86,{{剧情选项,default,
87,|选项1=你不像仙舟人，从哪儿来的？,option,开拓者
88,|图标1=对话,default,
89,|剧情1=*罗刹：行商没有所属，四处漂泊，星海为家。但如果你好奇…我在联盟的注册地是仙舟「玉阙」；在公司的登记号隶属于北谷星：星和商城分部。,branch_content,罗刹
90,*罗刹：…所以罗刹只是我在仙舟的常用名。仙舟以外的地方，我有个更拗口的名字。我猜你也想问这个吧？,content,罗刹
91,|选项2=作为商人，你的武艺不错。,option,开拓者
92,|图标2=对话,default,
93,|剧情2=*罗刹：谁叫宇宙这么危险呢。作为行商，公司和联盟只能庇佑我们进行星际穿越而已，安保这件事可全得看自己的手段。,branch_content,罗刹
94,*罗刹：剑术和医术，都是这么练出来的。丹恒兄弟也是漂泊的人，一定能理解吧。,content,罗刹
95,|选项3=那口棺材里是什么？,option,开拓者
96,|图标3=对话,default,
