line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=挽澜扶危，舍我其谁,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓续闻,default,
6,|角色=云璃,default,
7,|命路群像=猎野围城,default,
8,|所属版本=2.5,default,
9,|任务描述=竞锋舰上异变陡生，意料之中的呼雷来袭终成现实。巡视舰船安全的云璃执剑而立，决心完成爷爷的嘱托。,default,
10,|奖励={{图标|里程|200}}{{图标|星琼|30}}{{图标|提纯以太|2}}{{图标|遗失晶块|2}}{{图标|《天霄登临》|1}}{{图标|《撄锋竞武》|1}}{{图标|信用点|40000}},default,
11,|任务条件=完成任务[[解裂残躯，独狼负隅]],default,
12,|开放等级=21,default,
13,|相关成就=,default,
14,|相关道具=,default,
15,|相关书籍=,default,
16,|出场人物=云璃、三月七、彦卿,default,
17,|领取地点=,default,
18,|系列任务=明霄竞武试锋芒•下,default,
19,|任务编号=09,default,
20,|前置任务=*[[解裂残躯，独狼负隅]],default,
21,|后续任务=*[[岂曰无持，同气连枝]],default,
22,|任务流程=*（可选）关心三月七的情况,default,
23,*向云骑打探消息,default,
24,*检查可疑的星槎,default,
25,*搜查引擎室，找出故障源,default,
26,*赶赴演武擂台，阻止步离人的袭击,default,
27,}},default,
28,,default,
29,==剧情内容==,default,
30,{{提示消息|黄色|'''正在切换至【云璃】视角…'''<br>竞锋舰上，山雨欲来的气氛令云璃焦躁不安…}},default,
31,:{{颜色|描述|演武仪典即将召开，竞锋舰}},default,
32,*云璃：「我要托付你们的绝不只是擂台上的胜负荣辱，还有竞锋舰的安全。」,content,云璃
33,*云璃：爷爷说的倒是轻松，尽给我出些难题。,content,云璃
34,*云璃：第一场擂赛马上就要开始了…不知彦卿那边是否一切顺利？,content,云璃
35,*云璃：按照计划，我也该找竞锋舰上的云骑士兵问问，看看他们有什么发现。,content,云璃
36,,default,
37,=== （可选）关心三月七的情况 ===,default,
38,{{任务描述|竞锋舰上，等待的焦灼与悬危的气氛令云璃也坐立不安。她决定在擂赛开始前巡视竞锋舰各处，确保一切安全无虞。|仙舟「罗浮」-竞锋舰}},default,
39,*云璃：擂赛开始前，要不抽空跟三月见个面？,content,云璃
40,*云璃：三月现在就待在选手休息室里，也不知道她准备得如何了……,content,云璃
41,----,default,
42,*云璃：三月，是我，云璃。你还好吗？,content,云璃
43,*三月七：呜哇啊啊啊啊——,content,三月七
44,*三月七：哎哟，疼疼疼疼，稍等一下，我马上过来。,content,三月七
45,*云璃：哎…慌慌张张的。,content,云璃
46,----,default,
47,:{{颜色|灰|三月七走出休息室}},default,
48,*云璃：感觉你有点紧张了。,content,云璃
49,*三月七：原本我也没有这么紧张的，但一个人待在休息室里就会越想越多。毕竟这一次参加演武仪典，咱们的身上还背负着这么重的任务……,content,三月七
50,*云璃：三月，冷静一点。,content,云璃
51,{{剧情选项|选项1=别担心你的任务，还有我帮你。}},default,
52,*云璃：别担心你的任务。你不是还有我吗。别被爷爷「代表罗浮守擂」的出战名头给唬住了。,content,云璃
53,*云璃：问问你自己，你是星穹列车无名客，一向来去自由，但为什么在爷爷把任务交给我们后，你和我一起登上了这竞锋舰？,content,云璃
54,*三月七：要说为什么的话…因为我也希望，演武仪典能顺利召开。,content,三月七
55,*三月七：对无名客来说，虽然每一站我们都只是过客…可在这里我结识了两位师父，也认识了许多朋友。为了大家，我希望这场「演武仪典」能一切顺利。,content,三月七
56,*云璃：答的好！擂赛马上就要开始了，我必须去完成爷爷交付的任务了。,content,云璃
57,*云璃：三月，祝你宝剑常锋，登擂夺胜。,content,云璃
58,*三月七：…谢谢你，云璃师父。,content,三月七
59,{{折叠|标题=额外对话（三月七）|内容=,default,
60,*云璃：好不容易让她没有那么紧张了，现在就不去打扰她了。,content,云璃
61,|折叠=是}},default,
62,,default,
63,=== 向云骑打探消息 ===,default,
64,*云璃：按照爷爷的安排，现在应该问问竞锋舰上的云骑士兵，有没有新的情况……,content,云璃
65,----,default,
66,*执勤士兵：这不是云璃小姐吗？如果有什么事情需要帮助的，请告诉在下。,content,执勤士兵
67,{{剧情选项,default,
68,|选项1=云骑的布置情况怎么样了？,option,开拓者
69,|剧情1=*执勤士兵：按照怀炎将军的指示，云骑已经各就其位。,branch_content,执勤士兵
70,|选项2=你有发现有「狼」的情况吗？,option,开拓者
71,|剧情2=*执勤士兵：眼下我们还没有注意到异常情况。,branch_content,执勤士兵
72,}},default,
73,*云璃：做得很好，不过我还得和你再次确认一下——,content,云璃
74,{{剧情选项,default,
75,|选项1=你们有识别步离人的手段吗？,option,开拓者
76,|剧情1=*执勤士兵：很遗憾，我们目前没有能区分步离人与狐人的手段。,branch_content,执勤士兵
77,*执勤士兵：不过可以肯定的是，关于伪造身份，云骑正在抓紧排查溯源……,content,执勤士兵
78,|选项2=讲讲眼下云骑的部署规划？,option,开拓者
79,|剧情2=*执勤士兵：竞锋舰上全体云骑各司其职，不敢怠慢。,branch_content,执勤士兵
80,*云璃：我和三月七已经感受到了，来到竞锋舰上的云骑士兵们个个都是精锐。,content,云璃
81,|图标1=对话,default,
82,|图标2=对话,default,
83,}},default,
84,{{剧情选项|选项1=我想确认有无异常登舰的情况。}},default,
85,*执勤士兵：云璃小姐来得正是时候，就在刚才，我们收到了一个紧急登舰请求。,content,执勤士兵
86,*云璃：紧急登舰请求？,content,云璃
87,*执勤士兵：它不在抵达竞锋舰的星槎航班表上，不过星槎上本身通牒文件都是正式的。,content,执勤士兵
88,*云璃：谁会在这个时候登舰？位置在哪，我去检查一下。,content,云璃
89,*执勤士兵：那艘星槎会从选手用的停船港登舰，需要在下为您带路吗？,content,执勤士兵
90,*云璃：不用了，你还有执勤的任务，我一个人去就行。,content,云璃
91,,default,
92,=== 检查可疑的星槎 ===,default,
93,{{任务描述|竞锋舰上，等待的焦灼与悬危的气氛令云璃也坐立不安。她决定在擂赛开始前巡视竞锋舰各处，确保一切安全无虞。<br>一艘姗姗来迟的星槎引起了她的警觉。|仙舟「罗浮」-竞锋舰}},default,
94,*云璃：（我得赶紧去确认一下。）,content,云璃
95,----,default,
96,*云璃：例行检查！请登舰乘客立刻接受检查。,content,云璃
