line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=授剑传行，腾然流星,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓续闻,default,
6,|角色=三月七,default,
7,|命路群像=屯蒙御寇,default,
8,|所属版本=2.4,default,
9,|任务描述=在怀炎半是玩笑、半是试探的邀请下，三月七意外得到了登上演武仪典的机会。受学于罗浮与朱明两大将军的高足，有机会一窥仙舟剑术的堂奥，三月真是前途无量、可喜可贺啊。,default,
10,|奖励={{图标|星琼|100}}{{图标|漫游指南|8}}{{图标|遗失晶块|8}}{{图标|信用点|128000}},default,
11,|任务条件=完成任务[[神锋有归，众议难违]],default,
12,|开放等级=21,default,
13,|相关成就=通往群星的轨道#剑花秋莲光出匣,default,
14,|相关道具=,default,
15,|相关书籍=,default,
16,|出场人物=三月七、丹恒、彦卿、云璃、椒丘,default,
17,|领取地点=,default,
18,|系列任务=明霄竞武试锋芒•上,default,
19,|任务编号=06,default,
20,|前置任务=*[[神锋有归，众议难违]],default,
21,|后续任务=*[[潜迹狼烽，兽骇鸟惊]],default,
22,|任务流程=*找到三月七与丹恒,default,
23,*求学剑艺,default,
24,*随彦卿前往迴星港,default,
25,}},default,
26,,default,
27,==剧情内容==,default,
28,=== 找到三月七与丹恒 ===,default,
29,{{任务描述|在怀炎半是玩笑、半是试探的邀请下，三月七意外得到了登上演武仪典的机会。受学于罗浮与朱明两大将军的高足，有机会一窥仙舟剑术的堂奥，三月真是前途无量、可喜可贺啊。|仙舟「罗浮」-星槎海中枢}},default,
30,:{{颜色|描述|一日奔波，你们来到浥尘客栈安顿歇息……}},default,
31,:{{颜色|描述|这一夜，你被面见将军的不安，以及演武仪典召开前的热闹人流搅扰得难以成眠。}},default,
32,:{{颜色|描述|第二天}},default,
33,*开拓者：睡得迷迷糊糊……,content,开拓者
34,*开拓者：奇怪，是我起晚了吗？三月和丹恒这是去了哪儿？,content,开拓者
35,----,default,
36,*三月七：开拓者，你来了啊。,content,三月七
37,{{剧情选项,default,
38,|选项1=彦卿怎么也在这儿？,option,开拓者
39,|剧情1=*彦卿：你该不会忘了昨天我们应承怀炎将军的事情吧？彦卿不敢怠慢，我特地起了个大早，来教授三月小姐剑术。,branch_content,彦卿
40,|选项2=哪有师父上门接徒弟的？,option,开拓者
41,|剧情2=*彦卿：毕竟是应承了怀炎将军的要求，彦卿不敢怠慢。我特地起了个大早，来教授三月小姐剑术。,branch_content,彦卿
42,|选项3=三月，还不快拜见师父？,option,开拓者
43,|剧情3=*三月七：彦卿师父在上~,branch_content,三月七
44,*三月七：看幻戏和小说里，仙舟拜师学艺可得送上师父大礼，跪拜叩首。糟糕，我可什么都没准备。,content,三月七
45,}},default,
46,*三月七：哎，彦卿师父，你怎么脸红啦？,content,三月七
47,*彦卿：第一次听到别人叫自己师父，彦卿得稍微…适应一下……,content,彦卿
48,*彦卿：不过，有言在先，习剑是为了锻炼体魄、心智与力量，不是朝夕可达的游戏。,content,彦卿
49,*彦卿：我答应了怀炎将军，要让三月小姐学会云骑剑术，登上演武仪典，以及至少击败一位对手。我一定会竭尽所能施教，但要是你有违师长教训……,content,彦卿
50,{{剧情选项,default,
51,|选项1=你、你要怎么样？,option,开拓者
52,|剧情1=*三月七：现在后悔还来得及吗？都怪我一时冲动。,branch_content,三月七
53,*彦卿：…说实话，我也不知该怎么办。毕竟我是第一天教人。那就拜托三月小姐规规矩矩，不许叫苦，也不准逃课。,content,彦卿
54,*开拓者：彦卿师父，你得支棱起来，狠狠培养她。,content,开拓者
55,*三月七：开拓者，你好狠的心啊。,content,三月七
56,|选项2=三月很乖的！,option,开拓者
57,|剧情2=*三月七：本姑娘一言既出，星槎难追！既然答应了好好学，就从今天开始！,branch_content,三月七
58,*彦卿：好啊，要的就是这股精气神。,content,彦卿
59,*丹恒：彦卿，三月就拜托你了，可别对她太客气了。,content,丹恒
60,*三月七：丹恒，你的心真是比你平日里的笑话还冷。,content,三月七
61,}},default,
62,*三月七：说起来，云璃呢？,content,三月七
63,*彦卿：彦卿在司辰宫后花园处找了个僻静的地方，我们会在那儿一起为你上第一堂课。,content,彦卿
64,:{{颜色|描述|三月七朝你和丹恒挥了挥手，开始了她习剑之路的第一课……}},default,
65,{{提示消息|黄色|'''正在切换至【三月七】视角…'''<br>在怀炎将军有意无意的推波助澜下，三月七意外得到了学习仙舟剑艺，献技演武仪典的机会……}},default,
66,*云璃：第一天上课，就带着徒弟一起迟到，罗浮上的规矩怎么如此散漫？唉…真让为师寒心。,content,云璃
67,*三月七：啊，云璃师父已经到了。久等了！,content,三月七
68,*云璃：你该不会想一个人偷偷教她吧？太卑鄙啦！,content,云璃
69,*彦卿：让你见识见识，这就是罗浮人授徒传艺的周到礼数！哪怕是弟子，我也会将她亲自接来。,content,彦卿
70,*彦卿：作为东道主，我会传授三月小姐罗浮剑术的精华，然后让她在擂台上大获全胜。到时候，你就没法再对罗浮的剑法优劣评头论足了吧！,content,彦卿
71,*云璃：一边待着去。我让你瞧瞧，朱明仙舟的剑士是如何宠爱弟子的。,content,云璃
72,*云璃：三月七，快来啊，这是为师送给你的「反向拜师礼」，望你善加利用。,content,云璃
73,*三月七：这是…仙舟服饰？好漂亮呀！,content,三月七
74,*云璃：练剑需要身法步法配合，这套衣服剪裁贴身，便于活动。我还特意备了些小配饰，可是花了我不少心思。,content,云璃
75,*三月七：云璃师父对我真好！,content,三月七
76,*云璃：瞧见了吗，你拿什么和我比？我会让三月七学到朱明剑术的要义，让她以我的剑胜出擂台，哼哼。,content,云璃
77,*彦卿：我也不是没有准备。,content,彦卿
78,*三月七：诶？彦卿师父也有礼物要送给我吗？,content,三月七
79,*彦卿：既然三月小姐来学剑，那总要有柄趁手的兵刃才行，就连夜置办了一套对剑。,content,彦卿
80,*彦卿：可惜时间仓促，来不及请匠人定制。我只好尽力选了模样好看，配重又适合初学者的武器。若是三月小姐不嫌弃，那就太好了。,content,彦卿
81,*三月七：谢谢彦卿师父！,content,三月七
82,*彦卿：没想到吧云璃？,content,彦卿
83,*云璃：哼，真正的比试现在才刚刚开始。,content,云璃
