line_number,content,category,character
1,{{多义词|搜查记录「执事精神」、搜查记录「打感情牌」、搜查记录「武力威胁」、搜查记录「书籍扉页」、搜查记录「诚恳请求」、搜查记录「破财消灾」}},default,
2,{{道具,default,
3,|名称=搜查记录「书籍扉页」,default,
4,|稀有度=3星<!-- 例：5星 -->,content,例
5,|类型=任务道具<!-- 按照游戏内类型填写 -->,default,
6,|描述=<!-- 图标下面的白色字体，若无可留空 -->,default,
7,|介绍=三月七挥舞着这张想象中的扉页，言之凿凿地断言道：「这上面大概也许可能绝对写了接头暗号！」<!-- 灰色字体的部分，最下面括号括起来的部分需要用斜体 -->,content,言之凿凿地断言道
8,|获取方式=任务<!-- 筛选用简单描述：任务、活动、探索、商店等，顿号分隔 -->,content,筛选用简单描述
9,|获取途径=同行任务[[异邦骑士]]获得<!-- 填写游戏内显示获得途径，更多可补充，顿号分隔 -->,default,
10,|相关任务=异邦骑士、隐秘的角落,default,
11,|相关活动=,default,
12,|实装版本=1.1,default,
13,|价格=,default,
14,|相关成就=<!-- 例：与你同行的回忆#十七岁的地图，顿号分隔 -->,content,例
15,|用处=<!-- 无描述的任务道具等填写，可留空 -->,default,
16,}},default,
17,{{WIKI底部导航|角色图鉴=展开}},default,
