line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=故客重游，演武天舟,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓续闻,default,
6,|所属版本=2.4,default,
7,|任务描述=在尚未踏入下一站旅程前，列车接到了来自罗浮仙舟的通讯，景元向暂无去向的众人发出邀请，参加演武仪典。,default,
8,|奖励={{图标|里程|400}}{{图标|星琼|50}}{{图标|漫游指南|4}}{{图标|提纯以太|5}}{{图标|信用点|30000}},default,
9,|任务条件=开拓等级≥21级<br>,default,
10,※建议完成开拓任务「仙舟『罗浮』」-「[[安灵布奠，天清路远]]」后体验本内容。,default,
11,|开放等级=21,default,
12,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
13,|相关道具=,default,
14,|相关书籍=,default,
15,|出场人物=姬子、景元、瓦尔特、三月七、丹恒、彦卿、云璃,default,
16,|领取地点=,default,
17,|系列任务=明霄竞武试锋芒•上,default,
18,|任务编号=01,default,
19,|前置任务=<!-- *[[前置任务]] -->,default,
20,|后续任务=*[[衔令来使，真意难识]],default,
21,|任务流程=*接收来自仙舟的通讯,default,
22,*（可选）与瓦尔特、姬子讨论旅行计划,default,
23,*与三月七、丹恒讨论旅行计划,default,
24,*在人群中寻找彦卿,default,
25,*与彦卿再度见面,default,
26,*与彦卿交谈，询问状况,default,
27,*陪同彦卿向在场云骑询问状况,default,
28,}},default,
29,,default,
30,==剧情内容==,default,
31,=== 接收来自仙舟的通讯 ===,default,
32,{{任务描述|在尚未踏入下一站旅程前，列车接到了来自罗浮仙舟的通讯，景元向暂无去向的众人发出邀请，参加演武仪典。|星穹列车-观景车厢}},default,
33,*系统：您有一条跨星际通讯信息，请及时查收。,content,系统
34,*帕姆：喔？唔……,content,帕姆
35,*姬子：怎么了，帕姆？,content,姬子
36,*帕姆：列车刚刚收到了一条从罗浮仙舟发来的消息，从摘要来看，似乎会和接下来的行程计划有冲突。,content,帕姆
37,:{{颜色|灰|景元的投影出现在车厢里…}},default,
38,*景元：许久不见了，星穹列车的朋友们，不知各位的开拓之旅是否顺利？,content,景元
39,*景元：近日罗浮仙舟即将举行庆礼「星天演武」仪典。诸位曾帮助罗浮弭平灾厄，是仙舟联盟的好朋友。在此景元代表神策府诚邀诸位莅临观礼，请诸位务必拨冗赏光。,content,景元
40,----,default,
41,*姬子：还真是热闹啊，才从家族的「谐乐大典」中抽身，这么快就有了新的邀请。,content,姬子
42,{{剧情选项,default,
43,|选项1=开拓，就是快乐。,option,开拓者
44,|剧情1=*三月七：这么一想，咱们「开拓之旅」就要变成了到处吃吃喝喝玩玩的「快落之旅」。,branch_content,三月七
45,*帕姆：快…落？,content,帕姆
46,*三月七：是啊，吃吃喝喝玩玩，一路快速堕落的「快落」。,content,三月七
47,|选项2=对「盛会」都有心理创伤了。,option,开拓者
48,|剧情2=*三月七：咱也一样！,branch_content,三月七
49,*三月七：还有还有，连赶两场「盛会」活动，是不是显得有些不务正业了？列车的正事该是恢复星图和航路数据，顺带做些严肃的科考工作吧？,content,三月七
50,}},default,
51,*丹恒：那就让三月留下维护列车？,content,丹恒
52,*三月七：我、我可没说不想去。我是很喜欢凑热闹的啦…只是希望下一个凑热闹的地方不要再冒出个什么星期五、星期六来跟我们作对。,content,三月七
53,*瓦尔特：罗浮仙舟才度过了危机，举办演武仪典也是在对外彰显自己和平安全的状态。,content,瓦尔特
54,*三月七：去匹诺康尼之前大家也是这么说的！「在『家族』的保护下不会有任何危险～」,content,三月七
55,*丹恒：倒也不必杯弓蛇影。演武仪典不似「谐乐大典」那样隐藏了诸多秘密。它只是为纪念帝弓与云骑对抗丰饶孽物，拯救仙舟的壮举而设的节庆罢了。,content,丹恒
56,*丹恒：典礼前后除去星槎巡航的演出外，不过是些比武斗剑的竞赛。和我们去看过的泰科铵机动球没什么区别。,content,丹恒
57,*瓦尔特：姬子，你觉得如何？按照列车目前的状况，我们接受了黑天鹅女士的提议，应该安排一次去翁法罗斯的「开拓之旅」，补充燃料。,content,瓦尔特
58,*姬子：时间倒也不算紧迫。这次「开拓之旅」情况特殊，在去往下一站前，列车也应做好补给、支援方面的准备。,content,姬子
59,*姬子：正巧有黑塔女士牵线，我本打算在启程前为天才俱乐部#81阮•梅女士从「金伦加深域」带回一具古兽遗骸，做些人情交换。不过这么一算，至少需要几周时间才能返航。,content,姬子
60,*三月七：喔，那就是…去不成罗浮啦。,content,三月七
61,*姬子：小三月，维系关系，这就是成年人生活所必须支付的小小代价。既然罗浮仙舟发出了邀请，那么作为朋友，星穹列车也理当赴约。,content,姬子
62,*姬子：我打算这么安排：帕姆会将所有人先送往罗浮。之后，我和瓦尔特先生则继续前往完成与阮•梅的约定。开拓者、三月和丹恒三人则可以作为列车观礼的代表出席仪典。,content,姬子
63,*瓦尔特：开拓者，丹恒，没问题吧？,content,瓦尔特
64,{{剧情选项,default,
65,|选项1=那分组就这么定了！,option,开拓者
66,|剧情1=*瓦尔特：看起来大家都没什么异议。,branch_content,瓦尔特
67,|选项2=我要玩古兽化石！,option,开拓者
68,|剧情2=*三月七：姬子姐和杨叔可是去正经搞科研呢！古兽化石哪有看演武斗剑好玩？,branch_content,三月七
69,*三月七：再说了，就属你在罗浮朋友多，你不去我都不知道该去哪玩！你得带路啊。,content,三月七
70,}},default,
71,*帕姆：既然各位乘客已经达成一致了，那我们就准备跃迁前往仙舟「罗浮」了帕。,content,帕姆
72,,default,
73,=== （可选）与瓦尔特、姬子讨论旅行计划 ===,default,
74,*瓦尔特：「金伦加深域」…她想从那儿找到什么呢？目前所有关于古兽的研究只是证明了我们对这种生命一无所知……,content,瓦尔特
75,*姬子：一无所知，这才是天才会出手的领域。科学要做的就是从无知的帷幕上挑破一个孔……,content,姬子
76,:{{颜色|描述|两个成年人的交谈中充斥着复杂的术语，从「假定型天体生物化学」到「跨维度演化论」，车厢中充满了沉闷费解的空气。}},default,
77,{{剧情选项,default,
78,|选项1=两位，一路顺风。,option,开拓者
79,|选项2=早点回来啊。,option,开拓者
80,}},default,
81,*姬子：开拓者，别太想我们喔。要是看到什么有趣的古兽化石，我会带上几块作为伴手礼送给你的。,content,姬子
