line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=旅进青霄，不速之邀,default,
3,|任务地区=星穹列车,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=在雅利洛-Ⅵ的开拓之旅终于圆满地告一段落了。<br>一段旅程落幕，另一端旅程即将开始。<br>坐稳扶好，列车要重新启动了！,default,
7,|奖励={{图标|里程|100}}{{图标|凝缩以太|2}}{{图标|信用点|5000}},default,
8,|任务条件=完成[[静静的星河]],default,
9,|开放等级=29,default,
10,|出场人物=三月七、丹恒、瓦尔特、姬子、帕姆、卡芙卡、彦卿、景元、刃,default,
11,|相关道具=,default,
12,|系列任务=乘槎驭风仙窟游,default,
13,|任务编号=01,default,
14,|前置任务=*[[静静的星河]],default,
15,|后续任务=*[[行遏流云，身入魔阴]],default,
16,|任务流程=*坐稳——列车就要启动了,default,
17,*与姬子交谈,default,
18,*参与航线会议,default,
19,*说服丹恒，为你们的目的地投票,default,
20,*返回观景车厢，为你们的目的地投票,default,
21,*与瓦尔特、三月七一同出发,default,
22,}},default,
23,==剧情内容==,default,
24,=== 坐稳——列车就要启动了 ===,default,
25,{{任务描述|在雅利洛-Ⅵ的开拓之旅终于圆满地告一段落了。<br>一段旅程落幕，另一端旅程即将开始。<br>坐稳扶好，列车要重新启动了！|星穹列车-观景车厢}},default,
26,:{{颜色|描述|坐到沙发上休息…}},default,
27,*帕姆：喂——喂喂——,content,帕姆
28,*帕姆：久等啦，各位乘客！感谢三位开拓者的鼎力协助，裂界活性已经降到最低，星轨各项读数已经恢复至正常区间！,content,帕姆
29,*帕姆：列车即将重新启程，驶离雅利洛-Ⅵ。请大家坐稳扶好，最后再和这颗星球说声再见吧！,content,帕姆
30,{{折叠|标题=过场动画|内容=,default,
31,:{{颜色|描述|这次你没有做噩梦，但是丹恒做了…}},default,
32,:罗浮仙舟•幽囚狱,default,
33,:{{颜色|描述|一个人被押了进来…}},default,
34,*？？？：彦卿。,content,
35,*？？？：是，将军。,content,
36,*？？？：待会儿，你看清楚这个人,content,
37,*？？？：…你记得我么？,content,
38,*犯人：记得。,content,犯人
39,*犯人：人有五名,content,犯人
40,*犯人：代价有三个……,content,犯人
41,*犯人：景元，你不是其中之一。,content,犯人
42,:{{颜色|描述|丹恒的梦中…}},default,
43,*犯人：人有五名,content,犯人
44,*犯人：代价有三个……,content,犯人
45,*犯人：你，是其中之一,content,犯人
46,:{{颜色|描述|丹恒从噩梦中惊醒…}}}},default,
47,*丹恒：稍等，我…我这就来。,content,丹恒
48,*三月七：我就说吧，开拓者，他肯定在睡懒觉。,content,三月七
49,*三月七：我们列车上这伙人啊，几天不睡都没问题，但一觉就要全睡回来。你啊，早晚也会掌握这技能的。好啦，大好时光别在走廊里耽搁了。,content,三月七
50,*三月七：列车长让咱们来吱一声：航线会议就要开始啦。老地方，别迟到咯~,content,三月七
51,*三月七：咱们先去吧。对了……,content,三月七
52,*三月七：愿赌服输，开拓者。这周洗咖啡杯的活儿就由你包啦。,content,三月七
53,{{折叠|标题=调查丹恒房门|内容=,default,
54,:房间里静悄悄，没有回应。,default,
55,|折叠=是}},default,
56,,default,
57,=== 与姬子交谈 ===,default,
58,{{任务描述|告别风雪转霁的贝洛伯格，列车再次驶向星穹深处。<br>下一次启航前，乘客们暂得片刻闲暇。有人冲泡咖啡，有人眺望远星，还有人辗转旧梦…<br>不如趁这当口，向姬子打听下一趟旅程的目的地了。|星穹列车-观景车厢}},default,
59,*姬子：早啊，开拓者。你很准时嘛。,content,姬子
60,{{剧情选项,default,
61,|选项1=早上好，姬子。,option,开拓者
62,|剧情1=*姬子：啊，真不错。很久没听到这么客气的招呼了。,branch_content,姬子
63,|选项2=准时是我的优点。,option,开拓者
64,|剧情2=*姬子：保持住，这是非常可爱的优点。,branch_content,姬子
65,|选项3=我要举报丹恒…,option,开拓者
66,|剧情3=*姬子：啊，不要紧，丹恒一向守时，如果迟到了…想必有他的原因。,branch_content,姬子
67,*姬子：丹恒的情况比较特殊，我们希望能尽量保护他。,content,姬子
68,}},default,
69,*姬子：雅利洛-Ⅵ的开拓暂时告一段落，星穹列车也该启航前往下一颗星球了。,content,姬子
70,{{剧情选项,default,
71,|选项1=下一颗星球是怎样的？,option,开拓者
72,|剧情1=*姬子：秘密——先卖个关子，我们在会议上再正式公布，你可以期待一下哦。,branch_content,姬子
73,|选项2=开拓还真是马不停蹄啊。,option,开拓者
74,|剧情2=*姬子：宇宙广袤无边，而开拓永不停歇——就算穷尽一生，也没法走遍银河中的每个世界呢，这就是未知的魅力呀。,branch_content,姬子
75,|选项3=多休息一阵子再走嘛。,option,开拓者
76,|剧情3=*姬子：这不像你呀，开拓者。你不是很担心身体里的星核，想早点解除它吗？,branch_content,姬子
77,}},default,
78,*姬子：再等一等，会议就要开始了。,content,姬子
79,{{折叠|标题=额外对话（三月七）|内容=,default,
80,*三月七：瞧，跟我说的一样：要是某一天你醒来没见到丹恒，那多半一天都见不到他。,content,三月七
81,{{剧情选项,default,
82,|选项1=错过会议不要紧吗？,option,开拓者
83,|剧情1=*三月七：不知道耶。老实讲，航线会议的性质大概就跟你常挂在嘴边的团建是一回事吧。参不参加都无所谓，当然姬子姐总是希望大家都来的。,branch_content,三月七
84,*三月七：你想啊，管理资料室的是丹恒，下一个目的地的情况他一清二楚。然后这信息姬子姐和杨叔也知道——那不就瞒着我和你两个人嘛！,content,三月七
85,|选项2=丹恒好神秘啊。,option,开拓者
86,|剧情2=*三月七：嗯…听说他以前干过很了不得的事情，现在还被某个厉害势力通缉在册。我猜是仙舟联盟，流光忆庭也有可能。可以排除公司，公司的通缉名单我见过。,branch_content,三月七
87,*三月七：唔…多半是流光忆庭了。你没发现他特别热衷和黑塔打交道吗？黑塔和流光忆庭那是出了名的不对付，所谓敌人的敌人就是朋友……,content,三月七
88,|选项3=真是意外。,option,开拓者
89,|剧情3=*三月七：哈！这才哪到哪啊。要我说你是初来乍到，等你待久了，会发现列车上每个人都怪怪的……,branch_content,三月七
90,*三月七：别这样看着我，难道我不怪吗？我可是把过去都忘光了，你见过哪个失忆的没点神奇的背景故事？我给自己都编了几十个啦。,content,三月七
91,}},default,
92,|折叠=是}},default,
93,{{折叠|标题=额外对话（瓦尔特）|内容=,default,
94,*瓦尔特：气色不错，开拓者。,content,瓦尔特
95,{{剧情选项,default,
96,|选项1=瓦尔特先生这次会一起来吗？,option,开拓者
97,|剧情1=*瓦尔特：哈哈，当然了。看你们在雅利洛-Ⅵ大展拳脚，我也跃跃欲试哪。,branch_content,瓦尔特
98,*瓦尔特：不瞒你说，好几次我都想去助你们一臂之力；但是姬子说，要让孩子们自己体会一次开拓的不易……,content,瓦尔特
99,|选项2=瓦尔特先生知道目的地吧？,option,开拓者
100,|剧情2=*瓦尔特：嗯，我知道，但还不能说。姬子希望给你和三月七保留一点神秘感。,branch_content,瓦尔特
101,|选项3=瓦尔特先生希望去什么世界？,option,开拓者
102,|剧情3=*瓦尔特：想去的世界嘛？…是故乡吧。但很遗憾，在列车星图未损坏的记录里，没有它的位置。,branch_content,瓦尔特
103,*瓦尔特：我想在回家之前多看看其他的文明，也算是不浪费搭乘星穹列车的这段时光。,content,瓦尔特
104,}},default,
105,|折叠=是}},default,
106,{{折叠|标题=额外对话（帕姆）|内容=,default,
107,*帕姆：开拓者乘客，停靠站点的介绍拿到了吗？期待吗？,content,帕姆
108,{{剧情选项,default,
109,|选项1=姬子要在会议上宣布。,option,开拓者
110,|剧情1=*帕姆：原来你还不知道啊……,branch_content,帕姆
111,|选项2=（说谎）拿到了。,option,开拓者
112,|剧情2=*帕姆：完全没看出期待的样子……,branch_content,帕姆
113,}},default,
114,*帕姆：经历了雅利洛-Ⅵ上冰冷、疲惫的旅程，难道不期待下一站是个怎样的星球吗！,content,帕姆
115,{{剧情选项,default,
116,|选项1=什么样的星球都喜欢！,option,开拓者
117,|剧情1=*帕姆：帕姆很高兴你能享受这趟旅行！,branch_content,帕姆
118,*帕姆：很久很久以前，这辆列车正是这样将无名客带往一个又一个的星球…现在它又像过去一样了。,content,帕姆
119,|选项2=什么时候能抵达裴迦纳呢？,option,开拓者
120,|剧情2=*帕姆：裴迦纳吗？它在航线的终点哦，那是阿基维利的故乡……帕姆也想要回去那里，可惜旅途和人生一样，没法一蹴而就帕。,branch_content,帕姆
121,|选项3=千年过去，这些介绍还有用吗？,option,开拓者
122,|剧情3=*帕姆：…总有些星球没被星核污染啦。,branch_content,帕姆
123,:{{颜色|描述|（你从帕姆耳朵的弧度上读出了一丝伤感。）}},default,
124,*帕姆：列车的速度很快，但它开得再快也没法赶上变化帕……,content,帕姆
125,}},default,
126,*帕姆：开拓者乘客，准备好的话，就到车头附近集合吧，会议要开始了！,content,帕姆
127,|折叠=是}},default,
128,,default,
129,=== 参与航线会议 ===,default,
130,{{任务描述|告别风雪转霁的贝洛伯格，列车再次驶向星穹深处。<br>按照阿基维利立下的传统，「无名客的道路当由无名客自己选择」。<br>在决定去往下一个世界前，列车乘客齐聚一堂，为决定下一站投出神圣一票。|星穹列车-观景车厢}},default,
131,*帕姆：各位乘客！跃迁航线会议正式开始！,content,帕姆
132,*帕姆：首先，帕姆要感谢各位无名客成功解决了本站点的问题，让列车能继续在星轨上奔驰！,content,帕姆
133,*三月七：这可是我们三个的功劳哦，对吧开拓者！,content,三月七
134,*帕姆：接下来，本列车长要宣布下一站的名字——,content,帕姆
135,{{折叠|标题=过场动画|内容=,default,
136,:{{颜色|描述|列车上凭空出现了一个女人的影像…}},default,
137,*卡芙卡：好久不见，星穹列车上的各位。我是卡芙卡。,content,卡芙卡
138,:{{颜色|描述|姬子厌恶地移开了视线…}},default,
139,:{{颜色|描述|你仔细打量着卡芙卡…}},default,
140,*卡芙卡：啊，时机不错呢，大家都在——似乎都在。,content,卡芙卡
141,*姬子：迷人的自我介绍就大可不必了，星核猎手。,content,姬子
142,*卡芙卡：…姬子，对吗？,content,卡芙卡
143,*卡芙卡：很抱歉打断了你们的聚会。但相信听完我的请求，你们会理解我的冒昧。我要请你们——,content,卡芙卡
144,*卡芙卡：——变更目的地。}},content,卡芙卡
145,*姬子：「星核猎手」，我见过你，不过是在公司的悬赏令上，那可是天文数字的赏金——而且不论死活。你知道自己的悬赏是多少吗？,content,姬子
146,*卡芙卡：不太关心。公司的悬赏令么，与其说恶名，倒不如说是盛赞。数字越大，赞美越盛。,content,卡芙卡
147,*三月七：你们通缉犯想得还挺开……,content,三月七
148,*姬子：…如此说来，黑塔也盛赞过你们：「一个自称能看见命运的{{注音|狂人|艾利欧}}，带着一群不要命的{{注音|疯子|星核猎手}}，追逐宇宙中最危险的东西！」——黑塔可是很少夸人的喔。,content,姬子
149,*卡芙卡：「追逐宇宙中最危险的东西」吗？…在这点上，你们列车和我是同一类人吧。,content,卡芙卡
150,*姬子：你来错地方了，卡芙卡。我们不打算接受你的请求，也不打算和星核猎手扯上什么关系。很高兴和你聊天，也许哪天你愿意亲自登门拜访，届时我们可以再谈。,content,姬子
151,*卡芙卡：各位听说过「罗浮」吗？,content,卡芙卡
152,*瓦尔特：…仙舟联盟的六艘巨舰之一，仙舟「罗浮」。我们知道。,content,瓦尔特
153,*卡芙卡：唔，但你不知道的是：这艘仙舟现在离你们很近，是通过两次折跃就能抵达的距离。,content,卡芙卡
154,*卡芙卡：而且，在四十五系统时前，一颗星核在罗浮上…爆发了。,content,卡芙卡
155,*卡芙卡：无妄之灾啊…是不是？,content,卡芙卡
156,*瓦尔特：星核猎手，你们在打什么主意…仙舟联盟可不像我们这么好说话。被「{{注音|巡猎|岚}}」盯上，你们就不再是猎手，而是猎物了，联盟会追逐你们到宇宙尽头——,content,瓦尔特
157,*姬子：有话直说吧。别打机锋了，卡芙卡。,content,姬子
158,*卡芙卡：…很简单，这颗星核与我们无关，但仙舟已经把罪责按在了星核猎手头上；,content,卡芙卡
159,*卡芙卡：我的同伴刃被云骑军带走了，我要把他带回来，解除这次的星核危机，洗脱我们的嫌疑。,content,卡芙卡
160,*三月七：与你们无关？谁信啊，哪有这么巧的事情，星核刚爆发你就出现了……,content,三月七
161,*三月七：再说，你和我们又没什么交情，星核猎手清不清白和咱们有什么关系~,content,三月七
162,{{剧情选项,default,
163,|选项1=我们应该封印星核，帮助仙舟。,option,开拓者
164,|选项2=我们可以卖星核猎手一个人情。,option,开拓者
165,|选项3=这么做对我们有什么好处？}},option,开拓者
166,*三月七：不要！我才不想听她的——联盟那么厉害，难道还处理不了一颗星核嘛！我们是星穹列车组，又不是星核封印专业户！,content,三月七
167,*卡芙卡：你们当然可以置身事外。趁现在星核还没污染这片空域，启动跃迁，你们就可以去下一个世界。但假以时日，这段星轨将再度被阻断。,content,卡芙卡
168,*卡芙卡：我可以告诉你们未来会如何：如果你们没有前往「罗浮」，星核最终将污染整艘仙舟，飞船上大约一半的住民将会丧生……,content,卡芙卡
169,*卡芙卡：勇敢无畏的开拓者，天行为善的无名客，想来不会坐视不理。,content,卡芙卡
170,*姬子：…你的那位同伴，叫刃的，也无法幸免，对吗？,content,姬子
171,*卡芙卡：这一点嘛，无可奉告。,content,卡芙卡
