line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=旅途正在继续,default,
3,|任务地区=空间站「黑塔」、星穹列车,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=黑塔原来不止一个……仔细想想，倒也合理。这位黑塔要求你前往她的办公室。<br>原来，黑塔联合天才俱乐部的几位会员开发了一个「模拟宇宙」，用来探求宇宙的真理。<br>体验一下试试吧。,default,
7,|奖励={{图标|里程|200}}{{图标|信用点|10000}}{{图标|旅情见闻|4}},default,
8,|任务条件=完成[[阴影从未离去]]、<br>[[模拟宇宙•始发测试]],default,
9,|开放等级=0,default,
10,|出场人物=黑塔、艾丝妲、姬子、三月七、丹恒、瓦尔特、帕姆,default,
11,|相关道具=,default,
12,|相关成就=通往群星的轨道#群星，我的归宿,default,
13,|系列任务=今天是昨天的明天,default,
14,|任务编号=6,default,
15,|前置任务=*[[阴影从未离去]],default,
16,*[[模拟宇宙•始发测试]],default,
17,|后续任务=*[[星间流浪]],default,
18,|任务流程=*完成一次「模拟宇宙」,default,
19,*离开黑塔的办公室,default,
20,*找人聊聊，并告诉姬子自己的决定,default,
21,*在观景车厢四处转转,default,
22,*（可选）调查留声机,default,
23,*前往客房车厢,default,
24,*拜访丹恒的房间,default,
25,*与丹恒交谈,default,
26,*使用列车智库,default,
27,*离开丹恒的房间,default,
28,*拜访三月七的房间,default,
29,*回到观景车厢,default,
30,*聆听列车长的指示,default,
31,*等待跃迁,default,
32,|已完善=是}},default,
33,==剧情内容==,default,
34,===完成一次「模拟宇宙」===,default,
35,{{任务描述|黑塔原来不止一个……仔细想想，倒也合理。这位黑塔要求你前往她的办公室。<br>原来，黑塔联合天才俱乐部的几位会员开发了一个「模拟宇宙」，用来探求宇宙的真理。<br>体验一下试试吧。|空间站「黑塔」-黑塔的办公室}},default,
36,*完成[[模拟宇宙•始发测试]],default,
37,===离开黑塔的办公室===,default,
38,=== 找人聊聊，并告诉姬子自己的决定 ===,default,
39,{{任务描述|现在，你的脑海里又回响起了这句话：「当你有机会做出选择的时候，不要让自己后悔。」<br>你还未下决心，又或是你心中已经有了决定，只是你还不确定，这么想的是不是只有自己……<br>没关系，你还可以把它藏在心中，听听别人的想法……<br>说不定，你们想的完全一样呢？|空间站「黑塔」-支援舱段}},content,你的脑海里又回响起了这句话
40,{{折叠|标题=额外对话（丹恒）|内容=,default,
41,*丹恒：是你啊，开拓者…你似乎有话要说？,content,丹恒
42,{{剧情选项,default,
43,|选项1=你挺会照顾人的。,option,开拓者
44,|图标1=对话,default,
45,|剧情1=*丹恒：怎么了？我做什么了？,branch_content,丹恒
46,{{剧情选项,default,
47,|选项1=你每次都冲在最前。,option,开拓者
48,|剧情1=*丹恒：是这样么？我是列车的护卫，本能罢了。,branch_content,丹恒
49,|选项2=你的判断都很准确。,option,开拓者
50,|剧情2=*丹恒：时刻注意观察，进而谨慎地选择有效事项进行思考而已，你也能做得到。,branch_content,丹恒
51,}},default,
52,*丹恒：开拓者，我觉得你也做得不错。,content,丹恒
53,|选项2=你好像对我不满意。,option,开拓者
54,|图标2=对话,default,
55,|剧情2=*丹恒：如果指的是对你乘上星穹列车的看法…你想多了。,branch_content,丹恒
56,*丹恒：我的态度很简单：无所谓。建议你也不用考虑我的想法，做你自己想要的选择。,content,丹恒
57,|选项3=你不像是喜欢旅行的人。,option,开拓者
58,|图标3=对话,default,
59,|剧情3=*丹恒：坐上列车并不完全等同于「旅行」或者「冒险」…星穹列车代表的是「开拓」，知道吗？,branch_content,丹恒
60,*丹恒：「开拓」往往意味着「未知」，无论是未知的风险，还是未知的乐趣。,content,丹恒
61,*丹恒：在我看来，「未知」并不比「已知」可怖，「未知」…往往也表示尚能掌控与改变。,content,丹恒
62,{{剧情选项,default,
63,|选项1=我有些犹豫。,option,开拓者
64,|剧情1=*丹恒：别把犹豫当作借口。犹豫的时间久了，你原本的想法也会随之消失。,branch_content,丹恒
65,|选项2=我明白。,option,开拓者
66,|剧情2=*丹恒：嗯，那很好。}},branch_content,丹恒
67,|选项4=我再想想。,option,开拓者
68,|图标4=退出,default,
69,|剧情4=:丹恒微微颔首，他的视线转向别处。}},branch_content,
70,|折叠=是}},default,
71,,default,
72,{{折叠|标题=额外对话（三月七）|内容=,default,
73,*三月七：嗨，开拓者，我都听说了。你要和我们一起上列车，对吧？,content,三月七
74,{{剧情选项,default,
75,|选项1=我还没决定呢！,option,开拓者
76,|剧情1=*三月七：唉呀，你打心底就是这么想的——在我面前就别装了，我都看得出来。,branch_content,三月七
77,|选项2=你希望我来吗？,option,开拓者
78,|剧情2=*三月七：那还用说么？这一路过来，咱俩很合得来，还是同龄人。光这两点，就够不容易了。,branch_content,三月七
79,}},default,
80,*三月七：不过你看起来还有什么烦恼，来，你说，我听着。,content,三月七
81,{{剧情选项,default,
82,|选项1=时间过得真快啊。,option,开拓者
83,|图标1=对话,default,
84,|剧情1=*三月七：感慨来得太突然了吧！,branch_content,三月七
85,*三月七：…不过，回忆起在收容舱段的时候，我还在想这孩子晕过去一定是身体很虚弱啦，所以得好好照顾你，没想到你捡了根棒球棍就生龙活虎起来了。,content,三月七
86,*三月七：再一眨眼，你就把那大家伙给打进杨叔的黑洞里，还救了我…我还没向你好好道谢……,content,三月七
87,*三月七：唉，不会就要在这儿分开了吧……,content,三月七
88,|选项2=你是怎么上车的呢？,option,开拓者
89,|图标2=对话,default,
90,|剧情2=*三月七：这问题我可有发言权啦，因为我一醒来，就在车上啦。,branch_content,三月七
91,*三月七：我在宇宙中漂流，然后就被列车捞了上来，神奇吧？,content,三月七
92,|选项3=你们常碰到这种事？,option,开拓者
93,|图标3=对话,default,
94,|剧情3=*三月七：这么惊险的情况毕竟是少数啦，我也差点吓坏了。,branch_content,三月七
95,*三月七：不过我跟着列车碰到的事都很千奇百怪啦。,content,三月七
96,*三月七：比如去沙漠里捉一种名为「沙鱼」的动物，或者是矫正重力场，把一座上下颠倒的城堡恢复原貌，以及为了避开在路间睡觉的驯鹿，差点被一个从天而降的方铅矿球砸中脑袋——,content,三月七
97,*三月七：唔…现在想想，好像也挺惊险的哦…可能因为和大家在一起，所以有任何问题基本都不是什么问题啦。,content,三月七
98,|选项4=我在想要不要上车…,option,开拓者
99,|图标4=对话,default,
100,|剧情4=*三月七：当然要呀，为什么不呢？,branch_content,三月七
101,*三月七：咱们现在只有四个人，再加一个帕姆，一节车厢睡一个人都管够，你忍心看着车厢空空荡荡么？,content,三月七
102,{{剧情选项,default,
103,|选项1=这个问题得你们自己解决。,option,开拓者
104,|剧情1=*三月七：加入我们，开拓者，这个问题马上就能解决。,branch_content,三月七
105,|选项2=我不知道车厢是什么样的。,option,开拓者
106,|剧情2=*三月七：那就来看呀，上车就知道了。,branch_content,三月七
107,}},default,
108,|选项5=我再想想。,option,开拓者
109,|图标5=退出,default,
110,|剧情5=*三月七：我等你哦 。,branch_content,三月七
111,}},default,
112,|折叠=是}},default,
113,,default,
114,{{折叠|标题=额外对话（黑塔）|内容=,default,
115,*黑塔：还有疑惑？好啊，我对你有兴趣，愿意回答你的问题。,content,黑塔
116,{{剧情选项,default,
117,|选项1=关于「黑塔」…,option,开拓者
118,|图标1=对话,default,
119,|剧情1=*黑塔：我？谈论自己是最无意义的行为。,branch_content,黑塔
120,{{剧情选项,default,
121,|选项1=你是空间站的主人？,option,开拓者
122,|图标1=对话,default,
123,|剧情1=*黑塔：我是法律上的主人，实质上这个地方我不管。我造好它，往里面放东西，塞人，然后让人自己管理。,branch_content,黑塔
124,*黑塔：空间站的站长是艾丝妲，严格来说她才是主人。我拒绝「拥有」这个概念，因为我不想负任何责任。,content,黑塔
125,|选项2=你的性格真的很烂。,option,开拓者
126,|图标2=对话,default,
127,|剧情2=*黑塔：无所谓，我在乎别人喜欢我吗？答案是不在乎。性格烂又怎么样，只要我有价值，就能心想事成。,branch_content,黑塔
128,*黑塔：你的性格倒是挺好的，有什么价值吗？——别误会，我不是在嘲讽你。这是个疑问句，就是说，它可能真的有价值，只是我不知道。,content,黑塔
129,|选项3=你的本体长什么样？,option,开拓者
130,|图标3=对话,default,
131,|剧情3=*黑塔：人类，女性，年轻，貌美，可爱。,branch_content,黑塔
132,*黑塔：和你现在看见的这具身体差不多，我按小时候的样子造的，也许不是很还原，但总有七八分相像吧。,content,黑塔
133,*黑塔：唉，那时候的我已经过分早熟了，就知道解孤波难题，忽略了宝贵的童真时代……,content,黑塔
134,|选项4=我还有别的问题…,option,开拓者
135,|图标4=返回}},default,
136,|选项2=关于「星核」…,option,开拓者
137,|图标2=对话,default,
138,|剧情2=*黑塔：星核啊…你问吧，我听着。,branch_content,黑塔
139,{{剧情选项,default,
140,|选项1=「星核」到底是什么？,option,开拓者
141,|图标1=对话,default,
142,|剧情1=*黑塔：根据我的研究，它是一种生命体；一种具有特殊机制，连通某条命途或某个星神力量的特殊物质。,branch_content,黑塔
143,*黑塔：它会回应所在世界擢升文明的欲望，但实现愿望的形式总是某种灾祸。其机制很可能与「毁灭」的纳努克有关。,content,黑塔
144,|选项2=你知道星核猎手吗？,option,开拓者
145,|图标2=对话,default,
146,|剧情2=*黑塔：噢，一群怪人。我得到一颗星核就满足了，他们在宇宙中搜刮了好几颗仍不满足，不知道他们的真实意图是什么。,branch_content,黑塔
147,*黑塔：俱乐部的{{注音|螺丝咕姆|天才俱乐部#76}}曾经和他们对过一局，听说有个成员的骇客水平非常高，能跟螺丝咕姆的差分机球打个平手。,content,黑塔
148,*黑塔：能媲美螺丝咕姆——那在宇宙里也是数一数二了！真厉害啊，我不行，在计算机领域不算很出色。,content,黑塔
149,|选项3=为什么我能容纳「星核」？,option,开拓者
150,|图标3=对话,default,
151,|剧情3=*黑塔：不知道啊，我正摩拳擦掌，要解开这个谜呢。,branch_content,黑塔
152,|选项4=我还有别的问题…,option,开拓者
153,|图标4=返回,default,
154,}},default,
155,|选项3=关于「列车」…,option,开拓者
156,|图标3=对话,default,
157,|剧情3=*黑塔：列车的事，你不问姬子，倒来问我？,branch_content,黑塔
158,{{剧情选项,default,
159,|选项1=星穹列车是怎样的？,option,开拓者
160,|图标1=对话,default,
161,|剧情1=*黑塔：外形？就是辆列车啊。内在嘛……,branch_content,黑塔
162,*黑塔：有阵子我对列车很感兴趣，写了不少研究报告，忘记丢哪儿了，现在什么都不记得了。,content,黑塔
163,|选项2=你信任星穹列车吗？,option,开拓者
164,|图标2=对话,default,
165,|剧情2=*黑塔：信任啊。,branch_content,黑塔
166,|选项3=你们是什么关系？,option,开拓者
167,|图标3=对话,default,
168,|剧情3=*黑塔：合作很久的商业伙伴。,branch_content,黑塔
169,*黑塔：我经常委托他们在其他星球帮我弄点东西，他们也经常来找我解决点难题。,content,黑塔
170,|选项4=我还有别的问题…,option,开拓者
171,|图标4=返回}},default,
