line_number,content,category,character
1,{{面包屑}}{{系统相关导航}},default,
2,==规则说明==,default,
3,===基本说明===,default,
4,*系统功能，为开拓者提供大量的奖励。,default,
5,*参与条件：开拓等级≥13级，且完成开拓任务「雅利洛-Ⅵ」-「[[她等待刀尖已经太久]]」,content,参与条件
6,*无名勋礼一共70级（1.5版本由50级增加至70级），持续一个版本（版本更新完成后开始，下一次更新前的最后一个周一04:00结束），每级需要800点（若有特殊版本会适当调整）无名客的经验，经验可以通过无名勋礼系统单独的本周任务、本期任务获取。（1.6版本将每日任务取消，经验合并进每周任务的体力循环任务。）,default,
7,===勋礼类别===,default,
8,*无名勋礼开启后，'''「无名客的赠礼」'''将自动解锁。,default,
9,*可以通过购买解锁'''「无名客的荣勋」'''（¥68.00）。「无名客的荣勋」提升至30级后可在{{图标|星海宝藏}}中任选一个光锥作为奖励。,default,
10,*可以通过购买解锁'''「无名客的奖章」'''（'''¥128.00'''<font color=#aaaaaa><s>¥146.00</s></font>），「无名客的奖章」包含「无名客的荣勋」全部内容，且购买后立即提升10级勋礼等级，并额外可领取当期奖励头像、{{图标|星琼|200}}、{{图标|燃料|5}}、（2.0版本新增）《云•星穹铁道》「42日畅玩卡」。,default,
11,*已解锁「无名客的荣勋」的开拓者，如有需要，可通过购买「荣勋授章」升级至「无名客的奖章」{{黑幕|¥68.00+¥78.00{{=}}¥146.00}}。,default,
12,===重复购买补偿说明===,default,
13,*如因特殊情况导致重复购买「无名客的荣勋」或「无名客的奖章」时，「无名客的经验」将无法累加，并将直接返还对应购买价格的{{图标|古老梦华|750}}或{{图标|古老梦华|1410}}。,default,
14,*若因特殊情况导致重复购买「荣勋授章」时，将直接返还{{图标|古老梦华|860}}。,default,
15,===赠送「42日畅玩卡」说明===,default,
16,*开拓者在购买「无名勋礼」对应的'''「无名客的奖章」'''后，当期版本结束前一日的23:59以前，使用同一米哈游通行证登录《云•星穹铁道》，即可免费获得「42日畅玩卡」。,default,
17,*若开拓者当前账户内无生效中的畅玩卡，激活畅玩卡当日至次日0时享受免费畅玩，从次日0时起开始计算「42日畅玩卡」的生效时间。畅玩卡生效期间还可享受加速排队的权益，通过快速通道优先进入游戏。,default,
