line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=无眠之夜,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.0,default,
7,|任务描述=尽管你入梦的方式实在不够体面，星期日和知更鸟还是给予了你无微不至的关怀…好吧，他们本来就该这样。<br>重新抖擞精神的你与三月七取得了联系，她推荐你前往「梦境贩售店」——你或许可以把它当做美梦之旅的第一站。,default,
8,|奖励={{图标|里程|300}}{{图标|星琼|40}}{{图标|漫游指南|3}}{{图标|提纯以太|2}}{{图标|遗失晶块|2}}{{图标|《尘世乐园》|1}}{{图标|信用点|30000}},default,
9,|任务条件=完成任务[[那些逐梦的年轻人]],default,
10,|开放等级=34,default,
11,|相关成就=,default,
12,|相关道具=无名客的忆泡,default,
13,|相关书籍=,default,
14,|出场人物=知更鸟、星期日、三月七、爱德华医生、帕姆、加拉赫、流萤,default,
15,|系列任务=喧哗与骚动,default,
16,|任务编号=04,default,
17,|前置任务=*[[那些逐梦的年轻人]],default,
18,|后续任务=*[[黄金年代的故事]],default,
19,|任务流程=*前往「梦境贩售店」,default,
20,*调查骚动的来源,default,
21,}},default,
22,==剧情内容==,default,
23,:{{颜色|描述|再次进入梦境空间}},default,
24,{{折叠|标题=过场动画|内容=,default,
25,:{{颜色|灰|你再次从梦境中醒来…}},default,
26,:{{颜色|灰|…发现自己正在空中下落，你新奇地看着周遭的景象…}},default,
27,:{{颜色|灰|…但你发现你无法控制自己的身体，狠狠地摔在了地上…}},default,
28,:{{颜色|灰|…不过似乎并没有受伤…}},default,
29,:{{颜色|灰|坐起身后，你看到了两个熟悉的人…}},default,
30,}},default,
31,----,default,
32,*知更鸟：开拓者！你没事吧？,content,知更鸟
33,{{剧情选项,default,
34,|选项1=意外地没什么感觉…,option,开拓者
35,|剧情1=*知更鸟：呵呵，毕竟这里是「梦境」嘛。,branch_content,知更鸟
36,|选项2=我好像看见幻觉了…,option,开拓者
37,|剧情2=*知更鸟：呵呵，这对第一次进入「梦境」的人来说是很正常的。,branch_content,知更鸟
38,|选项3=这里是天堂吗…,option,开拓者
39,|剧情3=*知更鸟：呵呵，别担心，你已经顺利抵达「梦境」了哦。,branch_content,知更鸟
40,}},default,
41,*星期日：看来这位客人还不习惯从现实到梦境的变化啊。别担心，这种「失重」在初入梦境的旅客间很常见。,content,星期日
42,*星期日：知更鸟，请你帮助我们的朋友更好地适应这场美梦吧。,content,星期日
43,*知更鸟：交给我吧。,content,知更鸟
44,:知更鸟对她的兄长微微颔首，随后将那对葱翠的眸子对上了你。她微笑，你见她湖绿色的眼底泛起阵阵涟漪，一道巨大的旋涡随后自潭水深处升起。,default,
45,:你的视野变得黯淡，感到身体开始溶解，与流质合而为一。你们共鸣，震颤，以令人沉静的频率浑合。你的心脏正在鼓动，引领一场协奏。,default,
46,*知更鸟：没事的，放轻松，很快就会过去。,content,知更鸟
47,:和声响起。「吸气。」{{注音|它们|他们}}歌唱。「呼气。」{{注音|它们|她们}}歌唱。本能令你照做，你感到胸腔中凝滞的流体重新流动。,default,
48,:暖意自其中传来，充盈全身。你们的旋律渐慢、渐弱，像一首摇篮曲。一道七色的幻象轻轻抚摸着你的头顶，为你阖眼，动作轻柔，满是怜爱。你感到惬意，沉沉睡去。,default,
49,:当你再度睁开眼时，方才遭遇的一切仿佛被压缩在一瞬间。你的思绪已经捕捉不到它们了，但身体却因为这刹那安眠而精力充沛——这活力简直前所未有。,default,
50,*知更鸟：你现在已经完全掌控梦境了，开拓者——欢迎来到匹诺康尼。,content,知更鸟
51,{{剧情选项,default,
52,|选项1=什么意思？你对我做了什么？,option,开拓者
53,|剧情1=*知更鸟：我只是稍微调整了一下你的精神状态，让你感觉舒服些。,branch_content,知更鸟
54,|选项2=你刚才是在对我洗脑吗…,option,开拓者
55,|剧情2=*知更鸟：我只是稍微调整了一下你的精神状态，让你感觉舒服些。,branch_content,知更鸟
56,|选项3=刚才的声音是…,option,开拓者
57,|剧情3=*知更鸟：是一段谐乐。,branch_content,知更鸟
58,}},default,
59,*星期日：别担心。她只是利用「同谐」的共鸣对你进行了调律，以便你能更自如地在梦境中掌控自己的身体。,content,星期日
60,*星期日：匹诺康尼的美梦本质上是由「忆质」构成的世界。只有掌握它的性质，你才能在其中自由行动。,content,星期日
61,*星期日：就像是刚接触游泳的人，经常会因为无法准确地适应浮力而沉入水中；但只要身体习惯了水流，你便可以自如地漂浮在水面上。,content,星期日
62,{{剧情选项,default,
63,|选项1=好比喻，我完全理解了。,option,开拓者
64,|剧情1=*星期日：呵呵，承蒙谬赞。我们对忆质的理解也只是浅尝辄止而已。,branch_content,星期日
65,|选项2=还挺深奥…,option,开拓者
66,|剧情2=*星期日：是啊。不过，我们对忆质的理解也只是浅尝辄止而已。,branch_content,星期日
67,|选项3=这么说，我能随便浮在空中？,option,开拓者
68,|剧情3=*星期日：呵呵，理论上可以，但非常困难。毕竟我们对忆质的理解也只是浅尝辄止而已。,branch_content,星期日
69,}},default,
70,*星期日：除了流光忆庭的忆者，一般人很难随心所欲地操纵忆质。但没关系，在「同谐」的调律下——基本上，你可以依赖现实的物理法则理解梦中世界。,content,星期日
71,*星期日：哎呀…你瞧我，职业病又犯了。我总是改不掉这好为人师的毛病。,content,星期日
72,*知更鸟：别在意，他从来都是这样。请好好享受家族为各位打造的美梦乐园吧，我们就先失陪了。祝你玩得开心！,content,知更鸟
73,----,default,
74,:{{颜色|描述|你收到了三月七的短信}},default,
75,{{角色对话|模板开始|三月七}},default,
76,{{角色对话|左|三月七|文本|嘿}},default,
77,{{角色对话|左|三月七|文本|好厉害，梦里也可以发消息！}},default,
78,{{角色对话|左|三月七|文本|你到了嘛}},default,
79,{{短信选项,option,开拓者
80,|选项1=我到了。,option,开拓者
81,|剧情1={{角色对话|右|开拓者|文本|我到了}},branch_content,
82,{{角色对话|左|三月七|文本|好耶}},default,
83,|选项2=我没到。,option,开拓者
84,|剧情2={{角色对话|右|开拓者|文本|在路上了}},branch_content,
85,{{角色对话|左|三月七|文本|你又骗我:(}},default,
86,}},default,
