line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=旧影婆娑，追思错落,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.0,default,
8,|任务描述=列车之上，遥望不容踏足的故土，你曾以为此生再也不会见到罗浮「玉界门」的景色。<br>然而翻看卡芙卡所留下的通讯影像，你意识到她的邀请中潜藏着致命的危险——她的同伴，名为「刃」的男子，与你之间曾有刻骨宿怨。<br>你决心违犯禁令，再踏罗浮。,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励=无<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=[[紫府通谒，将军定策]]任务中开启,default,
12,|开放等级=29,default,
13,|相关活动=,default,
14,|相关成就=,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=丹恒、姬子、帕姆、罗刹、素裳,default,
18,|领取地点=,default,
19,|系列任务=乘槎驭风仙窟游,default,
20,|任务编号=04<!-- 有系列任务时填写 -->,default,
21,|前置任务=*[[紫府通谒，将军定策]]<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[犬迹追从，谛听狐踪]]<!-- *[[后续任务]] -->,default,
23,|任务流程=*登陆仙舟「罗浮」,default,
24,*穿过流云渡，追上开拓者小队<!-- *任务流程 -->,default,
25,}},default,
26,==剧情内容==,default,
27,:{{颜色|描述|不久之前，星穹列车上…}},default,
28,*姬子：在这儿呆呆站了半个小时了，很少见你这么忧虑呢。,content,姬子
29,*姬子：记挂那两个孩子的安全吗？有瓦尔特在呢，你可以放松一点啦。,content,姬子
30,*丹恒：……,content,丹恒
31,*丹恒：姬子，星核猎手的远程通讯，你应该存下来了吧？,content,丹恒
32,*丹恒：能让我看看吗？,content,丹恒
33,*姬子：…好啊。,content,姬子
34,----,default,
35,*卡芙卡：——而且，在四十五系统时前，一颗星核在罗浮上…爆发了。,content,卡芙卡
36,*卡芙卡：无妄之灾啊…是不是？,content,卡芙卡
37,*丹恒：……,content,丹恒
38,*瓦尔特：星核猎手，你们在打什么主意…仙舟联盟可不像我们这么好说话。被「{{注音|巡猎|岚}}」盯上，你们就不再是猎手，而是猎物了，联盟会追逐你们到宇宙尽头——,content,瓦尔特
39,*姬子：有话直说吧。别打机锋了，卡芙卡。,content,姬子
40,*丹恒：……,content,丹恒
41,*卡芙卡：…很简单，这颗星核与我们无关，但仙舟已经把罪责按在了星核猎手头上；,content,卡芙卡
42,*丹恒：停！,content,丹恒
43,*姬子：…你认识他？,content,姬子
44,*丹恒：仙舟很危险！…这个人，这个人——,content,丹恒
45,*丹恒：如果他在仙舟上，那么所有人——瓦尔特先生，三月七和开拓者——都有危险！,content,丹恒
46,*丹恒：可是……,content,丹恒
47,*姬子：他和你…要逃离的东西有关，是吗？,content,姬子
48,*丹恒：但我…不能放着他们不管。我只怕…是我的负累终于追了上来，把大家都牵扯其中……,content,丹恒
49,*姬子：谁能没有负累呢？哪怕小三月那样什么都不记得，肩上也有沉甸甸的东西呀。,content,姬子
50,*姬子：我们行走在看不见的命途之上。所见所闻，所开拓的一切都是我们的行李，既是背负的重担，也是走下去的力量。,content,姬子
51,*姬子：不要想太多啦，丹恒。,content,姬子
52,*姬子：按照规矩，列车停靠的时间是七个标准日。在此期间，乘客可以自由支配自己的时间。,content,姬子
53,*姬子：列车上有我和帕姆值守，也够了。,content,姬子
54,*姬子：想做什么就做吧，总比以后后悔要好。,content,姬子
55,*姬子：对了，事情结束后，你会回列车和大家一起旅行的，对吧？,content,姬子
56,{{折叠|折叠=是|标题=额外对话（姬子）|内容=,default,
57,*姬子：想做什么就做吧，总比以后后悔要好。}},content,姬子
58,{{折叠|折叠=是|标题=额外对话（帕姆）|内容=,default,
59,*帕姆：丹恒乘客，改变主意打算下车了吗？,content,帕姆
60,{{剧情选项,default,
61,|选项1=是的。,option,开拓者
62,|剧情1=*帕姆：那么，帕姆祝你一路顺风。,branch_content,帕姆
63,|选项2=……,option,开拓者
64,|剧情2=*帕姆：嗯…帕姆明白，许多话不能通过说出口的方式来表达。,branch_content,帕姆
65,*帕姆：祝你一路顺风。}},content,帕姆
66,*帕姆：乘客下车后，请注意在发车时间之前回到列车。,content,帕姆
67,*帕姆：要是能顺便带一点儿当地特产就更好了帕。,content,帕姆
68,:{{颜色|描述|再次对话}},default,
69,*帕姆：还有什么要跟帕姆说的吗？,content,帕姆
70,}},default,
71,,default,
72,===登陆仙舟「罗浮」===,default,
73,{{任务描述|列车之上，遥望不容踏足的故土，你曾以为此生再也不会见到罗浮「玉界门」的景色。<br>然而翻看卡芙卡所留下的通讯影像，你意识到她的邀请中潜藏着致命的危险——她的同伴，名为「刃」的男子，与你之间曾有刻骨宿怨。<br>你决心违犯禁令，再踏罗浮。|仙舟「罗浮」-观景车厢}},default,
74,:{{颜色|描述|丹恒离开星穹列车…}},default,
75,{{折叠|标题=短信：星穹列车一家人|内容=,content,短信
76,{{角色对话|右|丹恒|文本|开拓者、三月，你们在哪儿？|是}},default,
77,<center><small>信息发送失败</small></center>,default,
78,{{角色对话|右|丹恒|文本|我来同你们汇合|是}},default,
79,<center><small>信息发送失败</small></center>,default,
80,}},default,
81,,default,
82,===穿过流云渡，追上开拓者小队===,default,
83,{{任务描述|翻看卡芙卡所留下的通讯影像，你意识到她的邀请中潜藏着致命的危险——她的同伴，名为「刃」的男子，与你之间曾有刻骨宿怨。<br>你决心违犯禁令，再踏罗浮。然而当你登陆流云渡，却察觉着卡芙卡所言非虚，受星核作祟，罗浮已然陷入灾变。|仙舟「罗浮」-流云渡}},default,
84,*丹恒：发不出去……,content,丹恒
85,*丹恒：网络受限，有些功能却是正常的？,content,丹恒
86,----,default,
87,*丹恒：和离开时一样，几无变化……,content,丹恒
88,*丹恒：…我记忆中的罗浮，除去黑暗，就只有这里了。,content,丹恒
89,{{折叠|折叠=是|标题=额外对话（调查铠甲碎片）|内容=,default,
90,*丹恒：云骑铠甲的碎片……,content,丹恒
