line_number,content,category,character
1,{{光锥图鉴<!-- 本段为备注信息，以下请在=后填写对应数据-->,default,
2,|名称=早餐的仪式感,default,
3,|稀有度=4星,default,
4,|命途=智识,default,
5,|命途材料=智识1,default,
6,|技能名称=各就其位,default,
7,|技能效果=使装备者造成伤害提高{{颜色|描述2|12%/15%/18%/21%/24%}}。每消灭1个敌方目标，装备者的攻击力提高{{颜色|描述2|4%/5%/6%/7%/8%}}，该效果最多叠加3层。,default,
8,|光锥故事=虽然餐桌已经摆好…<br>有人要先喝一杯红茶；<br>有人要先拍一张照片；<br>有人要先读一份报纸；<br>有人要先记一页笔记；<br>有人要先玩一会手机。<br><br>''「都给我趁热吃帕！」'',default,
9,|相关角色=姬子、三月七、瓦尔特、丹恒、开拓者、帕姆,default,
10,|获取方式=任务、探索、奇珍琳琅、历战余响,default,
11,|光锥TAG=增伤、攻击力、消灭敌方目标,default,
12,|获取途径=完成开拓任务[[腐烂或燃烧]]、收集空间站「黑塔」中三张权限卡，解锁对应房间后开启战利品获取、奇珍琳琅、历战余响,default,
13,|实装版本=1.0,default,
14,|生命值=38,default,
15,|20生命值=147,default,
16,|20+生命值=193,default,
17,|30生命值=251,default,
18,|30+生命值=312,default,
19,|40生命值=370,default,
20,|40+生命值=432,default,
21,|50生命值=489,default,
22,|50+生命值=551,default,
23,|60生命值=608,default,
24,|60+生命值=670,default,
25,|70生命值=727,default,
26,|70+生命值=789,default,
27,|80生命值=846,default,
28,|攻击力=21,default,
29,|20攻击力=83,default,
30,|20+攻击力=109,default,
31,|30攻击力=141,default,
32,|30+攻击力=176,default,
33,|40攻击力=208,default,
34,|40+攻击力=243,default,
35,|50攻击力=275,default,
36,|50+攻击力=309,default,
37,|60攻击力=342,default,
38,|60+攻击力=376,default,
39,|70攻击力=409,default,
40,|70+攻击力=443,default,
41,|80攻击力=476,default,
42,|防御力=18,default,
43,|20防御力=69,default,
44,|20+防御力=90,default,
45,|30防御力=117,default,
46,|30+防御力=146,default,
47,|40防御力=173,default,
48,|40+防御力=202,default,
49,|50防御力=229,default,
50,|50+防御力=258,default,
51,|60防御力=285,default,
52,|60+防御力=314,default,
53,|70防御力=341,default,
54,|70+防御力=369,default,
55,|80防御力=396,default,
56,|晋阶材料=原核,default,
57,}},default,
58,<br>,default,
59,{{主观提示|攻略相关}},default,
60,==推荐角色==,default,
61,"{| class=""wikitable"" style=""text-align:center""",default,
62,! 角色,default,
63,! 推荐说明,default,
64,|-,default,
65,| height=100px; width=10% | 所有智识命途角色,default,
66,"| style=""text-align:left"" | 该光锥能提供常驻的伤害加成，以及击杀敌人后的攻击力加成，泛用性强，适合几乎所有智识命途角色使用。目前所有智识角色的技能倍率都为攻击力，意味着所有智识使用都有输出能力上的提升。<br>",default,
67,考虑到作为免费可兑换的光锥，在游戏初期即可轻松获得高叠影，没有其他好用的光锥时优先级较高。攻击力叠层在整场战斗中不会消失，可适用于绝大多数情况。其缺点是满叠影后数值偏低，游戏后期如果获得其他增益更强的光锥可以考虑换掉。,default,
68,|},default,
69,{{WIKI底部导航|光锥=展开}},default,
