line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=星旅寻影•摄影练习,default,
4,|任务地区=星穹列车<!-- 空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」 -->,default,
5,|任务类型=活动任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.5,default,
8,|任务描述=三月七好像需要帮助，去问问发生了什么吧。,default,
9,|时间=2023/12/01 12:00~2023/12/11 03:59<br>{{计时|显示时间=任务结束|2023|12|11|03|59}}<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|信用点|5000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=开拓等级≥21级,default,
12,|开放等级=21,default,
13,|相关活动=「星旅寻影」,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=三月七、帕姆,default,
18,|领取地点=,default,
19,|系列任务=星旅寻影,default,
20,|任务编号=01<!-- 有系列任务时填写 -->,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[星旅寻影•第一站•主控舱段]]<!-- *[[后续任务]] -->,default,
23,|任务流程=*前往列车和三月七对话,default,
24,*前往观景车厢寻找并拍摄目标,default,
25,*把照片交给三月七<!-- *任务流程 -->,default,
26,|已完善=是,default,
27,}},default,
28,==剧情内容==,default,
29,===前往列车和三月七对话===,default,
30,{{任务描述|三月七好像需要帮助，去问问发生了什么吧。|星穹列车-客房车厢}},default,
31,*三月七：呜呜，我的照片…这下全完了……,content,三月七
32,*三月七：开拓者！你总算来了，快帮帮我——,content,三月七
33,{{剧情选项,default,
34,|选项1=你怎么了？,option,开拓者
35,|剧情1=*三月七：唉，我遇到了一件倒霉事……,branch_content,三月七
36,|选项2=去哪？打谁？,option,开拓者
37,|剧情2=*三月七：诶，冷静点啦，这次不是去打架！,branch_content,三月七
38,|选项3=回见…,option,开拓者
39,|剧情3=*三月七：喂喂，别这么绝情呀，你先听我说完嘛！,branch_content,三月七
40,}},default,
41,*三月七：我今天原本计划整理一下相机里的相片，结果……,content,三月七
42,*三月七：…结果我发现，这些照片里全都是奇怪的黑影！你快看！,content,三月七
43,<center>{{图片放大|活动任务-星旅寻影•摄影练习-艾丝妲.png|500px|1000px}}</center>,default,
44,*三月七：之前旅途中拍的好多照片都报废了，太让咱心疼了……,content,三月七
45,{{剧情选项,default,
46,|选项1=以后再拍新的吧。,option,开拓者
47,|剧情1=*三月七：不行，这些都是独一无二的回忆！,branch_content,三月七
48,|选项2=这就是灵异照片吧…,option,开拓者
49,|剧情2=*三月七：才不是呢，你不要吓我啊！,branch_content,三月七
50,|选项3=是你拍照技术的问题。,option,开拓者
51,|剧情3=*三月七：说什么呢！技术再不好也不至于拍出这种黑影吧？,branch_content,三月七
52,}},default,
53,*三月七：我问过丹恒原因，他满嘴都是「跃迁辐射」、「太空强磁场」、「虚数影尘」这种听不懂的词儿，总之就是说照片数据全都受损了……,content,三月七
54,*三月七：这些都是咱无名客在旅程中的珍贵回忆，可不能说不要就不要。,content,三月七
55,*三月七：事已至此，我只想回到以往拍摄的地点补拍一些照片。但数量实在太多了，我一个人根本拍不完……,content,三月七
56,*三月七：所以…我相信乐于助人的开拓者一定会帮我的，对吧？,content,三月七
57,{{剧情选项,default,
58,|选项1=好，我这就去！,option,开拓者
59,|剧情1=*三月七：你先别急啊，我还没说要怎么拍呢！,branch_content,三月七
60,|选项2=怎么还要我干活…,option,开拓者
61,|剧情2=*三月七：因为这些照片都是和你一起拍的呀，也算是你自己的旅途的珍贵记录嘛,branch_content,三月七
62,|选项3=我有什么好处？,option,开拓者
63,|剧情3=*三月七：你能重温故地的美好回忆，借机学习摄影技术，顺便还收获了美少女的感谢——这还不够吗？,branch_content,三月七
64,}},default,
65,*三月七：好，就这么决定啦！我把受损的相片和大致的拍摄区域发给你，你去重新拍一张类似的照片就行！,content,三月七
66,*三月七：不过这些照片的内容都被黑影覆盖了，具体拍的是什么内容，咱也认不太出来了…就靠火眼金睛的开拓者你自己判别吧，嘿嘿~,content,三月七
67,*三月七：我先挑了一张在列车上拍的受损相片。你可以先尝试一下，有不明白的再问我吧~,content,三月七
68,*三月七：这张照片虽说也有黑影，但应该不难看出拍的是什么吧？,content,三月七
69,<center>{{图片放大|活动任务-星旅寻影•摄影练习-帕姆.png|500px|1000px}}</center>,default,
70,*三月七：拍完记得给我看看，等你哦！,content,三月七
71,{{折叠|折叠=是|标题=额外对话（三月七）|内容=,default,
72,*三月七：怎么了？忘了使用相机的方法了吗？,content,三月七
73,{{剧情选项,default,
74,|选项1=我忘了,option,开拓者
75,|剧情1=*三月七：来来来，我教你！先把拍摄主体放进取景框里，相机会有目标识别提示的——接下来按下快门就好啦！,branch_content,三月七
76,|选项2=没什么。,option,开拓者
77,|图标2=退出,default,
78,}},default,
79,*三月七：拍完照片记得给我看看，等你哦！,content,三月七
80,}},default,
81,===前往观景车厢寻找并拍摄目标===,default,
82,{{任务描述|照片中的黑影有些眼熟，应该是列车中的某样东西……|星穹列车-观景车厢}},default,
83,*开拓者：（照片里的黑影应该是列车上常常会见到的东西……）,content,开拓者
84,{{折叠|标题=拍照|内容=,default,
85,<center>{{图片放大|活动任务-星旅寻影•摄影练习-帕姆2.png|500px|1000px}}</center>,default,
86,是我们可爱的列车长——帕姆！<br>你已经明白怎么拍照了吧？,default,
87,}},default,
88,*帕姆：诶？开拓者乘客是在认真记录列车长工作的样子吗？帕姆好开心~,content,帕姆
89,===把照片交给三月七===,default,
90,{{任务描述|照片拍摄好了，给三月七看看吧。|星穹列车-客房车厢}},default,
91,*三月七：我看看…不错嘛，开拓者，你很有摄影天赋诶。,content,三月七
92,*三月七：那这些照片就拜托你啦，拍完就用短信发给我吧，我会准备谢礼的！,content,三月七
93,{{剧情选项|选项1=没问题！}},default,
