line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=星旅寻影•第一站•主控舱段,default,
4,|任务地区=空间站「黑塔」<!-- 空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」 -->,default,
5,|任务类型=活动任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.5,default,
8,|任务描述=照片中的黑影有些眼熟，应该是主控舱段中的某样东西……,default,
9,|时间=2023/12/01 12:00~2023/12/11 03:59<br>{{计时|显示时间=任务结束|2023|12|11|03|59}}<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|星琼|70}}{{图标|漫游指南|4}}{{图标|无生残刃|3}}{{图标|信用点|40000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=完成[[星旅寻影•摄影练习]],default,
12,|开放等级=21,default,
13,|相关活动=「星旅寻影」,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=阿兰、佩佩、艾丝妲、三月七,default,
18,|领取地点=,default,
19,|系列任务=星旅寻影,default,
20,|任务编号=02<!-- 有系列任务时填写 -->,default,
21,|前置任务=*[[星旅寻影•摄影练习]]<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[星旅寻影•第二站•收容舱段]]<!-- *[[后续任务]] -->,default,
23,|任务流程=*根据照片寻找并拍摄目标<!-- *任务流程 -->,default,
24,|已完善=是,default,
25,}},default,
26,==剧情内容==,default,
27,===根据照片寻找并拍摄目标===,default,
28,{{任务描述|照片中的黑影有些眼熟，应该是主控舱段中的某样东西……|空间站「黑塔」-主控舱段}},default,
29,{{折叠|标题=拍摄目标1|内容=,default,
30,<center>{{图片放大|星旅寻影-佩佩1.png|500px|1000px}}</center>,default,
31,这个尖尖的东西…是犄角？还是…耳朵？<br>难道是空间站中的神秘怪物？,default,
32,}},default,
33,*阿兰：等等，你刚刚在拍什么？,content,阿兰
34,{{剧情选项,default,
35,|选项1=拍的是佩佩,option,开拓者
36,|剧情1=*阿兰：嗯……,branch_content,阿兰
37,|选项2=拍的是风景,option,开拓者
38,|剧情2=*阿兰：抱歉，空间站中有许多对外保密的研究，我需要检查一下你的照片。,branch_content,阿兰
39,*阿兰：……,content,阿兰
40,*阿兰：你这拍的不是佩佩吗？,content,阿兰
41,|选项3=拍的是阿兰,option,开拓者
42,|剧情3=*阿兰：虽然我不在意，但拍摄理应经过别人同意，请让我看看你的照片。,branch_content,阿兰
43,*阿兰：……,content,阿兰
44,*阿兰：你这拍的不是佩佩吗？,content,阿兰
45,}},default,
46,*阿兰：那个…这张照片能发我一份吗？,content,阿兰
47,{{折叠|标题=佩佩|内容=,default,
48,<center>{{图片放大|星旅寻影-佩佩2.png|500px|1000px}}</center>,default,
49,汪汪…汪汪！佩佩小狗今天也在认真工作汪！<br>备注：照片备份已发送至阿兰。,content,备注
50,}},default,
51,----,default,
52,{{折叠|标题=拍摄目标2|内容=,default,
53,<center>{{图片放大|星旅寻影-艾丝妲1.png|500px|1000px}}</center>,default,
54,似乎是某个人的身影…模糊的边缘无法判断其外貌特征。<br>去主控舱段找找看吧，或许是某位熟悉的朋友。,default,
55,}},default,
56,*艾丝妲：你好呀，开拓者，有什么事吗？,content,艾丝妲
57,{{剧情选项|选项1=我想给你拍张照片。}},default,
58,*艾丝妲：当然可以，不过我对自己照片的要求可不低，你得认真拍才行哦。,content,艾丝妲
59,{{折叠|标题=艾丝妲|内容=,default,
60,<center>{{图片放大|星旅寻影-艾丝妲2.png|500px|1000px}}</center>,default,
61,是艾丝妲工作时的身影，真不愧是代理站长！<br>备注：记得修图。,content,备注
62,}},default,
63,*艾丝妲：我看看…很厉害嘛，开拓者！你的技术不比我的私家摄影师差呀~,content,艾丝妲
64,*艾丝妲：这张照片你就留着吧，发出去之前记得修图。,content,艾丝妲
65,{{角色对话|模板开始|三月七}},default,
66,{{角色对话|左|三月七|文本|拍的怎么样啦？}},default,
67,{{短信选项|选项1=（展示照片）}},option,开拓者
68,{{角色对话|右|开拓者|图片|星旅寻影-佩佩2.png}},default,
69,{{角色对话|右|开拓者|图片|星旅寻影-艾丝妲2.png}},default,
70,{{角色对话|左|三月七|文本|谢谢开拓者！}},default,
71,{{短信选项|选项1=拍得不错吧？|剧情1=,branch_content,
72,{{角色对话|右|开拓者|文本|这照片拍得不错吧？}},default,
73,{{角色对话|左|三月七|文本|你果真很有天赋嘛}},default,
74,{{角色对话|左|三月七|表情|01-14}},default,
75,|选项2=好像拍得不太好…|剧情2=,branch_content,
76,{{角色对话|右|开拓者|文本|感觉拍得不是很好看…}},default,
77,{{角色对话|左|三月七|文本|没关系啦，这样已经很棒了！}},default,
78,{{角色对话|左|三月七|表情|01-10}}}},default,
79,{{角色对话|左|三月七|文本|辛苦啦，明天给你发新的照片！}},default,
80,{{角色对话|左|三月七|文本|等你好消息哦~}},default,
81,{{角色对话|模板结束}},default,
