line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称={{PAGENAME}},default,
4,|任务地区=星穹列车<!-- 空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」 -->,default,
5,|任务类型=活动任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.5,default,
8,|任务描述=照片中的黑影有些眼熟，应该是列车中的某样东西……,default,
9,|时间=2023/12/07 04:00~2023/12/11 03:59<br>{{计时|显示时间=任务结束|2023|12|11|03|59}}<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|命运的足迹}}{{图标|星琼|80}}{{图标|虚空黑曜|3}}{{图标|信用点|40000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=完成[[星旅寻影•第六站•铆钉镇]],default,
12,|开放等级=21,default,
13,|相关活动=「星旅寻影」,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=与三月七的合照,default,
16,|相关书籍=,default,
17,|出场人物=三月七,default,
18,|领取地点=,default,
19,|系列任务=星旅寻影,default,
20,|任务编号=08<!-- 有系列任务时填写 -->,default,
21,|前置任务=*[[星旅寻影•第六站•铆钉镇]]<!-- *[[前置任务]] -->,default,
22,|后续任务=<!-- *[[后续任务]] -->,default,
23,|任务流程=*根据照片寻找并拍摄目标,default,
24,*找三月七询问情况,default,
25,*根据照片寻找并拍摄目标,default,
26,*与三月七拍摄合照,default,
27,|已完善=是,default,
28,}},default,
29,==剧情内容==,default,
30,===根据照片寻找并拍摄目标===,default,
31,{{任务描述|照片中的黑影有些眼熟，应该是列车中的某样东西……|星穹列车-观景车厢}},default,
32,{{折叠|标题=拍摄目标13|内容=,default,
33,<center>{{图片放大|星旅寻影-挂灯1.png|500px|1000px}}</center>,default,
34,这是…鲸鱼？列车上还有这种东西吗？<br>应该是某种家具或者装饰吧…在哪里看到过呢？,default,
35,}},default,
36,*开拓者：（似乎在列车里抬头的时候看到过…）,content,开拓者
37,{{折叠|标题=「鲸鱼」|内容=,default,
38,<center>{{图片放大|星旅寻影-挂灯2.png|500px|1000px}}</center>,default,
39,原来是列车的挂灯，它每天都在车厢里发光发亮哦！<br>据说宇宙中真的有身披光彩在星海中穿梭的巨鲸…你遇到的时候一定要拍下来哦！,default,
40,}},default,
41,===找三月七询问情况===,default,
42,{{任务描述|照片中的黑影有些眼熟，应该是列车中的某样东西……|星穹列车-客房车厢}},default,
43,{{折叠|标题=拍摄目标14|内容=,default,
44,<center>{{图片放大|星旅寻影-三月七1.png|500px|1000px}}</center>,default,
45,嗯…好眼熟的人影，是哪位乘客呢？<br>要我猜啊，这张照片拍的一定是某位美少女吧~}},default,
46,*开拓者：（还差最后一张照片，总感觉这个人影很眼熟……）,content,开拓者
47,===根据照片寻找并拍摄目标===,default,
48,*三月七：开拓者，拍照的进展怎么样啦？,content,三月七
49,{{剧情选项|选项1=还差最后一张…}},default,
50,*三月七：太好了，那就让咱帮你看看最后一张是什么吧！,content,三月七
51,*三月七：嗯…看起来好眼熟啊……,content,三月七
52,{{剧情选项,default,
53,|选项1=好像是你。,option,开拓者
54,|剧情1=*三月七：啊，对啊，这不就是我吗！,branch_content,三月七
55,|选项2=看不出来是谁？,option,开拓者
56,|剧情2=*三月七：我觉得…这好像是我的自拍诶！,branch_content,三月七
57,|选项3=应该是只扑满。,option,开拓者
58,|剧情3=*三月七：怎么可能是只扑满啊！这应该是本姑娘吧！,branch_content,三月七
59,}},default,
60,*三月七：如果只是自拍的话，好像也没什么特别的价值……,content,三月七
61,*三月七：有了，那这张照片就由你来拍吧，这样就是不一样的回忆了！,content,三月七
62,*三月七：经过这么多天的练习，你应该已经很熟练了吧？记得要拍得可爱一点哦！,content,三月七
63,{{折叠|标题=三月七|内容=,default,
64,<center>{{图片放大|星旅寻影-三月七2.png|500px|1000px}}</center>,default,
65,锵锵——没错，正是本姑娘，冰雪聪明的三月七！<br>既然是你拍的照片，我一定会好好保存的！,default,
66,}},default,
67,*三月七：来来来，让咱看看！,content,三月七
68,*三月七：嗯……,content,三月七
69,*三月七：…真好看，本姑娘果然是天生丽质！,content,三月七
70,{{剧情选项,default,
71,|选项1=还不是我拍得好。,option,开拓者
72,|剧情1=*三月七：好好好~看在你帮我这么多忙的份上，我就承认这点吧。,branch_content,三月七
73,|选项2=确实很好看。,option,开拓者
74,|剧情2=*三月七：对吧！你的审美也算是过关啦！,branch_content,三月七
75,|选项3=不怎么好看。,option,开拓者
76,|剧情3=*三月七：最上等的食材往往不需要复杂的烹饪工序…就算你的拍照技术还差点火候，凭咱这张脸也足以拯救这张照片啦！,branch_content,三月七
77,}},default,
78,*三月七：之前真是吓死我了，还以为这些照片再也找不回来了呢。,content,三月七
79,*三月七：总感觉如果失去了这些记录，这些回忆也会被淡忘…但肯定都是错觉！本姑娘可不会忘记我们一起经历的旅程！,content,三月七
80,*三月七：不管怎么说，总算是把咱的照片全都救回来了，这次的事情也可以算是旅途中的珍贵回忆之一了！,content,三月七
81,*三月七：所以说…开拓者，我们拍张合照留念吧！,content,三月七
82,===与三月七拍摄合照===,default,
83,{{折叠|标题=合照|内容=,default,
84,<center>{{图片放大|与三月七的合照-内容-星.png|500px|1000px}}</center>,default,
85,我们一同冒险，一同探索，一同定格精彩的回忆。<br>而今后的旅途中，我们会「开拓」更多美好瞬间，用相机、用双眼、用心去保存它们。,default,
86,}},default,
87,*三月七：好啦！快看，怎么样？,content,三月七
88,{{剧情选项,default,
89,|选项1=不愧是三月七。,option,开拓者
90,|剧情1=*三月七：哼哼，多谢夸奖~,branch_content,三月七
91,|选项2=我果然天生丽质！,option,开拓者
92,|剧情2=*三月七：喂，你不要学我啊！,branch_content,三月七
93,|选项3=感觉拍得不够好。,option,开拓者
94,|剧情3=*三月七：唉，练习了这么多天，你的艺术素养居然还没有提升……,branch_content,三月七
95,}},default,
96,*三月七：好了，那这张照片就送给你吧！,content,三月七
97,*三月七：喏，好好保管，不要弄丢或者弄坏了……,content,三月七
98,*三月七：最重要的是——不要忘了这是我给你拍的照片！,content,三月七
