line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=星旅寻影•第三站•支援舱段,default,
4,|任务地区=空间站「黑塔」<!-- 空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」 -->,default,
5,|任务类型=活动任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.5,default,
8,|任务描述=照片中的黑影有些眼熟，应该是支援舱段中的某样东西……,default,
9,|时间=2023/12/03 04:00~2023/12/11 03:59<br>{{计时|显示时间=任务结束|2023|12|11|03|59}}<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|星琼|70}}{{图标|漫游指南|4}}{{图标|寒铁的誓言|3}}{{图标|信用点|40000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=完成[[星旅寻影•第二站•收容舱段]],default,
12,|开放等级=21,default,
13,|相关活动=「星旅寻影」,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=三月七,default,
18,|领取地点=,default,
19,|系列任务=星旅寻影,default,
20,|任务编号=04<!-- 有系列任务时填写 -->,default,
21,|前置任务=*[[星旅寻影•第二站•收容舱段]]<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[星旅寻影•第四站•行政区]]<!-- *[[后续任务]] -->,default,
23,|任务流程=*根据照片寻找并拍摄目标<!-- *任务流程 -->,default,
24,*前往月台寻找并拍摄目标,default,
25,|已完善=是,default,
26,}},default,
27,==剧情内容==,default,
28,===根据照片寻找并拍摄目标===,default,
29,{{任务描述|照片中的黑影有些眼熟，应该是支援舱段中的某样东西……|空间站「黑塔」-支援舱段}},default,
30,{{折叠|标题=拍摄目标5|内容=,default,
31,<center>{{图片放大|星旅寻影-呜呜伯1.png|500px|1000px}}</center>,default,
32,一个漂浮在空中的不明鬼影…<br>难道这次真的是灵异照片吗！？,default,
33,}},default,
34,*呜呜伯：呜呜，呜呜呜——,content,呜呜伯
35,:呜呜伯看了看你的相机屏幕，似乎对你的照片很感兴趣。,default,
36,*呜呜伯：呜呜呜！,content,呜呜伯
37,:呜呜伯似乎想要你再拍一张。,default,
38,{{剧情选项,default,
39,|选项1=再拍一张。,option,开拓者
40,|剧情1=*呜呜伯：呜呜，呜呜呜！,branch_content,呜呜伯
41,:不满足的呜呜伯似乎想要你再拍一张。,default,
42,{{剧情选项,default,
43,|选项1=再拍一张。,option,开拓者
44,|剧情1=:不满足的呜呜伯似乎想要你再拍一张。,branch_content,
45,{{剧情选项|选项1=不拍了。}},default,
46,*开拓者：（差不多得了，不要浪费相机内存了……）,content,开拓者
47,*呜呜伯：呜呜…呜呜呜呜呜呜！,content,呜呜伯
48,|选项2=不拍了。,option,开拓者
49,}},default,
50,|选项2=不拍了。,option,开拓者
51,}},default,
52,:你收起了相机，呜呜伯似乎在表达不满。,default,
53,{{折叠|标题=呜呜伯|内容=,default,
54,<center>{{图片放大|星旅寻影-呜呜伯2.png|500px|1000px}}</center>,default,
55,原来是呜呜伯，好大的呜呜伯！<br>它看起来非常喜欢拍照，下次再去拍一次吧！,default,
56,}},default,
57,===前往月台寻找并拍摄目标===,default,
58,{{折叠|标题=拍摄目标6|内容=,default,
59,<center>{{图片放大|星旅寻影-湛蓝星1.png|500px|1000px}}</center>,default,
60,一个…圆球？<br>看起来体型非常巨大，空间站上有这种东西吗？}},default,
61,*开拓者：（拍摄的目标似乎是十分巨大的东西……）,content,开拓者
62,{{折叠|标题=湛蓝星与呜呜伯|内容=,default,
63,<center>{{图片放大|星旅寻影-湛蓝星2.png|500px|1000px}}</center>,default,
64,黑塔空间站之下的湛蓝星，似乎是一颗生机勃勃的星球。<br>不知道湛蓝星上会有怎样的光景呢？,default,
65,}},default,
66,*开拓者：（奇怪，照片上为什么会有呜呜伯？）,content,开拓者
67,*开拓者：（看来它们真的很喜欢拍照……）,content,开拓者
68,{{角色对话|模板开始|三月七}},default,
69,{{角色对话|左|三月七|文本|开拓者——}},default,
70,{{角色对话|左|三月七|文本|今天的照片也拍好了吗？}},default,
71,{{短信选项,option,开拓者
72,|选项1=（展示照片）|剧情1=,branch_content,
73,{{角色对话|右|开拓者|图片|星旅寻影-呜呜伯2.png}},default,
74,{{角色对话|右|开拓者|图片|星旅寻影-湛蓝星2.png}},default,
75,}},default,
76,{{角色对话|左|三月七|文本|呜呜伯好可爱哦！}},default,
77,{{短信选项,option,开拓者
78,|选项1=确实很可爱|剧情1=,branch_content,
79,{{角色对话|右|开拓者|文本|确实很可爱}},default,
80,{{角色对话|左|三月七|文本|是吧！}},default,
81,{{角色对话|左|三月七|文本|如果列车上也能养一只就好了}},default,
82,|选项2=就是有点烦人|剧情2=,branch_content,
83,{{角色对话|右|开拓者|文本|就是有点烦人}},default,
84,{{角色对话|左|三月七|文本|怎么可以这样说呜呜伯！}},default,
85,{{角色对话|左|三月七|表情|01-15}},default,
86,{{角色对话|左|三月七|文本|小心它晚上来骚扰你}},default,
87,}},default,
88,{{角色对话|左|三月七|文本|越来越好奇自己还拍过什么照片了！}},default,
89,{{角色对话|左|三月七|表情|01-03}},default,
90,{{角色对话|左|三月七|文本|明天也拜托啦！}},default,
91,{{角色对话|模板结束}},default,
