line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称={{PAGENAME}},default,
4,|任务地区=雅利洛-Ⅵ<!-- 空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」 -->,default,
5,|任务类型=活动任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.5,default,
8,|任务描述=照片中的黑影有些眼熟，应该是磐岩镇中的某样东西……,default,
9,|时间=2023/12/05 04:00~2023/12/11 03:59<br>{{计时|显示时间=任务结束|2023|12|11|03|59}}<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|星琼|70}}{{图标|漫游指南|4}}{{图标|启迪之钥|3}}{{图标|信用点|40000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=完成[[星旅寻影•第四站•行政区]],default,
12,|开放等级=21,default,
13,|相关活动=「星旅寻影」,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=虎克、桑博、三月七,default,
18,|领取地点=,default,
19,|系列任务=星旅寻影,default,
20,|任务编号=06<!-- 有系列任务时填写 -->,default,
21,|前置任务=*[[星旅寻影•第四站•行政区]]<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[星旅寻影•第六站•铆钉镇]]<!-- *[[后续任务]] -->,default,
23,|任务流程=*根据照片寻找并拍摄目标<!-- *任务流程 -->,default,
24,|已完善=是,default,
25,}},default,
26,==剧情内容==,default,
27,===根据照片寻找并拍摄目标===,default,
28,{{任务描述|照片中的黑影有些眼熟，应该是磐岩镇中的某样东西……|雅利洛-Ⅵ-磐岩镇}},default,
29,{{折叠|标题=拍摄目标9|内容=,default,
30,<center>{{图片放大|星旅寻影-虎克1.png|500px|1000px}}</center>,default,
31,看起来是一个孩子诶，我们应该在磐岩镇认识了不少小朋友吧？<br>似乎能根据照片里的铁栏判断位置，去找找看吧！,default,
32,}},default,
33,*虎克：喂！荣誉队员，快帮帮虎克！,content,虎克
34,*虎克：虎克只是到外面冒险了一会儿，这边的门就被锁上了，快放我进来！,content,虎克
35,{{剧情选项,default,
36,|选项1=放虎克进来。,option,开拓者
37,|剧情1=:{{颜色|描述|你把虎克放了进来…}},branch_content,
38,*虎克：呼——总算回来了，多亏了荣誉队员！,content,虎克
39,*虎克：看你拿着相机，是想要记录虎克大人的英姿吗？那就尽情拍吧，这是你救下虎克的奖赏！,content,虎克
40,:{{颜色|描述|获得{{图标|崇高道德的赞许|1}}}},default,
41,*虎克：哼哼，用这份照片好好宣扬虎克大人的威名吧！,content,虎克
42,{{折叠|标题=漆黑的虎克大人|内容=,default,
43,<center>{{图片放大|星旅寻影-虎克2.png|500px|1000px}}</center>,default,
44,「此照片摄于磐岩镇，记录着鼹鼠党首领的英姿，漆黑的虎克大人在照片中尽显威严。」<br>——哎呀，虎克真是太可爱了！,default,
45,}},default,
46,|选项2=直接拍照。,option,开拓者
47,|剧情2=*虎克：喂喂喂，荣誉队员，你拿着相机要干什么？快放我进来！,branch_content,虎克
48,*虎克：可恶，你居然趁机拍下虎克大人出丑的样子，给虎克等着！,content,虎克
49,:{{颜色|描述|虎克从铁门上爬了下来……}},default,
50,*虎克：呼…呼……好累，这次就先算了，下次一定会按鼹鼠党的规矩惩罚你！,content,虎克
51,{{折叠|标题=漆黑的虎克大人|内容=,default,
52,<center>{{图片放大|星旅寻影-虎克3.png|500px|1000px}}</center>,default,
53,「此照片摄于磐岩镇，记录着鼹鼠党首领的英姿，漆黑的虎克大人在照片中尽显威严。」<br>——哎呀，虎克真是太可爱了！,default,
54,}},default,
55,}},default,
56,----,default,
57,{{折叠|标题=拍摄目标10|内容=,default,
58,<center>{{图片放大|星旅寻影-搏击俱乐部1.png|500px|1000px}}</center>,default,
59,似乎是什么建筑物的招牌，肯定是我们去过的地方。<br>这两个拳套对碰的样子，应该是在影射某种竞技运动……}},default,
60,{{折叠|折叠=是|标题=额外对话（桑博）|内容=,default,
61,*桑博：哟，开拓者，要买张今晚比赛的票吗？}},content,桑博
62,<tabber>,default,
63,照片中识别到桑博=,default,
64,*桑博：诶，开拓者呀，想给我拍照也用不着这么见外吧？,content,桑博
65,*桑博：唉，老桑博确实是在磐岩镇越来越受欢迎了，但在别人工作的时候可不能随便拍……,content,桑博
66,*桑博：既然是你想要我的照片，我老桑博也不是完全不讲人情…这样吧，50信用点！想怎么拍就怎么拍，合照也行！,content,桑博
67,{{剧情选项|选项1=我没拍你。}},default,
68,*桑博：跟我害羞什么呀，来来，让我看看……,content,桑博
69,*桑博：……,content,桑博
70,*桑博：你看，我这不是出镜了吗？,content,桑博
71,*桑博：我很理解你的仰慕之情，但如果给你开了这个先例，今后的工作可就麻烦了，我这行可不能天天被相机对着啊。,content,桑博
72,{{剧情选项,default,
73,|选项1=（交出信用点）,option,开拓者
74,|剧情1=:{{颜色|描述|提交{{图标|信用点|50}}}},branch_content,
75,*桑博：嘿嘿，谢谢惠顾~,content,桑博
76,|选项2=我会把照片交给地火的。,option,开拓者
77,|剧情2=*桑博：哎哟，别别别，上次因为倒票这事，卢卡小兄弟差点给我一拳！,branch_content,桑博
78,*桑博：有话好好说，以后老桑博随便你拍，好不好？,content,桑博
79,}},default,
80,{{折叠|标题=搏击俱乐部|内容=,default,
81,<center>{{图片放大|星旅寻影-搏击俱乐部2.png|500px|1000px}}</center>,default,
82,是搏击俱乐部，我们当时还来这里打过比赛呢！<br>听说这里的观众还在等着我们返场哦，有时间再去参赛吧！,default,
83,}},default,
84,,default,
85,{{角色对话|模板开始|三月七}},default,
86,{{角色对话|左|三月七|表情|01-01}},default,
87,{{角色对话|左|三月七|文本|怎么样？找到要拍的东西了吗？}},default,
88,{{短信选项,option,开拓者
89,|选项1=（展示照片）|剧情1=,branch_content,
90,{{角色对话|右|开拓者|图片|星旅寻影-虎克2.png}},default,
91,{{角色对话|右|开拓者|图片|星旅寻影-搏击俱乐部2.png}},default,
92,{{角色对话|右|开拓者|图片|星旅寻影-桑博.png}},default,
93,}},default,
