line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称={{PAGENAME}},default,
4,|任务地区=雅利洛-Ⅵ<!-- 空间站「黑塔」、雅利洛-Ⅵ、仙舟「罗浮」 -->,default,
5,|任务类型=活动任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.5,default,
8,|任务描述=照片中的黑影有些眼熟，应该是铆钉镇中的某样东西……,default,
9,|时间=2023/12/06 04:00~2023/12/11 03:59<br>{{计时|显示时间=任务结束|2023|12|11|03|59}}<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|星琼|70}}{{图标|提纯以太|4}}{{图标|家族颂歌|3}}{{图标|信用点|40000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=完成[[星旅寻影•第五站•磐岩镇]],default,
12,|开放等级=21,default,
13,|相关活动=「星旅寻影」,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=三月七,default,
18,|领取地点=,default,
19,|系列任务=星旅寻影,default,
20,|任务编号=07<!-- 有系列任务时填写 -->,default,
21,|前置任务=*[[星旅寻影•第五站•磐岩镇]]<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[星旅寻影•第七站•星穹列车]]<!-- *[[后续任务]] -->,default,
23,|任务流程=*根据照片寻找并拍摄目标,default,
24,*根据照片寻找并拍摄目标,default,
25,*调查扑满,default,
26,|已完善=是,default,
27,}},default,
28,==剧情内容==,default,
29,===根据照片寻找并拍摄目标===,default,
30,{{任务描述|照片中的黑影有些眼熟，应该是铆钉镇中的某样东西……|雅利洛-Ⅵ-铆钉镇}},default,
31,{{折叠|标题=拍摄目标11|内容=,default,
32,<center>{{图片放大|星旅寻影-废弃电视1.png|500px|1000px}}</center>,default,
33,似乎是一堆仪器，铆钉镇上有许多这种东西呢…<br>照片里似乎有个屏幕？以此为线索去找找吧。,default,
34,}},default,
35,:这些看电视的机兵挡着你需要拍摄的照片……,default,
36,*碍事的机兵：电视，好看。,content,碍事的机兵
37,{{剧情选项,default,
38,|选项1=（劝说它们离开）,option,开拓者
39,|剧情1=:你对机兵们解释了你的来意，但它似乎并不理解。,branch_content,
40,*碍事的机兵：电视，在看，人类，等等。,content,碍事的机兵
41,{{剧情选项,default,
42,|选项1=（把电视关掉）,option,开拓者
43,|剧情1=*碍事的机兵：电视，没了，无聊，无聊。,branch_content,碍事的机兵
44,:{{颜色|描述|机兵们不满地离开了……}},default,
45,|选项2=（等它们自行离开）,option,开拓者
46,|剧情2=:{{颜色|描述|等了很久，机兵们终于满足地离开了……}},branch_content,
47,}},default,
48,|选项2=（把电视关掉）,option,开拓者
49,|剧情2=*碍事的机兵：电视，没了，无聊，无聊。,branch_content,碍事的机兵
50,:机兵们不满地离开了……,default,
51,|选项3=（等它们自行离开）,option,开拓者
52,|剧情3=:等了很久，机兵们终于满足地离开了……,branch_content,
53,}},default,
54,{{折叠|标题=废弃电视|内容=,default,
55,<center>{{图片放大|星旅寻影-废弃电视2.png|500px|1000px}}</center>,default,
56,是铆钉镇废弃的电视，难道它们还能使用吗？<br>看来这里还有许多有价值的东西，说不定能在这里找到宝藏哦！,default,
57,}},default,
58,===根据照片寻找并拍摄目标===,default,
59,{{折叠|标题=拍摄目标12|内容=,default,
60,<center>{{图片放大|星旅寻影-滑梯1.png|500px|1000px}}</center>,default,
61,这个外形…应该是游乐设施之类的吧。<br>但是贝洛伯格哪里会有游乐设施呢……}},default,
62,*开拓者：（滑梯上好像有两只扑满……）,content,开拓者
63,:{{颜色|描述|扑满被你的快门声吓到了，吸走了你的照片……}},default,
64,===调查扑满===,default,
65,{{折叠|折叠=是|额外对话（击败扑满）|内容=,default,
66,*开拓者：（照片不在它嘴里，身上也没有好东西，真是只穷酸的扑满……）,content,开拓者
67,}},default,
68,:扑满趴在地上瑟瑟发抖，它现在已经无路可逃了。,default,
69,{{剧情选项,default,
70,|选项1=把照片还给我！,option,开拓者
71,|剧情1=:{{颜色|描述|扑满似乎听懂了你的话，把照片吐了出来便逃走了……}},branch_content,
72,|选项2=只能把你干掉了！,option,开拓者
73,|剧情2=:{{颜色|描述|扑满似乎看到了你的杀意，慌忙逃跑，照片掉在了路上……}},branch_content,
74,|选项3=（亲手从它身上找照片）,option,开拓者
75,|剧情3=:你撬开了扑满的嘴巴，看到它如黑洞般深邃的咽喉，慢慢抚摸它光滑的肚皮，轻轻按压……,branch_content,
76,:{{颜色|描述|扑满挣扎着吐出了你的照片，仓皇地逃走了……}},default,
77,}},default,
78,{{折叠|标题=滑梯|内容=,default,
79,<center>{{图片放大|星旅寻影-滑梯2.png|500px|1000px}}</center>,default,
80,是铆钉镇的滑梯，听说以前这里是孩子的游乐场，可惜因为裂界被荒废了…<br>等到孩子们能在这里自由地玩耍的时候，一定要再来拍一张照片！,default,
81,}},default,
82,,default,
83,{{角色对话|模板开始|三月七}},default,
84,{{角色对话|左|三月七|表情|01-11}},default,
85,{{角色对话|左|三月七|文本|今天战况如何呀？}},default,
86,{{短信选项,option,开拓者
87,|选项1=（展示照片）|剧情1=,branch_content,
88,{{角色对话|右|开拓者|图片|星旅寻影-废弃电视2.png}},default,
89,{{角色对话|右|开拓者|图片|星旅寻影-滑梯2.png}},default,
90,}},default,
91,{{角色对话|左|三月七|文本|辛苦啦！}},default,
92,{{角色对话|左|三月七|文本|不过…好像和我当时拍的不太一样？}},default,
93,{{短信选项,option,开拓者
94,|选项1=应该没什么区别|剧情1=,branch_content,
95,{{角色对话|右|开拓者|文本|看起来没什么区别啊}},default,
96,{{角色对话|左|三月七|文本|唔，可能是我记不清了吧}},default,
97,{{角色对话|左|三月七|文本|但我肯定没有拍过两个扑满这么奇怪的东西…}},default,
98,|选项2=时过境迁，物是人非…|剧情2=,branch_content,
99,{{角色对话|右|开拓者|文本|时过境迁，物是人非…}},default,
100,{{角色对话|左|三月七|文本|你说得好伤感哦！}},default,
101,}},default,
102,{{角色对话|左|三月七|文本|对了，我这边的收集也快结束了}},default,
