line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=星星是冰冷的玩具,default,
3,|任务地区=雅利洛-Ⅵ,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=在亲眼见证朗道家姐弟二人在疆场上并肩作战的模样后，你才真正认识到坚韧与英勇究竟是为何物。<br>你们方才成功穿过杀声如雷的战场，却又立刻遁入沉默的裂界迷宫中——周遭的死寂使你不禁感到毛骨悚然。<br>某种凶险的事物确乎潜藏在这令人窒息的空气中…现在只有一边仔细侦察周围，一边设法深入裂界了。,default,
7,|奖励={{图标|里程|1000}}{{图标|星琼|80}}{{图标|漫游指南|3}}{{图标|提纯以太|3}},default,
8,|任务条件=完成[[兵士们默默无言]],default,
9,|开放等级=24,default,
10,|出场人物=三月七、丹恒、希儿、可可利亚、布洛妮娅,default,
11,|相关道具=精致的雪景球,default,
12,|系列任务=于曈昽的骄阳下,default,
13,|任务编号=05,default,
14,|前置任务=*[[兵士们默默无言]],default,
15,|后续任务=*[[过去早已无路可通]],default,
16,|任务流程=*深入残响回廊,default,
17,*调查遗落在路边的物件,default,
18,*追随布洛妮娅和可可利亚的步伐,default,
19,*设法找到开关，开启机关门,default,
20,*开启所有机关,default,
21,*继续深入残响回廊,default,
22,*击败裂界生物，穿越旧要塞残骸,default,
23,*打开大门，穿越旧要塞残骸,default,
24,*向残响回廊的最深处前进,default,
25,*接近可可利亚的回响残影,default,
26,}},default,
27,==剧情内容==,default,
28,:{{颜色|描述|你们终于来到了核心区域…}},default,
29,*希儿：这就是…杰帕德提到的那片裂界？,content,希儿
30,*丹恒：边缘通路受到的侵蚀跟这里比起来，完全是小巫见大巫。,content,丹恒
31,{{剧情选项,default,
32,|选项1=怎么定位「星核」的位置？,option,开拓者
33,|剧情1=*丹恒：希露瓦说过，星核很可能被藏在贝洛伯格北部的雪原中。想抵达那里，恐怕得先找到这座裂界迷宫的出口。,branch_content,丹恒
34,*三月七：我说…你们有没有觉得这地方很诡异？感觉就像…感觉就像我们在被好多双眼睛一直盯着。,content,三月七
35,|选项2=这里的氛围让人不安。,option,开拓者
36,|剧情2=*三月七：开拓者说的没错，感觉就像…感觉就像我们在被好多双眼睛一直盯着。,branch_content,三月七
37,*丹恒：希露瓦说过，星核很可能被藏在贝洛伯格北部的雪原中。想抵达那里，恐怕得先找到这座裂界迷宫的出口。,content,丹恒
38,}},default,
39,*希儿：这地方…让人起鸡皮疙瘩，不舒服。皮肤下面好像有虫子在爬。,content,希儿
40,*丹恒：现在我们没有向导，也没有能直接指向星核的探测手段——只能步步为营。,content,丹恒
41,*丹恒：但也不必悲观。裂界的污染越重，就证明我们离根源越近了。,content,丹恒
42,=== 深入残响回廊 ===,default,
43,{{任务描述|在亲眼见证朗道家姐弟二人在疆场上并肩作战的模样后，你才真正认识到坚韧与英勇究竟是为何物。<br>你们方才成功穿过杀声如雷的战场，却又立刻遁入沉默的裂界迷宫中——周遭的死寂使你不禁感到毛骨悚然。<br>某种凶险的事物确乎潜藏在这令人窒息的空气中…现在只有一边仔细侦察周围，一边设法深入裂界了。|雅利洛-Ⅵ-残响回廊}},default,
44,=== 调查遗落在路边的物件 ===,default,
45,{{任务描述|在亲眼见证朗道家姐弟二人在疆场上并肩作战的模样后，你才真正认识到坚韧与英勇究竟是为何物。<br>你们方才成功穿过杀声如雷的战场，却又立刻遁入沉默的裂界迷宫中——周遭的死寂使你不禁感到毛骨悚然。<br>三月七在此处表现出前所未有的灵敏：她注意到某些奇异的物件似乎不属于这异界，被遗弃在了路边。<br>尽管丹恒提示各位裂界中满是陷阱，但你的冒险天性告诉你：这里确实有前往查看的必要。|雅利洛-Ⅵ-残响回廊}},content,三月七在此处表现出前所未有的灵敏
46,*三月七：看，前面的地上…好像有什么东西？,content,三月七
47,*丹恒：多长个心眼，不要随便碰裂界里的东西。,content,丹恒
