line_number,content,category,character
1,{{面包屑|星海纪闻}}{{星海纪闻导航}},default,
2,{{引用说明|图书馆}},default,
3,{{待补充}},default,
4,"<blockquote style=border-color:gray><div class=""wiki-bot"">「探索」、「了解」、「建立」、「连结」</div></blockquote>",default,
5,<center></center>,default,
6,==简介==,default,
7,"<i><font color=#564D39>「呜！呜！排排坐，莫站立，瓦普跳跃要小心。呜！呜！安全带，随时系，餐车不是打牌地！」<br><br><div align=""right"">——《星穹列车安全指示（帕姆版）》</div></font></i><br><br>「开拓」的星神阿基维利陨落之后，祂的开拓意志被追随者「无名客」们继承，其中就包括祂曾搭乘的星穹列车。然而「万界之癌」恣肆蔓延，列车所枕银轨也未能幸免。疾疫未至时，列车就已步履维艰；道阻且塞时，便不得不悄然搁浅。<br><br>如此经年累月，不知过了多久，一位红发少女与荒废的列车相遇了。她被遗落在引擎和银轨之间无言故事所吸引，花费时间填补了裂隙、抚平了磨损，将列车上下修葺一新。于是，好奇尚异的少女踏入列车的车厢，开始了丈量宇宙的开拓之旅。<br><br>星穹列车逐站停靠，乘客也来往匆匆，不断有人加入列车的旅途，又不断有人离去。旅者们来自不同的世界，背负不同的过往，奔赴不同的终点，但只要身处列车之中，他们便共享同一段旅程。因此，即便旅客们各怀心思，甚至心怀鬼胎，列车和姬子对此也毫不介意——只要有人愿意共赴奇旅，车门便慷慨地为其开启。",default,
8,==信仰==,default,
9,===星神===,default,
10,*[[星神#「开拓」，阿基维利|「开拓」阿基维利]]：执掌「开拓」命途的星神，从孤绝世界裴伽纳出发，不断开拓未知的边界。祂走过诸界，在星海间铺下银轨，让一个又一个世界彼此相连，留下关于宇宙和探索的传奇——勇敢而好奇的人们被精彩的冒险故事吸引，纷纷追随「开拓」之神的足迹，加入探索银河的旅途。旅行者们自称「无名客」，他们搭载着阿基维利建造的列车，奔行于被银轨联结的星球之间，展开一段段扣人心弦的冒险旅程。,content,阿基维利
11,===命途===,default,
12,*[[命途#开拓|开拓]]：「探索」、「了解」、「建立」、「连结」,content,开拓
13,**「探索」未知的世界，不断拓宽前方的旅道。,default,
14,**「了解」当地的人文生态，融入其中。,default,
15,**「建立」与新世界之间的联系，为其喜乐，共其忧虑。,default,
16,**「连结」世界与世界，踏出永不断绝的道路。,default,
17,===派系===,default,
18,*[[派系#无名客|无名客]]-[[派系#星穹列车|星穹列车]],default,
19,==关于列车==,default,
20,*'''列车的过去'''：星穹列车是「开拓」阿基维利制造的工具，用于承载祂与无名客进行星际旅行。据传这样的载具不止一台，但列车里没有其它的纪录。姬子发现列车时，它的记忆体已经损坏，丢失了很多宝贵的资料。只知道：列车确实是阿基维利的造物；列车确实曾与阿基维利一同旅行。,content,列车的过去
21,*'''列车的方向'''：目前列车正沿着「开拓」曾经的旅线行驶。部分站点的名称因记忆体的损坏而丢失了，但首站和末站的名字都是「裴迦纳」——阿基维利的故乡。列车组推测星穹列车是从裴迦纳出发，沿途停靠，并最终回到起点，再次下一段旅程。但是由于星核的出现，每一站都发生了延误。,content,列车的方向
22,*'''列车的力量'''：银河里流传着“列车的核心是星神阿基维利的心脏，它提供了星穹列车穿越诸界的能力”的说法，姬子在列车上没有找到对应的证据。星穹列车很可能拥有某种机制，使它可以从开拓命途搬运力量。普通的命途行者做不到这一点。<ref>[[姬子/资料#大世界对话]]</ref>,content,列车的力量
23,**星穹列车会将一次次的「开拓」转化成维持运行的能源。理想状态下，只要开拓之旅不曾间断，列车便能获得源源不断的动力，如永动机一般持续前行。<ref>开拓任务[[异乡异客]]</ref>,default,
24,==人员组成==,default,
25,===当前列车组===,default,
26,*{{图标|帕姆}}：列车长，没有办法下车，与某人（可能是阿基维利）有“你我的开拓之旅永不停歇”的约定<ref>{{图标|风之旋}}</ref>。,content,帕姆
27,*{{图标|姬子}}：领航员，充满冒险精神的科学家，星穹列车的修复者。为了见证广阔的星空，选择与星穹列车同行。爱好是制作手调咖啡。,content,姬子
28,*{{图标|瓦尔特}}：老成持重的列车组前辈。圣方丹事件结束后，瓦尔特被迫与事件始作俑者<ref>二人由《崩坏3》穿越而来，瓦尔特与《崩坏3》中同名角色为同一人，在剧情上有所呼应</ref>去向星门另一侧，飞船失去动力后二人被姬子救出，此后瓦尔特便留在列车上，成为列车修复后最初的乘客。拥有「操纵重力」「拟态」等各类能力以及丰富的人生经历，深受大家信赖。,branch_content,瓦尔特
29,*{{图标|丹恒}}：清冷寡言的少年，持有名为「击云」的长枪，于列车漫长的开拓之旅中担任护卫和记录员。,content,丹恒
30,*{{图标|三月七}}：精灵古怪的少女，自认热衷于这个年纪的女孩子「应当热衷」的所有事，比如照相。从列车组捕获的巨型陨冰「六相冰」中苏醒，却发现自己对身世与过往都一无所知。短暂的消沉之后，她决定以重获新生的日期为自己命名。,content,三月七
31,*{{图标|开拓者}}：登上星穹列车的少女/少年，为了消除星核带来的危机，选择与星穹列车同行。,content,开拓者
32,*在剧情中，以上成员除了帕姆以外既是列车组的成员，也是可能会在某一站下车离开的乘客，过往成员也应是如此。,branch_content,
33,===历史成员===,default,
34,====历任领航员====,default,
35,"{| class=""wikitable"" style=""margin-top:0px;width:100%;""",default,
36,!  称号 !! 姓名 !! 在任时期 !! 事迹,default,
37,|-,default,
38,| 「三眼」 || 卡皮•巴巴 || 虫潮末期 || 智力极高的啮齿目水豚科生物，因其精准的「预测能力」成为列车领航员；选择航线的才能有如天眼，多次避开虫潮；喜欢在驾驶室翻看日志、绘制航图，很少见人，由精通水豚语的人类管家打理事务；修订了沿用至今的星轨航图；完成使命后荣归故里。,default,
39,|-,default,
40,| 「鸡窝头」 || 鲍勃 || 未知 || 曾是公司通缉的犯罪集团「塔兰图拉」的一员，脱身假死伪造身份成为列车护卫，被识破身份后被指派为领航员；在任期间准确解决了许多乘客的疑问；自称讨厌智械但在战乱时邀请和平的机械生命登车；在一次保卫战中英勇牺牲；是《鸡窝头侦探》的角色原型。,default,
41,|-,default,
