line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方贺图==,default,
3,=== 节日贺图 ===,default,
4,{{切换板|开始}},default,
5,{{切换板|默认显示|2023白色情人节}},default,
6,{{切换板|默认折叠|2023春节}},default,
7,{{切换板|默认折叠|2023中秋节}},default,
8,{{切换板|显示内容}}{{#section-h:角色贺图/节日贺图|2023白色情人节•景元}},default,
9,{{切换板|内容结束}},default,
10,{{切换板|折叠内容}},default,
11,【今日「除夕」宜干饭】<br>,default,
12,帕姆刚把火锅食材准备好，就发现几个「新面孔」……啊喂，你们热情好客的同时也体谅一下本列车长帕！<br>,default,
13,哎算啦算啦，来都来了，先配合三月七拍个大合照吧，开拓者你也一起哇！<br>,default,
14,三——二——一——茄子！<br>,default,
15,[[文件:2023春节1.png|500px]]<br>,default,
16,{{切换板|内容结束}},default,
17,{{切换板|折叠内容}},default,
18,'''「一场关于月饼的对话」'''<br>,default,
19,<br>,default,
20,「中秋节快乐帕，大家有什么推荐的月饼口味帕？」<br>,default,
21,「咱先安利一个冰皮月饼！天底下怎么会有这么又好看又好吃的食物！」<br>,default,
22,「我认为，抹茶月饼是个不错的选择。」<br>,default,
23,「建议年轻人吃紫薯月饼，养肠护胃，有益身心健康！」<br>,default,
24,「哼，本座今日占卜星相演变，推算出食用草莓月饼最佳，要多加些糖！」<br>,default,
25,「哈哈，我倒是觉得五仁月饼就很好吃啊。」<br>,default,
26,<br>,default,
27,「所以开拓者喜欢吃什么口味的月饼帕？」<br>,default,
28,[[file:2023中秋节•景元.png|500px]],default,
29,{{切换板|内容结束}},default,
30,{{切换板|结束}},default,
31,===帕姆展览馆===,default,
32,{{切换板|开始}},default,
33,{{切换板|默认显示|1.0}},default,
34,{{切换板|显示内容}}{{#section-h:角色贺图/帕姆展览馆|景元•1.0}},default,
35,{{切换板|内容结束}},default,
36,{{切换板|结束}},default,
37,===其他贺图 ===,default,
38,{{切换板|开始}},default,
39,{{切换板|默认显示|开服倒计时}},default,
40,{{切换板|默认折叠|B站300万粉丝贺图}},default,
41,{{切换板|默认折叠|微博100W粉丝贺图}},default,
42,{{切换板|显示内容}}{{#section-h:角色贺图/其他贺图|「倒计时5天」}},default,
43,{{切换板|内容结束}},default,
44,{{切换板|折叠内容}}{{#section-h:角色贺图/社媒贺图|B站300W粉丝}},default,
45,{{切换板|内容结束}},default,
46,{{切换板|折叠内容}}{{#section-h:角色贺图/社媒贺图|微博100W粉丝}},default,
47,{{切换板|内容结束}},default,
48,{{切换板|结束}},default,
49,,default,
50,==角色相关视频==,default,
51,{{角色/视频|景元}},default,
