line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[file:景元官方介绍图.jpg|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,{{角色介绍,default,
7,|职业背景=285251,default,
8,|职业颜色=fafee4,default,
9,|职业=帝弓七天将之一<br>节制罗浮仙舟云骑军的「神策将军」,default,
10,|介绍=不必拘谨，「将军」只是一时的身份，你称呼我景元便可。<br>,default,
11,自从履任后，罗浮已安然度过数百年。<br>只是昔日仇敌或死或擒，故交好友风流云散，我也受俗务羁扰多年，<br>不仅对周遭事物见怪不怪，人也变得无趣。<br>若是有什么旅行异闻，务必同我讲讲。,default,
12,|表格背景=f6ede4,default,
13,|表格边框=aa9274,default,
14,|标题颜色=275255,default,
15,|标题1=将军，你到底多少岁了呀？,default,
16,|内容颜色=6a4a1f,default,
17,|内容1=仙舟人的寿数与短生种不同，受无尽形寿之困，年岁度量皆是以百年乃至千年为记。<br>连续工作百年都是常有之事。<br>可每分每秒的计量却又与短生种无差，哎，每日要处理的文书并不能分作一年去处理，囿于神策府书案的每个时辰也都是真真切切的啊……,default,
18,|备注1=三月七的备注<br><small>他好像还是没说自己多少岁诶→_→</small>,default,
19,|标题2=那个超级巨大的背后灵究竟是？,default,
20,|内容2=你是说「神霄雷府总司驱雷掣电追魔扫秽天君」么？<br>莫要误会，那不是什么怪力乱神。而是帝弓司命所赐威灵，暂且由我驱遣。<br>这既是身为「将军」的权力，也是枷缚于「将军」之身的重责。,default,
21,|备注2=瓦尔特的备注<br><small>唔…真是个底蕴深厚，朗朗上口的好名字。</small><br>彦卿的备注<br><small>哎，将军自己平时都只叫它「神…君」。</small>,default,
22,|标题3=平常一直念的那句诗是？,default,
23,|内容3=「浮生一{{注音|薤|xiè}}露，蜗角争是非。」<br>这是自古国流传下来的诗歌。彼时仙舟先民身为短生种，命如朝露，总爱为微小的争端二同室操戈。<br>而今的仙舟人已身为长生种，看似有了用不尽的时光，但仍未超脱「人」之局限，依然将目光囿于相争琐事之上。,default,
24,|备注3=素裳的备注<br><small>…所以，「一」后面那个字到底怎么念呀？</small>,default,
25,|标题4=如果不当将军，想做什么？,default,
26,|内容4=若能解脱公务樊笼，我想效仿故友，成为一名逍遥自在的旅者。<br>我听闻曾有游侠之辈纵横群星，仗三尺锋芒，抗斗巨恶横暴，留下无数脍炙人口的传奇。<br>与这些人同行，想必会是场快意的旅行吧？,default,
27,|备注4=符玄的备注<br><small>那就举荐我接任吧。动起来，将军，行胜于言啊！</small>}},default,
28,"<center><gallery mode=""nolines"">",default,
29,景元官方故事图.jpg|角色故事,default,
30,景元角色介绍图1.jpg|角色介绍1,default,
31,景元角色介绍图2.jpg|角色介绍2,default,
32,景元手机壳.png|手机壳,default,
33,景元壁纸2.jpg|手机壁纸,default,
34,</gallery></center>,default,
35,</div></div>,default,
36,{{相关光锥|景元}},default,
37,,default,
38,{{人物出场|景元|分栏=是}},default,
39,==相关物品==,default,
40,{{相关物品|景元}},default,
41,==角色对话==,default,
42,===大世界对话===,default,
43,{{折叠|折叠=是|标题=大世界对话-首次|内容=,default,
44,待补充,default,
45,}},default,
46,,default,
47,{{折叠|折叠=是|标题=大世界对话-日常|内容=,default,
48,待补充,default,
49,}},default,
50,==人物考据==,default,
51,*普攻——石火流光：出自北宋词人苏轼《行香子·述怀》“浮名浮利，虚苦劳神。叹隙中驹，石中火，梦中身。”景元所持的阵刀亦名为「石火梦身」。于景元而言，同云上五骁们并肩作战，举杯畅饮的快乐时光正如一闪而过的火花与梦中的片刻，虽短暂而绚丽，但永远不再复返。,content,石火流光
52,*天赋——勘斩神形：意为勘治和斩除作祟的鬼怪。,content,勘斩神形
53,----,default,
54,*定分枪分数：无法测定,content,定分枪分数
