line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=智斗！空间站「黑塔」,default,
4,|任务地区=空间站「黑塔」,default,
5,|任务类型=活动任务,default,
6,|所属版本=1.4,default,
7,|任务描述=你们已经完成了「流云渡的决胜乐园」的全部挑战，拿到了第二枚资格勋章。<br>通往冠军之路如一卷红毯直铺你脚下——该迈出第三步了。,default,
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|里程|200}}{{图标|星琼|40}}{{图标|漫游指南|6}}{{图标|遗失晶块|4}}{{图标|信用点|40000}},default,
10,|任务条件=完成任务「[[前进！流云渡]]」,default,
11,|开放等级=34,default,
12,|相关活动=「以太战线」,default,
13,|相关成就=,default,
14,|相关道具=密钥藏宝图、电梯解锁密钥、一号藏宝图、二号藏宝图、一号冠军候补凭证、三号藏宝图、二号冠军候补凭证、三号冠军候补凭证、空间站「黑塔」的资格徽章,default,
15,|相关书籍=,default,
16,|出场人物=三月七、黑塔、银狼、乔瓦尼、维尔德,default,
17,|领取地点=,default,
18,|系列任务=星际决胜庆典,default,
19,|任务编号=04,default,
20,|前置任务=*[[前进！流云渡]],default,
21,|后续任务=*[[激战！大矿区]],default,
22,|任务流程=*与三月七汇合,default,
23,*前往空间站月台,default,
24,*询问乔瓦尼的真实目的,default,
25,*找到服务机器人，领取藏宝图,default,
26,*根据藏宝图找到电梯密钥,default,
27,*输入电梯密钥,default,
28,*找到服务机器人，领取藏宝图,default,
29,*根据藏宝图，找到下一个资格凭证,default,
30,*前往黑塔所在的房间,default,
31,*与黑塔对决,default,
32,*前往歌德宾馆与维尔德见面,default,
33,}},default,
34,==剧情内容==,default,
35,=== 与三月七汇合 ===,default,
36,{{任务描述|你们已经完成了「流云渡的决胜乐园」的全部挑战，拿到了第二枚资格勋章。<br>通往冠军之路如一卷红毯直铺你脚下——该迈出第三步了。|仙舟「罗浮」-星槎海中枢}},default,
37,*三月七：嘿，开拓者！要开始今天的行程咯，你准备好了吗？,content,三月七
38,*次元扑满：哼哼～哼！,content,次元扑满
39,{{剧情选项,default,
40,|选项1=准备好了！,option,开拓者
41,|剧情1=*三月七：嘿嘿，就等你这句话呢～,branch_content,三月七
42,|选项2=我可以说没准备好吗？,option,开拓者
43,|剧情2=*三月七：可你这气色不是挺好的嘛…哼，别想糊弄我呀。,branch_content,三月七
44,}},default,
45,*三月七：那么，出发吧！目的地是{{颜色|描述1|「空间站『黑塔』的决胜乐园」}}！,content,三月七
46,,default,
47,=== 前往空间站月台 ===,default,
48,{{任务描述|通往冠军之路如一卷红毯直铺你脚下。<br>你们的第三枚资格徽章就藏在空间站「黑塔」之中，不知里面会有什么挑战在等待。|空间站「黑塔」-资源舱段}},default,
49,*三月七：我们到啦，空间站的月台！从这里出发就可以到达{{颜色|描述1|「空间站『黑塔』的决胜乐园」}}了…不过，这里的气氛和平时比好像没什么变化？,content,三月七
50,*次元扑满：哼哼…哼哼？,content,次元扑满
51,*三月七：你准备好了吗，开拓者？我们出发吧～,content,三月七
52,*次元扑满：哼哼！哼！,content,次元扑满
53,{{剧情选项|选项1=出发吧。}},default,
54,*三月七：出发——目标是锦标赛的资格徽章！,content,三月七
55,,default,
56,=== 询问乔瓦尼的真实目的 ===,default,
57,{{任务描述|原来乔瓦尼一直有意引导你们达成某个目标，仿佛摆弄掌心里的玩偶。这种感觉可真不痛快，要赶快找他问清楚才是。|决胜乐园-空间站「黑塔」}},default,
58,*三月七：欸，那不是乔瓦尼先生吗？怎么又是他？,content,三月七
59,*乔瓦尼：{{注音|开拓者和三月小姐|开拓者们}}，我们又见面了！能在这里看到两位的身影，看来你们的游戏水平确实提升了不少啊。,content,乔瓦尼
60,*三月七：谢谢您，乔瓦尼先生。说起来，我们有些问题想问您…方便吗？,content,三月七
61,*乔瓦尼：当然方便！只要是我能答得上来的，随时欢迎二位向我提问。,content,乔瓦尼
62,*三月七：开拓者，要不还是你来问吧？就是咱们之前一直没搞清楚的那件事……,content,三月七
63,{{剧情选项,default,
64,|选项1=你到底有什么企图？,option,开拓者
65,|剧情1=,branch_content,
66,|选项2=你为什么会在这里？,option,开拓者
67,|剧情2=*三月七：不对啦！我想问的和这个没关系……,branch_content,三月七
68,|选项3=您吃了吗？吃的什么？,option,开拓者
69,|剧情3=*三月七：不对啦！这都什么跟什么啊……,branch_content,三月七
70,}},default,
71,*三月七：乔瓦尼先生，您其实一直在有意引导我们达成某个目标，对吧？,content,三月七
72,*三月七：您一直让各个庆典场地的「冠军首席」给我们带话…究竟是为了什么？,content,三月七
73,*次元扑满：哼哼！哼哼？,content,次元扑满
74,*乔瓦尼：哈哈哈，原来你们在意的是这件事啊。我向你们保证：我对两位没有任何恶意。,content,乔瓦尼
75,*乔瓦尼：身为庆典的全权赞助人，以及《以太战线》的忠实玩家，我只想保证一件事……,content,乔瓦尼
76,*乔瓦尼：我希望能见证一场真正完美的庆典，让所有参与者都能体会到游戏的魅力。,content,乔瓦尼
77,*乔瓦尼：这套说辞，不知道两位能否接受呢？,content,乔瓦尼
78,*三月七：这……,content,三月七
79,{{剧情选项,default,
80,|选项1=是我们冒昧了。,option,开拓者
81,|剧情1=,branch_content,
82,|选项2=你最好别打什么坏主意。,option,开拓者
83,|剧情2=*乔瓦尼：正如我刚才所说，我对二位绝无恶意——我以这副面具发誓。,branch_content,乔瓦尼
84,}},default,
85,*三月七：…我明白了。我们相…我们暂且相信你。,content,三月七
86,*乔瓦尼：理解万岁！那么，恕我先失陪了——祝你们顺利取得下一枚资格徽章，也希望我能在最后的锦标赛中一睹二位的英姿！,content,乔瓦尼
87,*次元扑满：哼哼…哼？哼哼？,content,次元扑满
88,*三月七：又自顾自地走了…不知道他的话里有几分真，几分假。,content,三月七
89,----,default,
90,:{{颜色|描述|乔瓦尼走后，一个声音突兀地响起…}},default,
91,*银狼：喂，刚才那个面具男已经走了吧？,content,银狼
92,*三月七：嗯，已经走了…欸？是谁？,content,三月七
93,*次元扑满：哼哼？哼哼哼？,content,次元扑满
94,*三月七：你是…啊，你难道是星核猎手的那个骇客姑娘吗？为什么会出现在这里？！,content,三月七
95,{{剧情选项,default,
