line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=有龙矫矫，其渊渺渺,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓任务,default,
6,|所属版本=1.2,default,
7,|任务描述=在所有人面前，丹恒显露出他不愿为人所知的面貌——持明龙尊之相，并以其力量分开古海之水，露出通向建木玄根的道路。<br>在你们前行时，绝灭大君幻胧已捷足先登，深入其中，擘画着对罗浮长生种的阴谋。,default,
8,|奖励={{图标|里程|600}}{{图标|星琼|60}}{{图标|「存护」之影|1}}{{图标|漫游指南|14}}{{图标|《蝉喓歌•仙骸有终》|1}}{{图标|《蝉喓歌•长命无绝》|1}}{{图标|信用点|150000}},default,
9,|任务条件=完成[[金鼎灵树，穷途梼杌]],default,
10,|开放等级=34,default,
11,|相关成就=,default,
12,|相关道具=昭言石板,default,
13,|相关书籍=,default,
14,|出场人物=景元、符玄、丹恒•饮月、三月七、瓦尔特、幻胧,default,
15,|系列任务=云树百丈蔽重楼,default,
16,|任务编号=04,default,
17,|前置任务=*[[得其雨露，安其壤土]],default,
18,*[[金鼎灵树，穷途梼杌]],default,
19,|后续任务=*[[仙骸成空，大劫有终]],default,
20,|任务流程=*踏入古老的持明废墟,default,
21,*解除三处持明封印,default,
22,**击败盘踞此处的孽物,default,
23,**检视孽物脚下的昭言石板,default,
24,**依石板之言解除封印,default,
25,*踏入建木玄根深处,default,
26,*完成[[仙骸成空，大劫有终]],default,
27,}},default,
28,==剧情内容==,default,
29,*符玄：水底竟有这么多建筑…难怪典籍记载鳞渊境曾是持明龙宫的所在。,content,符玄
30,*景元：倏忽之乱时，我有幸躬逢其盛，目睹过这一奇景。山移海转，宫城空墟…持明族以故土圣地囚禁建木，罗浮仙舟实在亏欠他们良多。,content,景元
31,*景元：符卿。,content,景元
32,*符玄：我在。,content,符玄
33,*景元：你留在这里，率云骑镇守这条通道，以免另有事端。,content,景元
34,*符玄：景元…将军，你要独自去对付幻胧？,content,符玄
35,*景元：倒也谈不上独自一人，还有朋友同行。,content,景元
36,:{{颜色|描述|景元看向你与丹恒，你向景元点了点头…}},default,
37,*云骑士卒：将军！我们也愿随将军同去！请将军不要撇下我等！,content,云骑士卒
38,*云骑士卒：是啊，将军。我们虽然本事低微，但云骑军卫蔽仙舟的职责在身，岂有呆在后方，反而让异乡旅客为我们冒险的道理！如果不嫌弃，请让我来为各位开路。,content,云骑士卒
39,*景元：诸位，你们的心意我很清楚。,content,景元
40,*景元：但前方的对手并非丰饶孽物…而是反物质军团的「绝灭大君」。过了这条道后，就是{{注音|帝弓司命|岚}}与{{注音|烬灭祸祖|纳努克}}的对垒了……,content,景元
41,*景元：你们有更重要的职责。云骑军听令！,content,景元
42,*景元：我深入「建木」后，若海水恢复原状，便立刻撤离，重新闭锁洞天。一切事宜听从太卜安排。,content,景元
43,*云骑士卒：是！,content,云骑士卒
44,*景元：符卿，若我无法返回，将始末因果呈报给其他仙舟的重任，交托给你了。,content,景元
45,*符玄：…我不会说什么「请亲自回来述职」之类的话。你吩咐的，我定不辱使命。,content,符玄
46,*景元：哈，有几分将军的意思了。,content,景元
47,{{折叠|标题=额外对话（符玄）|内容=,default,
48,符玄正向云骑布置因应的方略，还是不要打扰她为好。,default,
49,|折叠=是}},default,
50,===踏入古老的持明废墟===,default,
51,{{任务描述|在所有人面前，丹恒显露出他不愿为人所知的面貌——持明龙尊之相，并以其力量分开古海之水，露出通向建木玄根的道路。<br>在你们前行时，绝灭大君幻胧已捷足先登，深入其中，擘画着对罗浮长生种的阴谋。|仙舟「罗浮」-鳞渊境}},default,
52,*三月七：这台阶跨度还挺大，哎嘿，让我找个台阶下……,content,三月七
53,----,default,
54,:{{颜色|描述|在台阶下，你们见到了正在争吵的持明蜃影…}},default,
55,*苍老的声音：用鳞渊境来封印建木？背叛！此乃大不敬！,content,苍老的声音
56,*苍老的声音：你疯了！你以为这能换取仙舟人的信任？非我族类，永远不可能同心一致！,content,苍老的声音
57,*龙尊的声音：长老的意思我已了解，但我意已决，不容更迭。,content,龙尊的声音
58,*苍老的声音：好…好，我会呈报龙师们，{{注音|褫|chǐ}}夺你龙尊的名号与力量！,content,苍老的声音
59,*丹恒：这是…最初接受了镇压建木使命的那位龙尊……,content,丹恒
60,*丹恒：按照传统，从此以后，历任龙尊都要重返显龙大雩殿，在这儿引导古海之潮，守望并加固「建木」的封印。,content,丹恒
61,*景元：你想起来了？,content,景元
62,*丹恒：是，「叩祝三爪，朝觐尺木」…通往玄根深处的道路便会打开。,content,丹恒
63,*三月七：这是什么谜语吗？「叩祝三爪」…什么意思啊？,content,三月七
64,*丹恒：不必担心，随我来便是。,content,丹恒
65,,default,
66,===解除三处持明封印===,default,
67,*三月七：这么大个宫殿，说放弃就放弃了…换了我，得心疼好几个礼拜呢。,content,三月七
68,*丹恒：对持明而言，这牺牲恐怕是不得不为之的……,content,丹恒
69,----,default,
70,:{{颜色|描述|前往第一处封印}},default,
71,*丹恒：这便是所谓「叩祝三爪」中的一处，消解此地封印，便能向玄根再进一步。,content,丹恒
72,*三月七：所谓的「封印」，是指这些造型古怪的石灯吗？,content,三月七
73,*丹恒：是啊，我依稀记得需要依序触碰石灯，来逆转此地的封印。,content,丹恒
74,*景元：那就有劳你了？,content,景元
75,*丹恒：我…试试。,content,丹恒
76,{{折叠|标题=额外对话（解除封印失败）|内容=,default,
77,*三月七：仔细瞧瞧，这些石灯的底座与底座之间，好像有差别呢…,content,三月七
78,:{{黑幕|根据石灯底部三角纹样点亮数量的多少顺序点亮对应石灯}},default,
79,|折叠=是}},default,
80,:{{颜色|描述|解开第一个封印}},default,
81,*丹恒：成了。,content,丹恒
82,*三月七：对了将军，停云小姐的…事情，你应该听说了吧？,content,三月七
83,*景元：我从符卿处收到了报告。幻胧潜伏之深，处心积虑，实在令人防不胜防。,content,景元
84,*景元：事后云骑会展开调查，当务之急要先瓦解幻胧的图谋。,content,景元
85,----,default,
86,{{折叠|标题=额外对话（持明蜃影）|内容=,default,
87,*中年的声音：你带我来这儿，教你的族人知道，就麻烦大了。,content,中年的声音
