line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=未来市场•其一,default,
4,|任务地区=雅利洛-Ⅵ,default,
5,|任务类型=开拓续闻,default,
6,|所属版本=1.4,default,
7,|任务描述=开拓者的开拓日报：<br>刷脸，见布洛妮娅。,content,开拓者的开拓日报
8,|奖励={{图标|里程|700}}{{图标|星琼|110}}{{图标|漫游指南|5}}{{图标|遗失晶块|4}}{{图标|信用点|40000}},default,
9,|任务条件=完成开拓续闻「[[未来市场•序]]」,default,
10,|开放等级=34,default,
11,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=三月七、托帕&账账、布洛妮娅、希儿、克拉拉、杰帕德,default,
15,|系列任务=冬梦激醒,default,
16,|任务编号=02,default,
17,|前置任务=*[[未来市场•序]],default,
18,|后续任务=*[[未来市场•其二]],default,
19,|任务流程=*前往克里珀堡，和布洛妮娅聊聊,default,
20,*与三月七交谈，商量对策,default,
21,*寻找托帕,default,
22,*尝试与托帕交谈,default,
23,*交涉失败，和三月七总结情况,default,
24,*前往磐岩镇支援希儿,default,
25,*和守在大矿区入口的公司员工对峙,default,
26,*（可选）和三月七谈谈,default,
27,*和希尔交谈，前往大矿区,default,
28,*查看矿民们的情况,default,
29,*尝试和账账「沟通」,default,
30,*跟随账账，深入大矿区,default,
31,*和矿区深处的公司员工对峙,default,
32,}},default,
33,==剧情内容==,default,
34,=== 前往克里珀堡，和布洛妮娅聊聊 ===,default,
35,{{任务描述|开拓者的开拓日报：<br>刷脸，见布洛妮娅。|雅利洛-Ⅵ-行政区}},content,开拓者的开拓日报
36,:{{颜色|描述|一段时间之后。}},default,
37,*三月七：哈~累了，没想到什么也不干，光是闲逛也能这么消耗体力……,content,三月七
38,*三月七：{{注音|开拓者|你说}}，咱们是不是该去见见布洛妮娅？毕竟是她给咱们发的邀请函嘛。,content,三月七
39,*三月七：或者，咱们也可以再去别处逛逛，玩玩…全看你心情！,content,三月七
40,----,default,
41,:{{颜色|描述|你进入了克里珀堡，却看到了托帕…}},default,
42,*托帕：…贵星的苦衷我完全理解，大守护者小姐。贝洛伯格当下财务紧张的局面不是因为你——当然，也不是因为这城里任何一个人——的过错导致的。,content,托帕
43,*托帕：但就事论事地说，既然贝洛伯格作为独立政体存续到了当下，那这笔债务就不能被当做坏账勾销。,content,托帕
44,*托帕：…啊，看来有重要的访客来了。,content,托帕
45,*三月七：布洛妮娅！还有…托帕小姐居然也在？,content,三月七
46,*三月七：啊，原来你们已经开始谈合作了？正事要紧，要不我们一会儿再——,content,三月七
47,*托帕：——没事，我们本来就聊得差不多了，这会儿正准备收尾呢。,content,托帕
48,*托帕：大守护者小姐，还请你认真考虑一下我的方案。如果雅利洛-Ⅵ还想在未来重建与银河众星的联系…你们在公司这里的信用记录会无比重要。,content,托帕
49,*布洛妮娅：…我明白，托帕小姐。我会…我需要时间考虑。,content,布洛妮娅
50,*托帕：当然。不过，在你考虑的同时，我的同事需要在贝洛伯格展开一些必要的工作…还希望上下层区的诸位能够配合。,content,托帕
51,*托帕：真不好意思，因为我的事打扰你们老友重聚了！公事已经聊完了，接下来各位可以慢慢叙旧——先走一步咯，回见~,content,托帕
52,----,default,
53,:{{颜色|描述|托帕走后…}},default,
54,*三月七：布洛妮娅，没事吧？那个托帕…居然有那么强势的一面，本来以为是个很好说话的人呢。,content,三月七
55,*布洛妮娅：开拓者，三月…欢迎你们回来。抱歉，我本打算盛情迎接两位，但那位自称「公司」使者的女士突然出现，打乱了我的思绪……,content,布洛妮娅
56,*布洛妮娅：既然是和你们两位，那我也没什么好遮掩的…老实说，我现在已经没什么精力思考煦日节的事了。,content,布洛妮娅
57,{{剧情选项,default,
58,|选项1=托帕到底和你说了什么？,option,开拓者
59,|选项2=我听到了「债务」两个字…,option,开拓者
60,}},default,
61,*布洛妮娅：…嗯，既然你们之前已经打过照面，那我也不必说明她的身份了。,content,布洛妮娅
62,*布洛妮娅：你们第一次来到贝洛伯格的时候，肯定听人提到过那段历史吧？有关七百多年前的军团入侵、还有因「星核」而生的寒潮……,content,布洛妮娅
63,*布洛妮娅：现在看来，当时有许多重大的历史事件被埋藏在了风雪之下…那些记忆甚至没能随着历任大守护者传承下来。,content,布洛妮娅
64,*布洛妮娅：托帕小姐给我讲了一个故事：七百年前，星核降落于雅利洛-Ⅵ之后，原本在这个世界驻留的外来者预见到了危机的迫近，纷纷选择离去。,content,布洛妮娅
65,*布洛妮娅：这些外来者中就包括了一批「星际和平公司」的投资人。但他们在临走前做了一件大事——,content,布洛妮娅
66,*布洛妮娅：——他们找到了坚持驻守家园的「筑城者」，并向后者提供了一大笔资金，用于灾难避险。,content,布洛妮娅
67,*布洛妮娅：正是凭借那笔资金，贝洛伯格才得以建起如此高大的城墙…甚至连最初一批自动机兵的研发经费都是从那笔钱里划出来的。,content,布洛妮娅
68,----,default,
69,*三月七：居然还有这种事！所以…所以，难不成托帕说的「业务」，就是来贝洛伯格讨债？,content,三月七
70,*布洛妮娅：嗯…恐怕是的。,content,布洛妮娅
71,*三月七：这也太离谱了吧？！早不来晚不来，怎么非挑这个时候？要是咱们没铲除掉星核，这笔账还不是就这么算了？这不明摆着是欺负人嘛！,content,三月七
72,*布洛妮娅：根据她的说法，筑城者和公司投资人商定的还款年限是…280年。但借款之后不到百年，雅利洛-Ⅵ和整个银河的联系就彻底切断了。,content,布洛妮娅
73,*布洛妮娅：公司认为雅利洛-Ⅵ遭受了毁灭级别的打击，文明已经不复存在，那笔投资也就被评定为了烂账。,content,布洛妮娅
74,*布洛妮娅：直到「星核」危机解除，公司才发现贝洛伯格居然一直存续到了现在……,content,布洛妮娅
75,*三月七：然后他们就派了托帕过来催债……,content,三月七
76,*布洛妮娅：…嗯，连本带息。,content,布洛妮娅
77,{{剧情选项,default,
78,|选项1=数额是多少？,option,开拓者
79,|剧情1=*布洛妮娅：天文级别…我甚至不知道该怎么准确地念出那串数字。,branch_content,布洛妮娅
80,|选项2=拖着不还会怎么样？,option,开拓者
