line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=未来市场•其二,default,
4,|任务地区=雅利洛-Ⅵ,default,
5,|任务类型=开拓续闻,default,
6,|所属版本=1.4,default,
7,|任务描述=开拓者的开拓日报：<br>没见到托帕。克里珀堡有新情况。回去找布洛妮娅。,content,开拓者的开拓日报
8,|奖励={{图标|里程|1300}}{{图标|星琼|130}}{{图标|漫游指南|12}}{{图标|遗失晶块|10}}{{图标|信用点|130000}},default,
9,|任务条件=完成开拓续闻「[[未来市场•其一]]」,default,
10,|开放等级=34,default,
11,|相关成就=通往群星的轨道#晴天收伞，雨天借伞,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=布洛妮娅、三月七、姬子、托帕&账账、佩拉、希露瓦、娜塔莎、希儿、克拉拉、杰帕德、砂金,default,
15,|系列任务=冬梦激醒,default,
16,|任务编号=03,default,
17,|前置任务=*[[未来市场•其一]],default,
18,|后续任务=,default,
19,|任务流程=*前往克里珀堡，和布洛妮娅了解最新情况,default,
20,*收集上层区居民对托帕提议的看法,default,
21,*收集下层区居民对托帕提议的看法,default,
22,*去大矿区问问希儿的看法,default,
23,*回到克里珀堡向布洛妮娅汇报,default,
24,*和驻扎在磐岩镇的杰帕德谈谈,default,
25,*顺着镇上小路寻找托帕,default,
26,*操纵「潜爆机兵」清除障碍,default,
27,*继续顺着镇上小路寻找托帕,default,
28,*操纵「潜爆机兵」清除障碍,default,
29,*顺着镇上小路前往托帕所在之地,default,
30,*找到托帕，和她对峙,default,
31,*前往残响回廊，看看布洛妮娅要将你们带去何处,default,
32,*顺着造物之柱的道路前进,default,
33,*与布洛妮娅和托帕谈谈,default,
34,*去歌德宾馆好好睡上一觉,default,
35,}},default,
36,==剧情内容==,default,
37,=== 前往克里珀堡，和布洛妮娅了解最新情况 ===,default,
38,{{任务描述|开拓者的开拓日报：<br>没见到托帕。克里珀堡有新情况。回去找布洛妮娅。|雅利洛-Ⅵ-行政区}},content,开拓者的开拓日报
39,*布洛妮娅：欢迎回来…真是难为情，又辛苦你们为这座城市到处奔波了。,content,布洛妮娅
40,*三月七：别这么见外嘛，布洛妮娅。你听着好像有点虚…没事吧？,content,三月七
41,*布洛妮娅：我还好，只是…只是有一阵子没休息了。突发情况实在太多……,content,布洛妮娅
42,{{剧情选项,default,
43,|选项1=公司又有什么动作了吗？,option,开拓者
44,|剧情1=,branch_content,
45,|选项2=这种事，换成谁都很难面对…,option,开拓者
46,|剧情2=*布洛妮娅：也许吧，但我不能逃避。,branch_content,布洛妮娅
47,}},default,
48,*布洛妮娅：「公司」动作很快，贝洛伯格现在到处都是他们的人，而且口径都是统一的「资产评估」。,content,布洛妮娅
49,*布洛妮娅：不过除了你们提到的大矿区，其它地方倒是没有出现剧烈的冲突情况。大概是因为托帕下了命令，不允许他们肆意骚扰市民。,content,布洛妮娅
50,*布洛妮娅：但这不影响恐慌情绪在人们心中堆积…大家都有些不知所措，不知道陌生的黑衣人从哪来、他们究竟抱有什么目的。,content,布洛妮娅
51,*三月七：那…你后来又和托帕联系上了吗？其实{{注音|我和开拓者|我们}}一直很好奇，她提供的解决方案到底是什么……,content,三月七
52,*布洛妮娅：嗯，我请两位过来，就是想听听你们的意见。,content,布洛妮娅
53,*布洛妮娅：你们看——,content,布洛妮娅
54,*三月七：这是……,content,三月七
55,*布洛妮娅：是一份「合同」，托帕不久前才发给我的，下面还附了她的亲笔信。,content,布洛妮娅
56,*布洛妮娅：两位请先看一遍上面的内容吧…然后再告诉我你们的看法。,content,布洛妮娅
57,----,default,
58,*托帕：…布洛妮娅小姐——请允许我在往后的文字中使用这个亲昵的称谓——接下来，我想和你讲一个和我自己有关的故事。,content,托帕
59,*托帕：在你眼中不近人情的公司职员们，其实也都有着各自的人生轨迹。以我自己为例，我出身自一个位于银河边缘的不起眼星球，它的名字除了原住民以外几乎无人知晓。,content,托帕
60,*托帕：我的母星资源十分匮乏。为了生存，居民们不得不大量出售劳动力，从事为星间其它文明代工的职业——多数是化工行业或重工业。,content,托帕
61,*托帕：在这样的背景下，母星的自然环境日渐恶劣。不知从我童年的哪一刻开始，人们必须戴着呼吸面罩才敢在街道上行走，耳边从早到晚都会传来撕心裂肺的咳声。,content,托帕
62,*托帕：很快，我的家乡走入了末路。相对富有的人们选择了星际移民，重新开始；留下的多数人只能在污水、酸雨和尘霾的伴随下苟延残喘，等待绝望迫近。,content,托帕
63,*托帕：直到有一天，公司来到了我的母星，还带来了一整套先进的环境改造方案。作为交换，他们要求星球上的每一位居民都签下合同，成为——或是在未来成为——公司的员工。,content,托帕
64,*托帕：合同签订后的两年，黑云和雾霾消失了，人们开始摘下面罩；三年后，植被和树木重新开始生长、繁盛；五年后，许多一度绝迹的动物重新进入了人们的视野，活蹦乱跳。,content,托帕
65,*托帕：我也是在那时到了年纪，正式成为了「战略投资部」的一员。我亲眼目睹了家乡经历的变化，也决心将同样的变化带给银河中诸多有着类似经历的世界。,content,托帕
66,*托帕：布洛妮娅小姐，我怀着真挚的心情写下这封信，为的是向你说明一件事——,content,托帕
67,*托帕：「自由」对人而言是十分宝贵的财富；但在做现实的选择题时，总有些东西会被赋予比它更高的价值——比如「生存」。,content,托帕
68,*托帕：仅靠贝洛伯格人的双手，你们需要跨越多少代人才能重回星空的怀抱？谁能保证未来的每一任守护者都和你一样审慎、开明？谁能断言类似星核的灾难不会再次降临？,content,托帕
69,*托帕：我已经为你们争取到了最好的方案。只要签下这份合同，贝洛伯格欠下的所有债务都可以一笔勾销。此外，公司还会设立专项小组，支援雅利洛-Ⅵ的重建工作。,content,托帕
70,*托帕：我能够理解，对你而言，这会是一个极度艰难的抉择，因为你必须背负起贝洛伯格全体居民的命运。,content,托帕
71,*托帕：但也正因如此，我相信你一定会做出正确的决定——能让你的子民真正从中获益的决定。,content,托帕
72,----,default,
73,*三月七：托帕在信里的语气，感觉相当真诚啊…开拓者，你怎么看？,content,三月七
74,{{剧情选项,default,
75,|选项1=我也这么觉得。,option,开拓者
76,|剧情1=*布洛妮娅：嗯…我不愿意相信她是为了欺骗我才编撰了这个故事。,branch_content,布洛妮娅
