line_number,content,category,character
1,{{NPC,default,
2,|名称=杜老板,default,
3,|称号=「杜氏茶庄」老板<!-- 名字下方黄色字体，若无可留空 -->,default,
4,|性别=男,default,
5,|职业=茶庄老板,default,
6,|出身=<!-- 与所属相同或未知可留空 -->,default,
7,|派系=<!-- 格式：命途-派系 -->,content,格式
8,|所属=3<!--填写数字 0=星穹列车、1=空间站「黑塔」、2=雅利洛-Ⅵ、3=仙舟「罗浮」 -->,default,
9,|位置=金人巷<!-- 地图名 -->,default,
10,|所属组织=,default,
11,|TAG=赠礼、商店<!-- 赠礼、商店、活动等 -->,default,
12,|对话赠礼={{图标|烈焰浓茶|1}},default,
13,|实装版本=1.3,default,
14,|汉语CV=<!-- 无配音可留空 -->,default,
15,|日语CV=,default,
16,|英语CV=,default,
17,|韩语CV=,default,
18,|存在商店=是<!-- 是/否 -->,default,
19,|商店名称=杜氏茶庄,default,
20,|存在对话=是<!-- 是/否 -->,default,
21,|对话内容=,default,
22,===首次对话===,default,
23,*杜老板：欢迎光临，想来杯九分劲道的烈焰浓茶吗？,content,杜老板
24,{{剧情选项,default,
25,|选项1=你先说清楚什么是烈焰浓茶。,option,开拓者
26,|剧情1=*杜老板：烈焰浓茶就是可以燃烧的茶。我不是辞典，所以我想我应该不用解释什么是「燃烧」什么是「茶」了吧？,branch_content,杜老板
27,|选项2=好啊，好啊，我最喜欢品茶了。,option,开拓者
28,|剧情2=*杜老板：别怪我多嘴，咱们这里的茶和不夜侯的茶有些差别，以防万一，容我说明一下——烈焰浓茶就是可以燃烧的茶。,branch_content,杜老板
29,}},default,
30,{{剧情选项,default,
31,|选项1=请细说「燃烧」与「茶」。,option,开拓者
32,|剧情1=::杜老板深深叹了一口气。,branch_content,
33,*杜老板：…好吧，「燃烧」是指可燃物在达到燃点后与助燃物发生的化学反应。,content,杜老板
34,*杜老板：而「茶」…通常是指由植物制成的饮料，有不同的品种和味道。烈焰浓茶口味辛辣，制作过程中包含了发酵与蒸馏，需要注意适量饮用。,content,杜老板
35,{{剧情选项,default,
36,|选项1=别糊弄我了，你这不就是酒？,option,开拓者
37,|剧情1=*杜老板：不，这就是茶。,branch_content,杜老板
38,*杜老板：地衡司的监管部门和税率都要求，敝庄出售的「是」且「只能是」茶。希望客人能知悉。,content,杜老板
39,|选项2=太好了，这正是我需要的。,option,开拓者
40,|剧情2=*杜老板：哎，客人已经懂得烈焰浓茶的真意了——真真假假不必细究，清醒糊涂又是一天。,branch_content,杜老板
41,|选项3=你说这是茶就是茶吧。,option,开拓者
42,|剧情3=*杜老板：哎，客人已经懂得烈焰浓茶的真意了——真真假假不必细究，清醒糊涂又是一天。,branch_content,杜老板
43,}},default,
44,|选项2=别糊弄我了，你这不就是酒？,option,开拓者
45,|剧情2=*杜老板：不，这就是茶。,branch_content,杜老板
46,*杜老板：地衡司的监管部门和税率都要求，敝庄出售的「是」且「只能是」茶。希望客人能知悉。,content,杜老板
47,}},default,
48,*杜老板：我看客人您是第一次光临小店，我送您一杯烈焰浓茶，就当是交个朋友吧。,content,杜老板
49,*杜老板：别看我这小店平平无奇，整个长乐天最有魅力的顾客都会来这里喝茶。当然了，您要是感兴趣，请带着故事来小店里坐坐。,content,杜老板
50,<center>{{图标|材料|烈焰浓茶|1}}</center>,default,
51,===日常对话===,default,
52,*杜老板：手打烈焰浓茶，劲道十足！客人又来了，要买点茶吗，还是说想随便聊聊？,content,杜老板
53,{{剧情选项,default,
54,|选项1=我想买点茶尝尝…,option,开拓者
55,|图标1=商店,default,
56,|剧情1=[[NPC商店#杜氏茶庄|杜氏茶庄]],branch_content,
57,|选项2=最近生意还顺遂吗？,option,开拓者
58,|图标2=对话,default,
59,|剧情2=*杜老板：顺遂顺遂，这都是托了客人的福啊。现在金人巷里熙熙攘攘的，我这「杜氏茶庄」也越来越有名了。,branch_content,杜老板
60,*杜老板：客人您也知道，我这小店的客人还是喜欢安静，不太希望「杜氏茶庄」太过出名…说实话，我明白客人对于私密的追求。,content,杜老板
61,*杜老板：接下来想充分利用店内的空间和预约限流的方式保证到店顾客的体验，我也没有本事接待太多人嘛。,content,杜老板
62,|选项3=现在方便聊聊天吗？,option,开拓者
63,|图标3=对话,default,
64,|剧情3=不瞒您说，做我这一行，无论愿意不愿意，都得学会与人聊天，想聊点什么？,branch_content,
65,{{剧情选项,default,
66,|选项1=听你这么说，你很擅长聊天？,option,开拓者
67,|图标1=对话,default,
68,|剧情1=*杜老板：我可没说擅长，聊天固然是有技巧的，但是这技巧并不高明，人人都能掌握。,branch_content,杜老板
69,*杜老板：根据我的经验来看，聊天主要得看客人，几杯烈焰浓茶下肚之后，客人们总是能讲出一些真假参半的故事，而我只用稍稍回应就可以了。,content,杜老板
70,{{剧情选项,default,
71,|选项1=你难道不会从旁引导话题吗？,option,开拓者
72,|剧情1=*杜老板：茶庄里客人的闲聊大多是没有营养的话题，就像波月古海的海浪，留下的是砾石和水草，运气好的话，偶尔能捡到一枚珍珠。,branch_content,杜老板
73,*杜老板：您这说法就像是说「话题总是被人冥冥引导，有心之人得到了想要的情报」，说实话，我很少会遇到这样的情况。,content,杜老板
74,*杜老板：我想，在茶庄里重要的不是聊了什么，而是聊天本身。,content,杜老板
75,|选项2=然后故事全部被你记住了。,option,开拓者
76,|剧情2=*杜老板：你担心我会泄密，会不知分寸地把客人的故事往外说？,branch_content,杜老板
77,*杜老板：我在店里总是无可避免地听到客人们的故事，不过请你放心，该说的、不该说的，我心中自然有数。,content,杜老板
78,*杜老板：客人要是有所担心，可以不作言语，我没有挖掘客人秘密的嗜好。,content,杜老板
79,}},default,
80,|选项2=金人巷的烈焰浓茶受欢迎吗？,option,开拓者
81,|图标2=对话,default,
82,|剧情2=*杜老板：我听明白了，客人是在担心小小茶庄的生意。,branch_content,杜老板
83,*杜老板：金人巷里烦心事不少，有烦心事的客人都是会来杜氏茶馆的。要是有一天客人没烦恼了，那我的生意可能会有危险。,content,杜老板
84,*杜老板：不过那一天如果真能到来，准是好事一件，我也不会难过的。,content,杜老板
85,|选项3=有没有听到的秘密可以分享呢？,option,开拓者
86,|图标3=对话,default,
87,|剧情3=*杜老板：客人知道我这人恪守秘密，还是想继续打听…那么打听也得有打听秘密的规矩，比如说秘密交换秘密？,branch_content,杜老板
88,{{剧情选项,default,
89,|选项1=（随口胡说的秘密）,option,开拓者
90,|剧情1=*杜老板：原来是这样，我明白了。秘密虽然只是几句话，价值却是千差万别的。,branch_content,杜老板
91,*杜老板：我也告诉您一个相近价值的秘密。,content,杜老板
92,*杜老板：狐人睡觉的时候，尾巴尖总是朝向一个相同的方向。,content,杜老板
93,*杜老板：信不信由您了。,content,杜老板
94,|选项2=（三月七跃迁时会摔倒的故事）,option,开拓者
95,|剧情2=*杜老板：原来是这样，我明白了。看得出来，您这样浪漫的客人与容易凭空摔倒的女孩总会很熟悉。,branch_content,杜老板
96,*杜老板：我也告诉您一个可爱的秘密。,content,杜老板
97,*杜老板：狐人的耳朵会反应情绪，若是有欣喜之事，就像有电流通过一样立起来。,content,杜老板
98,*杜老板：信不信由您了。,content,杜老板
99,|选项3=（一切终将消逝的宇宙真理）,option,开拓者
100,|剧情3=*杜老板：……,branch_content,杜老板
101,*杜老板：这么重要的秘密告诉我，真的没有关系吗？,content,杜老板
102,*杜老板：我也告诉您一个沉重的秘密。,content,杜老板
103,*杜老板：…其实烈焰浓茶在某些世界里会被称为酒。,content,杜老板
104,*杜老板：信不信由您了。,content,杜老板
105,}},default,
106,|选项4=你好像喜欢做一些新的烈焰浓茶？,option,开拓者
107,|图标4=对话,default,
108,|剧情4=*杜老板：哈哈哈哈，来杜氏茶庄的客人口味不一，总有人想要品尝别处没尝过的口味。,branch_content,杜老板
109,*杜老板：传统的烈焰浓茶再加上一些果汁、蛋清、或者奶制品…甚至是苏打豆汁儿，就能将烈焰浓茶做成混合饮品，满足不同人的喜好了。,content,杜老板
110,*杜老板：客人要是感兴趣，也可以来我这里试试不会售卖的新品，就当是帮我一个忙，我也会给客人相应报酬的。,content,杜老板
111,{{剧情选项,default,
112,|选项1=你不会是想害我吧？,option,开拓者
113,|剧情1=*杜老板：怎么会呢？这可是探索烈焰浓茶味觉的边界，我们是在做正确的事。,branch_content,杜老板
114,|选项2=听上去我也不亏的样子…,option,开拓者
115,|剧情2=*杜老板：当然，要是新品研发顺利，我还会感谢您呢。,branch_content,杜老板
116,}},default,
117,*杜老板：等我有了新的灵感，欢迎客人来小店试一试。,content,杜老板
118,|选项5=就聊到这里吧。,option,开拓者
119,|图标5=退出,default,
120,|剧情5=*杜老板：欢迎客人常来啊。,branch_content,杜老板
121,}},default,
122,|选项4=就聊到这里吧。,option,开拓者
123,|图标4=退出,default,
124,|剧情4=*杜老板：欢迎客人常来啊。,branch_content,杜老板
125,}},default,
126,===完成仙舟「罗浮」日常任务[[新茶上市•其一|新茶上市]]后新增对话===,default,
127,'''（此对话将在日常任务刷新后消失）''',default,
128,{{剧情选项,default,
129,|选项1=有什么新茶需要我测试吗？,option,开拓者
130,|图标1=对话,default,
131,|剧情1=*杜老板：客人这么主动啊？不过很遗憾，我这儿现在没什么新品能给您测试啊…请客人放心，有了新品一定第一个通知您。,branch_content,杜老板
132,}},default,
133,|人物关系=,default,
134,|短信签名=,default,
135,}},default,
136,,default,
137,,default,
138,{{WIKI底部导航|角色图鉴=展开}},default,
