line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=极数问玄，历事穷观,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.0,default,
8,|任务描述=在引路人青雀的带领下，你们抵达了仙舟负责演算与信息的太卜司。此间飞阁连云，悬圃冲霄，颇有神秘气氛。<br>更神秘的是，太卜司门关紧锁，毫无待客迎门的意思，连自己人青雀也被拒之门外。,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|里程|600}}{{图标|漫游指南|4}}{{图标|《玲珑工巧》|1}}{{图标|《邀挽明月成宵宴》|1}}{{图标|信用点|25000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=完成[[长乐新朋，青鸟候风]],default,
12,|开放等级=34,default,
13,|相关活动=,default,
14,|相关成就=通往群星的轨道#善易不卜,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=三月七、瓦尔特、青雀、符玄、景元、卡芙卡、明阅、静斋,default,
18,|领取地点=,default,
19,|系列任务=乘槎驭风仙窟游,default,
20,|任务编号=09<!-- 有系列任务时填写 -->,default,
21,|前置任务=*[[长乐新朋，青鸟候风]]<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[神木重萌，掣转天衡]]<!-- *[[后续任务]] -->,default,
23,|任务流程=*进入太卜司,default,
24,*跟随青雀前往太卜司侧门,default,
25,*按照青雀的提示，破解侧门门锁,default,
26,*随青雀一同，面见符玄,default,
27,*与符玄交谈,default,
28,*帮助太卜司，重启穷观阵的三座基座,default,
29,*重启宙合阵,default,
30,*重启界寰阵,default,
31,*重启业成阵,default,
32,*返回阵心，向符玄复命<!-- *任务流程 -->,default,
33,}},default,
34,==剧情内容==,default,
35,===进入太卜司===,default,
36,{{任务描述|在引路人青雀的带领下，你们抵达了仙舟负责演算与信息的太卜司。此间飞阁连云，悬圃冲霄，颇有神秘气氛。<br>更神秘的是，太卜司门关紧锁，毫无待客迎门的意思，连自己人青雀也被拒之门外。|仙舟「罗浮」-太卜司}},default,
37,*青雀：先给各位打个招呼，待会儿进了里边可别乱跑。,content,青雀
38,*青雀：虽说你们是太卜的客人，但她本人最讨厌不守规制，问东问西的人…可千万别触她的霉头。,content,青雀
39,*瓦尔特：我们只是旁听一场审问，结束就离开。,content,瓦尔特
40,----,default,
41,:{{颜色|描述|你们来到太卜司门前…}},default,
42,*青雀：…奇了怪了？,content,青雀
43,*三月七：我猜猜，是不是门突然坏了？,content,三月七
44,*青雀：搞不懂，大门被锁住了，以前没锁过啊…也没人提醒我带上钥匙……,content,青雀
45,*青雀：喂喂，食堂再难吃，也不能请客人吃闭门羹吧！,content,青雀
46,*三月七：你真是太卜司的人吗？,content,三月七
47,{{剧情选项,default,
48,|选项1=有没有一种可能，你被开除了？,option,开拓者
49,|剧情1=*青雀：没道理啊。我都被贬去管理书库了，她老人家还想怎样？,branch_content,青雀
50,|选项2=有没有一种可能，里面出事了？,option,开拓者
51,|剧情2=*青雀：你可别吓我，有太卜坐镇，能出什么事啊？}},branch_content,青雀
52,*青雀：不必惊慌！太卜司可不止这一扇门。我知道有个地方可供紧急时出入。,content,青雀
53,,default,
54,===跟随青雀前往太卜司侧门===,default,
55,*青雀：就是这儿了。,content,青雀
56,*三月七：我看你熟门熟路的，平时偷闲，没少从这扇边门走吧。,content,三月七
57,*青雀：姑娘你目光如炬，在太卜司当差的都管这扇门叫「逍遥门」。,content,青雀
58,*青雀：平时若是闲得没事，咱们常常从这边逃出来在外面逍遥自在几个时辰。,content,青雀
59,*三月七：几个…时辰？这种没用的信息我一点都不想知道啊。,content,三月七
60,----,default,
61,*青雀：这劳什子星核侵蚀，搞得都是什么事嘛。,content,青雀
62,*青雀：惨了，这门也打不开，让太卜等得久了，一定觉得「不靠谱的青雀」又把差事办砸了……,content,青雀
63,*三月七：太卜派这么一位来接我们，还说没生咱的气？,content,三月七
64,*瓦尔特：青雀小姐不介意的话，由我来检查一番？,content,瓦尔特
65,*青雀：哎？这…不好吧？我就是客气客气，其实也没什么不好的。,content,青雀
66,*青雀：杨先生，我来教你。这东西可好玩了。,content,青雀
67,,default,
68,===按照青雀的提示，破解侧门门锁===,default,
69,:{{颜色|描述|完成兆算玉璃解开门锁…}},default,
70,*青雀：嗨呀，杨先生真厉害！一个外人轻而易举地拿下了这扇门。我正式将太卜司「逍遥门掌门」的头衔移交给你啦！,content,青雀
71,===随青雀一同，面见符玄===,default,
72,{{任务描述|明明是外宾身份，却要如梁上君子般做抉门斩关的活计。但麻烦到来时，也顾不上体面了。<br>太卜司中，留守卜者们人人自危。星核带来的变数已超越了太卜司所能计算的极限。现在，该是问问太卜如何处置的时候了。|仙舟「罗浮」-太卜司}},default,
73,:{{颜色|描述|你们进入了太卜司，遇到了丰饶孽物…}},default,
74,*三月七：…你们惊讶吗？我是一点都不惊讶。,content,三月七
75,*瓦尔特：准备战斗吧。,content,瓦尔特
76,*三月七：下次能不能想点有创意的遭遇战呀！,content,三月七
77,:{{颜色|描述|击败敌人…}},default,
78,----,default,
79,{{折叠|折叠=是|标题=额外对话（试图离开任务范围）|内容=,default,
80,*值守的云骑军：抱歉，云骑军正奉太卜之命整顿司部安全。前方区域暂不开放。}},content,值守的云骑军
81,{{折叠|折叠=是|标题=额外对话（明阅）|内容=,default,
82,*明阅：唷，稀客啊。,content,明阅
83,*三月七：…我？咱们有见过面吗？,content,三月七
84,*明阅：不，我说这位青雀。现在可是上班时间啊，居然能见到你。,content,明阅
85,*青雀：别冤枉我啊，我在认真上班的。瞧，这几位是太卜要见的客人。,content,青雀
86,*明阅：唷，稀客啊。,content,明阅
87,*三月七：这回总该是在说我们了吧？,content,三月七
88,*明阅：是啊。好清静如那位大人，竟然也会准许外人登堂入室。,content,明阅
89,*明阅：要见太卜，径直去「穷观阵」那边就是。,content,明阅
90,*明阅：「穷观阵」欠缺人手，太卜正烦着呢。司内驻扎的云骑军忙着驱赶邪祟，不知几时能有下文喔。,content,明阅
91,}},default,
