line_number,content,category,character
1,{{多义词|梦境护照、梦境护照（道具）}},default,
2,==邀请函==,default,
3,<center>,default,
4,"{| class=""wikitable"" style=""text-align:center""",default,
5,|<big>'''邀请函'''</big><br>,default,
6,[[file:梦境护照-家族纹章.png|link=|100px]]<br>,default,
7,'''尊敬的逐梦客'''<br><br>,default,
8,欢迎您来到匹诺康尼。<br>,default,
9,自您入住白日梦酒店的一刻起，一段瑰丽的梦幻之旅便已揭开帷幕。<br>,default,
10,放下纷纷扰扰的现实绝非易事，做出全心全意拥抱梦境的选择势必也需要非凡的勇气。<br>,default,
11,我们有自信做出承诺，在家族的精心厝置下，等在您旅程前方的只有甜蜜的滋味和悦耳的音律。<br>,default,
12,愿您抛下俗世的一切烦忧，开上一瓶经典款苏乐达，静心醉享匹诺康尼的梦境奇迹。,default,
13,<div style=text-align:right>来自&nbsp;&nbsp;'''<big>家族</big>'''</div>,default,
14,|},default,
15,</center>,default,
16,,default,
17,==01-入梦须知==,default,
18,"<center><div style=""border:solid 1px black;padding:5px 30px 5px 30px;margin-top:10px;display:inline-block"">在使用入梦池正式入梦前，请确保您已仔细阅读了以下「入梦须知」</div></center><br>",default,
19,01. 保持心境平和。剧烈的情绪波动可能导致预料之外的入梦感受（如坠落、失重、疼痛等）。<br><br>,default,
20,02. 面部朝上入梦。请勿尝试以卧姿、跪姿或其它非常规动作入梦，避免溺水风险。<br><br>,default,
21,03. 请勿服用助眠药物。入梦池中的梦液自带快速助眠效果，无需药物辅助。若您在全身浸泡状态下仍长时间无法入梦，请联系酒店工作人员。<br><br>,default,
22,04. 请勿裸身入梦。您在梦境中的初始形象将与您入梦时的状态相同。为避免对其他宾客造成惊吓，请在确保自身穿戴整齐后再入梦。<br><br>,default,
23,05. 请勿剽窃他人身份。家族尊重每位宾客的身份和隐私，请勿尝试在梦境中冒充、攻击或污蔑其他宾客。<br><br>,default,
24,06. 谨代表橡木、苜蓿草、隐夜鸫、猎犬及鸢尾花，祝您一梦平安。,default,
25,,default,
26,==02-宾客须知==,default,
27,"<center><div style=""border:solid 1px black;padding:5px 30px 5px 30px;margin-top:10px;display:inline-block"">尊敬的逐梦客</div></center><br>",default,
28,目前，位于梦境时分「黄金的时刻」内的白日梦酒店正在进行修葺翻新。<br>,default,
29,<br>,default,
30,若您选择进入「黄金的时刻」，您仍会在梦境酒店中醒来，但您将无法离开客房，也不能使用酒店的常规服务。我们已经为宾客设计了临时的入梦流程，引导您顺利登陆「黄金的时刻」。<br>,default,
31,<br>,default,
32,对您的梦境之旅造成的不便敬请谅解。,default,
33,==03-白日梦==,default,
34,又一场激动人心的开拓之旅即将开始！<br>这次的开局没有冰天雪地的冻原，也没有咄咄逼人的仙舟高层…除了通篇谜语的男人和女人，一切看上去都那么美好。<br>说起来，好像还从来没有人问过你这个问题——你喜欢哪种旅行？,default,
35,{{剧情选项,default,
36,|选项1=直奔当地旅游胜地,option,开拓者
