line_number,content,category,character
1,{{提示|红色|宽度=100%|除有标注的表格之外，角色顺序与强度无关。（具体定位角色请到[[角色阵容搭配参考]]查看）}},default,
2,{{折叠面板|开始|主框=2}},default,
3,{{折叠面板|标题=存护|选项=2|主框=2|样式=info}},option,开拓者
4,阵容说明：以盾的厚度输出，盾位有两个就行，没有杰帕德推荐带个奶，需要一个输出度过前期，后期可以选择把输出换成快速破盾。,content,阵容说明
5,"{| class=""wikitable"" style=""text-align:center; width:100%""",default,
6,|-,default,
7,! rowspan=2 | 必带,default,
8,! rowspan=2 | 输出,default,
9,! rowspan=2 | 破盾,default,
10,! rowspan=2 | 治疗,default,
11,! rowspan=2 | 辅助,default,
12,! colspan=4 | 祝福,default,
13,|-,default,
14,! 1,default,
15,! 2,default,
16,! 3,default,
17,! 其他,default,
18,|-,default,
19,| {{图标/角色|杰帕德}},default,
20,群体大量护盾 <br>,default,
21,自身免死一次,default,
22,| 按属性选即可,default,
23,| {{图标/角色|艾丝妲}},default,
24,破盾<br>,default,
25,大招加速,default,
26,| 任意治疗,default,
27,| {{图标/角色|银狼}},default,
28,添加弱点 减攻<br>,default,
29,减速 减防 减抗性,default,
30,|,default,
31,|,default,
32,|,default,
33,|,default,
34,|-,default,
35,| {{图标/角色|砂金}},default,
36,群体护盾 护盾叠加<br>,default,
37,群体效果抵抗提高<br>,default,
38,群体追加攻击<br>,default,
39,我方对敌方单体暴伤提高,default,
40,|,default,
41,| {{图标/角色|桑博}},default,
42,风化 破盾,default,
43,|,default,
44,| {{图标/角色|佩拉}},default,
45,驱散<br>,default,
46,大招减防,default,
47,|,default,
48,|,default,
49,|,default,
50,|,default,
51,|-,default,
52,| {{图标/角色|开拓者•存护}},default,
53,群体少量护盾 嘲讽<br>,default,
54,有一定的输出,default,
55,|,default,
56,| 剩下按属性选即可,default,
57,|,default,
58,|,default,
59,|,default,
60,|,default,
61,|,default,
62,|,default,
63,|-,default,
64,| {{图标/角色|三月七}},default,
65,单体大量护盾 群控<br>,default,
66,反击 解除负面效果,default,
67,|,default,
68,|,default,
69,|,default,
70,|,default,
71,|,default,
72,|,default,
73,|,default,
74,|,default,
75,|},default,
76,{{折叠面板|内容结束}},default,
77,{{折叠面板|标题=记忆|选项=3|主框=2|样式=info}},option,开拓者
78,阵容说明：以冰属性为主，宇宙3和6的BOSS有冰抗不推荐用这个命途打，带银狼可以试试打3和6。（彦卿主C不能用符玄）,content,阵容说明
79,"{| class=""wikitable"" style=""text-align:center; width:100%""",default,
80,|-,default,
81,! rowspan=2 | 输出,default,
82,! rowspan=2 | 辅助,default,
83,! rowspan=2 | 守护,default,
84,! rowspan=2 | 治疗,default,
85,! colspan=4 | 祝福,default,
86,|-,default,
87,! 1,default,
88,! 2,default,
89,! 3,default,
90,! 其他,default,
91,|-,default,
92,| {{图标/角色|彦卿}},default,
93,单体攻击 追加攻击<br>,default,
94,需要会嘲讽的队友,default,
95,| {{图标/角色|佩拉}},default,
96,驱散<br>,default,
97,大招减防,default,
98,| {{图标/角色|杰帕德}},default,
99,单体冻结<br>,default,
100,群体大量护盾 <br>,default,
101,自身免死一次,default,
102,| 任意治疗,default,
103,|,default,
104,|,default,
105,|,default,
106,|,default,
107,|-,default,
108,| {{图标/角色|黑塔}},default,
109,群体输出<br>,default,
110,追加攻击,default,
111,| {{图标/角色|阮•梅}},default,
112,额外击破特攻<br>,default,
113,除自身外全体速度提高<br>,default,
114,全体伤害、属性穿透<br>,default,
115,击破效率、击破特攻提高<br>,default,
116,敌方弱点击破回复延长,default,
117,| {{图标/角色|三月七}},default,
118,单体大量护盾 群控<br>,default,
119,反击 解除负面效果,default,
120,|,default,
121,|,default,
122,|,default,
123,|,default,
124,|,default,
125,|-,default,
126,| {{图标/角色|镜流}},default,
127,单体溅射,default,
128,| {{图标/角色|银狼}},default,
129,添加弱点 减攻<br>,default,
130,减速 减防 减抗性,default,
131,| {{图标/角色|符玄}},default,
132,群体：伤害分摊、减伤<br>,content,群体
133,暴击率提升、生命提升,default,
134,|,default,
135,|,default,
136,|,default,
137,|,default,
138,|,default,
139,|-,default,
140,| {{图标/角色|米沙}},default,
141,单体随机目标输出<br>,default,
142,群体输出 冻结,default,
143,| 剩下的辅助随意,default,
144,|,default,
145,|,default,
146,|,default,
147,|,default,
148,|,default,
149,|,default,
150,|},default,
151,{{折叠面板|内容结束}},default,
152,{{折叠面板|标题=虚无|选项=4|主框=2|样式=info}},option,开拓者
153,阵容说明：虚无以持续输出为主，如果没有持续输出C对祝福要求较高，队伍保证生存的情况下需要一定练度度过BOSS前的精英怪。,content,阵容说明
154,"{| class=""wikitable"" style=""text-align:center; width:100%""",default,
155,|-,default,
156,! rowspan=2 | 主C,default,
157,! rowspan=2 | 生存,default,
158,! rowspan=2 | 副C,default,
159,! rowspan=2 | 辅助,default,
160,! colspan=4 | 祝福,default,
161,|-,default,
162,! 1,default,
163,! 2,default,
164,! 3,default,
165,! 其他,default,
166,|-,default,
167,| {{图标/角色|卡芙卡}},default,
168,群攻 触电<br>,default,
169,持续伤害 追加攻击<br>,default,
170,持续伤害触发,default,
171,| 任意守护、治疗,default,
172,| {{图标/角色|桑博}},default,
173,风化 破盾<br>,default,
174,持续伤害提升,default,
175,| {{图标/角色|银狼}},default,
176,添加弱点 减攻<br>,default,
177,减速 减防 减抗性,default,
178,|,default,
179,|,default,
180,|,default,
181,|,default,
182,|-,default,
183,| {{图标/角色|卢卡}},default,
184,单体 裂伤<br>,default,
185,持续伤害 易伤<br>,default,
186,持续伤害触发,default,
187,|,default,
188,| 其他可以添加持续伤害的角色,default,
189,| {{图标/角色|佩拉}},default,
190,驱散<br>,default,
191,大招减防,default,
192,|,default,
193,|,default,
194,|,default,
195,|,default,
196,|-,default,
197,| {{图标/角色|黑天鹅}},default,
198,群攻 减防<br>,default,
199,持续伤害,default,
200,|,default,
201,|,default,
202,| {{图标/角色|停云}},default,
203,攻击力提高<br>,default,
204,伤害提高 恢复能量,default,
205,|,default,
206,|,default,
207,|,default,
208,|,default,
209,|-,default,
210,| {{图标/角色|黄泉}},default,
211,群体输出<br>,default,
212,大招无视属性破盾,default,
213,|,default,
214,|,default,
215,| 其他增加攻击力或减防的辅助,default,
216,|,default,
217,|,default,
218,|,default,
219,|,default,
220,|},default,
221,{{折叠面板|内容结束}},default,
222,{{折叠面板|标题=丰饶|选项=5|主框=2|样式=info}},option,开拓者
223,阵容说明：丰饶治疗很高，需要本身血量能抗住BOSS爆发就行。,content,阵容说明
224,"{| class=""wikitable"" style=""text-align:center; width:100%""",default,
225,|-,default,
226,! rowspan=2 | 治疗,default,
227,! rowspan=2 | 主C,default,
228,! rowspan=2 | 辅助（上两个也行）,default,
229,! rowspan=2 | 守护,default,
230,! colspan=4 | 祝福,default,
231,|-,default,
232,! 1,default,
233,! 2,default,
234,! 3,default,
235,! 其他,default,
236,|-,default,
237,| 任意治疗,default,
238,| 按属性选输出即可<br>,default,
239,彦卿需要嘲讽盾<br>,default,
240,丰饶治疗多不推荐用阿兰,default,
241,| 任意辅助,default,
242,| {{图标/角色|符玄}},default,
243,群体：伤害分摊、减伤<br>,content,群体
244,暴击率提升、生命提升,default,
245,|,default,
246,|,default,
247,|,default,
248,|},default,
249,{{折叠面板|内容结束}},default,
250,{{折叠面板|标题=巡猎|选项=6|主框=2|样式=info}},option,开拓者
251,阵容说明：巡猎本身可以输出，在保证生存的情况下可以用出手快的输出配辅助或者破盾。,content,阵容说明
252,"{| class=""wikitable"" style=""text-align:center; width:100%""",default,
253,|-,default,
254,! rowspan=2 | 主C,default,
255,! rowspan=2 | 辅助,default,
256,! rowspan=2 | 生存,default,
257,! rowspan=2 | 副C、破盾,default,
258,! colspan=4 | 祝福,default,
259,|-,default,
260,! 1,default,
261,! 2,default,
262,! 3,default,
263,! 其他,default,
264,|-,default,
265,| {{图标/角色|希儿}},default,
266,单体输出<br>,default,
267,击杀再动,default,
268,| 任意辅助,default,
269,| 任意守护、治疗,default,
270,| {{图标/角色|瓦尔特}},default,
271,减速 破盾<br>,default,
272,群体推条,default,
273,|,default,
274,|,default,
275,|,default,
276,|,default,
277,|-,default,
278,| {{图标/角色|素裳}},default,
279,单体输出<br>,default,
280,对物理弱点特攻,default,
281,|,default,
282,|,default,
283,| {{图标/角色|艾丝妲}},default,
284,大招加速 破盾<br>,default,
285,被动加攻击力,default,
286,|,default,
287,|,default,
288,|,default,
289,|,default,
290,|-,default,
291,| 剩下的按属性选输出即可,default,
292,|,default,
293,|,default,
294,| 剩下的按属性选即可,default,
295,|,default,
296,|,default,
297,|,default,
298,|,default,
299,|},default,
300,{{折叠面板|内容结束}},default,
301,{{折叠面板|标题=毁灭|选项=7|主框=2|样式=info}},option,开拓者
302,阵容说明：毁灭需要压血所以生存位只推荐杰帕德和符玄，用奶的话回响构音需要选激变变星。,content,阵容说明
303,"{| class=""wikitable"" style=""text-align:center; width:100%""",default,
304,|-,default,
305,! rowspan=2 | 主C,default,
306,! rowspan=2 | 辅助,default,
307,! rowspan=2 | 副C、破盾,default,
308,! rowspan=2 | 生存,default,
309,! colspan=4 | 祝福,default,
310,|-,default,
311,! 1,default,
312,! 2,default,
313,! 3,default,
314,! 其他,default,
315,|-,default,
316,| {{图标/角色|刃}},default,
317,群体输出<br>,default,
318,追加攻击,default,
319,| 任意辅助,default,
320,| {{图标/角色|瓦尔特}},default,
321,减速 破盾<br>,default,
322,群体推条,default,
323,| {{图标/角色|杰帕德}},default,
324,单体冻结<br>,default,
325,群体大量护盾 <br>,default,
326,自身免死一次,default,
327,|,default,
328,|,default,
329,|,default,
330,|,default,
331,|-,default,
332,| {{图标/角色|阿兰}},default,
333,单体输出<br>,default,
334,大招溅射,default,
335,|,default,
336,| {{图标/角色|艾丝妲}},default,
337,大招加速 破盾<br>,default,
338,被动加攻击力,default,
339,| {{图标/角色|符玄}},default,
340,群体：伤害分摊、减伤<br>,content,群体
