line_number,content,category,character
1,{{攻略,default,
2,|标题=模拟宇宙掉落机制,default,
3,|文章上级页面=模拟宇宙,default,
4,|时间=20230525,default,
5,|作者=浮浪克派蒙,default,
6,|是否原创=是,default,
7,|来源=<!-- 非原创请填写来源平台，如：B站、米游社 -->,content,如
8,|原文地址=<!-- 非原创填写 -->,default,
9,|攻略封面图=测试攻略封面.png<!-- 填写封面图名称，例：测试攻略封面.png，若无可留空 -->,content,例
10,|简介=,default,
11,|版本=1.0,default,
12,|TAG=模拟宇宙、新手攻略,default,
13,}},default,
14,== 各种怪物掉落机制 ==,default,
15,模拟宇宙中只有精英怪、Boss会掉落材料、信用点、光尘。<br>,default,
16,''前100个怪物有额外掉落收益''<br>,default,
17,"{| class=""wikitable""",default,
18,|+ 不同怪物的掉落倍率,default,
19,|-,default,
20,! 怪物类型 !! 掉落倍率,default,
21,|-,default,
22,| 第一个精英怪 || 1倍,default,
23,|-,default,
24,| 第二个精英怪 || 2倍,default,
25,|-,default,
26,| Boss ||3倍,default,
27,|},default,
28,== 掉落幅度 ==,default,
29,怪物的掉落数量并不是固定的，并且'''掉落数量受到模拟宇宙难度影响。'''难度越高，掉落物越多。<br>,default,
30,"{| class=""wikitable""",default,
31,|+ 模拟宇宙6（难度2）平均掉落,default,
32,|-,default,
33,! 怪物类型 !! 光尘 !! 信用点,default,
34,|-,default,
35,| 第一个精英怪 || 2.5 || 1320,default,
36,|-,default,
37,| 第二个精英怪 || 4.5 || 2640,default,
38,|-,default,
39,| Boss || 7.5 || 3960,default,
40,|},default,
41,自律阵容：娜塔莎，三月七或火主，再加上随便两个输出。如果有杰哥、白露、罗刹就自己换上去。因为自律辅助会乱吃战技点，所以不上辅助。命途根据主C决定，实在懒得动脑子就除了卡夫卡用丰饶，其他巡猎。有杰哥或物主就开局拿大乐透，不怕炸。否则开局选祝福。房间尽量选择事件，有可能省去一次战斗。,content,自律阵容
42,"{| class=""wikitable""",default,
43,|-,default,
44,!模拟宇宙,default,
45,! 怪物类型 !! 光尘 !! 信用点,default,
46,!怪物类型,default,
47,!光尘,default,
48,!信用点,default,
49,!怪物,default,
50,!光尘,default,
51,!信用点,default,
52,!攻略次数,default,
53,|-,default,
54,|第四世界，难度4,default,
55,|第一个精英怪,default,
56,|4,default,
57,|1576,default,
58,|第二个精英怪,default,
59,|5,default,
60,|3281,default,
61,|Boss,default,
62,|9,default,
63,|4858,default,
64,|1,default,
65,|-,default,
66,|第六世界，难度3,default,
67,| 第一个精英怪 || 3 || 1572,default,
68,|第二个精英怪,default,
69,|6,default,
70,|3101,default,
71,|Boss,default,
72,|9,default,
73,|4755,default,
74,|1,default,
75,|-,default,
76,|第四世界，难度5,default,
77,|第一个精英怪,default,
78,|3-4,default,
79,|1793,default,
80,|第二个精英怪,default,
81,|6-8,default,
82,|4047,default,
83,|Boss,default,
84,|12,default,
85,|5764-5849,default,
86,|1,default,
87,|},default,
