line_number,content,category,character
1,"{|id=""CardSelectTr"" class=""CardSelect wikitable sortable"" style=""text-align: center;margin-top:5px;""",default,
2,"|-id=""CardSelectTabHeader""",default,
3,"! style=""width:"" | 证件照",default,
4,"! style=""width:"" | 名称",default,
5,"! style=""width:"" | 稀有度",default,
6,"! style=""width:"" | 命途",default,
7,{{#ask: [[分类:角色]][[名称::三月七||佩拉||白露||||||]],default,
8,|?名称,default,
9,|?稀有度,default,
10,|?命途,default,
11,|?元素属性,default,
12,|sort=实装日期,default,
13,|template=用户:2801794/筛选行,default,
14,|headers=hide,default,
15,|format=template,default,
16,|limit=1000,default,
17,|link=none,default,
18,|order=desc,default,
19,}},default,
20,|},default,
21,,default,
22,,default,
23,,default,
24,,default,
25,,default,
26,|-,default,
27,| [[file:{{#replace:{{{2}}}|/|-}}头像.png|class=img-kk|60px|link={{{2}}}]],default,
28,| [[{{{2}}}]],default,
29,| [[文件:{{{3}}}.png|link=]],default,
30,| {{{4}}},default,
31,| {{{5}}},default,
32,|-,default,
33,,default,
34,,default,
35,{{#subobject:虎克,default,
36,|Has 命座1=a,default,
37,|Has 命座2=b,default,
38,}},default,
39,,default,
40,{{#ask: [[-Has subobject::{{FULLPAGENAME}}]],default,
41,|?Has race,default,
42,|?Has class,default,
43,|?Haf 攻击力,default,
44,}},default,
45,,default,
46,"{| class=""wikitable""",default,
47,"| rowspan=""4"" |图片",default,
48,|1命name,default,
49,|1命test,default,
50,|-,default,
51,|2命name,default,
52,|2命test,default,
53,|-,default,
54,|4命name,default,
55,|4命test,default,
56,|-,default,
57,|6命name,default,
58,|6命test,default,
59,|},default,
