line_number,content,category,character
1,,default,
2,,default,
3,,default,
4,{{角色对话|模板开始|三月七}},default,
5,任务链接——开拓任务「[[阴影从未离去]]」,default,
6,{{角色对话|左|三月七|文本|唷吼，我是三月七:D}},default,
7,{{角色对话|左|三月七|文本|姬子姐有事找你，别忘啦}},default,
8,{{接取任务|同行任务|云无留迹}},default,
9,"<div class=""MessageAccTC"">",default,
10,<!--FLAG-->,default,
11,"<div class=""MessageAccTC-flag""></div>",default,
12,"<div class=""MessageAccTC-flag1""></div>",default,
13,"<div class=""MessageAccTC-flag2""></div>",default,
14,"<div class=""MessageAccTC-flag3""></div>",default,
15,"<div class=""MessageAccTC-circle""></div>",default,
16,"<div class=""MessageAccTC-point""></div>",default,
17,"<div class=""MessageAccTC-half-circle""></div>",default,
18,<!--TCLOGO-->,default,
19,"<div class=""MessageAccTC-inv-triangle""></div>",default,
20,"<div class=""MessageAccTC-triangle""></div>",default,
21,"<div class=""MessageAccTC-triangle2"">",default,
22,"</div><div class=""MessageAccTC-triangle3"">",default,
23,"</div><div class=""MessageAccTC-triangle4""></div>",default,
24,<!--BAR-->,default,
25,"<div class=""MessageAccTC-bar MessageAccTC-ACC"">已接取任务</div>",default,
26,"<div class=""MessageAccTC-bar MessageAccTC-TC"">绥园聚首•其一</div>",default,
27,"<div class=""MessageAccTC-bar MessageAccTC-decorative-1""></div>",default,
28,"<div class=""MessageAccTC-bar MessageAccTC-decorative-2""></div>",default,
29,"<div class=""MessageAccTC-bar MessageAccTC-decorative-3""></div>",default,
30,</div>,default,
31,,default,
32,"<div class=""MessageAccCM"">",default,
33,<!--FLAG-->,default,
34,"<div class=""MessageAccCM-flag""></div>",default,
35,"<div class=""MessageAccCM-flag1""></div>",default,
36,"<div class=""MessageAccCM-flag2""></div>",default,
37,"<div class=""MessageAccCM-flag3""></div>",default,
38,"<div class=""MessageAccCM-circle""></div>",default,
39,"<div class=""MessageAccCM-point""></div>",default,
40,"<div class=""MessageAccCM-half-circle""></div>",default,
41,<!--CMLOGO-->,default,
42,"<div class=""MessageAccCM-star""></div>",default,
43,"<div class=""MessageAccCM-star1""></div>",default,
44,"<div class=""MessageAccCM-star2""></div>",default,
45,<!--BAR-->,default,
46,"<div class=""MessageAccCM-bar MessageAccCM-ACC"">已接取任务</div>",default,
47,"<div class=""MessageAccCM-bar MessageAccCM-CM"">云无留迹</div>",default,
48,"<div class=""MessageAccCM-bar MessageAccCM-decorative-1""></div>",default,
49,"<div class=""MessageAccCM-bar MessageAccCM-decorative-2""></div>",default,
50,"<div class=""MessageAccCM-bar MessageAccCM-decorative-3""></div>",default,
51,</div>,default,
52,,default,
53,"<div class=""MessageAccAM"">",default,
54,"<div class=""MessageAccAM-flag""></div>",default,
55,"<div class=""MessageAccAM-flag1""></div>",default,
56,"<div class=""MessageAccAM-flag2""></div>",default,
57,"<div class=""MessageAccAM-flag3""></div>",default,
58,"<div class=""MessageAccAM-circle""></div>",default,
59,"<div class=""MessageAccAM-point""></div>",default,
60,"<div class=""MessageAccAM-half-circle""></div>",default,
61,,default,
62,"<div class=""MessageAccAM-star""></div>",default,
63,"<div class=""MessageAccAM-star1""></div>",default,
64,"<div class=""MessageAccAM-star2""></div>",default,
65,,default,
66,"<div class=""MessageAccAM-bar MessageAccAM-ACC"">已接取任务</div>",default,
67,"<div class=""MessageAccAM-bar MessageAccAM-AM"">祖辈的钻头</div>",default,
68,"<div class=""MessageAccAM-bar MessageAccAM-decorative-1""></div>",default,
69,"<div class=""MessageAccAM-bar MessageAccAM-decorative-2""></div>",default,
70,"<div class=""MessageAccAM-bar MessageAccAM-decorative-3""></div>",default,
71,</div>,default,
72,{{角色对话|模板结束}},default,
73,,default,
74,{{#CSS:,default,
75,<!--TCBAR-->,default,
76,.MessageAccTC {display: flex;flex-direction: column;align-items: center;position: relative;},default,
77,.MessageAccTC-bar {width: 80%;display: flex;align-items: center;font-weight: bold;},default,
78,.MessageAccTC-bar:before {content: '';display: inline-block;width: 65px;},default,
79,".MessageAccTC-ACC {background-color: #e38420;height: 20px;color: white;font-size: 12px;border-top-right-radius: 12px;text-shadow: 0px 2px 0px rgba(0, 0, 0, 0.1);}",default,
80,.MessageAccTC-TC {background-color: white;height: 33px;font-size: 15px;color: black;},default,
81,.MessageAccTC-decorative-1 {background-color: #e38420;height: 2px;},default,
82,.MessageAccTC-decorative-2 {background-color: white;height: 3px;},default,
83,.MessageAccTC-decorative-3 {background-color: #e38420;height: 4px;},default,
84,<!--FLAG-->,default,
85,.MessageAccTC-flag  {width: 42px;height: 66px;position: absolute;left: calc(10% + 18px);top: -2px },default,
86,.MessageAccTC-flag::before {content: '';position: absolute;width: 100%;height: 50px;background-color: #ffffff; },default,
87,.MessageAccTC-flag::after {content: '';position: absolute;top: 50px;border-style: solid;border-width: 16px 21px 0 21px;border-color: #ffffff transparent transparent transparent; },default,
88,.MessageAccTC-flag1 {width: 40px;height: 64px;position: absolute;left: calc(10% + 19px);top: -1px },default,
89,.MessageAccTC-flag1::before {content: '';position: absolute;width: 100%;height: 49px;background-color: #e38420; },default,
90,.MessageAccTC-flag1::after {content: '';position: absolute;top: 49px;border-style: solid;border-width: 15px 20px 0 20px;border-color: #e38420 transparent transparent transparent; },default,
91,.MessageAccTC-flag2 {width: 36px;height: 60px;position: absolute;left: calc(10% + 21px);top: 1px },default,
92,.MessageAccTC-flag2::before {content: '';position: absolute;width: 100%;height: 46px;background-color: #ffffff; },default,
93,.MessageAccTC-flag2::after {content: '';position: absolute;top: 46px;border-style: solid;border-width: 14px 18px 0 18px;border-color: #ffffff transparent transparent transparent; },default,
94,.MessageAccTC-flag3 {width: 34px;height: 58px;position: absolute;left: calc(10% + 22px);top: 2px },default,
95,.MessageAccTC-flag3::before {content: '';position: absolute;width: 100%;height: 45px;background-color: #e38420; },default,
96,.MessageAccTC-flag3::after {content: '';position: absolute;top: 45px;border-style: solid;border-width: 13px 17px 0 17px;border-color: #e38420 transparent transparent transparent; },default,
97,.MessageAccTC-circle {position: absolute;left: calc(10% + 37px);top: 46px;width: 4px;height: 4px;border: 1px solid #ffffff;border-radius: 50%;},default,
98,.MessageAccTC-point {position: absolute;left: calc(10% + 38px);top: 42px;width: 0px;height: 0px;border: 1px solid #ffffff;border-radius: 50%;},default,
