line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=没有被征服的,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.3,default,
7,|任务描述=「秩序」的美梦已经破裂，星穹列车在匹诺康尼的开拓之旅终于告一段落。家族邀请列车组众人前往空中飞艇「晖长石号」参与重要会谈，两位星核猎手也在梦境的一角复盘他们此次的「演出」。,default,
8,|奖励={{图标|里程|200}}{{图标|星琼|30}}{{图标|漫游指南|4}}{{图标|金表钞|100}}{{图标|信用点|20000}},default,
9,|任务条件=完成任务[[然后，在第八天…]],default,
10,|开放等级=34,default,
11,|相关成就=,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=三月七、流萤、银狼,default,
15,|领取地点=,default,
16,|系列任务=再见，匹诺康尼,default,
17,|任务编号=01,default,
18,|前置任务=*[[然后，在第八天…]],default,
19,|后续任务=*[[彗星美人]],default,
20,|任务流程=*在「白日梦」酒店指定位置继续故事,default,
21,*与三月七交谈，准备出发,default,
22,}},default,
23,,default,
24,==剧情内容==,default,
25,=== 在「白日梦」酒店指定位置继续故事 ===,default,
26,{{任务描述|你在入梦池中醒来，惊觉自己已经返回现实「白日梦」酒店。根据三月七的说法，这次你确实是从太一之梦中醒来了——在你昏迷期间，星核已被封印，而橡木以外的四大家系正在尽力平息事件余波。她还说列车组受到了邀请，要去家族的「晖长石号」上一坐，以见证人的身份参与重要会谈。<br>高档游轮、豪华宴会…这才是庆功宴该有的样子。还等什么？做好准备就出发吧。|匹诺康尼-「白日梦」酒店-现实}},default,
27,*三月七：醒醒…醒醒……,content,三月七
28,*三月七：…喂，开拓者！别睡啦，太阳晒屁股啦——,content,三月七
29,*三月七：你没事吧，听得清我说话吗？我听房间里一点动静都没有，快吓死了。,content,三月七
30,{{剧情选项,default,
31,|选项1=我这是在做梦吗？,option,开拓者
32,|剧情1=*三月七：不是在做梦啦，这是在现实，「白日梦」酒店！「秩序」的美梦已经结束了。,branch_content,三月七
33,|选项2=好熟悉的对话…,option,开拓者
34,|剧情2=*三月七：你在说什么啊，别睡糊涂了吧…「秩序」的美梦已经结束了。,branch_content,三月七
35,|选项3=小题大做了吧。,option,开拓者
36,|剧情3=*三月七：你一直没反应，我担心还不行吗？幸好，「秩序」的美梦已经结束了。,branch_content,三月七
37,}},default,
38,*三月七：虽然已经过去一天了，但回想起来还是汗流浃背，列车的「开拓」之旅差点就要交代在这匹诺康尼了……,content,三月七
39,*三月七：你倒是心宽，还能呼呼大睡。我可是留下了心理阴影，昨晚连眼睛都不敢闭，生怕一睡着就再也醒不过来了。,content,三月七
40,{{剧情选项,default,
41,|选项1=星核怎么样了？,option,开拓者
42,|剧情1=,branch_content,
43,|选项2=其他人在哪里？,option,开拓者
44,|剧情2=*三月七：他们已经出发了。只有善良的本姑娘特地来喊你起床，还不快说声谢谢。,branch_content,三月七
45,|选项3=会有黑眼圈的。,option,开拓者
46,|剧情3=*三月七：本姑娘天生丽质，才不会有黑眼圈！,branch_content,三月七
47,}},default,
48,*三月七：你睡着的这段时间，星核已经被封印了。匹诺康尼的普通民众完全不知道发生了什么，他们只觉得记忆有些模糊，像是被人抽空了一段。,content,三月七
49,*三月七：家族对外的说法是「谐乐大典遭遇来历不明的星核袭击，被迫中止」——毕竟「秩序」的事怎么也没法摆到台面上讲嘛。,content,三月七
50,*三月七：现在，橡木以外的四大家系正在尽力平息事件余波。列车组也受到邀请，去家族的「晖长石号」上一坐，以见证人的身份参与重要会谈。,content,三月七
51,*三月七：现在就差你了，赶紧收拾收拾。准备好了，咱们就出发！,content,三月七
52,,default,
53,=== 与三月七交谈，准备出发 ===,default,
54,*三月七：呼，经历了这一切，感觉没什么比平平安安的现实更好了……,content,三月七
55,{{剧情选项,default,
56,|选项1=「晖长石号」是？,option,开拓者
57,|剧情1=*三月七：是一艘巨大的空中飞艇，可厉害了！听说它从来不在公众前露面，只有家族的贵客才有资格登上船首，一览匹诺康尼的美丽风光。,branch_content,三月七
58,*三月七：鸢尾花家系还派人送来了好多纪念品和果篮，还有一个精致的按钮模型，等你好利索了，慢慢享受个够…这下我们也算是盛会之星的大人物啦。,content,三月七
59,|选项2=再讲讲匹诺康尼的现状…,option,开拓者
60,|剧情2=*三月七：你睡着的这段时间，星核已经被封印了。匹诺康尼的普通民众完全不知道发生了什么，他们只觉得记忆有些模糊，像是被人抽空了一段。,branch_content,三月七
61,*三月七：家族对外的说法是「谐乐大典遭遇来历不明的星核袭击，被迫中止」——毕竟「秩序」的事怎么也没法摆到台面上讲嘛。,content,三月七
62,*三月七：现在，橡木以外的四大家系正在尽力平息事件余波。列车组也受到邀请，去家族的「晖长石号」上一坐，以见证人的身份参与重要会谈。,content,三月七
63,|选项3=你在太一之梦里遭遇了什么？,option,开拓者
64,|剧情3=*三月七：怎么突然聊起这个了？被拖入美梦的时候，我只感觉有一只冰凉的触角伸进了我的记忆深处。但那里好像有什么别的东西，所以它马上就离开了。,branch_content,三月七
65,*三月七：然后嘛，我就开始做大吃大喝大买特买的梦了…星期日不会以为这就是我想要的生活吧？从这种幻觉里醒来…轻轻松松嘛。,content,三月七
66,|图标1=对话,default,
67,|图标2=对话,default,
68,|图标3=对话,default,
69,|选项4=出发去找大家吧。,option,开拓者
70,|剧情4=*三月七：走咯走咯！离登船还有些时间，咱们先去惊梦酒吧和大家汇合吧。,branch_content,三月七
71,|选项5=还有别的事要做。,option,开拓者
72,|图标5=退出,default,
73,|剧情5=*三月七：哦，那你快点。等你准备好了，我们就走。,branch_content,三月七
74,:再次对话,default,
75,*三月七：如何，现在可以走了吗？还是你有什么别的事想说？,content,三月七
76,}},default,
77,----,default,
78,:{{颜色|灰|与此同时，黄金的时刻…}},default,
79,*流萤：……,content,流萤
80,*银狼：纸醉金迷啊，和艾普瑟隆如出一辙。如何？它和你想象中的「梦境」一致吗？,content,银狼
81,:{{颜色|灰|银狼的投影突然出现在流萤身旁…}},default,
82,*流萤：你问过这个问题的，在我们刚来到这里的时候。,content,流萤
83,*银狼：是啊，我记得那时你的回答是「不」。但发生了这么多事以后，我觉得你还挺中意它的。,content,银狼
