line_number,content,category,character
1,{{面包屑|星海纪闻}}{{星海纪闻导航}},default,
2,{{引用说明|图书馆}},default,
3,{{待补充}},default,
4,{{左侧目录|开始}},default,
5,==派系总览==,default,
6,凡人物种揣测神明的意愿本是徒劳之举，就如蜉蝣与星辰两不相干。但是怀有共同曲解的人们聚集成众，便产生了额外的价值：认识形成共识，曲解化为通解，群体吸引集体……接着，派系便自然而然地产生了。<br>,content,便产生了额外的价值
7,<br>,default,
8,无论大小派系均以自身的信条诠释着星神的意图，自称代行者的派系更是比比皆是。多数星神对派系的动向毫无兴致，另外一些星神却热爱戏赏蝼蚁的徒劳。祂们或巧妙引导，或故弄玄虚，向派系施展造化，使之成为自身干涉世界的余波。<br>,default,
9,<br>,default,
10,虽然星神大多孤高遥远，但充盈星海的派系势力却使群星热闹非凡。这些旗帜鲜明的派系之间或敌或友、党同伐异，使得银河间难觅一处寂静的角落。,default,
11,,default,
12,==？？？==,default,
13,===星核猎手===,default,
14,<big>'''简介'''</big><br>,default,
15,穿行诸界之间狩猎星核的组织。<br>,default,
16,赐予其能力的星神是谁尚不明了。<ref>由开拓任务[[士兵的报酬]]可知其中至少流萤所行命途为「终末」</ref><br>,default,
17,<big>'''智库'''</big><br>,default,
18,{| class=wikitable,default,
19,|<br>,default,
20,"<span style=""color:#dbc291"">''「——刃、银狼、萨姆……以上四人，死活不论；''<br>''不得伤害『命运的奴隶』，或使其失去自主思考能力。」''</span><br>",default,
21,"<div style=""color:#dbc291;text-align: right"">''——星际和平公司所颁之通缉令''</div><br>",default,
22,在某个寂静的时刻，「万界之癌」如投水之石在浩瀚星海中激起涟漪，在极短时间内，这些扭曲难明的物质已经浊流诸界，而与泥滓同行的却是日彩星辉的宝石——亦即星核。<br>,default,
23,<br>,default,
24,星核所到之处，无不遗留沦亡与破丧。对各种深受其害的文明来说，星核便是毁灭的象征。即便如此，星海之中还是出现了浊水求珠之人，他们自称为「星核猎手」，为了夺取星核而穿梭往来于不同世界之中。<br>,default,
25,<br>,default,
26,除却事迹之外，「星核猎手」的一切都不为外人所知：他们信奉的星神究竟为何，夺取星核又谓何求？……纷纷传言中只有一条在宇宙间达成了共识：即「星核猎手」成员甚少，但个个身手不凡。<br>,content,的一切都不为外人所知
27,<br>,default,
28,|},default,
29,{{提示|蓝色|宽度=100%|[[专有名词#星核]]、[[专有名词#令使]]|关联条目}},default,
30,<big>'''成员'''</big><br>,default,
31,艾利欧、{{图标|卡芙卡}}、{{图标|流萤}}（萨姆）、{{图标|刃}}、{{图标|银狼}}<br>,default,
32,<big>'''相关信息'''</big><br>,default,
33,*艾利欧：『命运的奴隶』,content,艾利欧
34,*卡芙卡：『命运的奴隶』的副手<ref>[[卡芙卡#角色故事]]</ref>，悬赏金108亿9千9百万<ref>[https://www.bilibili.com/video/BV1MN41187U6 卡芙卡角色PV——「戏剧性反讽」]</ref>,content,卡芙卡
35,*萨姆（流萤）：97亿2千3百万<ref>[https://www.bilibili.com/video/BV1jE421A7qK/ 《崩坏：星穹铁道》流萤角色PV——「壳中萤火」 ]</ref>,content,流萤
36,*刃：悬赏金81亿3千万<ref>[https://www.bilibili.com/video/BV12h4y1j7Pw 刃角色PV——「死兆将至」]</ref>,content,刃
37,*银狼：悬赏金51亿<ref>[https://www.bilibili.com/video/BV15o4y1u7pH 银狼角色PV——「有点意思」]</ref>,content,银狼
38,*加入顺序：卡芙卡→流萤（萨姆）<ref>[https://www.bilibili.com/video/BV1us421u7sp/ 《崩坏：星穹铁道》动画短片：「格拉默的余烬」]</ref>→刃→银狼<ref>[[刃#角色故事]]、[[银狼#角色故事]]</ref>,content,加入顺序
39,<br>,default,
40,"「星核猎手」为新兴起的组织。<ref name=""星际和平播报"">[[互动文本#星际和平播报]]</ref><br>",default,
41,闯入阿图因普世拍卖会现场，操纵会场来宾，破坏虔心观者麾下的艺术瑰宝，并窃走了「拍品」（星核）。<br>,default,
42,潜入电子圣狱因奴庇斯，窃夺西格玛节杖关闭封印械咒的防火墙，令大量数据恶魔涌入现实，使该世界提前进入审判日阶段，并带走了「元代码」（星核）。<br>,default,
43,入侵环形世界戈尔康达，带走了戈尔康达引力平衡点上的「钢核」（星核）。<br>,default,
44,与特洛维斯星系失踪案、洛尔-51星核事件、针对螺丝星的黑客袭击、庇尔波因特入侵案、耶佩拉叛乱有关。<ref>[https://www.bilibili.com/video/BV1Nu411H7C6/ 《崩坏：星穹铁道》千星纪游PV：「耶佩拉叛乱：第47场」]</ref><br>,content,崩坏
45,,default,
46,,default,
47,==开拓==,default,
48,===无名客===,default,
49,<big>'''简介'''</big><br>,default,
50,与「开拓」的星神共同探索宇宙的人们。<br>,default,
51,一群勇敢而好奇的星际探险者。<br>,default,
52,无名客不图名利，阿基维利陨落后，有些无名客仍在坚持开拓之路。<br>,default,
53,<big>'''智库'''</big><br>,default,
54,{| class=wikitable,default,
55,|<br>,default,
56,"<span style=""color:#dbc291"">''「神秘的陌生人踏入诸界，复又离去。」''</span><br>",default,
57,"<div style=""color:#dbc291;text-align: right"">''——阿德里安•斯宾塞-史密斯，《有关星空的寓言集》''</div><br>",default,
58,千年前，名为阿基维利的星神走过诸界，在星海间铺下银轨，让一个又一个世界彼此相连，留下关于宇宙和探索的传奇——勇敢而好奇的人们被精彩的冒险故事吸引，纷纷追随「开拓」之神的足迹，加入探索银河的旅途。<br>,default,
59,<br>,default,
60,旅行者们自称「无名客」，他们搭载着阿基维利建造的列车，奔行于被银轨联结的星球之间，展开一段段扣人心弦的冒险旅程。传说，「开拓」的阿基维利酷爱与凡人共行，祂与「无名客」们共饮来自不同世界的佳酿，合唱不同种族编谱的歌谣。他们时常将列车行驶的轨迹伪装成流星的慧尾，在窥见人们仰头惊异的神情后放声大笑；他们也时常因莽撞大意而陷入危机，借助星神的力量才得以逃出生天。阿基维利与追随者们建立了深厚的羁绊，他们的探险也不断吸引着异世的旅者加入「无名客」的行列。<br>,default,
61,<br>,default,
