line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=流光忆彩,default,
4,|任务地区=星穹列车,default,
5,|任务类型=冒险任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.0,default,
8,|任务描述=你收到了帕姆的短信，声称列车里出现了奇怪的东西，希望你帮忙抓捕。<br>,default,
9,很奇怪，你又能做到什么呢？这又不是《捉*敢死队》，但列车长的请求，你只能听从。,default,
10,|时间=<!-- 限时任务填写，可留空 -->,default,
11,|奖励={{图标|稀薄以太|3}}{{图标|信用点|2000}}<!-- {{图标|材料名|个数}} -->,default,
12,|任务条件=,default,
13,|开放等级=21,default,
14,|相关活动=,default,
15,|相关成就=,default,
16,|相关道具=,default,
17,|相关书籍=,default,
18,|出场人物=帕姆、瓦尔特、姬子、「信使」,default,
19,|领取地点=开拓等级达到21级后收到帕姆短信接取,default,
20,|系列任务=,default,
21,|任务编号=<!-- 有系列任务时填写 -->,default,
22,|前置任务=<!-- *[[前置任务]] -->,default,
23,|后续任务=<!-- *[[后续任务]] -->,default,
24,|任务流程=*与帕姆交谈,default,
25,*在列车中寻找异样之处,default,
26,*（可选）问问其他人关于镜子的事,default,
27,*调查神秘的镜子,default,
28,*通关「忘却之庭」的任意一重「回忆」,default,
29,*将真相告知列车组<!-- *任务流程 -->,default,
30,}},default,
31,==剧情内容==,default,
32,===任务接取短信===,default,
33,{{角色对话|模板开始|帕姆|开拓奖励找我！以后会优化}},default,
34,{{角色对话|左|帕姆|文本|在吗}},default,
35,{{角色对话|左|帕姆|文本|在吗}},default,
36,{{角色对话|左|帕姆|文本|在？}},default,
37,{{角色对话|右|开拓者|文本|不在}},default,
38,{{角色对话|左|帕姆|文本|列车里怪怪的，好像有什么看不见的东西…}},default,
39,{{角色对话|左|帕姆|文本|有空回来看看啊啊啊！！}},default,
40,{{短信选项,option,开拓者
41,|选项1=列车长的胆子也太小了,option,开拓者
42,|剧情1={{角色对话|右|开拓者|文本|列车长的胆子也太小了}},branch_content,
43,|选项2=冷静，我这就回来,option,开拓者
44,|剧情2={{角色对话|右|开拓者|文本|冷静，我这就回来}},branch_content,
45,|选项3=真的吗？我不信,option,开拓者
46,|剧情3={{角色对话|右|开拓者|文本|真的吗？我不信|}}}},branch_content,
47,{{角色对话|左|帕姆|文本|快回来！这事不解决，列车休想发车帕！}},default,
48,{{角色对话|模板结束}},default,
49,===与帕姆交谈===,default,
50,{{任务描述|你收到了帕姆的短信，声称列车里出现了奇怪的东西，希望你帮忙抓捕。<br>,default,
51,很奇怪，你又能做到什么呢？这又不是《捉*敢死队》，但列车长的请求，你只能听从。}},default,
52,*开拓者：（先问问列车长发生了什么事吧……）,content,开拓者
53,*帕姆：开拓者，你回来啦！,content,帕姆
54,*开拓者：怪东西在哪呢？,content,开拓者
55,*帕姆：不知道，但就在列车里帕！没有人比帕姆更熟悉阿基维利的列车了，车里有奇怪的东西，帕姆就是能感觉到！,content,帕姆
56,*帕姆：你也一起来找吧，一定要找出来。,content,帕姆
57,===在列车中寻找异样之处===,default,
58,{{折叠|折叠=是|标题=额外对话（帕姆）|内容=,default,
59,*帕姆：一定要找出来帕！}},content,帕姆
60,{{折叠|折叠=是|标题=额外对话（瓦尔特）|内容=,default,
61,*瓦尔特：你也被叫回来了？看来帕姆这次是认真的……,content,瓦尔特
62,{{剧情选项,default,
63,|选项1=瓦尔特先生有察觉到异样吗？,option,开拓者
64,|图标1=对话,default,
65,|剧情1=*瓦尔特：没有。我对危险和敌意还算敏锐，但列车里没有这种感觉。,branch_content,瓦尔特
66,*瓦尔特：银河这么大，或许有某种能够隐形的生物来到了我们的列车……,content,瓦尔特
67,|选项2=列车长说的怪东西是什么啊？,option,开拓者
68,|图标2=对话,default,
69,|剧情2=*瓦尔特：不清楚，帕姆也说不上来，它只是有种直觉。,branch_content,瓦尔特
70,*瓦尔特：但关于列车的事，我倾向于相信帕姆的直觉。,content,瓦尔特
71,|选项3=三月七和丹恒呢？,option,开拓者
72,|图标3=对话,default,
73,|剧情3=*瓦尔特：姬子让他们去别的车厢了，这里有我们就足够啦。,branch_content,瓦尔特
74,|选项4=好吧…,option,开拓者
75,|图标4=退出}}}},default,
76,{{折叠|折叠=是|标题=额外对话（姬子）|内容=,default,
77,*姬子：呀，你也回来啦…辛苦你了，开拓者。,content,姬子
78,{{剧情选项,default,
79,|选项1=姬子有察觉到异样吗？,option,开拓者
80,|图标1=对话,default,
81,|剧情1=*姬子：没有呢，但既然帕姆这么担心，就一定有什么东西在列车里吧。,branch_content,姬子
82,*姬子：不要紧的，如果大家找不到，我还有别的办法…虽说花费在这种事上有点遗憾，但总不能让列车长一直烦恼下去啊。,content,姬子
83,|选项2=列车长好像很焦虑…,option,开拓者
84,|图标2=对话,default,
85,|剧情2=*姬子：嗯，它对星穹列车有很深的感情，会危害这辆列车的事情总是让列车长特别焦虑呢。,branch_content,姬子
86,*姬子：…所以你们也帮忙教育教育阿七，让她不要随便鼓捣列车上的设备喔。,content,姬子
87,|选项3=我能做些什么呢？,option,开拓者
88,|图标3=对话,default,
89,|剧情3=*姬子：检查一下车厢，看看有没有什么奇怪的地方吧。,branch_content,姬子
90,|选项4=我去帮忙了。,option,开拓者
91,|图标4=退出}},default,
92,}},default,
93,{{折叠|折叠=是|标题=调查植物|内容=,default,
94,你仔仔细细检查了每一片叶子，每一条根茎，甚至翻开了每一块泥土，并没有发现躲藏着的神秘间谍。}},default,
95,{{折叠|折叠=是|标题=调查落地灯|内容=,default,
96,灯泡散发着柔和的光线，你狠狠地瞪着它。}},default,
97,:一面镜子吸引了你的注意…你感到疑惑——,default,
98,{{剧情选项,default,
99,|选项1=哪来的镜子？,option,开拓者
100,|剧情1=:确实。你不记得列车上曾经有这么一面镜子。,branch_content,
101,|选项2=破了也不修修？,option,开拓者
102,|剧情2=:镜子对你的善意表示感谢，但问题是，它是什么时候出现的？你不记得列车上曾经有这么一面镜子。,branch_content,
103,|选项3=我咋这么好看？,option,开拓者
